nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,league,season,stat_type
,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,,,
POL,DF,27-247,1997,16.4,41,23,23,16,2,19,29,65.5,10,16,5,11,20,61,44,2,ENG-Premier League,2024,defense
ENG,"FW,MF",22-259,2002,27.9,32,16,11,12,9,16,36,44.4,20,22,5,17,5,37,18,2,ENG-Premier League,2024,defense
ENG,FW,29-102,1995,23.8,7,5,0,4,3,2,9,22.2,7,11,3,8,6,13,14,2,ENG-Premier League,2024,defense
ESP,DF,28-085,1997,18.2,20,14,11,7,2,9,15,60.0,6,14,10,4,9,29,58,2,ENG-Premier League,2024,defense
SWE,GK,35-093,1990,2.0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,2,1,ENG-Premier League,2024,defense
ENG,MF,31-127,1993,6.2,13,3,4,9,0,9,13,69.2,4,9,3,6,9,22,5,0,ENG-Premier League,2024,defense
ENG,DF,32-029,1993,9.7,6,5,5,1,0,2,2,100.0,0,13,11,2,5,11,48,1,ENG-Premier League,2024,defense
BEL,MF,27-339,1997,29.4,75,50,28,40,7,36,66,54.5,30,35,15,20,21,96,41,3,ENG-Premier League,2024,defense
ENG,DF,33-347,1991,12.7,18,9,9,4,5,10,21,47.6,11,10,3,7,12,30,38,1,ENG-Premier League,2024,defense
ENG,MF,21-233,2003,5.6,23,11,10,7,6,16,29,55.2,13,11,1,10,9,32,8,0,ENG-Premier League,2024,defense
GHA,FW,25-094,2000,29.4,50,32,16,23,11,14,40,35.0,26,54,7,47,7,57,28,1,ENG-Premier League,2024,defense
ENG,"FW,MF",20-219,2004,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,2,2,0,0,ENG-Premier League,2024,defense
BFA,FW,23-059,2002,18.7,31,23,11,11,9,16,36,44.4,20,30,8,22,8,39,42,0,ENG-Premier League,2024,defense
ENG,FW,21-241,2003,0.8,2,1,1,1,0,2,4,50.0,2,1,1,0,1,3,1,0,ENG-Premier League,2024,defense
WAL,"FW,MF",27-277,1997,8.8,11,4,2,6,3,1,13,7.7,12,16,2,14,5,16,7,1,ENG-Premier League,2024,defense
ESP,DF,19-362,2005,20.8,31,21,15,15,1,15,25,60.0,10,32,24,8,45,76,143,3,ENG-Premier League,2024,defense
TUR,"FW,MF",27-336,1997,3.8,1,0,0,0,1,0,3,0.0,3,1,0,1,0,1,6,0,ENG-Premier League,2024,defense
BRA,FW,25-187,1999,19.1,11,6,4,4,3,5,9,55.6,4,8,1,7,0,11,14,0,ENG-Premier League,2024,defense
UKR,DF,22-222,2002,28.1,44,30,24,19,1,29,42,69.0,13,32,19,13,32,76,141,2,ENG-Premier League,2024,defense
ENG,DF,23-091,2002,5.0,15,8,6,6,3,3,11,27.3,8,5,0,5,9,24,31,0,ENG-Premier League,2024,defense
MEX,DF,23-241,2001,3.9,7,3,3,4,0,4,10,40.0,6,3,0,3,4,11,13,0,ENG-Premier League,2024,defense
NED,"MF,FW",25-341,1999,21.5,20,9,4,10,6,4,19,21.1,15,20,0,20,13,33,22,1,ENG-Premier League,2024,defense
ESP,GK,30-190,1994,24.0,1,0,1,0,0,0,1,0.0,1,1,0,1,0,1,11,3,ENG-Premier League,2024,defense
ENG,"MF,DF",28-067,1997,28.6,70,39,36,32,2,33,61,54.1,28,26,8,18,39,109,57,0,ENG-Premier League,2024,defense
COL,"FW,MF",25-298,1999,2.6,7,2,3,2,2,0,4,0.0,4,3,0,3,1,8,8,0,ENG-Premier League,2024,defense
ARG,DF,27-336,1997,10.7,35,21,22,11,2,14,28,50.0,14,14,6,8,11,46,49,0,ENG-Premier League,2024,defense
ENG,"FW,MF",26-020,1999,16.7,38,23,12,17,9,9,25,36.0,16,12,2,10,4,42,11,0,ENG-Premier League,2024,defense
IRL,GK,25-328,1999,5.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,0,ENG-Premier League,2024,defense
ENG,DF,25-097,2000,1.0,2,2,1,1,0,1,1,100.0,0,3,1,2,1,3,0,0,ENG-Premier League,2024,defense
HUN,DF,21-155,2003,30.2,46,25,21,19,6,20,34,58.8,14,32,11,21,38,84,91,2,ENG-Premier League,2024,defense
BRA,GK,35-266,1989,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,ENG-Premier League,2024,defense
DEN,MF,28-304,1996,2.0,14,5,7,6,1,3,4,75.0,1,3,0,3,5,19,2,0,ENG-Premier League,2024,defense
ENG,FW,19-036,2006,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,ENG-Premier League,2024,defense
SCO,MF,30-048,1995,23.5,54,33,19,27,8,27,64,42.2,37,44,11,33,30,84,51,3,ENG-Premier League,2024,defense
USA,MF,26-056,1999,15.3,70,43,22,41,7,31,57,54.4,26,24,6,18,29,99,32,0,ENG-Premier League,2024,defense
MSR,FW,19-276,2005,0.0,1,1,0,0,1,1,1,100.0,0,0,0,0,0,1,0,0,ENG-Premier League,2024,defense
ENG,DF,35-202,1989,2.0,2,2,0,2,0,1,1,100.0,0,3,3,0,4,6,7,0,ENG-Premier League,2024,defense
CMR,FW,25-247,1999,30.9,34,20,13,11,10,13,22,59.1,9,21,3,18,13,47,42,1,ENG-Premier League,2024,defense
DEN,MF,31-032,1994,24.3,71,44,32,32,7,41,64,64.1,23,40,15,25,38,109,54,1,ENG-Premier League,2024,defense
ENG,"MF,FW",23-338,2001,1.3,2,1,0,2,0,1,3,33.3,2,2,2,0,1,3,2,0,ENG-Premier League,2024,defense
JAM,DF,31-317,1993,21.3,35,19,15,16,4,13,24,54.2,11,29,18,11,24,59,142,4,ENG-Premier League,2024,defense
POR,"FW,MF",22-224,2002,5.1,13,9,4,4,5,6,13,46.2,7,6,1,5,3,16,2,0,ENG-Premier League,2024,defense
NGA,MF,27-100,1998,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,ENG-Premier League,2024,defense
ISL,GK,23-180,2001,1.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,ENG-Premier League,2024,defense
ENG,DF,18-287,2006,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,ENG-Premier League,2024,defense
ENG,"DF,FW",24-048,2001,28.3,43,25,22,15,6,26,41,63.4,15,24,9,15,17,60,63,3,ENG-Premier League,2024,defense
GER,FW,23-135,2001,19.5,30,21,12,8,10,11,18,61.1,7,14,2,12,4,34,27,0,ENG-Premier League,2024,defense
KOR,DF,20-108,2004,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,ENG-Premier League,2024,defense
NOR,DF,26-359,1998,14.4,22,15,12,9,1,12,24,50.0,12,16,3,13,11,33,44,0,ENG-Premier League,2024,defense
DEN,DF,25-291,1999,12.2,18,8,14,3,1,11,28,39.3,17,12,5,7,4,22,35,0,ENG-Premier League,2024,defense
NED,GK,31-302,1993,29.4,3,3,3,0,0,2,7,28.6,5,1,0,1,0,3,24,3,ENG-Premier League,2024,defense
DEN,MF,29-100,1996,8.3,11,8,6,4,1,6,12,50.0,6,11,3,8,6,17,10,1,ENG-Premier League,2024,defense
ITA,DF,20-275,2004,0.5,2,2,2,0,0,1,1,100.0,0,0,0,0,1,3,1,0,ENG-Premier League,2024,defense
DEN,"MF,FW",24-282,2000,25.9,72,40,27,22,23,27,66,40.9,39,32,2,30,22,94,27,2,ENG-Premier League,2024,defense
IRL,DF,23-346,2001,31.0,34,20,21,9,4,20,30,66.7,10,66,47,19,29,63,186,2,ENG-Premier League,2024,defense
ENG,DF,27-277,1997,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,ENG-Premier League,2024,defense
