nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,league,season,stat_type
,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,,,
BEL,MF,23-238,2001,19,15,1166,13.0,2,0,2,2,0,0,4,0,1.8,1.8,0.2,2.0,16,44,11,0.15,0.0,0.15,0.15,0.15,0.14,0.01,0.16,0.14,0.16,ENG-Premier League,2024,standard
ESP,"DF,MF",22-063,2003,6,5,312,3.5,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,25,15,27,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.06,0.01,0.06,ENG-Premier League,2024,standard
FRA,DF,27-031,1998,6,5,460,5.1,0,0,0,0,0,0,2,0,0.1,0.1,0.4,0.5,10,15,5,0.0,0.0,0.0,0.0,0.0,0.02,0.08,0.09,0.02,0.09,ENG-Premier League,2024,standard
FRA,MF,25-139,1999,19,14,1200,13.3,0,0,0,0,0,0,2,0,0.4,0.4,0.5,0.8,16,65,5,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.06,0.03,0.06,ENG-Premier League,2024,standard
BRA,DF,32-027,1993,10,8,830,9.2,0,0,0,0,0,0,1,0,0.6,0.6,0.0,0.6,3,34,0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,ENG-Premier League,2024,standard
NED,FW,26-092,1999,8,2,234,2.6,2,0,2,2,0,0,0,0,1.4,1.4,0.0,1.4,6,5,18,0.77,0.0,0.77,0.77,0.77,0.52,0.01,0.53,0.52,0.53,ENG-Premier League,2024,standard
ARG,"MF,FW",28-107,1996,12,0,98,1.1,0,0,0,0,0,0,1,0,0.7,0.7,0.0,0.7,3,7,6,0.0,0.0,0.0,0.0,0.0,0.6,0.02,0.62,0.6,0.62,ENG-Premier League,2024,standard
ARG,GK,32-221,1992,30,30,2610,29.0,0,0,0,0,0,0,4,0,0.0,0.0,0.5,0.5,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,ENG-Premier League,2024,standard
ENG,DF,27-170,1997,27,26,2306,25.6,1,0,1,1,0,0,0,0,0.7,0.7,0.2,0.9,16,60,11,0.04,0.0,0.04,0.04,0.04,0.03,0.01,0.03,0.03,0.03,ENG-Premier League,2024,standard
NED,DF,23-032,2002,23,5,707,7.9,0,2,2,0,0,0,2,0,0.4,0.4,2.3,2.7,21,35,70,0.0,0.25,0.25,0.0,0.25,0.05,0.29,0.34,0.05,0.34,ENG-Premier League,2024,standard
ENG,"FW,MF",23-318,2001,23,16,1341,14.9,1,3,4,1,0,0,1,0,1.3,1.3,2.0,3.3,52,60,92,0.07,0.2,0.27,0.07,0.27,0.09,0.13,0.22,0.09,0.22,ENG-Premier League,2024,standard
ENG,"FW,MF",23-062,2002,11,2,332,3.7,0,0,0,0,0,0,4,1,0.5,0.5,0.3,0.8,7,4,17,0.0,0.0,0.0,0.0,0.0,0.13,0.08,0.2,0.13,0.2,ENG-Premier League,2024,standard
SCO,"MF,FW",30-175,1994,27,23,1885,20.9,0,3,3,0,0,0,6,0,2.2,2.2,3.3,5.5,27,87,66,0.0,0.14,0.14,0.0,0.14,0.1,0.16,0.26,0.1,0.26,ENG-Premier League,2024,standard
COL,FW,21-119,2003,20,4,638,7.1,7,0,7,7,0,0,3,1,4.9,4.9,0.2,5.1,7,13,44,0.99,0.0,0.99,0.99,0.99,0.69,0.03,0.71,0.69,0.71,ENG-Premier League,2024,standard
SRB,DF,19-116,2005,5,0,126,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENG-Premier League,2024,standard
NED,"DF,MF",21-096,2004,8,5,476,5.3,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.2,12,14,9,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,ENG-Premier League,2024,standard
JAM,"FW,MF",27-245,1997,23,14,1138,12.6,1,2,3,1,0,0,3,0,1.7,1.7,1.5,3.3,57,35,121,0.08,0.16,0.24,0.08,0.24,0.14,0.12,0.26,0.14,0.26,ENG-Premier League,2024,standard
FRA,DF,31-265,1993,29,26,2151,23.9,0,4,4,0,0,0,3,0,0.8,0.8,4.1,4.9,21,51,135,0.0,0.17,0.17,0.0,0.17,0.03,0.17,0.21,0.03,0.21,ENG-Premier League,2024,standard
ESP,"MF,FW",29-080,1996,6,3,305,3.4,3,1,4,3,0,0,1,0,2.1,2.1,0.3,2.4,14,22,11,0.89,0.3,1.18,0.89,1.18,0.63,0.08,0.71,0.63,0.71,ENG-Premier League,2024,standard
ENG,FW,27-162,1997,7,2,295,3.3,1,2,3,1,0,0,0,0,1.4,1.4,2.0,3.4,16,12,35,0.31,0.61,0.92,0.31,0.92,0.44,0.6,1.04,0.44,1.04,ENG-Premier League,2024,standard
POL,DF,27-247,1997,20,17,1476,16.4,1,1,2,1,0,0,6,0,0.3,0.3,1.1,1.3,39,32,53,0.06,0.06,0.12,0.06,0.12,0.02,0.07,0.08,0.02,0.08,ENG-Premier League,2024,standard
ENG,"FW,MF",22-259,2002,30,30,2513,27.9,8,6,14,8,0,0,8,0,5.8,5.8,6.1,11.9,95,101,149,0.29,0.21,0.5,0.29,0.5,0.21,0.22,0.43,0.21,0.43,ENG-Premier League,2024,standard
ENG,FW,29-102,1995,31,26,2142,23.8,13,6,19,11,2,2,1,0,13.9,12.3,2.7,14.9,47,22,133,0.55,0.25,0.8,0.46,0.71,0.58,0.11,0.69,0.52,0.63,ENG-Premier League,2024,standard
ESP,DF,28-085,1997,19,19,1639,18.2,0,0,0,0,0,0,1,0,0.5,0.5,0.0,0.5,31,72,4,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,ENG-Premier League,2024,standard
SWE,GK,35-093,1990,3,1,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENG-Premier League,2024,standard
ENG,MF,31-127,1993,16,3,554,6.2,3,1,4,3,0,0,3,0,1.7,1.7,0.6,2.3,14,32,8,0.49,0.16,0.65,0.49,0.65,0.27,0.09,0.37,0.27,0.37,ENG-Premier League,2024,standard
ENG,DF,32-029,1993,11,9,871,9.7,0,0,0,0,0,0,1,0,0.7,0.7,0.2,0.9,5,35,0,0.0,0.0,0.0,0.0,0.0,0.08,0.02,0.09,0.08,0.09,ENG-Premier League,2024,standard
BEL,MF,27-339,1997,31,31,2645,29.4,2,5,7,2,0,1,4,0,2.7,1.9,6.2,8.1,31,198,38,0.07,0.17,0.24,0.07,0.24,0.09,0.21,0.3,0.06,0.27,ENG-Premier League,2024,standard
ENG,DF,33-347,1991,19,14,1146,12.7,0,0,0,0,0,0,5,0,0.6,0.6,0.2,0.8,10,33,19,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.06,0.05,0.06,ENG-Premier League,2024,standard
ENG,MF,21-233,2003,14,4,503,5.6,0,0,0,0,0,0,1,0,0.5,0.5,0.3,0.8,9,46,22,0.0,0.0,0.0,0.0,0.0,0.09,0.05,0.14,0.09,0.14,ENG-Premier League,2024,standard
GHA,FW,25-094,2000,30,30,2645,29.4,7,4,11,7,0,0,9,0,8.9,8.9,5.2,14.2,124,93,242,0.24,0.14,0.37,0.24,0.37,0.3,0.18,0.48,0.3,0.48,ENG-Premier League,2024,standard
ENG,"FW,MF",20-219,2004,3,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENG-Premier League,2024,standard
BFA,FW,23-059,2002,28,17,1685,18.7,7,4,11,7,0,0,1,0,7.7,7.7,4.8,12.5,67,36,169,0.37,0.21,0.59,0.37,0.59,0.41,0.26,0.67,0.41,0.67,ENG-Premier League,2024,standard
ENG,FW,21-241,2003,11,0,75,0.8,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,2,3,11,0.0,0.0,0.0,0.0,0.0,0.25,0.24,0.48,0.25,0.48,ENG-Premier League,2024,standard
WAL,"FW,MF",27-277,1997,24,8,793,8.8,2,0,2,2,0,0,3,0,2.2,2.2,1.7,3.9,25,26,72,0.23,0.0,0.23,0.23,0.23,0.25,0.19,0.44,0.25,0.44,ENG-Premier League,2024,standard
ESP,DF,19-362,2005,25,20,1874,20.8,2,1,3,2,0,0,7,0,1.7,1.7,1.9,3.6,31,92,9,0.1,0.05,0.14,0.1,0.14,0.08,0.09,0.17,0.08,0.17,ENG-Premier League,2024,standard
TUR,"FW,MF",27-336,1997,17,2,345,3.8,2,1,3,2,0,0,2,0,2.7,2.7,0.4,3.1,4,12,22,0.52,0.26,0.78,0.52,0.78,0.72,0.1,0.82,0.72,0.82,ENG-Premier League,2024,standard
BRA,FW,25-187,1999,24,21,1723,19.1,9,0,9,9,0,1,0,0,10.3,9.5,1.5,11.0,24,17,79,0.47,0.0,0.47,0.47,0.47,0.54,0.08,0.61,0.5,0.57,ENG-Premier League,2024,standard
UKR,DF,22-222,2002,29,29,2527,28.1,0,0,0,0,0,0,3,1,1.0,1.0,0.5,1.5,18,104,3,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05,ENG-Premier League,2024,standard
ENG,DF,23-091,2002,10,6,448,5.0,0,1,1,0,0,0,1,0,0.3,0.3,0.3,0.6,3,16,8,0.0,0.2,0.2,0.0,0.2,0.06,0.05,0.11,0.06,0.11,ENG-Premier League,2024,standard
MEX,DF,23-241,2001,8,5,355,3.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,14,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENG-Premier League,2024,standard
NED,"MF,FW",25-341,1999,28,24,1936,21.5,12,6,18,6,6,6,6,0,9.9,5.1,4.7,9.9,64,88,132,0.56,0.28,0.84,0.28,0.56,0.46,0.22,0.68,0.24,0.46,ENG-Premier League,2024,standard
ESP,GK,30-190,1994,24,24,2160,24.0,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENG-Premier League,2024,standard
ENG,"MF,DF",28-067,1997,30,28,2572,28.6,1,3,4,1,0,0,7,0,0.9,0.9,4.1,5.0,33,147,46,0.03,0.1,0.14,0.03,0.14,0.03,0.14,0.17,0.03,0.17,ENG-Premier League,2024,standard
COL,"FW,MF",25-298,1999,12,1,236,2.6,1,1,2,1,0,0,0,0,1.2,1.2,1.4,2.6,19,6,38,0.38,0.38,0.76,0.38,0.76,0.46,0.54,1.0,0.46,1.0,ENG-Premier League,2024,standard
ARG,DF,27-336,1997,13,11,963,10.7,0,0,0,0,0,0,4,0,0.8,0.8,0.2,1.0,12,50,5,0.0,0.0,0.0,0.0,0.0,0.08,0.02,0.1,0.08,0.1,ENG-Premier League,2024,standard
ENG,"FW,MF",26-020,1999,22,16,1505,16.7,3,5,8,3,0,0,5,0,5.2,5.2,2.8,8.0,36,95,101,0.18,0.3,0.48,0.18,0.48,0.31,0.17,0.48,0.31,0.48,ENG-Premier League,2024,standard
IRL,GK,25-328,1999,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENG-Premier League,2024,standard
ENG,DF,25-097,2000,3,1,86,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,8,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENG-Premier League,2024,standard
HUN,DF,21-155,2003,31,31,2717,30.2,2,5,7,2,0,0,4,0,0.5,0.5,3.2,3.7,85,130,151,0.07,0.17,0.23,0.07,0.23,0.02,0.11,0.12,0.02,0.12,ENG-Premier League,2024,standard
BRA,GK,35-266,1989,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENG-Premier League,2024,standard
DEN,MF,28-304,1996,10,1,184,2.0,0,0,0,0,0,0,1,0,0.6,0.6,1.1,1.7,3,15,13,0.0,0.0,0.0,0.0,0.0,0.28,0.54,0.82,0.28,0.82,ENG-Premier League,2024,standard
ENG,FW,19-036,2006,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENG-Premier League,2024,standard
SCO,MF,30-048,1995,29,27,2117,23.5,2,3,5,2,0,0,9,0,1.8,1.8,3.5,5.4,34,137,44,0.09,0.13,0.21,0.09,0.21,0.08,0.15,0.23,0.08,0.23,ENG-Premier League,2024,standard
USA,MF,26-056,1999,21,14,1380,15.3,0,3,3,0,0,0,4,0,1.2,1.2,0.8,2.0,11,54,7,0.0,0.2,0.2,0.0,0.2,0.08,0.05,0.13,0.08,0.13,ENG-Premier League,2024,standard
MSR,FW,19-276,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENG-Premier League,2024,standard
ENG,DF,35-202,1989,7,2,183,2.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,3,11,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENG-Premier League,2024,standard
CMR,FW,25-247,1999,31,31,2784,30.9,16,5,21,11,5,5,2,0,10.0,6.0,7.0,13.0,103,116,287,0.52,0.16,0.68,0.36,0.52,0.32,0.23,0.55,0.2,0.42,ENG-Premier League,2024,standard
DEN,MF,31-032,1994,27,27,2190,24.3,4,2,6,4,0,0,4,1,3.2,3.2,0.8,4.0,12,120,34,0.16,0.08,0.25,0.16,0.25,0.13,0.03,0.16,0.13,0.16,ENG-Premier League,2024,standard
ENG,"MF,FW",23-338,2001,8,0,119,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,13,4,0.0,0.0,0.0,0.0,0.0,0.09,0.08,0.17,0.09,0.17,ENG-Premier League,2024,standard
JAM,DF,31-317,1993,22,21,1913,21.3,2,0,2,2,0,0,2,0,1.1,1.1,1.2,2.3,3,41,9,0.09,0.0,0.09,0.09,0.09,0.05,0.05,0.11,0.05,0.11,ENG-Premier League,2024,standard
POR,"FW,MF",22-224,2002,19,3,455,5.1,2,1,3,2,0,0,1,0,2.5,2.5,0.7,3.2,9,17,23,0.4,0.2,0.59,0.4,0.59,0.49,0.13,0.62,0.49,0.62,ENG-Premier League,2024,standard
NGA,MF,27-100,1998,2,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENG-Premier League,2024,standard
