nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,league,season,stat_type
,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,,,
FRA,MF,27,1994,0.1,0,0,0,0,2,0,0,0,1,0,0,0,1,0,1,0.0,ENG-Premier League,2022,misc
ENG,FW,26,1995,34.7,4,0,0,26,39,18,9,10,13,1,0,0,59,70,100,41.2,ENG-Premier League,2022,misc
BRA,"MF,FW",30,1992,8.8,3,0,0,16,14,2,19,4,14,0,0,0,41,3,13,18.8,ENG-Premier League,2022,misc
SWE,GK,32,1990,3.1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,ENG-Premier League,2022,misc
ENG,DF,29,1993,35.0,7,0,0,18,22,3,3,54,7,1,0,1,174,61,24,71.8,ENG-Premier League,2022,misc
ESP,DF,29,1993,14.8,3,0,0,17,11,0,48,7,14,0,0,0,69,9,12,42.9,ENG-Premier League,2022,misc
ENG,DF,31,1991,32.7,11,0,0,29,27,0,48,25,29,0,1,0,128,29,38,43.3,ENG-Premier League,2022,misc
GHA,"FW,MF",22,2000,2.9,0,0,0,6,5,1,1,2,0,0,0,0,13,9,9,50.0,ENG-Premier League,2022,misc
ENG,MF,27,1995,3.2,1,0,0,9,2,0,0,2,3,0,0,0,19,2,3,40.0,ENG-Premier League,2022,misc
WAL,DF,24,1997,24.4,7,0,0,16,7,0,0,30,22,0,0,2,85,53,31,63.1,ENG-Premier League,2022,misc
BFA,"MF,FW",20,2002,13.8,1,0,0,6,15,8,30,13,15,0,0,0,64,30,37,44.8,ENG-Premier League,2022,misc
WAL,"FW,MF",25,1997,1.9,1,0,0,3,1,0,6,2,0,0,0,0,4,2,3,40.0,ENG-Premier League,2022,misc
ENG,"FW,MF",24,1997,31.8,2,0,0,40,53,11,13,6,9,0,0,0,87,52,98,34.7,ENG-Premier League,2022,misc
DEN,MF,27,1995,0.1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,ENG-Premier League,2022,misc
CIV,"FW,MF",22,2000,4.7,0,0,0,4,4,1,41,2,11,0,0,0,33,3,2,60.0,ENG-Premier League,2022,misc
