nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,league,season,stat_type
,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,,,
NED,DF,22,2001,26.0,3,8,3,37.5,0.31,0.12,0.38,1.0,16.0,0,0,0,0.6,0.6,0.08,2.4,2.4,ENG-Premier League,2023,shooting
ENG,MF,15,2007,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ENG-Premier League,2023,shooting
ENG,"MF,DF",22,2000,7.9,0,4,1,25.0,0.51,0.13,0.0,0.0,13.7,0,0,0,0.7,0.7,0.17,-0.7,-0.7,ENG-Premier League,2023,shooting
SEN,MF,20,2002,23.0,3,36,13,36.1,1.57,0.57,0.08,0.23,17.6,0,0,0,3.4,3.4,0.1,-0.4,-0.4,ENG-Premier League,2023,shooting
ESP,DF,23,1999,34.3,3,53,12,22.6,1.54,0.35,0.06,0.25,21.0,4,0,0,2.9,2.9,0.06,0.1,0.1,ENG-Premier League,2023,shooting
DEN,MF,27,1995,14.6,0,19,6,31.6,1.3,0.41,0.0,0.0,26.5,3,0,0,0.7,0.7,0.04,-0.7,-0.7,ENG-Premier League,2023,shooting
ROU,DF,21,2002,4.8,0,1,0,0.0,0.21,0.0,0.0,,10.4,0,0,0,0.1,0.1,0.14,-0.1,-0.1,ENG-Premier League,2023,shooting
BRA,FW,26,1997,16.6,11,62,25,40.3,3.74,1.51,0.18,0.44,12.9,0,0,0,9.6,9.6,0.15,1.4,1.4,ENG-Premier League,2023,shooting
URU,MF,26,1997,11.2,1,18,4,22.2,1.61,0.36,0.06,0.25,16.3,0,0,0,1.9,1.9,0.11,-0.9,-0.9,ENG-Premier League,2023,shooting
KOR,FW,31,1992,32.6,17,83,38,45.8,2.55,1.17,0.18,0.39,15.5,0,2,2,12.0,10.4,0.13,5.0,4.6,ENG-Premier League,2023,shooting
GER,FW,27,1996,9.0,2,29,7,24.1,3.23,0.78,0.07,0.29,14.1,0,0,0,3.7,3.7,0.13,-1.7,-1.7,ENG-Premier League,2023,shooting
MLI,MF,26,1996,23.0,0,24,5,20.8,1.04,0.22,0.0,0.0,25.0,1,0,0,1.4,1.4,0.06,-1.4,-1.4,ENG-Premier League,2023,shooting
ENG,"DF,FW",33,1989,4.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ENG-Premier League,2023,shooting
FRA,GK,30,1993,30.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ENG-Premier League,2023,shooting
ITA,DF,35,1988,7.1,0,1,0,0.0,0.14,0.0,0.0,,12.5,0,0,0,0.0,0.0,0.04,0.0,0.0,ENG-Premier League,2023,shooting
ENG,"DF,FW",23,2000,6.0,0,6,2,33.3,0.99,0.33,0.0,0.0,24.1,0,0,0,0.2,0.2,0.03,-0.2,-0.2,ENG-Premier League,2023,shooting
ENG,FW,31,1992,4.5,1,12,4,33.3,2.67,0.89,0.08,0.25,13.4,0,0,0,1.3,1.3,0.11,-0.3,-0.3,ENG-Premier League,2023,shooting
ENG,FW,18,2004,0.9,0,1,0,0.0,1.13,0.0,0.0,,12.5,0,0,0,0.1,0.1,0.15,-0.1,-0.1,ENG-Premier League,2023,shooting
MEX,MF,25,1997,26.4,1,17,3,17.6,0.64,0.11,0.06,0.33,21.1,0,0,0,1.3,1.3,0.08,-0.3,-0.3,ENG-Premier League,2023,shooting
ITA,DF,28,1994,34.9,1,19,4,21.1,0.55,0.11,0.05,0.25,17.3,0,0,0,1.5,1.5,0.08,-0.5,-0.5,ENG-Premier League,2023,shooting
ENG,FW,18,2004,0.4,1,1,1,100.0,2.65,2.65,1.0,1.0,3.8,0,0,0,0.3,0.3,0.31,0.7,0.7,ENG-Premier League,2023,shooting
ENG,MF,28,1994,33.3,7,42,16,38.1,1.26,0.48,0.12,0.31,22.8,16,2,2,6.0,4.4,0.11,1.0,0.6,ENG-Premier League,2023,shooting
ENG,FW,26,1996,33.5,16,84,37,44.0,2.5,1.1,0.19,0.43,14.2,0,0,0,11.6,11.6,0.14,4.4,4.4,ENG-Premier League,2023,shooting
ENG,DF,18,2004,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ENG-Premier League,2023,shooting
ENG,MF,27,1995,3.4,0,3,2,66.7,0.87,0.58,0.0,0.0,25.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,ENG-Premier League,2023,shooting
GRE,DF,25,1997,16.7,1,12,2,16.7,0.72,0.12,0.08,0.5,9.3,0,0,0,1.2,1.2,0.1,-0.2,-0.2,ENG-Premier League,2023,shooting
FRA,DF,28,1994,31.5,3,16,7,43.8,0.51,0.22,0.19,0.43,9.1,0,0,0,1.8,1.8,0.12,1.2,1.2,ENG-Premier League,2023,shooting
BRA,"FW,MF",25,1997,29.1,4,40,8,20.0,1.37,0.27,0.05,0.25,17.8,1,2,2,5.4,3.8,0.1,-1.4,-1.8,ENG-Premier League,2023,shooting
CIV,"MF,FW",26,1996,1.2,1,4,1,25.0,3.21,0.8,0.25,1.0,12.5,0,0,0,0.4,0.4,0.1,0.6,0.6,ENG-Premier League,2023,shooting
JAM,FW,33,1990,18.8,6,30,14,46.7,1.59,0.74,0.2,0.43,13.1,0,0,0,5.8,5.8,0.19,0.2,0.2,ENG-Premier League,2023,shooting
GHA,"FW,MF",22,2000,27.6,8,67,17,25.4,2.43,0.62,0.12,0.47,18.6,0,0,0,5.1,5.1,0.08,2.9,2.9,ENG-Premier League,2023,shooting
MAR,DF,27,1996,20.6,1,14,3,21.4,0.68,0.15,0.07,0.33,10.8,0,0,0,1.5,1.5,0.11,-0.5,-0.5,ENG-Premier League,2023,shooting
ESP,"MF,FW",27,1996,4.7,0,7,3,42.9,1.48,0.63,0.0,0.0,20.1,0,0,0,0.3,0.3,0.04,-0.3,-0.3,ENG-Premier League,2023,shooting
ALG,"FW,MF",27,1995,6.9,0,18,5,27.8,2.61,0.73,0.0,0.0,19.8,0,0,1,1.8,1.0,0.06,-1.8,-1.0,ENG-Premier League,2023,shooting
GER,"DF,MF",26,1996,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ENG-Premier League,2023,shooting
CZE,MF,28,1995,31.9,7,43,15,34.9,1.35,0.47,0.16,0.47,11.0,0,0,0,6.7,6.7,0.16,0.3,0.3,ENG-Premier League,2023,shooting
CZE,DF,30,1992,34.8,0,8,2,25.0,0.23,0.06,0.0,0.0,22.6,0,0,0,0.3,0.3,0.04,-0.3,-0.3,ENG-Premier League,2023,shooting
POL,GK,38,1985,8.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ENG-Premier League,2023,shooting
MLI,MF,21,2001,9.1,0,11,1,9.1,1.21,0.11,0.0,0.0,27.9,0,0,0,0.3,0.3,0.03,-0.3,-0.3,ENG-Premier League,2023,shooting
ENG,DF,33,1990,24.5,1,16,5,31.3,0.65,0.2,0.06,0.2,11.2,0,0,0,1.5,1.5,0.09,-0.5,-0.5,ENG-Premier League,2023,shooting
ENG,GK,30,1993,4.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ENG-Premier League,2023,shooting
PAR,"MF,DF",18,2005,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ENG-Premier League,2023,shooting
POR,FW,21,2002,2.9,0,7,3,42.9,2.39,1.02,0.0,0.0,13.8,0,0,0,1.0,1.0,0.15,-1.0,-1.0,ENG-Premier League,2023,shooting
ESP,"DF,MF",20,2002,8.2,0,5,0,0.0,0.61,0.0,0.0,,18.4,0,0,0,0.3,0.3,0.06,-0.3,-0.3,ENG-Premier League,2023,shooting
KOR,"FW,MF",27,1996,23.5,12,44,17,38.6,1.87,0.72,0.25,0.65,12.2,0,1,1,7.7,6.9,0.16,4.3,4.1,ENG-Premier League,2023,shooting
FRA,"MF,FW",25,1998,10.6,2,15,5,33.3,1.41,0.47,0.13,0.4,16.5,0,0,0,1.6,1.6,0.1,0.4,0.4,ENG-Premier League,2023,shooting
ESP,MF,29,1994,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ENG-Premier League,2023,shooting
POR,GK,30,1993,33.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ENG-Premier League,2023,shooting
BRA,MF,22,2001,29.4,2,26,7,26.9,0.88,0.24,0.08,0.29,18.5,0,0,0,1.7,1.7,0.07,0.3,0.3,ENG-Premier League,2023,shooting
ENG,FW,17,2006,1.9,0,2,0,0.0,1.03,0.0,0.0,,11.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1,ENG-Premier League,2023,shooting
GAB,MF,29,1993,33.0,4,48,18,37.5,1.46,0.55,0.08,0.22,16.6,0,0,0,4.6,4.6,0.1,-0.6,-0.6,ENG-Premier League,2023,shooting
BRA,"FW,MF",24,1999,27.1,12,72,36,50.0,2.66,1.33,0.15,0.31,18.0,0,1,1,9.5,8.7,0.12,2.5,2.3,ENG-Premier League,2023,shooting
POR,MF,24,1998,2.0,0,1,0,0.0,0.5,0.0,0.0,,15.4,0,0,0,0.1,0.1,0.08,-0.1,-0.1,ENG-Premier League,2023,shooting
IRL,"DF,MF",31,1992,12.8,1,9,3,33.3,0.7,0.23,0.11,0.33,10.8,0,0,0,0.8,0.8,0.09,0.2,0.2,ENG-Premier League,2023,shooting
ENG,DF,26,1997,38.0,2,14,5,35.7,0.37,0.13,0.14,0.4,9.8,0,0,0,1.8,1.8,0.13,0.2,0.2,ENG-Premier League,2023,shooting
IRL,FW,18,2005,2.1,0,3,2,66.7,1.45,0.97,0.0,0.0,16.6,0,0,0,0.3,0.3,0.11,-0.3,-0.3,ENG-Premier League,2023,shooting
POR,"DF,MF",29,1993,34.3,0,17,4,23.5,0.5,0.12,0.0,0.0,19.7,0,0,0,1.3,1.3,0.07,-1.3,-1.3,ENG-Premier League,2023,shooting
ESP,"MF,FW",31,1992,19.4,4,44,16,36.4,2.27,0.83,0.05,0.13,19.1,7,2,2,5.5,3.9,0.09,-1.5,-1.9,ENG-Premier League,2023,shooting
POR,"FW,MF",23,2000,16.8,2,36,12,33.3,2.14,0.71,0.06,0.17,16.8,3,0,0,3.5,3.5,0.1,-1.5,-1.5,ENG-Premier League,2023,shooting
ALG,"DF,MF",22,2001,25.9,2,24,8,33.3,0.93,0.31,0.08,0.25,16.8,0,0,0,3.3,3.3,0.14,-1.3,-1.3,ENG-Premier League,2023,shooting
URU,DF,24,1998,9.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ENG-Premier League,2023,shooting
AUT,FW,26,1997,1.8,2,4,2,50.0,2.17,1.08,0.5,1.0,11.2,0,0,0,1.1,1.1,0.26,0.9,0.9,ENG-Premier League,2023,shooting
ZIM,"MF,FW",19,2003,1.6,0,3,1,33.3,1.86,0.62,0.0,0.0,21.0,0,0,0,0.2,0.2,0.05,-0.2,-0.2,ENG-Premier League,2023,shooting
ENG,MF,21,2001,13.6,0,14,3,21.4,1.03,0.22,0.0,0.0,26.2,2,0,0,0.4,0.4,0.03,-0.4,-0.4,ENG-Premier League,2023,shooting
POR,DF,24,1999,30.8,1,10,5,50.0,0.32,0.16,0.1,0.2,9.9,0,0,0,1.6,1.6,0.16,-0.6,-0.6,ENG-Premier League,2023,shooting
