Saison,Équipe,Nom,Valeur marchande,Valeur marchande (euros)
"2020/2021,fc-chelsea,Emerson,""12,00 mio. €"","
"2020/2021,fc-chelsea,Reece James,""40,00 mio. €"","
2020/2021,fc-chelsea,Tino Livramento,-,
"2020/2021,fc-chelsea,N'Golo Kanté,""55,00 mio. €"","
"2020/2021,fc-chelsea,Jorginho,""40,00 mio. €"","
"2020/2021,fc-chelsea,Ethan Ampadu,""15,00 mio. €"","
"2020/2021,fc-chelsea,Billy Gilmour,""10,00 mio. €"","
"2020/2021,fc-chelsea,Mateo Kovacic,""45,00 mio. €"","
"2020/2021,fc-chelsea,Ross Barkley,""20,00 mio. €"","
"2020/2021,fc-chelsea,Ruben Loftus-Cheek,""18,00 mio. €"","
"2020/2021,fc-chelsea,Conor Gallagher,""15,00 mio. €"","
2020/2021,fc-chelsea,Lewis Bate,-,
"2020/2021,fc-chelsea,Mason Mount,""75,00 mio. €"","
"2020/2021,fc-chelsea,Tino Anjorin,""2,30 mio. €"","
"2020/2021,fc-chelsea,Timo Werner,""65,00 mio. €"","
"2020/2021,fc-chelsea,Callum Hudson-Odoi,""32,00 mio. €"","
"2020/2021,fc-chelsea,Izzy Brown,""1,60 mio. €"","
"2020/2021,fc-chelsea,Charly Musonda Jr.,""1,00 mio. €"","
"2020/2021,fc-chelsea,Christian Pulisic,""50,00 mio. €"","
"2020/2021,fc-chelsea,Hakim Ziyech,""38,00 mio. €"","
"2020/2021,fc-chelsea,Kai Havertz,""70,00 mio. €"","
"2020/2021,fc-chelsea,Tammy Abraham,""38,00 mio. €"","
"2020/2021,fc-chelsea,Michy Batshuayi,""10,00 mio. €"","
"2020/2021,fc-chelsea,Olivier Giroud,""4,00 mio. €"","
"2020/2021,manchester-united,Dean Henderson,""22,00 mio. €"","
"2020/2021,manchester-united,David de Gea,""18,00 mio. €"","
"2020/2021,manchester-united,Sergio Romero,""1,00 mio. €"","
2020/2021,manchester-united,Joel Pereira,300 K €,
2020/2021,manchester-united,Nathan Bishop,300 K €,
2020/2021,manchester-united,Lee Grant,250 K €,
"2020/2021,manchester-united,Harry Maguire,""45,00 mio. €"","
"2020/2021,manchester-united,Victor Lindelöf,""24,00 mio. €"","
"2020/2021,manchester-united,Eric Bailly,""15,00 mio. €"","
"2020/2021,manchester-united,Phil Jones,""5,00 mio. €"","
"2020/2021,manchester-united,Teden Mengi,""1,50 mio. €"","
2020/2021,manchester-united,Will Fish,500 K €,
"2020/2021,manchester-united,Luke Shaw,""35,00 mio. €"","
"2020/2021,manchester-united,Alex Telles,""20,00 mio. €"","
"2020/2021,manchester-united,Brandon Williams,""10,00 mio. €"","
"2020/2021,manchester-united,Aaron Wan-Bissaka,""40,00 mio. €"","
"2020/2021,manchester-united,Diogo Dalot,""10,00 mio. €"","
"2020/2021,manchester-united,Axel Tuanzebe,""8,00 mio. €"","
"2020/2021,manchester-united,Timothy Fosu-Mensah,""4,00 mio. €"","
"2020/2021,manchester-united,Nemanja Matic,""8,00 mio. €"","
"2020/2021,manchester-united,Paul Pogba,""60,00 mio. €"","
"2020/2021,manchester-united,Scott McTominay,""35,00 mio. €"","
"2020/2021,manchester-united,Donny van de Beek,""30,00 mio. €"","
"2020/2021,manchester-united,Fred,""22,00 mio. €"","
