league,season,team,player,nation,pos,age,born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,stat_type
FRA-Ligue 1,2024,Auxerre,Gaëtan Perrin,FRA,"MF,FW",28-308,1996.0,24.0,1,0,0,20,15,7,136,12,26,0,0,0,103,3,12,20.0,misc
FRA-Ligue 1,2024,Auxerre,Gideon Mensah,GHA,DF,26-267,1998.0,20.6,2,0,0,25,23,1,61,40,36,0,1,0,132,14,16,46.7,misc
FRA-Ligue 1,2024,Auxerre,Hamed Junior Traorè,CIV,MF,25-054,2000.0,21.7,5,0,0,30,38,7,40,6,20,1,0,0,97,11,19,36.7,misc
FRA-Ligue 1,2024,Auxerre,Han-Noah Massengo,FRA,MF,23-278,2001.0,6.9,3,0,0,13,13,0,6,9,7,0,0,0,36,3,7,30.0,misc
FRA-Ligue 1,2024,Auxerre,Jubal,BRA,DF,31-225,1993.0,24.4,5,0,0,22,20,1,0,19,34,1,2,0,79,67,22,75.3,misc
FRA-Ligue 1,2024,Auxerre,Ki-Jana Hoever,NED,DF,23-083,2002.0,19.8,3,1,1,19,10,0,65,18,34,0,0,0,81,21,16,56.8,misc
FRA-Ligue 1,2024,Auxerre,Kévin Danois,FRA,MF,20-287,2004.0,15.3,1,0,0,22,18,2,14,19,29,0,0,0,98,13,18,41.9,misc
FRA-Ligue 1,2024,Auxerre,Lassine Sinayoko,MLI,"FW,MF",25-124,1999.0,19.8,4,0,0,26,25,13,22,9,16,2,0,0,56,24,54,30.8,misc
FRA-Ligue 1,2024,Auxerre,Lasso Coulibaly,GHA,"FW,MF",22-174,2002.0,0.4,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,0.0,misc
FRA-Ligue 1,2024,Auxerre,Loïc N'Gatta,FRA,DF,21-121,2003.0,0.1,1,0,0,1,0,0,1,0,1,0,0,0,4,0,0,,misc
FRA-Ligue 1,2024,Auxerre,Paul Joly,FRA,DF,24-308,2000.0,8.8,3,1,0,8,21,0,46,23,27,0,1,0,43,11,7,61.1,misc
FRA-Ligue 1,2024,Auxerre,Rayan Raveloson,MAD,"MF,DF",28-085,1997.0,8.0,3,0,0,9,12,0,8,5,5,0,0,0,44,8,9,47.1,misc
FRA-Ligue 1,2024,Auxerre,Rudy Matondo,FRA,MF,17-029,2008.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,misc
FRA-Ligue 1,2024,Auxerre,Sinaly Diomande,CIV,DF,24-002,2001.0,15.6,3,0,0,16,15,0,1,22,13,0,0,1,55,22,16,57.9,misc
FRA-Ligue 1,2024,Auxerre,Theo Bair,CAN,FW,25-227,1999.0,9.2,1,0,0,19,5,7,7,3,3,0,0,0,11,50,43,53.8,misc
FRA-Ligue 1,2024,Auxerre,Théo De Percin,MTQ,GK,24-068,2001.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,misc
FRA-Ligue 1,2024,Auxerre,Théo Pellenard,FRA,DF,31-038,1994.0,0.5,0,0,0,4,1,0,2,0,2,0,0,0,0,0,0,,misc
FRA-Ligue 1,2024,Auxerre,Yoann Cissé,FRA,MF,20-119,2004.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,misc
FRA-Ligue 1,2024,Brest,Abdallah Sima,SEN,"FW,MF",23-298,2001.0,10.8,2,0,0,12,21,3,16,1,8,0,0,0,54,29,32,47.5,misc
FRA-Ligue 1,2024,Brest,Abdoulaye Niakhate Ndiaye,SEN,DF,23-001,2002.0,14.5,3,0,0,13,10,0,2,7,25,0,1,0,52,38,31,55.1,misc
