league,season,team,player,nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP,stat_type
,,,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,,
ENG-Premier League,2021,Newcastle Utd,Miguel Almirón,PAR,"MF,FW",26,1994,27.0,708,895,79.1,10715,2430,369,422,87.4,245,289,84.8,51,92,55.4,1,2.9,2.2,-1.9,31,64,23,7,90,passing
ENG-Premier League,2021,Newcastle Utd,Paul Dummett,WAL,DF,28,1991,13.9,423,575,73.6,7227,3656,205,235,87.2,163,201,81.1,42,102,41.2,0,0.2,0.3,-0.2,4,34,5,3,29,passing
ENG-Premier League,2021,Newcastle Utd,Ryan Fraser,SCO,"FW,MF",26,1994,10.3,240,372,64.5,3641,1040,132,156,84.6,69,105,65.7,24,72,33.3,2,2.0,1.7,0.0,26,8,11,10,18,passing
ENG-Premier League,2021,Newcastle Utd,Sean Longstaff,ENG,MF,22,1997,15.7,467,591,79.0,8564,2283,212,236,89.8,170,194,87.6,68,120,56.7,1,1.0,0.9,0.0,12,42,1,0,45,passing
ENG-Premier League,2021,Sheffield Utd,Aaron Ramsdale,ENG,GK,22,1998,38.0,569,1153,49.3,22218,19232,71,73,97.3,176,179,98.3,318,889,35.8,0,0.1,0.1,-0.1,2,44,1,0,0,passing
ENG-Premier League,2021,Sheffield Utd,Antwoine Hackford,ENG,DF,16,2004,0.1,1,1,100.0,2,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,passing
ENG-Premier League,2021,Sheffield Utd,Ben Osborn,ENG,"MF,DF",25,1994,17.8,660,859,76.8,8905,3102,420,466,90.1,169,221,76.5,33,85,38.8,0,2.0,2.0,-2.0,17,53,27,11,77,passing
ENG-Premier League,2021,Sheffield Utd,Billy Sharp,ENG,FW,34,1986,8.2,85,123,69.1,1003,155,53,69,76.8,24,33,72.7,0,1,0.0,0,0.5,0.6,-0.5,4,1,3,0,11,passing
ENG-Premier League,2021,Sheffield Utd,Chris Basham,ENG,"DF,MF",32,1988,28.6,939,1153,81.4,14844,4412,493,557,88.5,364,426,85.4,62,116,53.4,1,0.9,0.9,0.1,11,50,14,6,82,passing
ENG-Premier League,2021,Sheffield Utd,Daniel Jebbison,ENG,FW,16,2003,3.2,24,36,66.7,271,32,12,17,70.6,4,6,66.7,1,2,50.0,0,0.0,0.1,0.0,1,2,0,0,1,passing
ENG-Premier League,2021,Sheffield Utd,David McGoldrick,IRL,"FW,MF",32,1987,26.6,697,947,73.6,9806,1823,397,485,81.9,210,280,75.0,37,62,59.7,1,1.1,1.5,-0.1,17,49,21,4,94,passing
ENG-Premier League,2021,Sheffield Utd,Enda Stevens,IRL,DF,30,1990,30.0,1108,1459,75.9,16993,7282,627,703,89.2,375,482,77.8,77,186,41.4,1,1.6,1.7,-0.6,17,88,33,10,124,passing
ENG-Premier League,2021,Sheffield Utd,Ethan Ampadu,WAL,"DF,MF",19,2000,23.2,870,1087,80.0,15680,5536,370,424,87.3,378,446,84.8,102,158,64.6,0,1.2,1.1,-1.2,11,76,14,2,100,passing
ENG-Premier League,2021,Sheffield Utd,Femi Seriki,ENG,MF,18,2002,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,passing
ENG-Premier League,2021,Sheffield Utd,George Baldock,GRE,DF,27,1993,31.0,888,1153,77.0,11908,3743,582,647,90.0,229,305,75.1,36,98,36.7,2,2.9,1.8,-0.9,18,47,23,7,75,passing
ENG-Premier League,2021,Sheffield Utd,Iliman Ndiaye,SEN,MF,20,2000,0.1,3,3,100.0,34,11,2,2,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,0,passing
ENG-Premier League,2021,Sheffield Utd,Jack O'Connell,ENG,DF,26,1994,2.0,56,79,70.9,1001,412,22,23,95.7,25,33,75.8,8,17,47.1,0,0.0,0.0,0.0,0,4,1,0,5,passing
ENG-Premier League,2021,Sheffield Utd,Jack Robinson,ENG,DF,26,1993,9.7,364,470,77.4,6071,2267,165,185,89.2,161,196,82.1,24,61,39.3,1,0.6,0.7,0.4,1,20,1,0,22,passing
ENG-Premier League,2021,Sheffield Utd,Jayden Bogle,ENG,"DF,MF",20,2000,12.3,296,387,76.5,3834,1410,189,214,88.3,71,96,74.0,8,28,28.6,0,0.2,0.4,-0.2,4,14,9,1,24,passing
ENG-Premier League,2021,Sheffield Utd,John Egan,IRL,DF,27,1992,29.2,923,1135,81.3,18683,6732,300,345,87.0,499,557,89.6,116,208,55.8,1,0.6,0.6,0.4,3,67,3,1,60,passing
ENG-Premier League,2021,Sheffield Utd,John Fleck,SCO,MF,28,1991,28.6,971,1245,78.0,14229,4533,540,593,91.1,296,364,81.3,70,172,40.7,2,2.9,2.3,-0.9,33,110,22,5,151,passing
ENG-Premier League,2021,Sheffield Utd,John Lundstram,ENG,MF,26,1994,22.6,859,1082,79.4,13623,3077,417,454,91.9,295,352,83.8,79,168,47.0,2,1.3,1.6,0.7,20,64,14,2,78,passing
ENG-Premier League,2021,Sheffield Utd,Kean Bryan,ENG,DF,23,1996,11.2,333,486,68.5,5901,2652,151,179,84.4,140,183,76.5,32,94,34.0,0,0.6,0.1,-0.6,4,24,3,2,22,passing
ENG-Premier League,2021,Sheffield Utd,Lys Mousset,FRA,"FW,MF",24,1996,3.3,34,46,73.9,476,74,19,22,86.4,11,14,78.6,2,3,66.7,0,0.3,0.1,-0.3,3,4,0,0,3,passing
ENG-Premier League,2021,Sheffield Utd,Max Lowe,ENG,DF,23,1997,6.1,147,221,66.5,2013,664,90,111,81.1,42,64,65.6,7,21,33.3,0,0.1,0.2,-0.1,2,15,5,1,14,passing
ENG-Premier League,2021,Sheffield Utd,Oliver Burke,SCO,FW,23,1997,14.1,178,262,67.9,1997,309,114,150,76.0,31,45,68.9,4,8,50.0,1,2.2,1.5,-1.2,15,5,10,0,19,passing
ENG-Premier League,2021,Sheffield Utd,Oliver McBurnie,SCO,FW,24,1996,14.7,253,447,56.6,3038,853,165,257,64.2,55,107,51.4,8,11,72.7,0,1.1,1.0,-1.1,15,24,14,0,44,passing
ENG-Premier League,2021,Sheffield Utd,Oliver Norwood,NIR,MF,29,1991,24.7,1205,1532,78.7,23516,7230,472,526,89.7,524,607,86.3,183,334,54.8,0,2.0,2.1,-2.0,31,134,27,8,125,passing
ENG-Premier League,2021,Sheffield Utd,Phil Jagielka,ENG,DF,37,1982,5.8,148,209,70.8,3289,1135,39,49,79.6,76,98,77.6,30,51,58.8,0,0.0,0.0,0.0,0,7,0,0,6,passing
ENG-Premier League,2021,Sheffield Utd,Rhian Brewster,ENG,"FW,MF",20,2000,12.5,157,225,69.8,2231,556,98,125,78.4,37,54,68.5,12,22,54.5,0,1.6,0.6,-1.6,11,15,4,3,20,passing
ENG-Premier League,2021,Sheffield Utd,Sander Berge,NOR,MF,22,1998,12.4,378,464,81.5,5944,1357,198,229,86.5,138,154,89.6,28,45,62.2,1,1.1,0.8,-0.1,13,28,4,2,39,passing
ENG-Premier League,2021,Southampton,Alex McCarthy,ENG,GK,30,1989,30.0,700,1080,64.8,16451,11553,216,220,98.2,290,296,98.0,179,538,33.3,0,0.0,0.0,0.0,0,7,2,0,0,passing
ENG-Premier League,2021,Southampton,Alexandre Jankewitz,SUI,MF,18,2001,0.0,2,3,66.7,24,17,1,2,50.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,1,0,1,passing
ENG-Premier League,2021,Southampton,Allan Tchaptchet,FRA,DF,18,2001,0.1,0,1,0.0,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,passing
ENG-Premier League,2021,Southampton,Caleb Watts,AUS,MF,18,2002,0.4,8,13,61.5,135,32,6,9,66.7,1,2,50.0,1,1,100.0,0,0.0,0.0,0.0,0,0,1,1,0,passing
ENG-Premier League,2021,Southampton,Che Adams,SCO,FW,24,1996,29.6,431,622,69.3,6240,1416,228,308,74.0,125,162,77.2,34,49,69.4,5,5.0,3.0,0.0,37,35,23,1,57,passing
ENG-Premier League,2021,Southampton,Dan Nlundulu,ENG,"FW,MF",21,1999,1.2,21,29,72.4,302,44,14,20,70.0,6,6,100.0,1,1,100.0,0,0.0,0.0,0.0,1,1,1,0,4,passing
ENG-Premier League,2021,Southampton,Danny Ings,ENG,FW,28,1992,24.1,337,527,63.9,4427,1222,195,256,76.2,88,140,62.9,17,40,42.5,4,2.1,1.3,1.9,22,29,15,2,52,passing
ENG-Premier League,2021,Southampton,Fraser Forster,ENG,GK,32,1988,8.0,154,273,56.4,3864,2963,40,40,100.0,52,54,96.3,49,162,30.2,0,0.0,0.0,0.0,0,0,0,0,0,passing
ENG-Premier League,2021,Southampton,Ibrahima Diallo,FRA,MF,21,1999,11.3,503,600,83.8,7940,2034,253,286,88.5,193,217,88.9,32,60,53.3,0,0.6,0.4,-0.6,9,46,5,1,46,passing
ENG-Premier League,2021,Southampton,Jack Stephens,ENG,DF,26,1994,17.1,860,1067,80.6,15605,6205,351,403,87.1,415,477,87.0,78,149,52.3,0,0.3,0.3,-0.3,6,67,9,0,65,passing
ENG-Premier League,2021,Southampton,Jake Vokins,ENG,DF,20,2000,0.7,19,23,82.6,370,119,5,7,71.4,13,13,100.0,1,2,50.0,0,0.1,0.1,-0.1,1,0,1,1,3,passing
ENG-Premier League,2021,Southampton,James Ward-Prowse,ENG,MF,25,1994,38.0,2173,2712,80.1,34117,9745,1152,1259,91.5,772,891,86.6,166,409,40.6,7,3.9,4.3,3.1,60,155,22,3,189,passing
ENG-Premier League,2021,Southampton,Jan Bednarek,POL,DF,24,1996,34.4,1734,2115,82.0,29051,11094,792,885,89.5,795,893,89.0,108,269,40.1,1,0.6,1.0,0.4,5,77,3,0,76,passing
