league,season,team,player,nation,pos,age,born,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,stat_type
GER-Bundesliga,2024,Bayern Munich,Leroy Sané,GER,FW,29-090,1996.0,14.6,935,7,49,319,580,96,935,73,27,37.0,40,54.8,618,3815,1726,54,36,28,47,21,756,215,possession
GER-Bundesliga,2024,Bayern Munich,Manuel Neuer,GER,GK,39-015,1986.0,20.0,884,497,829,57,0,0,884,1,1,100.0,0,0.0,589,3063,1750,0,0,0,0,0,652,0,possession
GER-Bundesliga,2024,Bayern Munich,Mathys Tel,FRA,"FW,MF",19-349,2005.0,2.8,157,0,15,55,89,14,157,12,6,50.0,6,50.0,109,745,198,6,7,3,4,6,135,34,possession
GER-Bundesliga,2024,Bayern Munich,Michael Olise,FRA,"FW,MF",23-120,2001.0,20.1,1567,15,83,554,947,111,1567,109,55,50.5,40,36.7,1007,5539,2881,88,49,31,45,24,1234,286,possession
GER-Bundesliga,2024,Bayern Munich,Raphaël Guerreiro,POR,"DF,MF",31-110,1993.0,14.5,1235,27,217,560,465,48,1235,18,8,44.4,9,50.0,659,2854,1404,32,28,5,16,13,920,102,possession
GER-Bundesliga,2024,Bayern Munich,Sacha Boey,FRA,DF,24-210,2000.0,4.7,439,8,49,210,181,8,439,13,4,30.8,8,61.5,281,1201,605,16,8,3,8,5,328,51,possession
GER-Bundesliga,2024,Bayern Munich,Serge Gnabry,GER,"FW,MF",29-271,1995.0,9.7,584,6,53,221,311,70,583,28,12,42.9,14,50.0,355,1984,1002,37,16,16,17,4,448,123,possession
GER-Bundesliga,2024,Bayern Munich,Sven Ulreich,GER,GK,36-251,1988.0,1.0,30,18,27,3,0,0,30,0,0,,0,,13,55,30,0,0,0,0,0,24,0,possession
GER-Bundesliga,2024,Bayern Munich,Thomas Müller,GER,"MF,FW",35-210,1989.0,10.1,577,8,36,218,323,77,577,12,5,41.7,6,50.0,304,1234,679,17,14,4,12,15,477,106,possession
GER-Bundesliga,2024,Bochum,Aliou Badara Baldé,GUI,"MF,FW",22-120,2002.0,1.0,43,0,2,18,25,2,43,9,2,22.2,6,66.7,30,207,129,2,4,0,5,3,29,5,possession
GER-Bundesliga,2024,Bochum,Anthony Losilla,FRA,MF,39-032,1986.0,12.0,507,35,141,285,85,2,507,5,1,20.0,4,80.0,206,732,293,3,3,1,10,7,260,11,possession
GER-Bundesliga,2024,Bochum,Bernardo,BRA,DF,29-332,1995.0,13.8,839,77,398,389,57,18,839,4,2,50.0,2,50.0,408,2105,1028,13,5,1,7,4,443,9,possession
GER-Bundesliga,2024,Bochum,Cristian Gamboa,CRC,DF,35-169,1989.0,1.8,116,5,31,57,30,4,116,1,0,0.0,1,100.0,66,270,105,2,1,1,2,0,64,6,possession
GER-Bundesliga,2024,Bochum,Dani de Wit,NED,"MF,FW",27-073,1998.0,11.8,502,25,89,283,130,33,502,8,1,12.5,5,62.5,221,741,265,4,4,0,10,3,279,34,possession
GER-Bundesliga,2024,Bochum,Erhan Mašović,SRB,DF,26-140,1998.0,10.0,531,74,272,242,19,10,531,1,0,0.0,1,100.0,287,1119,509,1,1,0,5,3,320,3,possession
GER-Bundesliga,2024,Bochum,Felix Passlack,GER,"DF,MF",26-317,1998.0,21.7,1116,67,296,480,348,43,1116,30,12,40.0,16,53.3,499,2502,1142,38,26,10,21,9,558,96,possession
GER-Bundesliga,2024,Bochum,Gerrit Holtmann,PHI,"DF,FW",30-017,1995.0,10.9,481,21,105,162,222,23,481,17,5,29.4,12,70.6,272,1955,963,41,25,7,23,10,285,75,possession
GER-Bundesliga,2024,Bochum,Giorgos Masouras,GRE,"FW,MF",31-100,1994.0,6.8,233,4,27,91,122,33,233,10,4,40.0,6,60.0,124,546,267,15,3,8,16,5,146,44,possession
GER-Bundesliga,2024,Bochum,Ibrahima Sissoko,MLI,MF,27-166,1997.0,24.7,1176,66,314,661,221,39,1176,49,25,51.0,21,42.9,580,3098,1341,31,18,2,32,25,647,54,possession
GER-Bundesliga,2024,Bochum,Ivan Ordets,UKR,DF,32-277,1992.0,17.7,994,150,556,389,50,39,994,1,1,100.0,0,0.0,443,1819,589,2,2,0,6,0,506,4,possession
GER-Bundesliga,2024,Bochum,Jakov Medić,CRO,DF,26-216,1998.0,14.9,752,145,447,274,33,18,752,0,0,,0,,383,1745,785,2,0,0,5,3,414,3,possession
GER-Bundesliga,2024,Bochum,Koji Miyoshi,JPN,"FW,MF",28-016,1997.0,5.0,197,3,31,87,84,21,197,14,5,35.7,9,64.3,117,664,288,11,6,3,14,5,121,23,possession
GER-Bundesliga,2024,Bochum,Lukas Daschner,GER,"MF,FW",26-192,1998.0,4.6,213,5,26,100,90,14,212,15,5,33.3,10,66.7,116,606,260,8,7,1,21,2,131,19,possession
GER-Bundesliga,2024,Bochum,Mats Pannewig,GER,MF,20-165,2004.0,1.5,100,4,28,49,26,6,100,2,0,0.0,2,100.0,52,253,106,2,2,0,6,6,60,10,possession
GER-Bundesliga,2024,Bochum,Matúš Bero,SVK,MF,29-217,1995.0,24.0,1318,54,220,609,508,45,1318,50,15,30.0,35,70.0,587,2516,1012,21,29,5,42,18,659,87,possession
GER-Bundesliga,2024,Bochum,Maximilian Wittek,GER,DF,29-233,1995.0,24.1,1515,91,442,711,374,14,1515,28,12,42.9,12,42.9,607,2742,1382,37,33,4,30,10,674,68,possession
GER-Bundesliga,2024,Bochum,Moritz Broschinski,GER,"FW,MF",24-200,2000.0,14.2,493,18,48,199,255,60,493,41,9,22.0,31,75.6,280,1612,706,31,18,11,63,29,347,117,possession
GER-Bundesliga,2024,Bochum,Moritz-Broni Kwarteng,GHA,"MF,FW",26-348,1998.0,1.9,104,1,12,48,45,3,104,7,6,85.7,1,14.3,63,303,128,4,1,1,6,2,77,16,possession
GER-Bundesliga,2024,Bochum,Myron Boadu,NED,FW,24-087,2001.0,7.5,168,5,10,71,90,32,167,9,3,33.3,6,66.7,99,496,200,6,7,4,17,5,119,40,possession
GER-Bundesliga,2024,Bochum,Patrick Drewes,GER,GK,32-066,1993.0,21.0,913,709,902,11,0,0,913,0,0,,0,,479,2471,1284,0,0,0,0,0,425,0,possession
GER-Bundesliga,2024,Bochum,Philipp Hofmann,GER,FW,32-012,1993.0,22.7,827,33,78,489,264,85,827,19,10,52.6,9,47.4,438,1437,404,8,12,2,52,27,649,99,possession
GER-Bundesliga,2024,Bochum,Samuel Bamba,GER,"FW,DF",21-057,2004.0,0.2,21,0,0,10,12,1,21,3,1,33.3,2,66.7,16,103,41,2,1,1,3,0,17,6,possession
GER-Bundesliga,2024,Bochum,Tim Oermann,GER,DF,21-187,2003.0,18.9,845,78,345,442,65,2,845,11,4,36.4,6,54.5,419,1990,846,9,7,3,19,8,444,11,possession
GER-Bundesliga,2024,Bochum,Timo Horn,GER,GK,31-334,1993.0,7.0,304,210,297,7,0,0,304,0,0,,0,,167,877,529,0,0,0,0,0,147,0,possession
GER-Bundesliga,2024,Bochum,Tom Krauß,GER,MF,23-293,2001.0,7.5,468,14,109,267,98,3,468,14,7,50.0,7,50.0,266,1349,626,12,11,1,16,6,288,14,possession
GER-Bundesliga,2024,Dortmund,Alexander Meyer,GER,GK,33-363,1991.0,2.0,87,64,86,1,0,0,87,0,0,,0,,51,295,130,0,0,0,0,0,42,0,possession
GER-Bundesliga,2024,Dortmund,Almugera Kabar,GER,DF,18-309,2006.0,1.5,114,0,27,68,20,1,114,2,1,50.0,0,0.0,71,285,101,5,3,0,0,3,78,2,possession
GER-Bundesliga,2024,Dortmund,Ayman Azhil,MAR,MF,24-001,2001.0,0.3,9,0,2,4,3,0,9,1,0,0.0,1,100.0,4,12,0,0,0,0,1,1,5,1,possession
GER-Bundesliga,2024,Dortmund,Carney Chukwuemeka,ENG,MF,21-173,2003.0,1.5,87,1,4,41,43,11,87,8,4,50.0,2,25.0,57,279,163,7,6,3,10,6,61,12,possession
GER-Bundesliga,2024,Dortmund,Cole Campbell,USA,"MF,FW",19-050,2006.0,0.2,21,2,4,9,8,0,21,1,0,0.0,1,100.0,10,57,34,1,0,0,3,0,13,1,possession
GER-Bundesliga,2024,Dortmund,Daniel Svensson,SWE,"DF,FW",23-058,2002.0,2.7,182,8,48,81,53,8,182,1,0,0.0,0,0.0,90,398,224,5,1,1,2,2,107,12,possession
GER-Bundesliga,2024,Dortmund,Donyell Malen,NED,"FW,MF",26-092,1999.0,6.8,278,3,23,84,175,46,278,32,11,34.4,19,59.4,187,911,439,23,9,17,16,9,214,75,possession
GER-Bundesliga,2024,Dortmund,Emre Can,GER,"DF,MF",31-089,1994.0,20.7,1979,135,724,1113,152,11,1977,23,14,60.9,7,30.4,1303,6044,3233,15,27,1,16,8,1471,9,possession
GER-Bundesliga,2024,Dortmund,Felix Nmecha,GER,MF,24-183,2000.0,12.8,842,48,179,539,135,5,842,17,10,58.8,4,23.5,487,2327,926,10,8,1,12,12,602,13,possession
GER-Bundesliga,2024,Dortmund,Gio Reyna,USA,MF,22-149,2002.0,3.6,223,7,24,107,93,5,223,7,4,57.1,3,42.9,122,520,227,5,3,0,9,7,152,18,possession
GER-Bundesliga,2024,Dortmund,Gregor Kobel,SUI,GK,27-126,1997.0,26.0,1057,782,1048,9,0,0,1057,2,2,100.0,0,0.0,683,3286,1911,0,0,0,0,0,645,0,possession
GER-Bundesliga,2024,Dortmund,Jamie Gittens,ENG,"FW,MF",20-246,2004.0,18.1,793,8,76,263,478,105,793,160,76,47.5,65,40.6,563,4740,2659,106,50,59,46,29,588,161,possession
GER-Bundesliga,2024,Dortmund,Julian Brandt,GER,MF,28-344,1996.0,21.0,1212,12,132,571,523,66,1212,42,15,35.7,24,57.1,706,3290,1567,46,36,13,42,27,903,170,possession
GER-Bundesliga,2024,Dortmund,Julian Ryerson,NOR,DF,27-145,1997.0,20.0,1401,29,329,704,387,21,1401,45,23,51.1,18,40.0,840,4576,2303,51,31,6,32,15,907,108,possession
GER-Bundesliga,2024,Dortmund,Julien Duranville,BEL,"FW,MF",18-341,2006.0,2.9,126,2,8,36,84,13,126,28,12,42.9,10,35.7,94,723,369,14,8,7,6,15,100,32,possession
GER-Bundesliga,2024,Dortmund,Karim Adeyemi,GER,"FW,MF",23-083,2002.0,12.9,529,8,42,198,297,69,529,74,35,47.3,36,48.6,348,2654,1297,56,30,32,31,26,388,127,possession
GER-Bundesliga,2024,Dortmund,Kjell-Arik Wätjen,GER,MF,19-054,2006.0,0.2,12,2,5,4,3,0,12,0,0,,0,,4,14,4,0,0,0,2,0,5,0,possession
GER-Bundesliga,2024,Dortmund,Marcel Sabitzer,AUT,"MF,FW",31-025,1994.0,16.4,894,37,125,516,258,28,894,12,4,33.3,8,66.7,487,2105,1028,20,28,2,21,12,609,64,possession
GER-Bundesliga,2024,Dortmund,Maximilian Beier,GER,"FW,MF",22-176,2002.0,16.4,580,16,71,231,286,84,580,48,20,41.7,26,54.2,314,1338,656,21,10,9,36,26,391,116,possession
GER-Bundesliga,2024,Dortmund,Nico Schlotterbeck,GER,DF,25-131,1999.0,22.0,2297,193,831,1338,150,21,2297,22,14,63.6,5,22.7,1467,6646,4107,37,30,1,12,10,1674,14,possession
GER-Bundesliga,2024,Dortmund,Niklas Süle,GER,DF,29-220,1995.0,6.3,617,70,276,314,28,7,617,3,2,66.7,1,33.3,383,1633,866,6,3,0,1,0,480,6,possession
GER-Bundesliga,2024,Dortmund,Pascal Groß,GER,"MF,DF",33-300,1991.0,22.1,1922,48,364,1026,545,43,1922,8,2,25.0,6,75.0,1019,4445,2078,35,37,4,22,8,1344,108,possession
GER-Bundesliga,2024,Dortmund,Ramy Bensebaini,ALG,DF,29-360,1995.0,17.4,1284,74,356,654,284,32,1284,16,5,31.3,9,56.3,634,2484,1133,19,22,2,14,5,751,55,possession
GER-Bundesliga,2024,Dortmund,Salih Özcan,TUR,"MF,DF",27-090,1998.0,3.0,232,11,56,125,52,7,232,2,2,100.0,0,0.0,100,382,163,3,3,1,2,0,123,2,possession
GER-Bundesliga,2024,Dortmund,Serhou Guirassy,GUI,FW,29-030,1996.0,23.0,728,33,57,375,300,128,726,25,7,28.0,13,52.0,398,1633,555,16,14,10,60,25,571,103,possession
GER-Bundesliga,2024,Dortmund,Waldemar Anton,GER,DF,28-265,1996.0,15.7,1645,119,569,927,155,26,1645,22,19,86.4,2,9.1,1083,5427,2731,28,23,0,18,8,1224,24,possession
GER-Bundesliga,2024,Dortmund,Yan Couto,BRA,"DF,FW",22-312,2002.0,9.1,798,26,216,371,218,14,798,29,11,37.9,16,55.2,459,2670,1356,43,29,5,13,5,517,77,possession
GER-Bundesliga,2024,Dortmund,Yannik Lührs,GER,DF,21-214,2003.0,1.4,176,11,89,84,4,0,176,0,0,,0,,131,536,147,2,0,0,0,1,140,1,possession
GER-Bundesliga,2024,Eint Frankfurt,Ansgar Knauff,GER,"MF,DF",23-091,2002.0,13.8,629,18,128,252,260,56,629,48,23,47.9,23,47.9,353,2105,1233,42,28,15,35,12,379,118,possession
GER-Bundesliga,2024,Eint Frankfurt,Arthur Theate,BEL,DF,24-321,2000.0,24.5,1787,201,747,890,165,25,1787,11,9,81.8,2,18.2,1071,5108,2765,42,30,1,16,6,1156,22,possession
GER-Bundesliga,2024,Eint Frankfurt,Aurele Amenda,SUI,DF,21-254,2003.0,0.9,59,11,24,31,4,1,59,1,1,100.0,0,0.0,31,122,49,1,0,0,0,0,35,1,possession
GER-Bundesliga,2024,Eint Frankfurt,Can Uzun,TUR,"MF,FW",19-151,2005.0,6.3,338,4,31,155,154,29,338,16,8,50.0,6,37.5,226,1097,413,9,11,4,17,14,272,39,possession
GER-Bundesliga,2024,Eint Frankfurt,Ellyes Skhiri,TUN,MF,29-336,1995.0,19.1,1225,70,351,715,162,16,1225,13,10,76.9,2,15.4,676,2948,1330,12,12,1,23,6,834,23,possession
GER-Bundesliga,2024,Eint Frankfurt,Elye Wahi,FRA,"FW,MF",22-099,2003.0,1.8,50,1,4,16,31,9,50,7,5,71.4,1,14.3,32,166,51,3,1,2,6,1,37,15,possession
GER-Bundesliga,2024,Eint Frankfurt,Fares Chaïbi,ALG,"MF,FW",22-134,2002.0,8.5,432,26,86,165,185,27,432,8,5,62.5,2,25.0,207,992,434,12,11,4,15,4,258,51,possession
GER-Bundesliga,2024,Eint Frankfurt,Hugo Ekitike,FRA,FW,22-295,2002.0,22.8,852,25,64,353,459,160,849,99,43,43.4,52,52.5,515,3599,1894,73,49,39,78,24,622,170,possession
GER-Bundesliga,2024,Eint Frankfurt,Hugo Larsson,SWE,MF,20-288,2004.0,21.4,1192,65,337,648,214,20,1192,13,6,46.2,7,53.8,651,2574,1106,13,17,2,16,7,822,29,possession
GER-Bundesliga,2024,Eint Frankfurt,Igor Matanovic,CRO,FW,22-011,2003.0,3.5,133,8,17,73,44,17,133,5,3,60.0,2,40.0,78,363,118,2,3,2,21,9,103,19,possession
GER-Bundesliga,2024,Eint Frankfurt,Jean Mattéo Bahoya,FRA,"MF,FW",19-339,2005.0,6.8,335,5,56,144,141,25,335,26,16,61.5,9,34.6,200,1260,575,16,13,7,12,12,216,73,possession
GER-Bundesliga,2024,Eint Frankfurt,Junior Dina Ebimbe,FRA,"MF,FW",24-141,2000.0,3.3,161,5,27,74,62,16,161,11,5,45.5,5,45.5,82,408,197,5,6,3,8,4,105,27,possession
GER-Bundesliga,2024,Eint Frankfurt,Kauã Santos,BRA,GK,22-000,2003.0,7.5,288,244,287,1,0,0,288,0,0,,0,,174,798,533,0,0,0,0,0,136,0,possession
GER-Bundesliga,2024,Eint Frankfurt,Kevin Trapp,GER,GK,34-277,1990.0,20.5,811,703,809,2,0,0,811,0,0,,0,,539,2424,1354,0,0,0,1,0,450,0,possession
GER-Bundesliga,2024,Eint Frankfurt,Mahmoud Dahoud,GER,MF,29-100,1996.0,4.0,263,8,65,150,49,3,263,3,1,33.3,2,66.7,160,521,211,1,6,0,4,2,192,6,possession
GER-Bundesliga,2024,Eint Frankfurt,Mario Götze,GER,"MF,FW",32-312,1992.0,16.9,969,12,156,478,347,43,969,23,9,39.1,12,52.2,605,2435,1203,29,23,6,26,27,693,96,possession
GER-Bundesliga,2024,Eint Frankfurt,Michy Batshuayi,BEL,"FW,DF",31-191,1993.0,2.3,69,1,7,39,24,11,69,3,2,66.7,1,33.3,38,211,87,3,2,1,7,1,46,10,possession
GER-Bundesliga,2024,Eint Frankfurt,Nathaniel Brown,GER,"DF,MF",21-299,2003.0,16.4,960,41,272,391,309,42,960,25,8,32.0,16,64.0,493,2635,1386,34,21,5,22,9,534,95,possession
GER-Bundesliga,2024,Eint Frankfurt,Niels Nkounkou,FRA,"DF,MF",24-161,2000.0,4.2,293,16,92,132,77,8,293,16,7,43.8,7,43.8,178,977,539,17,14,1,7,4,174,21,possession
GER-Bundesliga,2024,Eint Frankfurt,Nnamdi Collins,GER,DF,21-091,2004.0,13.7,921,71,337,461,127,16,921,27,10,37.0,15,55.6,536,2847,1233,25,19,5,12,10,587,34,possession
GER-Bundesliga,2024,Eint Frankfurt,Omar Marmoush,EGY,FW,26-063,1999.0,16.1,671,1,40,230,421,109,669,101,46,45.5,46,45.5,442,3318,1810,73,53,45,66,37,483,125,possession
GER-Bundesliga,2024,Eint Frankfurt,Oscar Højlund,DEN,MF,20-097,2005.0,6.8,430,8,104,256,73,7,430,11,8,72.7,3,27.3,257,1248,609,17,8,5,17,10,293,7,possession
GER-Bundesliga,2024,Eint Frankfurt,Rasmus Kristensen,DEN,DF,27-274,1997.0,23.3,1658,112,526,743,403,48,1658,34,20,58.8,11,32.4,938,4084,2182,47,32,7,32,13,1031,122,possession
GER-Bundesliga,2024,Eint Frankfurt,Robin Koch,GER,DF,28-268,1996.0,22.7,1703,311,876,782,50,22,1703,3,1,33.3,2,66.7,1004,4301,2287,8,6,0,9,3,1118,3,possession
GER-Bundesliga,2024,Eint Frankfurt,Timothy Chandler,USA,DF,35-013,1990.0,0.2,25,1,6,11,8,1,25,1,0,0.0,1,100.0,13,59,37,1,2,0,0,0,16,2,possession
GER-Bundesliga,2024,Eint Frankfurt,Tuta,BRA,"DF,MF",25-281,1999.0,20.6,1453,185,683,699,76,14,1453,15,11,73.3,4,26.7,839,3819,1586,9,6,2,20,7,925,6,possession
GER-Bundesliga,2024,Freiburg,Christian Günter,GER,DF,32-042,1993.0,24.5,1246,58,346,496,408,26,1246,9,3,33.3,6,66.7,527,1985,908,18,17,6,13,4,728,106,possession
GER-Bundesliga,2024,Freiburg,Eren Dinkçi,GER,"MF,FW",23-119,2001.0,13.3,552,6,71,259,233,36,552,39,16,41.0,23,59.0,269,1733,941,33,26,9,31,12,347,71,possession
GER-Bundesliga,2024,Freiburg,Florent Muslija,KVX,"FW,MF",26-279,1998.0,1.9,121,3,17,42,62,3,121,7,4,57.1,2,28.6,83,435,191,5,7,2,7,1,86,14,possession
GER-Bundesliga,2024,Freiburg,Florian Müller,GER,GK,27-149,1997.0,4.4,187,142,182,5,0,0,187,0,0,,0,,108,587,349,0,0,0,0,0,97,0,possession
GER-Bundesliga,2024,Freiburg,Ifechukwu Ogbus,SUI,DF,19-115,2005.0,0.2,15,1,7,4,4,0,15,0,0,,0,,4,8,2,0,0,0,1,0,3,0,possession
GER-Bundesliga,2024,Freiburg,Jan-Niklas Beste,GER,"FW,MF",26-097,1999.0,1.4,82,1,11,36,37,7,82,7,2,28.6,5,71.4,46,260,138,4,5,3,4,2,52,15,possession
GER-Bundesliga,2024,Freiburg,Johan Manzambi,SUI,"MF,FW",19-179,2005.0,0.4,45,1,10,25,11,0,45,0,0,,0,,24,132,82,1,3,0,1,1,27,2,possession
