league,season,team,player,nation,pos,age,born,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,stat_type
GER-Bundesliga,2023,Bayern Munich,Sacha Boey,FRA,DF,22.0,2000.0,1.2,0,1,0,0.0,0.83,0.0,0.0,,8.4,0,0,0,0.2,0.2,0.24,-0.2,-0.2,shooting
GER-Bundesliga,2023,Bayern Munich,Serge Gnabry,GER,"FW,MF",28.0,1995.0,4.8,3,17,6,35.3,3.54,1.25,0.18,0.5,12.9,0,0,0,2.4,2.4,0.15,0.6,0.6,shooting
GER-Bundesliga,2023,Bayern Munich,Sven Ulreich,GER,GK,34.0,1988.0,11.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
GER-Bundesliga,2023,Bayern Munich,Thomas Müller,GER,"MF,FW",33.0,1989.0,18.4,5,36,11,30.6,1.96,0.6,0.14,0.45,11.9,0,0,0,5.7,5.7,0.17,-0.7,-0.7,shooting
GER-Bundesliga,2023,Bochum,Andreas Luthe,GER,GK,36.0,1987.0,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
GER-Bundesliga,2023,Bochum,Anthony Losilla,FRA,MF,37.0,1986.0,28.6,1,28,6,21.4,0.98,0.21,0.04,0.17,18.0,0,0,0,2.3,2.3,0.08,-1.3,-1.3,shooting
GER-Bundesliga,2023,Bochum,Bernardo,BRA,DF,28.0,1995.0,32.5,1,29,8,27.6,0.89,0.25,0.03,0.13,12.4,0,0,0,1.9,1.9,0.07,-0.9,-0.9,shooting
GER-Bundesliga,2023,Bochum,Christopher Antwi-Adjei,GHA,"FW,MF",29.0,1994.0,13.5,2,29,9,31.0,2.15,0.67,0.07,0.22,18.2,0,0,0,2.2,2.2,0.08,-0.2,-0.2,shooting
GER-Bundesliga,2023,Bochum,Cristian Gamboa,CRC,DF,33.0,1989.0,13.2,0,6,1,16.7,0.45,0.08,0.0,0.0,31.2,0,0,0,0.1,0.1,0.01,-0.1,-0.1,shooting
GER-Bundesliga,2023,Bochum,Danilo Soares,BRA,DF,31.0,1991.0,3.9,0,3,0,0.0,0.77,0.0,0.0,,28.4,0,0,0,0.0,0.0,0.01,0.0,0.0,shooting
GER-Bundesliga,2023,Bochum,Erhan Mašović,SRB,"DF,MF",24.0,1998.0,24.7,0,17,3,17.6,0.69,0.12,0.0,0.0,21.2,0,0,0,1.1,1.1,0.06,-1.1,-1.1,shooting
GER-Bundesliga,2023,Bochum,Felix Passlack,GER,DF,25.0,1998.0,10.7,2,14,3,21.4,1.31,0.28,0.14,0.67,21.0,0,0,0,0.9,0.9,0.06,1.1,1.1,shooting
GER-Bundesliga,2023,Bochum,Gonçalo Paciência,POR,"FW,MF",28.0,1994.0,7.2,3,38,12,31.6,5.26,1.66,0.08,0.25,17.9,1,0,0,3.0,3.0,0.08,0.0,0.0,shooting
GER-Bundesliga,2023,Bochum,Ivan Ordets,UKR,DF,31.0,1992.0,20.9,1,16,6,37.5,0.77,0.29,0.06,0.17,10.7,0,0,0,1.3,1.3,0.08,-0.3,-0.3,shooting
GER-Bundesliga,2023,Bochum,Keven Schlotterbeck,GER,DF,26.0,1997.0,24.3,5,27,12,44.4,1.11,0.49,0.19,0.42,12.9,0,0,0,2.0,2.0,0.08,3.0,3.0,shooting
GER-Bundesliga,2023,Bochum,Kevin Stöger,AUT,MF,29.0,1993.0,29.6,7,71,14,19.7,2.4,0.47,0.04,0.21,25.7,13,4,4,6.2,3.1,0.04,0.8,-0.1,shooting
GER-Bundesliga,2023,Bochum,Lukas Daschner,GER,"MF,FW",24.0,1998.0,6.0,1,13,5,38.5,2.18,0.84,0.08,0.2,16.7,0,0,0,2.3,2.3,0.18,-1.3,-1.3,shooting
GER-Bundesliga,2023,Bochum,Manuel Riemann,GER,GK,34.0,1988.0,33.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
GER-Bundesliga,2023,Bochum,Matúš Bero,SVK,"MF,FW",27.0,1995.0,18.5,1,30,6,20.0,1.63,0.33,0.03,0.17,19.9,0,0,0,2.9,2.9,0.1,-1.9,-1.9,shooting
GER-Bundesliga,2023,Bochum,Maximilian Wittek,GER,"DF,FW",27.0,1995.0,11.9,3,26,8,30.8,2.19,0.67,0.12,0.38,25.5,3,0,0,1.3,1.3,0.05,1.7,1.7,shooting
GER-Bundesliga,2023,Bochum,Moritz Broschinski,GER,FW,22.0,2000.0,13.9,2,26,7,26.9,1.88,0.51,0.08,0.29,15.4,0,0,0,2.4,2.4,0.09,-0.4,-0.4,shooting
GER-Bundesliga,2023,Bochum,Moritz-Broni Kwarteng,GHA,FW,25.0,1998.0,3.1,0,14,3,21.4,4.48,0.96,0.0,0.0,17.5,1,0,0,1.0,1.0,0.07,-1.0,-1.0,shooting
GER-Bundesliga,2023,Bochum,Noah Loosli,SUI,DF,26.0,1997.0,3.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
GER-Bundesliga,2023,Bochum,Patrick Osterhage,GER,MF,23.0,2000.0,20.7,2,22,3,13.6,1.06,0.15,0.09,0.67,19.5,0,0,0,1.4,1.4,0.06,0.6,0.6,shooting
GER-Bundesliga,2023,Bochum,Philipp Förster,GER,"MF,FW",28.0,1995.0,4.3,0,6,1,16.7,1.4,0.23,0.0,0.0,19.8,0,0,0,0.5,0.5,0.08,-0.5,-0.5,shooting
GER-Bundesliga,2023,Bochum,Philipp Hofmann,GER,FW,30.0,1993.0,17.5,4,39,15,38.5,2.23,0.86,0.1,0.27,11.7,0,0,0,4.8,4.8,0.12,-0.8,-0.8,shooting
GER-Bundesliga,2023,Bochum,Simon Zoller,GER,"FW,MF",32.0,1991.0,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
GER-Bundesliga,2023,Bochum,Takuma Asano,JPN,"FW,MF",28.0,1994.0,22.1,6,65,23,35.4,2.95,1.04,0.09,0.26,14.9,0,0,0,7.9,7.9,0.12,-1.9,-1.9,shooting
