league,season,team,player,nation,pos,age,born,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,stat_type
ESP-La Liga,2024,Osasuna,Jorge Herrando,ESP,DF,24-042,2001.0,11.2,607,73,314,270,25,14,607,1,1,100.0,0,0.0,349,1562,813,5,1,0,2,1,396,1,possession
ESP-La Liga,2024,Osasuna,José Arnaiz,ESP,"MF,FW",29-361,1995.0,1.3,94,3,16,38,42,7,94,5,1,20.0,2,40.0,45,234,114,4,2,1,4,4,46,13,possession
ESP-La Liga,2024,Osasuna,Juan Cruz Armada,ESP,DF,32-257,1992.0,12.7,600,57,216,294,94,4,600,4,1,25.0,2,50.0,229,841,493,8,7,2,8,3,276,11,possession
ESP-La Liga,2024,Osasuna,Kike Barja,ESP,"FW,MF",28-010,1997.0,2.7,126,1,21,34,72,14,126,9,5,55.6,3,33.3,75,614,287,18,8,3,14,4,84,30,possession
ESP-La Liga,2024,Osasuna,Lucas Torró,ESP,MF,30-266,1994.0,25.5,1376,81,374,824,193,43,1376,7,5,71.4,2,28.6,581,2239,690,6,12,0,37,19,790,24,possession
ESP-La Liga,2024,Osasuna,Moi Gómez,ESP,"MF,FW",30-292,1994.0,8.1,508,5,87,299,126,7,508,25,13,52.0,11,44.0,311,1350,436,11,8,1,8,8,348,14,possession
ESP-La Liga,2024,Osasuna,Nacho Vidal,ESP,DF,30-077,1995.0,1.4,65,5,23,24,19,0,65,2,2,100.0,0,0.0,24,129,77,3,3,0,2,2,33,5,possession
ESP-La Liga,2024,Osasuna,Pablo Ibáñez,ESP,MF,26-203,1998.0,9.7,461,14,78,277,113,23,461,16,7,43.8,7,43.8,245,1447,613,11,10,2,12,9,282,20,possession
ESP-La Liga,2024,Osasuna,Raúl,ESP,"FW,MF",24-159,2000.0,7.5,234,7,17,104,119,33,234,16,10,62.5,5,31.3,139,696,274,10,11,4,20,13,177,43,possession
ESP-La Liga,2024,Osasuna,Rubén García,ESP,"FW,MF",31-271,1993.0,21.3,1149,28,168,518,475,49,1149,33,11,33.3,18,54.5,609,2692,1062,27,34,10,30,17,754,127,possession
ESP-La Liga,2024,Osasuna,Rubén Peña,ESP,"FW,DF",33-267,1991.0,7.4,351,12,51,141,160,18,351,26,10,38.5,13,50.0,192,936,468,15,9,4,20,10,214,46,possession
ESP-La Liga,2024,Osasuna,Sergio Herrera,ESP,GK,31-310,1993.0,29.0,1077,867,1067,10,0,0,1077,0,0,,0,,558,3097,1693,0,0,0,2,0,425,0,possession
ESP-La Liga,2024,Rayo Vallecano,Abdul Mumin,GHA,DF,26-309,1998.0,22.4,1351,253,874,447,39,13,1351,10,5,50.0,4,40.0,725,3467,1525,12,5,2,16,5,819,6,possession
ESP-La Liga,2024,Rayo Vallecano,Adri Embarba,ESP,"FW,MF",32-339,1992.0,15.3,715,14,85,278,368,39,715,43,17,39.5,21,48.8,393,2374,1098,41,31,11,47,20,450,99,possession
ESP-La Liga,2024,Rayo Vallecano,Alfonso Espino,URU,DF,33-096,1992.0,6.4,429,26,154,178,101,8,429,8,4,50.0,3,37.5,191,769,420,7,8,4,6,7,213,19,possession
ESP-La Liga,2024,Rayo Vallecano,Andrei Ratiu,ROU,DF,26-295,1998.0,27.2,1761,69,503,737,547,52,1761,106,58,54.7,42,39.6,948,6105,3119,95,71,24,47,43,1090,124,possession
ESP-La Liga,2024,Rayo Vallecano,Aridane Hernández,ESP,DF,36-019,1989.0,6.4,391,78,208,173,10,6,391,3,1,33.3,1,33.3,206,993,402,2,0,0,4,1,221,0,possession
ESP-La Liga,2024,Rayo Vallecano,Augusto Batalla,ARG,GK,28-346,1996.0,25.0,983,807,968,15,0,0,983,5,5,100.0,0,0.0,583,2792,1714,0,0,0,1,0,476,0,possession
ESP-La Liga,2024,Rayo Vallecano,Cárdenas,ESP,GK,28-014,1997.0,5.0,151,133,150,1,0,0,151,0,0,,0,,70,361,193,0,0,0,0,0,54,0,possession
ESP-La Liga,2024,Rayo Vallecano,Etienne Eto'o,CMR,FW,22-236,2002.0,0.4,13,1,1,5,7,2,13,2,0,0.0,2,100.0,4,9,0,0,0,0,2,0,9,1,possession
ESP-La Liga,2024,Rayo Vallecano,Florian Lejeune,FRA,DF,33-326,1991.0,28.9,1929,238,1031,819,87,27,1929,5,4,80.0,1,20.0,1124,5473,3273,18,11,1,12,3,1244,5,possession
ESP-La Liga,2024,Rayo Vallecano,Gerard Gumbau,ESP,MF,30-114,1994.0,6.8,362,16,77,191,95,8,362,4,2,50.0,2,50.0,190,621,251,2,6,0,5,2,233,19,possession
ESP-La Liga,2024,Rayo Vallecano,Isaac Palazón Camacho,ESP,"MF,FW",30-105,1994.0,17.9,925,9,97,413,423,29,925,53,21,39.6,26,49.1,495,2557,980,23,22,7,32,34,645,88,possession
ESP-La Liga,2024,Rayo Vallecano,Iván Balliu,ALB,DF,33-100,1992.0,9.0,490,29,167,221,107,6,490,4,2,50.0,1,25.0,206,662,285,7,5,2,8,1,244,14,possession
ESP-La Liga,2024,Rayo Vallecano,James Rodríguez,COL,"MF,FW",33-273,1991.0,1.6,116,1,16,51,50,4,116,7,5,71.4,2,28.6,71,244,105,3,4,1,5,0,85,7,possession
ESP-La Liga,2024,Rayo Vallecano,Jorge de Frutos,ESP,"FW,MF",28-050,1997.0,22.1,837,18,135,264,461,83,837,82,26,31.7,48,58.5,502,3389,1825,67,45,23,59,31,569,175,possession
ESP-La Liga,2024,Rayo Vallecano,Pathé Ciss,SEN,MF,31-026,1994.0,17.5,1085,65,295,664,134,15,1085,21,12,57.1,8,38.1,552,2310,1199,15,21,1,12,16,664,12,possession
ESP-La Liga,2024,Rayo Vallecano,Pedro Díaz,ESP,MF,26-310,1998.0,8.5,464,6,82,222,168,10,464,18,11,61.1,6,33.3,244,1272,648,14,16,1,11,7,288,29,possession
ESP-La Liga,2024,Rayo Vallecano,Pelayo Fernandez,ESP,DF,21-347,2003.0,1.0,33,7,23,11,0,0,33,0,0,,0,,12,57,35,0,0,0,0,1,12,0,possession
ESP-La Liga,2024,Rayo Vallecano,Pep Chavarría,ESP,DF,27-001,1998.0,22.2,1467,81,487,611,382,25,1467,21,7,33.3,11,52.4,653,3101,1625,41,25,5,32,5,803,105,possession
ESP-La Liga,2024,Rayo Vallecano,Randy Nteka,ANG,FW,27-126,1997.0,10.8,322,21,41,135,148,34,322,12,4,33.3,7,58.3,136,558,196,9,3,5,26,15,211,33,possession
ESP-La Liga,2024,Rayo Vallecano,Raúl de Tomás,ESP,DF,30-176,1994.0,0.2,5,0,0,4,1,0,5,0,0,,0,,4,16,0,0,0,0,1,1,6,0,possession
ESP-La Liga,2024,Rayo Vallecano,Sergi Guardiola,ESP,FW,33-317,1991.0,3.5,107,3,9,42,56,18,107,2,0,0.0,2,100.0,70,211,85,1,3,1,8,4,82,17,possession
ESP-La Liga,2024,Rayo Vallecano,Sergio Camello,ESP,FW,24-060,2001.0,12.6,398,17,39,173,196,46,398,23,13,56.5,8,34.8,222,1128,554,20,16,8,38,23,308,68,possession
ESP-La Liga,2024,Rayo Vallecano,Unai López,ESP,MF,29-163,1995.0,14.6,1068,34,243,617,217,16,1068,12,8,66.7,2,16.7,610,2569,1076,12,18,1,21,14,780,31,possession
ESP-La Liga,2024,Rayo Vallecano,Álvaro García,ESP,"FW,MF",32-166,1992.0,21.3,907,30,180,273,461,88,907,22,7,31.8,13,59.1,490,2404,1198,56,23,19,45,12,577,184,possession
ESP-La Liga,2024,Rayo Vallecano,Óscar Trejo,ARG,MF,36-350,1988.0,5.4,377,7,32,211,140,12,377,19,8,42.1,11,57.9,207,999,422,12,7,2,22,21,290,26,possession
ESP-La Liga,2024,Rayo Vallecano,Óscar Valentín,ESP,MF,30-234,1994.0,16.3,853,66,267,483,113,11,853,10,5,50.0,3,30.0,388,1734,915,10,8,1,17,6,438,8,possession
ESP-La Liga,2024,Real Madrid,Andriy Lunin,UKR,GK,26-059,1999.0,5.0,169,143,169,0,0,0,169,0,0,,0,,98,347,177,0,0,0,0,0,91,0,possession
ESP-La Liga,2024,Real Madrid,Antonio Rüdiger,GER,DF,32-039,1993.0,23.5,1921,217,918,924,88,21,1921,7,3,42.9,2,28.6,1259,5947,3785,19,23,2,7,2,1471,4,possession
ESP-La Liga,2024,Real Madrid,Arda Güler,TUR,"MF,FW",20-045,2005.0,7.9,576,13,77,248,256,30,576,27,11,40.7,11,40.7,374,1853,914,18,20,6,13,7,436,58,possession
ESP-La Liga,2024,Real Madrid,Aurélien Tchouaméni,FRA,"DF,MF",25-074,2000.0,23.3,1863,172,619,1101,156,17,1863,12,8,66.7,2,16.7,1146,5884,3306,16,12,1,16,6,1378,8,possession
ESP-La Liga,2024,Real Madrid,Brahim Díaz,MAR,"FW,MF",25-251,1999.0,12.9,683,3,59,346,287,48,683,37,19,51.4,16,43.2,446,2016,962,30,14,10,34,21,551,87,possession
ESP-La Liga,2024,Real Madrid,Chema,ESP,MF,19-351,2005.0,0.1,2,0,1,1,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,0,0,possession
ESP-La Liga,2024,Real Madrid,Dani Carvajal,ESP,DF,33-090,1992.0,6.8,532,26,126,232,176,12,532,5,2,40.0,3,60.0,278,1288,513,13,5,0,8,6,376,48,possession
ESP-La Liga,2024,Real Madrid,Dani Ceballos,ESP,MF,28-247,1996.0,9.2,1033,20,189,677,175,6,1033,11,7,63.6,2,18.2,685,3591,2036,28,21,2,9,5,843,11,possession
ESP-La Liga,2024,Real Madrid,Daniel Yáñez,ESP,FW,18-014,2007.0,0.0,0,0,0,0,0,0,0,0,0,,0,,1,6,6,0,0,0,0,0,1,0,possession
ESP-La Liga,2024,Real Madrid,David Alaba,AUT,DF,32-291,1992.0,3.0,207,34,115,82,11,2,207,0,0,,0,,146,756,400,2,1,0,1,0,163,4,possession
ESP-La Liga,2024,Real Madrid,Eduardo Camavinga,FRA,"MF,DF",22-152,2002.0,9.7,787,43,230,399,168,11,787,18,7,38.9,7,38.9,460,2317,1242,18,20,4,6,8,533,18,possession
ESP-La Liga,2024,Real Madrid,Endrick,BRA,FW,18-264,2006.0,1.4,70,1,6,25,39,13,70,7,3,42.9,3,42.9,44,335,186,7,4,6,4,1,56,18,possession
