league,season,team,player,nation,pos,age,born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,stat_type,nation_possession,pos_possession,age_possession,born_possession,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Tkld,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,stat_type_possession,nation_misc,pos_misc,age_misc,born_misc,Performance CrdY_misc,Performance CrdR_misc,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,stat_type_misc,nation_defense,pos_defense,age_defense,born_defense,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type_defense,nation_passing,pos_passing,age_passing,born_passing,90s_passing,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,stat_type_passing,nation_shooting,pos_shooting,age_shooting,born_shooting,Standard Gls,Standard Sh,Standard SoT,Standard Sh/90,Standard SoT/90,Standard FK,Standard PK,Standard PKatt,Expected xG_shooting,Expected npxG_shooting,Expected G-xG,Expected np:G-xG,stat_type_shooting,player_norm_x,player_matched,player_norm_y,Valeur marchande (euros)
ESP-La Liga,2020,Huesca,Álvaro Fernández,ESP,GK,22.0,1998.0,22,22,1980,22.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ESP,GK,22.0,1998.0,22.0,869,740,862,5,2,2,869,0,0,0,415,1898,1180,0,0,0,0,0,416,0,possession,ESP,GK,22.0,1998.0,0,0,0,0,3,0,0,2,1,0,0,0,31,5,0,misc,ESP,GK,22.0,1998.0,1,1,0,1,0,1,3,2,0,0,0,2,3,7,0,defense,ESP,GK,22.0,1998.0,22.0,615,816,75.4,17429,11546,95,96,99.0,283,286,99.0,231,420,0,0.0,0.0,0.0,1,9,0,0,0,passing,ESP,GK,22.0,1998.0,0,1,0,0.05,0.0,0,0,0,0.1,0.1,-0.1,-0.1,shooting,alvaro fernandez,alvaro fernandez,alvaro fernandez,4000000.0
ESP-La Liga,2020,Cádiz,Álvaro Giménez,ESP,FW,29.0,1991.0,11,3,407,4.5,2,1,3,2,0,0,0,0,1.3,1.3,0.1,1.4,2,9,20,0.44,0.22,0.66,0.44,0.66,0.29,0.02,0.31,0.29,0.31,standard,ESP,FW,29.0,1991.0,4.5,142,2,11,61,71,12,142,5,0,5,68,211,60,2,4,0,17,2,105,20,possession,ESP,FW,29.0,1991.0,0,0,0,8,6,4,0,2,2,0,0,0,8,21,28,misc,ESP,FW,29.0,1991.0,4,2,2,2,0,0,3,3,2,0,2,2,6,3,0,defense,ESP,FW,29.0,1991.0,4.5,52,98,53.1,717,107,36,58,62.1,14,23,60.9,2,4,1,0.1,0.2,0.9,2,4,2,0,9,passing,ESP,FW,29.0,1991.0,2,5,2,1.11,0.44,0,0,0,1.3,1.3,0.7,0.7,shooting,alvaro gimenez,alvaro gimenez,alvaro gimenez,1500000.0
ESP-La Liga,2020,Cádiz,Álvaro Negredo,ESP,FW,34.0,1985.0,35,29,2198,24.4,8,4,12,8,0,0,5,1,5.7,5.7,3.9,9.6,18,44,69,0.33,0.16,0.49,0.33,0.49,0.23,0.16,0.39,0.23,0.39,standard,ESP,FW,34.0,1985.0,24.4,798,27,54,436,319,73,798,39,29,10,355,1398,491,18,13,7,63,21,602,69,possession,ESP,FW,34.0,1985.0,5,1,1,21,37,7,10,3,5,0,1,0,43,126,135,misc,ESP,FW,34.0,1985.0,11,5,3,4,4,5,11,6,7,2,5,3,14,19,0,defense,ESP,FW,34.0,1985.0,24.4,322,578,55.7,4793,997,170,268,63.4,95,158,60.1,26,58,4,3.9,1.9,0.1,20,29,14,0,44,passing,ESP,FW,34.0,1985.0,8,48,20,1.97,0.82,2,0,0,5.7,5.7,2.3,2.3,shooting,alvaro negredo,alvaro negredo,alvaro negredo,1200000.0
ESP-La Liga,2020,Real Madrid,Álvaro Odriozola,ESP,DF,24.0,1995.0,13,9,829,9.2,2,0,2,2,0,0,0,0,0.6,0.6,0.6,1.1,30,14,64,0.22,0.0,0.22,0.22,0.22,0.06,0.06,0.12,0.06,0.12,standard,ESP,DF,24.0,1995.0,9.2,549,19,134,224,195,27,549,18,8,10,303,1928,906,30,14,8,12,5,359,64,possession,ESP,DF,24.0,1995.0,0,0,0,5,5,1,39,6,7,0,0,0,36,2,8,misc,ESP,DF,24.0,1995.0,14,7,5,8,1,3,5,2,6,3,3,6,20,12,1,defense,ESP,DF,24.0,1995.0,9.2,398,466,85.4,5784,1414,226,240,94.2,138,166,83.1,19,32,0,0.6,1.1,-0.6,8,13,12,8,14,passing,ESP,DF,24.0,1995.0,2,3,2,0.33,0.22,0,0,0,0.6,0.6,1.4,1.4,shooting,alvaro odriozola,alvaro odriozola,alvaro odriozola,10000000.0
ESP-La Liga,2020,Eibar,Álvaro Tejero,ESP,DF,24.0,1996.0,2,1,110,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,2,10,15,0.0,0.0,0.0,0.0,0.0,0.03,0.15,0.19,0.03,0.19,standard,ESP,DF,24.0,1996.0,1.2,116,4,26,50,40,0,116,2,1,1,47,167,87,2,1,0,1,0,64,15,possession,ESP,DF,24.0,1996.0,1,0,0,1,0,0,13,3,1,0,0,0,9,1,3,misc,ESP,DF,24.0,1996.0,1,1,0,0,1,1,3,2,1,0,1,3,4,6,0,defense,ESP,DF,24.0,1996.0,1.2,76,99,76.8,1315,550,39,42,92.9,27,36,75.0,10,17,0,0.2,0.2,-0.2,3,2,5,3,10,passing,ESP,DF,24.0,1996.0,0,2,1,1.64,0.82,0,0,0,0.0,0.0,0.0,0.0,shooting,alvaro tejero,alvaro tejero,alvaro tejero,1000000.0
ESP-La Liga,2020,Athletic Club,Yuri Berchiche,ESP,DF,30.0,1990.0,23,21,1682,18.7,1,3,4,1,0,0,3,0,0.9,0.9,2.0,2.9,55,98,105,0.05,0.16,0.21,0.05,0.21,0.05,0.11,0.15,0.05,0.15,standard,ESP,DF,30.0,1990.0,18.7,1294,37,280,617,406,40,1294,35,17,18,657,4077,2156,55,41,13,24,13,772,105,possession,ESP,DF,30.0,1990.0,3,0,0,17,30,1,76,11,19,1,0,0,109,24,12,misc,ESP,DF,30.0,1990.0,24,19,14,5,5,10,24,14,14,0,14,11,35,29,0,defense,ESP,DF,30.0,1990.0,18.7,909,1132,80.3,15028,5395,464,524,88.5,330,395,83.5,82,121,3,2.0,2.1,1.0,17,58,32,13,98,passing,ESP,DF,30.0,1990.0,1,16,6,0.86,0.32,0,0,0,0.9,0.9,0.1,0.1,shooting,yuri berchiche,yuri berchiche,yuri berchiche,12000000.0
ESP-La Liga,2020,Athletic Club,Álex Berenguer,ESP,"MF,FW",25.0,1995.0,35,27,2278,25.3,8,4,12,8,0,0,4,0,6.2,6.2,3.4,9.7,64,85,201,0.32,0.16,0.47,0.32,0.47,0.25,0.14,0.38,0.25,0.38,standard,ESP,"MF,FW",25.0,1995.0,25.3,1276,27,163,406,730,75,1276,73,35,38,640,4115,2105,64,52,21,55,39,821,201,possession,ESP,"MF,FW",25.0,1995.0,4,0,0,48,46,18,147,18,31,1,0,0,110,23,42,misc,ESP,"MF,FW",25.0,1995.0,47,31,21,20,6,9,51,42,48,3,45,18,65,27,0,defense,ESP,"MF,FW",25.0,1995.0,25.3,601,917,65.5,8373,2615,363,434,83.6,163,246,66.3,35,124,4,3.4,3.7,0.6,38,25,40,10,85,passing,ESP,"MF,FW",25.0,1995.0,8,48,15,1.9,0.59,4,0,0,6.2,6.2,1.8,1.8,shooting,alex berenguer,alex berenguer,alex berenguer,15000000.0
ESP-La Liga,2020,Cádiz,Álex Fernández,ESP,MF,27.0,1992.0,25,21,1946,21.6,4,1,5,2,2,2,1,0,3.3,1.8,1.5,3.2,26,104,43,0.18,0.05,0.23,0.09,0.14,0.15,0.07,0.22,0.08,0.15,standard,ESP,MF,27.0,1992.0,21.6,1086,26,194,587,322,16,1084,22,15,7,537,2738,1188,26,21,3,33,16,628,43,possession,ESP,MF,27.0,1992.0,1,0,0,11,31,0,123,22,9,0,0,0,130,21,22,misc,ESP,MF,27.0,1992.0,19,9,8,8,3,8,30,22,14,1,13,22,41,15,0,defense,ESP,MF,27.0,1992.0,21.6,692,936,73.9,12283,3707,307,353,87.0,271,332,81.6,86,183,1,1.5,1.9,-0.5,23,66,13,5,104,passing,ESP,MF,27.0,1992.0,4,8,2,0.37,0.09,0,2,2,3.3,1.8,0.7,0.2,shooting,alex fernandez,alex fernandez,alex fernandez,6000000.0
ESP-La Liga,2020,Cádiz,Álex Martín,ESP,DF,22.0,1998.0,2,1,96,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ESP,DF,22.0,1998.0,1.1,50,5,14,27,10,0,50,0,0,0,26,88,42,1,0,0,2,0,28,1,possession,ESP,DF,22.0,1998.0,0,0,0,1,0,0,3,0,0,0,0,0,3,2,1,misc,ESP,DF,22.0,1998.0,2,0,1,1,0,2,4,2,1,1,0,0,2,6,0,defense,ESP,DF,22.0,1998.0,1.1,31,41,75.6,685,299,11,11,100.0,13,14,92.9,7,13,0,0.0,0.0,0.0,0,2,0,0,3,passing,ESP,DF,22.0,1998.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,shooting,alex martin,alex martin,alex martin,600000.0
ESP-La Liga,2020,Villarreal,Álex Millán,ESP,FW,20.0,1999.0,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ESP,FW,20.0,1999.0,0.0,1,0,0,1,0,0,1,0,0,0,1,17,5,0,0,0,0,0,1,0,possession,ESP,FW,20.0,1999.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,misc,ESP,FW,20.0,1999.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,defense,ESP,FW,20.0,1999.0,0.0,0,1,0.0,0,0,0,0,88.0,0,1,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,passing,ESP,FW,20.0,1999.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,shooting,alex millan,alex millan,alex millan,300000.0
