league,season,team,player,nation,pos,age,born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,stat_type,nation_shooting,pos_shooting,age_shooting,born_shooting,90s,Standard Gls,Standard Sh,Standard SoT,Standard Sh/90,Standard SoT/90,Standard FK,Standard PK,Standard PKatt,Expected xG_shooting,Expected npxG_shooting,Expected G-xG,Expected np:G-xG,stat_type_shooting,nation_misc,pos_misc,age_misc,born_misc,Performance CrdY_misc,Performance CrdR_misc,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,stat_type_misc,nation_possession,pos_possession,age_possession,born_possession,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Tkld,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,stat_type_possession,nation_passing,pos_passing,age_passing,born_passing,90s_passing,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,stat_type_passing,nation_defense,pos_defense,age_defense,born_defense,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type_defense,player_norm_x,player_matched,player_norm_y,Valeur marchande (euros)
ITA-Serie A,2020,Crotone,Luis Rojas,CHI,"MF,FW",18,2002,7,0,104,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,1,3,4,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05,standard,CHI,"MF,FW",18,2002,1.2,0,1,0,0.87,0.0,0,0,0,0.0,0.0,0.0,0.0,shooting,CHI,"MF,FW",18,2002,1,0,0,2,0,0,0,1,0,0,0,0,8,1,1,misc,CHI,"MF,FW",18,2002,68,1,6,45,19,1,68,8,6,2,34,217,45,1,3,0,9,6,46,4,possession,CHI,"MF,FW",18,2002,1.2,36,46,78.3,501,108,22,25,88.0,11,14,78.6,1,4,0,0.0,0.0,0.0,1,3,0,0,3,passing,CHI,"MF,FW",18,2002,1,0,0,1,0,1,2,1,2,0,2,1,2,0,0,defense,luis rojas,luis rojas,luis rojas,1700000.0
ITA-Serie A,2020,Lazio,Luiz Felipe,ITA,DF,23,1997,14,10,909,10.1,0,0,0,0,0,0,5,0,0.3,0.3,0.3,0.5,9,29,2,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.05,0.03,0.05,standard,ITA,DF,23,1997,10.1,0,4,0,0.4,0.0,0,0,0,0.3,0.3,-0.3,-0.3,shooting,ITA,DF,23,1997,5,0,0,14,8,1,2,21,20,0,0,0,58,14,16,misc,ITA,DF,23,1997,669,62,305,333,35,4,669,5,2,3,400,2810,1410,9,6,0,7,2,445,2,possession,ITA,DF,23,1997,10.1,500,548,91.2,9562,2810,173,188,92.0,271,288,94.1,51,62,0,0.3,0.2,-0.3,3,36,2,1,29,passing,ITA,DF,23,1997,32,20,19,11,2,16,24,8,20,9,11,21,53,29,1,defense,luiz felipe,luiz felipe,luiz felipe,18000000.0
ITA-Serie A,2020,Genoa,Lukas Lerager,DEN,MF,27,1993,16,13,1159,12.9,0,1,1,0,0,0,0,0,0.6,0.6,0.5,1.1,9,46,32,0.0,0.08,0.08,0.0,0.08,0.05,0.04,0.09,0.05,0.09,standard,DEN,MF,27,1993,12.9,0,4,2,0.31,0.16,0,0,0,0.6,0.6,-0.6,-0.6,shooting,DEN,MF,27,1993,0,0,0,16,16,3,7,14,13,0,0,0,85,9,14,misc,DEN,MF,27,1993,622,30,144,343,145,12,622,12,5,7,292,1428,496,9,12,1,22,8,368,32,possession,DEN,MF,27,1993,12.9,411,501,82.0,6029,1609,232,272,85.3,126,146,86.3,28,38,1,0.5,0.3,0.5,8,51,3,0,46,passing,DEN,MF,27,1993,24,13,14,9,1,11,30,19,13,3,10,14,38,25,1,defense,lukas lerager,lukas lerager,lukas lerager,3000000.0
ITA-Serie A,2020,Crotone,Luca Cigarini,ITA,MF,34,1986,14,13,929,10.3,0,0,0,0,0,0,5,1,0.6,0.6,1.7,2.3,14,90,8,0.0,0.0,0.0,0.0,0.0,0.06,0.16,0.22,0.06,0.22,standard,ITA,MF,34,1986,10.3,0,15,2,1.45,0.19,3,0,0,0.6,0.6,-0.6,-0.6,shooting,ITA,MF,34,1986,5,1,1,27,18,0,24,12,14,1,0,0,65,9,9,misc,ITA,MF,34,1986,858,31,194,529,141,4,858,12,8,4,443,1865,1016,14,7,2,10,10,618,8,possession,ITA,MF,34,1986,10.3,628,757,83.0,11941,4614,269,289,93.1,253,295,85.8,93,135,0,1.7,1.0,-1.7,16,89,11,2,90,passing,ITA,MF,34,1986,26,14,11,12,3,12,28,16,10,1,9,12,38,9,0,defense,luca cigarini,luca cigarini,luca cigarini,600000.0
ITA-Serie A,2020,Crotone,Luca Marrone,ITA,DF,30,1990,21,18,1588,17.6,0,0,0,0,0,0,8,0,0.4,0.4,0.0,0.4,4,33,0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,standard,ITA,DF,30,1990,17.6,0,4,2,0.23,0.11,0,0,0,0.4,0.4,-0.4,-0.4,shooting,ITA,DF,30,1990,8,0,0,36,10,0,0,26,18,0,1,1,105,20,22,misc,ITA,DF,30,1990,1169,215,717,443,11,5,1169,2,1,1,707,3139,1509,4,2,0,5,1,780,0,possession,ITA,DF,30,1990,17.6,891,1018,87.5,17532,6431,276,295,93.6,524,564,92.9,86,146,0,0.0,0.1,0.0,0,20,1,0,33,passing,ITA,DF,30,1990,25,18,16,9,0,13,21,8,22,11,11,26,51,56,1,defense,luca marrone,luca marrone,luca marrone,500000.0
ITA-Serie A,2020,Spezia,Luca Mora,ITA,MF,32,1988,4,1,113,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,2,4,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,standard,ITA,MF,32,1988,1.3,0,1,1,0.8,0.8,0,0,0,0.1,0.1,-0.1,-0.1,shooting,ITA,MF,32,1988,0,0,0,2,2,0,1,0,1,0,0,0,5,5,1,misc,ITA,MF,32,1988,76,4,15,41,20,2,76,1,1,0,40,166,79,0,3,0,4,3,56,4,possession,ITA,MF,32,1988,1.3,38,59,64.4,584,149,21,26,80.8,16,23,69.6,1,7,0,0.0,0.0,0.0,0,4,0,0,2,passing,ITA,MF,32,1988,3,1,1,2,0,2,4,2,2,1,1,0,3,2,0,defense,luca mora,luca mora,luca mora,350000.0
ITA-Serie A,2020,Genoa,Luca Pellegrini,ITA,"DF,MF",21,1999,11,7,639,7.1,0,1,1,0,0,0,2,0,0.1,0.1,1.6,1.7,23,13,47,0.0,0.14,0.14,0.0,0.14,0.02,0.23,0.25,0.02,0.25,standard,ITA,"DF,MF",21,1999,7.1,0,5,0,0.7,0.0,0,0,0,0.1,0.1,-0.1,-0.1,shooting,ITA,"DF,MF",21,1999,2,0,0,10,16,0,29,8,6,0,0,1,50,4,13,misc,ITA,"DF,MF",21,1999,411,19,126,167,122,11,411,30,18,12,250,1506,688,23,16,6,22,16,267,47,possession,ITA,"DF,MF",21,1999,7.1,218,313,69.6,3437,1207,112,126,88.9,83,114,72.8,13,44,1,1.6,1.1,-0.6,8,5,7,4,13,passing,ITA,"DF,MF",21,1999,9,6,6,2,1,4,10,6,11,2,9,8,17,13,1,defense,luca pellegrini,luca pellegrini,luca pellegrini,9000000.0
ITA-Serie A,2020,Crotone,Luca Siligardi,ITA,"MF,FW",32,1988,4,0,49,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,4,6,0.0,0.0,0.0,0.0,0.0,0.16,0.1,0.26,0.16,0.26,standard,ITA,"MF,FW",32,1988,0.5,0,2,1,3.67,1.84,0,0,0,0.1,0.1,-0.1,-0.1,shooting,ITA,"MF,FW",32,1988,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,misc,ITA,"MF,FW",32,1988,30,0,0,13,19,2,30,2,2,0,17,68,29,0,2,0,2,2,22,6,possession,ITA,"MF,FW",32,1988,0.5,15,20,75.0,261,68,6,8,75.0,7,8,87.5,1,2,0,0.1,0.0,-0.1,2,3,1,0,4,passing,ITA,"MF,FW",32,1988,4,2,0,3,1,1,5,4,0,0,0,0,4,0,0,defense,luca siligardi,luca siligardi,luca siligardi,300000.0
ITA-Serie A,2020,Crotone,Luca Siligardi,ITA,"MF,FW",32,1988,4,0,49,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,4,6,0.0,0.0,0.0,0.0,0.0,0.16,0.1,0.26,0.16,0.26,standard,ITA,"MF,FW",32,1988,0.5,0,2,1,3.67,1.84,0,0,0,0.1,0.1,-0.1,-0.1,shooting,ITA,"MF,FW",32,1988,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,misc,ITA,"MF,FW",32,1988,30,0,0,13,19,2,30,2,2,0,17,68,29,0,2,0,2,2,22,6,possession,ITA,"MF,FW",32,1988,0.5,15,20,75.0,261,68,6,8,75.0,7,8,87.5,1,2,0,0.1,0.0,-0.1,2,3,1,0,4,passing,ITA,"MF,FW",32,1988,4,2,0,3,1,1,5,4,0,0,0,0,4,0,0,defense,luca siligardi,luca siligardi,luca siligardi,300000.0
ITA-Serie A,2020,Parma,Luca Siligardi,ITA,"FW,MF",32,1988,2,0,34,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.46,0.0,0.46,standard,ITA,"FW,MF",32,1988,0.4,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,shooting,ITA,"FW,MF",32,1988,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,misc,ITA,"FW,MF",32,1988,22,0,0,5,17,3,22,0,0,0,11,59,8,0,0,0,2,3,14,3,possession,ITA,"FW,MF",32,1988,0.4,11,19,57.9,153,38,8,9,88.9,3,3,100.0,0,2,0,0.2,0.2,-0.2,2,0,1,1,1,passing,ITA,"FW,MF",32,1988,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,defense,luca siligardi,luca siligardi,luca siligardi,300000.0
ITA-Serie A,2020,Parma,Luca Siligardi,ITA,"FW,MF",32,1988,2,0,34,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.46,0.0,0.46,standard,ITA,"FW,MF",32,1988,0.4,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,shooting,ITA,"FW,MF",32,1988,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,misc,ITA,"FW,MF",32,1988,22,0,0,5,17,3,22,0,0,0,11,59,8,0,0,0,2,3,14,3,possession,ITA,"FW,MF",32,1988,0.4,11,19,57.9,153,38,8,9,88.9,3,3,100.0,0,2,0,0.2,0.2,-0.2,2,0,1,1,1,passing,ITA,"FW,MF",32,1988,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,defense,luca siligardi,luca siligardi,luca siligardi,300000.0
ITA-Serie A,2020,Spezia,Luca Vignali,ITA,DF,24,1996,21,19,1590,17.7,0,0,0,0,0,0,4,1,0.1,0.1,0.7,0.8,30,69,57,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.04,0.01,0.04,standard,ITA,DF,24,1996,17.7,0,4,1,0.23,0.06,0,0,0,0.1,0.1,-0.1,-0.1,shooting,ITA,DF,24,1996,4,1,0,17,21,1,34,22,9,0,0,0,115,30,15,misc,ITA,DF,24,1996,1318,53,470,569,289,13,1318,15,6,9,729,3399,1655,30,19,2,29,4,808,57,possession,ITA,DF,24,1996,17.7,922,1167,79.0,16707,4628,384,441,87.1,404,476,84.9,115,193,0,0.7,0.8,-0.7,10,48,16,7,69,passing,ITA,DF,24,1996,19,9,10,6,3,7,25,18,13,5,8,22,41,25,0,defense,luca vignali,luca vignali,luca vignali,1000000.0
ITA-Serie A,2020,Lazio,Lucas Leiva,BRA,MF,33,1987,32,30,2131,23.7,0,0,0,0,0,0,10,0,0.4,0.4,0.4,0.8,23,163,18,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,standard,BRA,MF,33,1987,23.7,0,12,3,0.51,0.13,0,0,0,0.4,0.4,-0.4,-0.4,shooting,BRA,MF,33,1987,10,0,0,47,24,1,16,57,32,0,0,0,175,47,42,misc,BRA,MF,33,1987,1710,62,461,1076,186,7,1710,14,9,5,890,4436,2293,23,25,2,14,12,1079,18,possession,BRA,MF,33,1987,23.7,1274,1484,85.8,21944,7774,597,665,89.8,532,601,88.5,125,153,0,0.4,0.9,-0.4,7,183,12,3,163,passing,BRA,MF,33,1987,68,32,38,28,2,30,86,56,21,0,21,57,125,21,0,defense,lucas leiva,lucas leiva,lucas leiva,3500000.0
ITA-Serie A,2020,Benevento,Lorenzo Del Pinto,ITA,MF,30,1990,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ITA,MF,30,1990,0.1,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,shooting,ITA,MF,30,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,misc,ITA,MF,30,1990,8,0,3,5,0,0,8,0,0,0,3,16,0,0,0,0,0,1,8,0,possession,ITA,MF,30,1990,0.1,5,8,62.5,65,29,2,3,66.7,1,2,50.0,1,1,0,0.0,0.0,0.0,0,0,0,0,0,passing,ITA,MF,30,1990,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,defense,lorenzo del pinto,lorenzo del pinto,lorenzo del pinto,200000.0
ITA-Serie A,2020,Napoli,Lorenzo Insigne,ITA,FW,29,1991,35,33,2865,31.8,19,8,27,12,7,8,2,1,15.6,9.3,8.5,17.7,138,192,270,0.6,0.25,0.85,0.38,0.63,0.49,0.27,0.76,0.29,0.56,standard,ITA,FW,29,1991,31.8,19,136,40,4.27,1.26,13,7,8,15.6,9.3,3.4,2.7,shooting,ITA,FW,29,1991,2,1,0,9,39,11,113,37,18,0,0,0,199,2,5,misc,ITA,FW,29,1991,2280,22,250,1028,1040,143,2272,105,65,40,1469,9303,4826,138,95,54,63,34,1710,270,possession,ITA,FW,29,1991,31.8,1486,1872,79.4,24219,6030,824,906,90.9,437,555,78.7,161,265,8,8.5,7.6,-0.5,63,115,84,11,192,passing,ITA,FW,29,1991,26,18,8,12,6,13,72,59,30,1,29,37,63,6,1,defense,lorenzo insigne,lorenzo insigne,lorenzo insigne,48000000.0
ITA-Serie A,2020,Benevento,Lorenzo Montipò,ITA,GK,24,1996,37,37,3330,37.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ITA,GK,24,1996,37.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,shooting,ITA,GK,24,1996,3,0,0,3,6,0,0,0,0,0,2,1,31,9,2,misc,ITA,GK,24,1996,1338,1090,1334,4,0,0,1338,0,0,0,607,3296,1790,0,0,0,1,0,523,0,possession,ITA,GK,24,1996,37.0,803,1242,64.7,24351,17210,141,142,99.3,294,307,95.8,362,780,0,0.0,0.0,0.0,0,7,0,0,1,passing,ITA,GK,24,1996,0,0,0,0,0,0,0,0,1,0,1,0,0,16,3,defense,lorenzo montipo,lorenzo montipo,lorenzo montipo,3500000.0
ITA-Serie A,2020,Roma,Lorenzo Pellegrini,ITA,MF,24,1996,34,30,2598,28.9,7,6,13,6,1,1,10,0,5.6,4.8,8.0,12.9,87,147,149,0.24,0.21,0.45,0.21,0.42,0.2,0.29,0.49,0.17,0.46,standard,ITA,MF,24,1996,28.9,7,69,26,2.39,0.9,10,1,1,5.6,4.8,1.4,1.2,shooting,ITA,MF,24,1996,10,0,0,43,51,6,171,42,24,0,1,0,139,21,27,misc,ITA,MF,24,1996,1772,33,211,930,654,61,1771,67,40,27,963,6507,3163,87,62,12,65,21,1177,149,possession,ITA,MF,24,1996,28.9,1089,1429,76.2,19495,5567,520,595,87.4,403,492,81.9,144,265,6,8.0,6.0,-2.0,61,121,41,8,147,passing,ITA,MF,24,1996,40,24,13,20,7,21,60,39,37,2,35,42,82,23,1,defense,lorenzo pellegrini,lorenzo pellegrini,lorenzo pellegrini,40000000.0
ITA-Serie A,2020,Sampdoria,Lorenzo Tonelli,ITA,DF,30,1990,23,21,1782,19.8,1,0,1,1,0,0,11,0,2.0,2.0,0.0,2.0,2,42,1,0.05,0.0,0.05,0.05,0.05,0.1,0.0,0.1,0.1,0.1,standard,ITA,DF,30,1990,19.8,1,13,2,0.66,0.1,0,0,0,2.0,2.0,-1.0,-1.0,shooting,ITA,DF,30,1990,11,0,0,29,26,1,0,25,18,0,1,0,88,42,39,misc,ITA,DF,30,1990,1134,182,597,504,37,19,1134,4,4,0,555,2451,1237,2,1,0,5,5,639,1,possession,ITA,DF,30,1990,19.8,742,913,81.3,15266,4824,226,256,88.3,395,447,88.4,110,183,0,0.0,0.1,0.0,0,22,0,0,42,passing,ITA,DF,30,1990,33,18,20,11,2,10,21,11,21,14,7,25,58,94,1,defense,lorenzo tonelli,lorenzo tonelli,lorenzo tonelli,2000000.0
ITA-Serie A,2020,Fiorentina,Lorenzo Venuti,ITA,DF,25,1995,28,21,1757,19.5,0,1,1,0,0,0,3,0,0.2,0.2,1.9,2.1,36,60,98,0.0,0.05,0.05,0.0,0.05,0.01,0.1,0.11,0.01,0.11,standard,ITA,DF,25,1995,19.5,0,4,0,0.2,0.0,0,0,0,0.2,0.2,-0.2,-0.2,shooting,ITA,DF,25,1995,3,0,0,10,26,1,56,17,11,0,0,1,77,8,12,misc,ITA,DF,25,1995,944,42,223,400,327,20,944,25,7,18,495,2324,1227,36,22,3,20,12,570,98,possession,ITA,DF,25,1995,19.5,567,780,72.7,8826,3860,318,367,86.6,195,268,72.8,39,95,1,1.9,1.5,-0.9,15,52,18,11,60,passing,ITA,DF,25,1995,24,11,14,7,3,14,28,14,18,3,15,17,41,24,0,defense,lorenzo venuti,lorenzo venuti,lorenzo venuti,3000000.0
ITA-Serie A,2020,Benevento,Luca Caldirola,ITA,DF,29,1991,25,17,1572,17.5,2,0,2,2,0,0,6,1,0.9,0.9,0.2,1.1,18,48,6,0.11,0.0,0.11,0.11,0.11,0.05,0.01,0.06,0.05,0.06,standard,ITA,DF,29,1991,17.5,2,7,3,0.4,0.17,0,0,0,0.9,0.9,1.1,1.1,shooting,ITA,DF,29,1991,6,1,1,20,25,1,3,20,13,0,0,0,60,26,25,misc,ITA,DF,29,1991,956,120,496,424,39,14,956,0,0,0,508,3327,2305,18,7,0,3,3,592,6,possession,ITA,DF,29,1991,17.5,681,806,84.5,13020,5025,250,274,91.2,347,387,89.7,72,127,0,0.2,0.2,-0.2,4,46,4,1,48,passing,ITA,DF,29,1991,21,13,13,6,2,10,22,12,20,15,5,20,41,56,0,defense,luca caldirola,luca caldirola,luca caldirola,1800000.0
ITA-Serie A,2020,Cagliari,Luca Ceppitelli,ITA,DF,30,1989,19,16,1465,16.3,0,0,0,0,0,0,3,0,0.5,0.5,0.1,0.6,10,51,4,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,standard,ITA,DF,30,1989,16.3,0,7,1,0.43,0.06,0,0,0,0.5,0.5,-0.5,-0.5,shooting,ITA,DF,30,1989,3,0,0,15,13,1,11,25,19,0,0,0,77,46,29,misc,ITA,DF,30,1989,989,119,462,472,61,14,989,2,2,0,512,2183,1297,10,3,0,9,2,641,4,possession,ITA,DF,30,1989,16.3,703,846,83.1,13465,4685,259,297,87.2,355,386,92.0,78,135,0,0.1,0.2,-0.1,2,53,5,1,51,passing,ITA,DF,30,1989,25,19,13,10,2,14,26,12,23,12,11,25,50,58,1,defense,luca ceppitelli,luca ceppitelli,luca ceppitelli,2000000.0
ITA-Serie A,2020,Parma,Lautaro Valenti,ARG,DF,21,1999,11,6,499,5.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,7,14,1,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,standard,ARG,DF,21,1999,5.5,0,4,0,0.72,0.0,0,0,0,0.1,0.1,-0.1,-0.1,shooting,ARG,DF,21,1999,0,0,0,5,7,0,2,11,4,0,0,0,26,7,0,misc,ARG,DF,21,1999,408,59,230,167,15,2,408,2,2,0,243,1265,787,7,4,0,4,0,281,1,possession,ARG,DF,21,1999,5.5,271,336,80.7,5901,2045,82,89,92.1,131,150,87.3,55,89,0,0.0,0.1,0.0,1,20,1,1,14,passing,ARG,DF,21,1999,10,4,7,2,1,6,15,9,11,3,8,11,21,30,0,defense,lautaro valenti,lautaro valenti,lautaro valenti,4500000.0
ITA-Serie A,2020,Genoa,Lennart-Marten Czyborra,GER,DF,21,1999,17,15,1173,13.0,1,0,1,1,0,0,2,0,0.2,0.2,0.3,0.5,14,26,34,0.08,0.0,0.08,0.08,0.08,0.02,0.02,0.04,0.02,0.04,standard,GER,DF,21,1999,13.0,1,5,2,0.38,0.15,0,0,0,0.2,0.2,0.8,0.8,shooting,GER,DF,21,1999,2,0,0,11,4,0,27,17,10,0,0,0,55,9,18,misc,GER,DF,21,1999,685,35,201,301,185,14,685,12,5,7,326,1577,748,14,16,1,15,7,389,34,possession,GER,DF,21,1999,13.0,416,574,72.5,5970,2030,246,282,87.2,137,200,68.5,17,54,0,0.3,0.6,-0.3,4,18,11,6,26,passing,GER,DF,21,1999,19,10,7,7,5,11,19,8,6,1,5,17,36,27,0,defense,lennart-marten czyborra,lennart czyborra,lennart czyborra,3500000.0
ITA-Serie A,2020,Juventus,Leonardo Bonucci,ITA,DF,33,1987,26,23,2028,22.5,2,0,2,2,0,0,4,0,2.5,2.5,0.4,3.0,6,89,4,0.09,0.0,0.09,0.09,0.09,0.11,0.02,0.13,0.11,0.13,standard,ITA,DF,33,1987,22.5,2,16,3,0.71,0.13,0,0,0,2.5,2.5,-0.5,-0.5,shooting,ITA,DF,33,1987,4,0,0,21,16,3,5,33,14,0,2,0,93,34,19,misc,ITA,DF,33,1987,1702,225,770,875,64,20,1702,5,4,1,984,4599,2705,6,8,1,5,2,1290,4,possession,ITA,DF,33,1987,22.5,1363,1518,89.8,29257,11809,342,360,95.0,815,855,95.3,198,275,0,0.4,0.6,-0.4,3,91,6,1,89,passing,ITA,DF,33,1987,19,14,10,8,1,6,14,8,24,13,11,33,52,67,0,defense,leonardo bonucci,leonardo bonucci,leonardo bonucci,8000000.0
ITA-Serie A,2020,Cagliari,Leonardo Pavoletti,ITA,FW,31,1988,33,17,1584,17.6,4,3,7,4,0,0,8,0,7.2,7.2,1.1,8.3,4,21,65,0.23,0.17,0.4,0.23,0.4,0.41,0.06,0.47,0.41,0.47,standard,ITA,FW,31,1988,17.6,4,44,11,2.5,0.62,0,0,0,7.2,7.2,-3.2,-3.2,shooting,ITA,FW,31,1988,8,0,0,44,29,9,1,4,3,1,0,0,38,113,67,misc,ITA,FW,31,1988,587,34,79,299,213,78,587,6,3,3,244,688,167,4,4,3,41,14,437,65,possession,ITA,FW,31,1988,17.6,282,409,68.9,3571,476,177,246,72.0,63,84,75.0,13,21,3,1.1,0.6,1.9,12,19,6,0,21,passing,ITA,FW,31,1988,7,3,2,5,0,1,20,19,4,2,2,4,11,32,0,defense,leonardo pavoletti,leonardo pavoletti,leonardo pavoletti,4000000.0
ITA-Serie A,2020,Roma,Leonardo Spinazzola,ITA,DF,27,1993,27,25,2124,23.6,2,4,6,2,0,0,0,0,1.7,1.7,5.0,6.8,147,105,174,0.08,0.17,0.25,0.08,0.25,0.08,0.22,0.3,0.08,0.3,standard,ITA,DF,27,1993,23.6,2,22,6,0.93,0.25,0,0,0,1.7,1.7,0.3,0.3,shooting,ITA,DF,27,1993,0,0,0,8,11,2,103,25,6,0,0,1,107,10,1,misc,ITA,DF,27,1993,1473,52,308,609,583,70,1473,120,53,67,872,7802,4473,147,86,33,30,8,967,174,possession,ITA,DF,27,1993,23.6,957,1227,78.0,16192,4598,485,569,85.2,358,431,83.1,93,157,4,5.0,3.7,-1.0,33,74,45,21,105,passing,ITA,DF,27,1993,12,6,3,9,0,8,20,12,16,1,15,25,37,31,0,defense,leonardo spinazzola,leonardo spinazzola,leonardo spinazzola,26000000.0
ITA-Serie A,2020,Crotone,Lisandro Magallán,ARG,DF,26,1993,28,25,2181,24.2,1,2,3,1,0,0,10,0,1.2,1.2,0.4,1.6,12,70,3,0.04,0.08,0.12,0.04,0.12,0.05,0.01,0.06,0.05,0.06,standard,ARG,DF,26,1993,24.2,1,8,2,0.33,0.08,0,0,0,1.2,1.2,-0.2,-0.2,shooting,ARG,DF,26,1993,10,0,0,65,13,0,1,44,31,0,1,0,141,43,26,misc,ARG,DF,26,1993,1359,135,701,596,69,12,1359,9,7,2,674,2967,1535,12,2,1,17,5,774,3,possession,ARG,DF,26,1993,24.2,903,1109,81.4,16685,7382,350,411,85.2,456,522,87.4,86,137,2,0.4,0.3,1.6,9,70,5,0,70,passing,ARG,DF,26,1993,54,31,28,24,2,17,42,25,29,15,14,44,98,78,1,defense,lisandro magallan,lisandro magallan,lisandro magallan,2500000.0
ITA-Serie A,2020,Milan,Lorenzo Colombo,ITA,FW,18,2002,4,1,94,1.0,0,0,0,0,0,0,0,0,0.6,0.6,0.0,0.6,4,1,3,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.57,0.57,0.57,standard,ITA,FW,18,2002,1.0,0,4,1,3.83,0.96,0,0,0,0.6,0.6,-0.6,-0.6,shooting,ITA,FW,18,2002,0,0,0,1,0,3,1,0,1,0,0,0,7,2,4,misc,ITA,FW,18,2002,26,2,4,12,11,5,26,2,1,1,13,138,100,4,1,1,2,1,15,3,possession,ITA,FW,18,2002,1.0,7,13,53.8,73,25,4,6,66.7,2,3,66.7,0,0,0,0.0,0.1,0.0,0,0,2,1,1,passing,ITA,FW,18,2002,2,1,1,1,0,0,3,3,0,0,0,0,2,3,0,defense,lorenzo colombo,lorenzo colombo,lorenzo colombo,1000000.0
