league,season,team,player,nation,pos,age,born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,stat_type,nation_shooting,pos_shooting,age_shooting,born_shooting,90s,Standard Gls,Standard Sh,Standard SoT,Standard Sh/90,Standard SoT/90,Standard FK,Standard PK,Standard PKatt,Expected xG_shooting,Expected npxG_shooting,Expected G-xG,Expected np:G-xG,stat_type_shooting,nation_misc,pos_misc,age_misc,born_misc,Performance CrdY_misc,Performance CrdR_misc,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,stat_type_misc,nation_possession,pos_possession,age_possession,born_possession,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Tkld,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,stat_type_possession,nation_passing,pos_passing,age_passing,born_passing,90s_passing,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,stat_type_passing,nation_defense,pos_defense,age_defense,born_defense,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type_defense,player_norm_x,player_matched,player_norm_y,Valeur marchande (euros)
ITA-Serie A,2020,Atalanta,Viktor Kovalenko,UKR,FW,24,1996,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,UKR,FW,24,1996,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,shooting,UKR,FW,24,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,misc,UKR,FW,24,1996,4,1,2,2,0,0,4,0,0,0,1,4,0,0,0,0,1,0,2,1,possession,UKR,FW,24,1996,0.0,1,1,100.0,8,5,1,1,100.0,0,0,84.9,0,0,0,0.0,0.0,0.0,0,0,0,0,0,passing,UKR,FW,24,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,defense,viktor kovalenko,viktor kovalenko,viktor kovalenko,5000000.0
ITA-Serie A,2020,Parma,Vincent Laurini,FRA,DF,31,1989,14,10,870,9.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,11,37,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,standard,FRA,DF,31,1989,9.7,0,1,0,0.1,0.0,0,0,0,0.0,0.0,0.0,0.0,shooting,FRA,DF,31,1989,1,0,0,12,18,0,28,17,11,0,0,0,31,6,12,misc,FRA,DF,31,1989,581,33,188,300,97,2,581,3,2,1,319,1440,904,11,11,0,9,1,353,15,possession,FRA,DF,31,1989,9.7,400,505,79.2,6865,2842,193,211,91.5,164,211,77.7,38,68,0,0.0,0.2,0.0,1,35,5,4,37,passing,FRA,DF,31,1989,16,11,8,6,2,7,9,2,8,4,4,17,33,22,1,defense,vincent laurini,vincent laurini,vincent laurini,600000.0
ITA-Serie A,2020,Torino,Vincenzo Millico,ITA,"FW,MF",19,2000,3,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.31,0.0,0.31,standard,ITA,"FW,MF",19,2000,0.2,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,shooting,ITA,"FW,MF",19,2000,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,misc,ITA,"FW,MF",19,2000,12,0,1,7,4,0,12,1,0,1,9,55,6,0,0,0,0,0,8,2,possession,ITA,"FW,MF",19,2000,0.2,7,9,77.8,145,39,2,3,66.7,2,2,100.0,2,3,0,0.1,0.0,-0.1,1,1,0,0,0,passing,ITA,"FW,MF",19,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,defense,vincenzo millico,vincenzo millico,vincenzo millico,1200000.0
ITA-Serie A,2020,Genoa,Vittorio Parigini,ITA,"MF,DF",24,1996,4,0,56,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,0,8,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,standard,ITA,"MF,DF",24,1996,0.6,0,1,1,1.61,1.61,0,0,0,0.0,0.0,0.0,0.0,shooting,ITA,"MF,DF",24,1996,0,0,0,0,2,1,9,0,2,0,0,0,2,2,2,misc,ITA,"MF,DF",24,1996,35,1,4,9,22,0,35,2,1,1,18,162,80,5,1,0,1,1,20,8,possession,ITA,"MF,DF",24,1996,0.6,14,27,51.9,237,33,6,7,85.7,8,14,57.1,0,1,0,0.0,0.2,0.0,0,0,1,1,0,passing,ITA,"MF,DF",24,1996,5,2,4,0,1,0,1,1,0,0,0,0,5,0,0,defense,vittorio parigini,vittorio parigini,vittorio parigini,700000.0
ITA-Serie A,2020,Sassuolo,Vlad Chiricheș,ROU,DF,30,1989,24,22,1837,20.4,2,1,3,2,0,0,6,0,1.3,1.3,0.4,1.7,10,67,9,0.1,0.05,0.15,0.1,0.15,0.06,0.02,0.08,0.06,0.08,standard,ROU,DF,30,1989,20.4,2,12,3,0.59,0.15,0,0,0,1.3,1.3,0.7,0.7,shooting,ROU,DF,30,1989,6,0,0,31,14,1,4,50,23,0,0,1,135,52,45,misc,ROU,DF,30,1989,1828,216,804,958,77,17,1828,15,11,4,1201,5365,2975,10,21,2,11,5,1349,9,possession,ROU,DF,30,1989,20.4,1505,1610,93.5,26044,8573,631,661,95.5,745,778,95.8,106,131,1,0.4,0.5,0.6,8,66,2,1,67,passing,ROU,DF,30,1989,38,23,34,3,1,21,35,14,31,21,10,50,88,59,2,defense,vlad chiriches,vlad chiriches,vlad chiriches,3500000.0
ITA-Serie A,2020,Torino,Samir Ujkani,KVX,GK,32,1988,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,KVX,GK,32,1988,1.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,shooting,KVX,GK,32,1988,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,misc,KVX,GK,32,1988,29,26,29,0,0,0,29,0,0,0,17,70,33,0,0,0,0,0,13,0,possession,KVX,GK,32,1988,1.0,23,27,85.2,622,503,1,1,100.0,12,12,100.0,9,12,0,0.0,0.0,0.0,0,0,0,0,0,passing,KVX,GK,32,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,defense,samir ujkani,samir ujkani,samir ujkani,200000.0
ITA-Serie A,2020,Milan,Samu Castillejo,ESP,FW,25,1995,28,12,1181,13.1,1,0,1,1,0,0,5,0,2.5,2.5,0.7,3.2,41,41,90,0.08,0.0,0.08,0.08,0.08,0.19,0.05,0.24,0.19,0.24,standard,ESP,FW,25,1995,13.1,1,25,7,1.91,0.53,1,0,0,2.5,2.5,-1.5,-1.5,shooting,ESP,FW,25,1995,5,0,0,25,30,4,34,6,12,1,0,0,78,8,20,misc,ESP,FW,25,1995,614,9,84,274,269,43,614,47,30,17,394,2598,1189,41,30,16,21,23,428,90,possession,ESP,FW,25,1995,13.1,356,451,78.9,5632,1329,183,210,87.1,122,142,85.9,32,53,0,0.7,0.8,-0.7,10,25,16,5,41,passing,ESP,FW,25,1995,24,12,9,14,1,14,40,26,21,0,21,6,30,9,0,defense,samu castillejo,samu castillejo,samu castillejo,8000000.0
ITA-Serie A,2020,Fiorentina,Valentin Eysseric,FRA,"MF,FW",28,1992,16,6,729,8.1,2,0,2,2,0,0,2,0,1.3,1.3,0.6,1.8,14,33,45,0.25,0.0,0.25,0.25,0.25,0.16,0.07,0.23,0.16,0.23,standard,FRA,"MF,FW",28,1992,8.1,2,13,5,1.6,0.62,1,0,0,1.3,1.3,0.7,0.7,shooting,FRA,"MF,FW",28,1992,2,0,0,12,11,0,33,7,8,0,0,0,40,10,9,misc,FRA,"MF,FW",28,1992,444,11,72,208,166,13,444,6,3,3,255,1176,592,14,12,3,11,7,298,45,possession,FRA,"MF,FW",28,1992,8.1,256,357,71.7,4331,1264,132,153,86.3,77,105,73.3,33,63,0,0.6,0.7,-0.6,8,31,5,4,33,passing,FRA,"MF,FW",28,1992,14,8,6,7,1,5,11,6,11,0,11,7,21,8,0,defense,valentin eysseric,valentin eysseric,valentin eysseric,1500000.0
ITA-Serie A,2020,Parma,Valentin Mihaila,ROU,"FW,MF",20,2000,16,4,698,7.8,3,0,3,3,0,0,2,0,2.7,2.7,0.3,3.0,30,9,60,0.39,0.0,0.39,0.39,0.39,0.35,0.04,0.38,0.35,0.38,standard,ROU,"FW,MF",20,2000,7.8,3,19,10,2.45,1.29,0,0,0,2.7,2.7,0.3,0.3,shooting,ROU,"FW,MF",20,2000,2,0,0,5,8,5,14,5,1,1,0,0,20,3,15,misc,ROU,"FW,MF",20,2000,288,9,40,104,148,31,288,28,14,14,179,1672,777,30,19,14,20,6,202,60,possession,ROU,"FW,MF",20,2000,7.8,124,192,64.6,1814,378,74,97,76.3,34,49,69.4,10,22,0,0.3,0.4,-0.3,7,7,3,2,9,passing,ROU,"FW,MF",20,2000,2,1,1,1,0,0,10,10,8,1,7,5,7,8,0,defense,valentin mihaila,valentin mihaila,valentin mihaila,8500000.0
ITA-Serie A,2020,Sampdoria,Valerio Verre,ITA,"FW,MF",26,1994,27,12,998,11.1,3,3,6,3,0,0,3,0,1.9,1.9,1.6,3.6,32,70,82,0.27,0.27,0.54,0.27,0.54,0.17,0.15,0.32,0.17,0.32,standard,ITA,"FW,MF",26,1994,11.1,3,24,10,2.16,0.9,0,0,0,1.9,1.9,1.1,1.1,shooting,ITA,"FW,MF",26,1994,3,0,0,25,21,1,20,9,7,0,0,0,67,18,25,misc,ITA,"FW,MF",26,1994,673,7,72,350,263,28,673,32,19,13,403,2177,1090,32,23,3,42,23,514,82,possession,ITA,"FW,MF",26,1994,11.1,371,530,70.0,6143,1972,188,232,81.0,126,176,71.6,38,66,3,1.6,1.3,1.4,19,48,21,2,70,passing,ITA,"FW,MF",26,1994,11,7,2,7,2,4,19,15,14,2,12,9,20,3,0,defense,valerio verre,valerio verre,valerio verre,3500000.0
