composite_key,nation,pos,age,born,Playing Time,Playing Time.1,Playing Time.2,Playing Time.3,Performance,Performance.1,Performance.2,Performance.3,Performance.4,Performance.5,Performance.6,Performance.7,Expected,Expected.1,Expected.2,Expected.3,Progression,Progression.1,Progression.2,Per 90 Minutes,Per 90 Minutes.1,Per 90 Minutes.2,Per 90 Minutes.3,Per 90 Minutes.4,Per 90 Minutes.5,Per 90 Minutes.6,Per 90 Minutes.7,Per 90 Minutes.8,Per 90 Minutes.9,league,season,stat_type,nation_dup,pos_dup,age_dup,born_dup,90s,Standard,Standard.1,Standard.2,Standard.3,Standard.4,Standard.5,Standard.6,Standard.7,Standard.8,Standard.9,Standard.10,Standard.11,Expected_dup,Expected.1_dup,Expected.2_dup,Expected.3_dup,Expected.4,league_dup,season_dup,stat_type_dup,nation_dup,pos_dup,age_dup,born_dup,90s_dup,Total,Total.1,Total.2,Total.3,Total.4,Short,Short.1,Short.2,Medium,Medium.1,Medium.2,Long,Long.1,Long.2,Ast,xAG,Expected_dup,Expected.1_dup,KP,1/3,PPA,CrsPA,PrgP,league_dup,season_dup,stat_type_dup,nation_dup,pos_dup,age_dup,born_dup,90s_dup,Touches,Touches.1,Touches.2,Touches.3,Touches.4,Touches.5,Touches.6,Take-Ons,Take-Ons.1,Take-Ons.2,Take-Ons.3,Take-Ons.4,Carries,Carries.1,Carries.2,Carries.3,Carries.4,Carries.5,Carries.6,Carries.7,Receiving,Receiving.1,league_dup,season_dup,stat_type_dup,nation_dup,pos_dup,age_dup,born_dup,90s_dup,Tackles,Tackles.1,Tackles.2,Tackles.3,Tackles.4,Challenges,Challenges.1,Challenges.2,Challenges.3,Blocks,Blocks.1,Blocks.2,Int,Tkl+Int,Clr,Err,league_dup,season_dup,stat_type_dup,nation_dup,pos_dup,age_dup,born_dup,90s_dup,Performance_dup,Performance.1_dup,Performance.2_dup,Performance.3_dup,Performance.4_dup,Performance.5_dup,Performance.6_dup,Performance.7_dup,Performance.8,Performance.9,Performance.10,Performance.11,Performance.12,Aerial Duels,Aerial Duels.1,Aerial Duels.2,league_dup,season_dup,stat_type_dup
ALB_FW_20.0_2001.0,ALB,FW,20.0,2001.0,12,2,294,3.3,1,0,1,1,0,0,0,0,0.8,0.8,0.1,0.9,8,4,17,0.31,0.0,0.31,0.31,0.31,0.26,0.02,0.27,0.26,0.27,ENG-Premier League,2022.0,standard,ALB,FW,20.0,2001.0,3.3,1,6,5,83.3,1.84,1.53,0.17,0.2,11.0,0,0,0,0.8,0.8,0.14,0.2,0.2,ENG-Premier League,2022.0,shooting,ALB,FW,20.0,2001.0,3.3,33,53,62.3,466,54,21,33,63.6,9,15,60.0,2,3,66.7,0.0,0.1,0.1,-0.1,1.0,1.0,1.0,0.0,4.0,ENG-Premier League,2022.0,passing,ALB,FW,20.0,2001.0,3.3,110,2,7,41,63,16,110,15,8,53.3,5,33.3,54,399,199,8,1,5,15,9,71,17,ENG-Premier League,2022.0,possession,ALB,FW,20.0,2001.0,3.3,4,1,0,3,1,1,1,100.0,0,10,1,9,1.0,5.0,1.0,0.0,ENG-Premier League,2022.0,defense,ALB,FW,20.0,2001.0,3.3,0,0,0,2,6,3,0,1,1,1,0,0,15,9,21,30.0,ENG-Premier League,2022.0,misc
ALG_DF_21.0_2001.0,ALG,DF,21.0,2001.0,21,9,1076,12.0,1,0,1,1,0,0,4,0,0.7,0.7,1.0,1.7,30,43,76,0.08,0.0,0.08,0.08,0.08,0.06,0.08,0.14,0.06,0.14,ENG-Premier League,2022.0,standard,ALG,DF,21.0,2001.0,12.0,1,10,5,50.0,0.84,0.42,0.1,0.2,14.1,0,0,0,0.7,0.7,0.07,0.3,0.3,ENG-Premier League,2022.0,shooting,ALG,DF,21.0,2001.0,12.0,470,578,81.3,7079,2353,268,300,89.3,169,205,82.4,20,32,62.5,0.0,1.0,0.9,-1.0,7.0,29.0,14.0,5.0,43.0,ENG-Premier League,2022.0,passing,ALG,DF,21.0,2001.0,12.0,740,40,240,279,233,28,740,50,28,56.0,18,36.0,395,2260,1244,30,13,10,28,12,454,76,ENG-Premier League,2022.0,possession,ALG,DF,21.0,2001.0,12.0,33,20,25,7,1,9,16,56.3,7,3,0,3,9.0,42.0,28.0,0.0,ENG-Premier League,2022.0,defense,ALG,DF,21.0,2001.0,12.0,4,0,0,15,11,3,21,9,20,0,1,1,61,14,17,45.2,ENG-Premier League,2022.0,misc
"ALG_FW,MF_26.0_1995.0",ALG,"FW,MF",26.0,1995.0,35,22,2069,23.0,6,3,9,2,4,4,0,0,7.0,3.9,4.5,8.4,109,82,237,0.26,0.13,0.39,0.09,0.22,0.31,0.2,0.5,0.17,0.36,ENG-Premier League,2022.0,standard,ALG,"FW,MF",26.0,1995.0,23.0,6,69,23,33.3,3.0,1.0,0.03,0.09,21.9,5,4,4,7.0,3.9,0.06,-1.0,-1.9,ENG-Premier League,2022.0,shooting,ALG,"FW,MF",26.0,1995.0,23.0,597,796,75.0,8154,2088,374,425,88.0,176,241,73.0,25,61,41.0,3.0,4.5,3.3,-1.5,48.0,32.0,23.0,12.0,82.0,ENG-Premier League,2022.0,passing,ALG,"FW,MF",26.0,1995.0,23.0,1091,16,131,399,583,94,1087,123,51,41.5,56,45.5,699,5281,2705,109,54,44,53,42,800,237,ENG-Premier League,2022.0,possession,ALG,"FW,MF",26.0,1995.0,23.0,25,15,11,7,7,11,27,40.7,16,23,1,22,9.0,34.0,13.0,0.0,ENG-Premier League,2022.0,defense,ALG,"FW,MF",26.0,1995.0,23.0,0,0,0,16,15,7,83,9,15,0,0,0,113,5,11,31.3,ENG-Premier League,2022.0,misc
"ALG_FW,MF_31.0_1991.0",ALG,"FW,MF",31.0,1991.0,30,22,1920,21.3,5,10,15,4,1,1,2,0,5.6,4.8,7.0,11.8,78,76,242,0.23,0.47,0.7,0.19,0.66,0.26,0.33,0.59,0.22,0.55,ENG-Premier League,2022.0,standard,ALG,"FW,MF",31.0,1991.0,21.3,5,42,12,28.6,1.97,0.56,0.1,0.33,17.2,7,1,1,5.6,4.8,0.11,-0.6,-0.8,ENG-Premier League,2022.0,shooting,ALG,"FW,MF",31.0,1991.0,21.3,958,1166,82.2,15746,2752,506,567,89.2,355,416,85.3,82,141,58.2,10.0,7.0,5.3,3.0,52.0,36.0,37.0,7.0,76.0,ENG-Premier League,2022.0,passing,ALG,"FW,MF",31.0,1991.0,21.3,1392,14,105,494,802,110,1391,73,25,34.2,27,37.0,934,5159,2361,78,47,45,35,27,1042,242,ENG-Premier League,2022.0,possession,ALG,"FW,MF",31.0,1991.0,21.3,30,14,8,13,9,13,39,33.3,26,27,1,26,9.0,39.0,5.0,0.0,ENG-Premier League,2022.0,defense,ALG,"FW,MF",31.0,1991.0,21.3,2,0,0,16,42,7,96,9,14,0,0,0,82,9,14,39.1,ENG-Premier League,2022.0,misc
ARG_DF_24.0_1998.0,ARG,DF,24.0,1998.0,27,24,2114,23.5,1,0,1,1,0,0,6,0,0.5,0.5,0.3,0.8,12,83,2,0.04,0.0,0.04,0.04,0.04,0.02,0.01,0.03,0.02,0.03,ENG-Premier League,2022.0,standard,ARG,DF,24.0,1998.0,23.5,1,10,1,10.0,0.43,0.04,0.1,1.0,14.8,0,0,0,0.5,0.5,0.05,0.5,0.5,ENG-Premier League,2022.0,shooting,ARG,DF,24.0,1998.0,23.5,1330,1528,87.0,23895,8188,532,568,93.7,683,728,93.8,96,193,49.7,0.0,0.3,1.0,-0.3,6.0,92.0,5.0,0.0,83.0,ENG-Premier League,2022.0,passing,ARG,DF,24.0,1998.0,23.5,1809,281,934,829,60,11,1809,16,14,87.5,0,0.0,1061,5256,2986,12,16,0,11,9,1138,2,ENG-Premier League,2022.0,possession,ARG,DF,24.0,1998.0,23.5,54,28,33,18,3,30,43,69.8,13,51,27,24,33.0,87.0,103.0,0.0,ENG-Premier League,2022.0,defense,ARG,DF,24.0,1998.0,23.5,6,0,0,21,10,0,0,33,28,0,0,0,164,32,31,50.8,ENG-Premier League,2022.0,misc
ARG_DF_25.0_1997.0,ARG,DF,25.0,1997.0,31,29,2491,27.7,2,0,2,2,0,0,7,0,1.6,1.6,0.5,2.1,9,66,3,0.07,0.0,0.07,0.07,0.07,0.06,0.02,0.08,0.06,0.08,ENG-Premier League,2022.0,standard,ARG,DF,25.0,1997.0,27.7,2,8,2,25.0,0.29,0.07,0.25,1.0,9.1,0,0,0,1.6,1.6,0.2,0.4,0.4,ENG-Premier League,2022.0,shooting,ARG,DF,25.0,1997.0,27.7,1064,1322,80.5,21380,9358,360,399,90.2,551,625,88.2,137,245,55.9,0.0,0.5,0.4,-0.5,5.0,86.0,4.0,1.0,66.0,ENG-Premier League,2022.0,passing,ARG,DF,25.0,1997.0,27.7,1647,340,1037,568,57,16,1647,13,8,61.5,4,30.8,929,4383,2386,9,12,1,15,4,983,3,ENG-Premier League,2022.0,possession,ARG,DF,25.0,1997.0,27.7,50,35,28,22,0,23,44,52.3,21,38,20,18,43.0,93.0,146.0,2.0,ENG-Premier League,2022.0,defense,ARG,DF,25.0,1997.0,27.7,7,0,0,29,13,0,8,43,35,0,2,0,168,26,22,54.2,ENG-Premier League,2022.0,misc
"ARG_FW,MF_17.0_2004.0",ARG,"FW,MF",17.0,2004.0,13,6,565,6.3,1,1,2,1,0,0,2,0,1.4,1.4,0.5,1.9,9,13,42,0.16,0.16,0.32,0.16,0.32,0.22,0.09,0.31,0.22,0.31,ENG-Premier League,2022.0,standard,ARG,"FW,MF",17.0,2004.0,6.3,1,11,3,27.3,1.75,0.48,0.09,0.33,16.9,0,0,0,1.4,1.4,0.13,-0.4,-0.4,ENG-Premier League,2022.0,shooting,ARG,"FW,MF",17.0,2004.0,6.3,157,194,80.9,2407,525,101,114,88.6,36,46,78.3,17,21,81.0,1.0,0.5,0.4,0.5,6.0,9.0,10.0,2.0,13.0,ENG-Premier League,2022.0,passing,ARG,"FW,MF",17.0,2004.0,6.3,258,8,33,114,115,19,258,19,7,36.8,9,47.4,182,1018,424,9,5,2,10,2,202,42,ENG-Premier League,2022.0,possession,ARG,"FW,MF",17.0,2004.0,6.3,2,1,1,1,0,1,22,4.5,21,5,2,3,4.0,6.0,3.0,0.0,ENG-Premier League,2022.0,defense,ARG,"FW,MF",17.0,2004.0,6.3,2,0,0,9,7,3,7,4,1,0,0,0,25,2,4,33.3,ENG-Premier League,2022.0,misc
"ARG_FW,MF_18.0_2004.0",ARG,"FW,MF",18.0,2004.0,19,5,569,6.3,3,2,5,3,0,0,3,0,3.0,3.0,1.0,4.1,33,12,85,0.47,0.32,0.79,0.47,0.79,0.48,0.16,0.64,0.48,0.64,ENG-Premier League,2022.0,standard,ARG,"FW,MF",18.0,2004.0,6.3,3,24,9,37.5,3.8,1.42,0.13,0.33,16.3,0,0,0,3.0,3.0,0.13,0.0,0.0,ENG-Premier League,2022.0,shooting,ARG,"FW,MF",18.0,2004.0,6.3,150,187,80.2,1802,233,113,131,86.3,27,30,90.0,4,5,80.0,2.0,1.0,0.9,1.0,3.0,2.0,2.0,0.0,12.0,ENG-Premier League,2022.0,passing,ARG,"FW,MF",18.0,2004.0,6.3,305,3,29,84,196,59,305,44,12,27.3,27,61.4,220,1666,896,33,27,28,27,14,235,85,ENG-Premier League,2022.0,possession,ARG,"FW,MF",18.0,2004.0,6.3,5,2,2,0,3,1,11,9.1,10,5,0,5,5.0,10.0,3.0,0.0,ENG-Premier League,2022.0,defense,ARG,"FW,MF",18.0,2004.0,6.3,3,0,0,8,8,3,2,5,2,0,0,0,28,3,10,23.1,ENG-Premier League,2022.0,misc
"ARG_FW,MF_22.0_2000.0",ARG,"FW,MF",22.0,2000.0,31,13,1465,16.3,9,0,9,8,1,1,0,0,7.0,6.2,1.8,8.0,38,37,99,0.55,0.0,0.55,0.49,0.49,0.43,0.11,0.54,0.38,0.49,ENG-Premier League,2022.0,standard,ARG,"FW,MF",22.0,2000.0,16.3,9,46,20,43.5,2.83,1.23,0.17,0.4,16.0,0,1,1,7.0,6.2,0.13,2.0,1.8,ENG-Premier League,2022.0,shooting,ARG,"FW,MF",22.0,2000.0,16.3,395,503,78.5,5472,885,232,270,85.9,103,135,76.3,28,43,65.1,0.0,1.8,1.6,-1.8,18.0,22.0,13.0,2.0,37.0,ENG-Premier League,2022.0,passing,ARG,"FW,MF",22.0,2000.0,16.3,654,8,46,255,360,89,653,38,21,55.3,14,36.8,406,2187,908,38,18,17,28,24,506,99,ENG-Premier League,2022.0,possession,ARG,"FW,MF",22.0,2000.0,16.3,26,16,3,13,10,9,30,30.0,21,13,0,13,2.0,28.0,6.0,0.0,ENG-Premier League,2022.0,defense,ARG,"FW,MF",22.0,2000.0,16.3,0,0,0,21,14,3,26,2,16,1,0,0,44,8,23,25.8,ENG-Premier League,2022.0,misc
"ARG_MF,FW_19.0_2002.0",ARG,"MF,FW",19.0,2002.0,18,13,1029,11.4,4,2,6,4,0,0,3,0,1.9,1.9,0.7,2.6,20,28,32,0.35,0.17,0.52,0.35,0.52,0.17,0.06,0.23,0.17,0.23,ENG-Premier League,2022.0,standard,ARG,"MF,FW",19.0,2002.0,11.4,4,24,10,41.7,2.1,0.87,0.17,0.4,20.0,0,0,0,1.9,1.9,0.08,2.1,2.1,ENG-Premier League,2022.0,shooting,ARG,"MF,FW",19.0,2002.0,11.4,222,290,76.6,3147,669,114,137,83.2,80,95,84.2,8,19,42.1,2.0,0.7,0.7,1.3,5.0,20.0,6.0,0.0,28.0,ENG-Premier League,2022.0,passing,ARG,"MF,FW",19.0,2002.0,11.4,430,14,73,234,130,23,430,28,13,46.4,11,39.3,258,1292,675,20,17,2,30,24,296,32,ENG-Premier League,2022.0,possession,ARG,"MF,FW",19.0,2002.0,11.4,10,5,2,7,1,6,22,27.3,16,14,5,9,1.0,11.0,11.0,0.0,ENG-Premier League,2022.0,defense,ARG,"MF,FW",19.0,2002.0,11.4,3,0,0,16,17,2,4,1,5,0,0,0,53,7,27,20.6,ENG-Premier League,2022.0,misc
