composite_key,nation,pos,age,born,Playing Time,Playing Time.1,Playing Time.2,Playing Time.3,Performance,Performance.1,Performance.2,Performance.3,Performance.4,Performance.5,Performance.6,Performance.7,Expected,Expected.1,Expected.2,Expected.3,Progression,Progression.1,Progression.2,Per 90 Minutes,Per 90 Minutes.1,Per 90 Minutes.2,Per 90 Minutes.3,Per 90 Minutes.4,Per 90 Minutes.5,Per 90 Minutes.6,Per 90 Minutes.7,Per 90 Minutes.8,Per 90 Minutes.9,league,season,stat_type,nation_dup,pos_dup,age_dup,born_dup,90s,Standard,Standard.1,Standard.2,Standard.3,Standard.4,Standard.5,Standard.6,Standard.7,Standard.8,Standard.9,Standard.10,Standard.11,Expected_dup,Expected.1_dup,Expected.2_dup,Expected.3_dup,Expected.4,league_dup,season_dup,stat_type_dup,nation_dup,pos_dup,age_dup,born_dup,90s_dup,Total,Total.1,Total.2,Total.3,Total.4,Short,Short.1,Short.2,Medium,Medium.1,Medium.2,Long,Long.1,Long.2,Ast,xAG,Expected_dup,Expected.1_dup,KP,1/3,PPA,CrsPA,PrgP,league_dup,season_dup,stat_type_dup,nation_dup,pos_dup,age_dup,born_dup,90s_dup,Touches,Touches.1,Touches.2,Touches.3,Touches.4,Touches.5,Touches.6,Take-Ons,Take-Ons.1,Take-Ons.2,Take-Ons.3,Take-Ons.4,Carries,Carries.1,Carries.2,Carries.3,Carries.4,Carries.5,Carries.6,Carries.7,Receiving,Receiving.1,league_dup,season_dup,stat_type_dup,nation_dup,pos_dup,age_dup,born_dup,90s_dup,Tackles,Tackles.1,Tackles.2,Tackles.3,Tackles.4,Challenges,Challenges.1,Challenges.2,Challenges.3,Blocks,Blocks.1,Blocks.2,Int,Tkl+Int,Clr,Err,league_dup,season_dup,stat_type_dup,nation_dup,pos_dup,age_dup,born_dup,90s_dup,Performance_dup,Performance.1_dup,Performance.2_dup,Performance.3_dup,Performance.4_dup,Performance.5_dup,Performance.6_dup,Performance.7_dup,Performance.8,Performance.9,Performance.10,Performance.11,Performance.12,Aerial Duels,Aerial Duels.1,Aerial Duels.2,league_dup,season_dup,stat_type_dup
AUT_DF_26-204_1998.0,AUT,DF,26-204,1998.0,4,4,347,3.9,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.4,2,7,0,0.0,0.0,0.0,0.0,0.0,0.09,0.01,0.1,0.09,0.1,ENG-Premier League,2024.0,standard,AUT,DF,26-204,1998.0,3.9,0,4,2,50.0,1.04,0.52,0.0,0.0,11.3,0,0,0,0.3,0.3,0.09,-0.3,-0.3,ENG-Premier League,2024.0,shooting,AUT,DF,26-204,1998.0,3.9,261,287,90.9,4534,1497,97,104,93.3,150,159,94.3,11,20,55.0,0.0,0.0,0.1,0.0,1.0,14.0,1.0,1.0,7.0,ENG-Premier League,2024.0,passing,AUT,DF,26-204,1998.0,3.9,334,42,179,141,15,7,334,2,1,50.0,1,50.0,242,1075,466,2,0,0,6,0,254,0,ENG-Premier League,2024.0,possession,AUT,DF,26-204,1998.0,3.9,5,4,2,3,0,4,6,66.7,2,4,4,0,2.0,7.0,22.0,1.0,ENG-Premier League,2024.0,defense,AUT,DF,26-204,1998.0,3.9,0,0,0,4,4,0,1,2,4,0,0,0,11,7,6,53.8,ENG-Premier League,2024.0,misc
BEL_DF_27-008_1998.0,BEL,DF,27-008,1998.0,28,24,2275,25.3,1,0,1,1,0,0,3,0,1.4,1.4,0.1,1.5,11,72,1,0.04,0.0,0.04,0.04,0.04,0.05,0.0,0.06,0.05,0.06,ENG-Premier League,2024.0,standard,BEL,DF,27-008,1998.0,25.3,1,11,1,9.1,0.44,0.04,0.09,1.0,10.0,0,0,0,1.4,1.4,0.12,-0.4,-0.4,ENG-Premier League,2024.0,shooting,BEL,DF,27-008,1998.0,25.3,1082,1245,86.9,20017,6917,418,448,93.3,572,605,94.5,89,171,52.0,0.0,0.1,0.4,-0.1,4.0,72.0,5.0,0.0,72.0,ENG-Premier League,2024.0,passing,BEL,DF,27-008,1998.0,25.3,1531,246,744,730,65,26,1531,5,4,80.0,1,20.0,873,4107,2433,11,12,2,15,5,998,1,ENG-Premier League,2024.0,possession,BEL,DF,27-008,1998.0,25.3,38,23,25,11,2,22,41,53.7,19,42,30,12,25.0,63.0,146.0,3.0,ENG-Premier League,2024.0,defense,BEL,DF,27-008,1998.0,25.3,3,0,0,20,9,1,5,25,23,0,0,0,76,40,30,57.1,ENG-Premier League,2024.0,misc
BEL_DF_29-127_1995.0,BEL,DF,29-127,1995.0,21,16,1522,16.9,0,1,1,0,0,0,1,0,0.4,0.4,1.2,1.6,17,58,65,0.0,0.06,0.06,0.0,0.06,0.02,0.07,0.09,0.02,0.09,ENG-Premier League,2024.0,standard,BEL,DF,29-127,1995.0,16.9,0,8,3,37.5,0.47,0.18,0.0,0.0,14.0,0,0,0,0.4,0.4,0.05,-0.4,-0.4,ENG-Premier League,2024.0,shooting,BEL,DF,29-127,1995.0,16.9,725,883,82.1,11618,3674,363,401,90.5,308,359,85.8,36,71,50.7,1.0,1.2,0.5,-0.2,9.0,47.0,5.0,3.0,58.0,ENG-Premier League,2024.0,passing,BEL,DF,29-127,1995.0,16.9,1077,85,419,431,232,30,1077,10,4,40.0,4,40.0,521,2097,1016,17,14,2,13,5,628,65,ENG-Premier League,2024.0,possession,BEL,DF,29-127,1995.0,16.9,45,28,27,15,3,26,44,59.1,18,13,4,9,20.0,65.0,77.0,0.0,ENG-Premier League,2024.0,defense,BEL,DF,29-127,1995.0,16.9,1,0,0,13,6,1,37,20,28,0,1,0,51,28,31,47.5,ENG-Premier League,2024.0,misc
"BEL_FW,MF_22-319_2002.0",BEL,"FW,MF",22-319,2002.0,22,14,1273,14.1,3,4,7,3,0,0,1,0,1.0,1.0,3.5,4.5,166,59,223,0.21,0.28,0.49,0.21,0.49,0.07,0.25,0.32,0.07,0.32,ENG-Premier League,2024.0,standard,BEL,"FW,MF",22-319,2002.0,14.1,3,23,9,39.1,1.63,0.64,0.13,0.33,18.3,0,0,0,1.0,1.0,0.04,2.0,2.0,ENG-Premier League,2024.0,shooting,BEL,"FW,MF",22-319,2002.0,14.1,497,625,79.5,6986,1268,327,378,86.5,152,185,82.2,12,18,66.7,4.0,3.5,3.1,0.5,24.0,10.0,40.0,5.0,59.0,ENG-Premier League,2024.0,passing,BEL,"FW,MF",22-319,2002.0,14.1,844,4,40,198,628,116,844,166,92,55.4,48,28.9,650,6097,3833,166,77,77,48,50,700,223,ENG-Premier League,2024.0,possession,BEL,"FW,MF",22-319,2002.0,14.1,27,19,9,12,6,7,13,53.8,6,10,1,9,4.0,31.0,2.0,0.0,ENG-Premier League,2024.0,defense,BEL,"FW,MF",22-319,2002.0,14.1,1,0,0,6,27,5,47,4,19,0,0,0,49,0,10,0.0,ENG-Premier League,2024.0,misc
BEL_FW_30-128_1994.0,BEL,FW,30-128,1994.0,31,22,2001,22.2,5,5,10,5,0,0,4,1,5.4,5.4,5.0,10.4,67,84,179,0.22,0.22,0.45,0.22,0.45,0.24,0.22,0.47,0.24,0.47,ENG-Premier League,2024.0,standard,BEL,FW,30-128,1994.0,22.2,5,56,16,28.6,2.52,0.72,0.09,0.31,16.3,0,0,0,5.4,5.4,0.1,-0.4,-0.4,ENG-Premier League,2024.0,shooting,BEL,FW,30-128,1994.0,22.2,537,730,73.6,8890,2528,282,332,84.9,203,269,75.5,41,78,52.6,5.0,5.0,3.1,0.0,34.0,35.0,41.0,9.0,84.0,ENG-Premier League,2024.0,passing,BEL,FW,30-128,1994.0,22.2,983,14,111,302,586,117,983,67,27,40.3,31,46.3,621,3916,1737,67,45,25,45,36,725,179,ENG-Premier League,2024.0,possession,BEL,FW,30-128,1994.0,22.2,25,16,5,14,6,9,28,32.1,19,25,0,25,9.0,34.0,17.0,0.0,ENG-Premier League,2024.0,defense,BEL,FW,30-128,1994.0,22.2,4,1,1,23,39,5,75,9,16,0,0,0,83,5,20,20.0,ENG-Premier League,2024.0,misc
BEL_MF_23-238_2001.0,BEL,MF,23-238,2001.0,19,15,1166,13.0,2,0,2,2,0,0,4,0,1.8,1.8,0.2,2.0,16,44,11,0.15,0.0,0.15,0.15,0.15,0.14,0.01,0.16,0.14,0.16,ENG-Premier League,2024.0,standard,BEL,MF,23-238,2001.0,13.0,2,14,4,28.6,1.08,0.31,0.14,0.5,13.8,0,0,0,1.8,1.8,0.13,0.2,0.2,ENG-Premier League,2024.0,shooting,BEL,MF,23-238,2001.0,13.0,508,574,88.5,7993,1861,255,269,94.8,217,242,89.7,23,31,74.2,0.0,0.2,0.3,-0.2,5.0,39.0,5.0,1.0,44.0,ENG-Premier League,2024.0,passing,BEL,MF,23-238,2001.0,13.0,718,51,198,429,104,15,718,16,10,62.5,3,18.8,398,2017,1005,16,15,0,9,7,478,11,ENG-Premier League,2024.0,possession,BEL,MF,23-238,2001.0,13.0,39,22,18,18,3,12,22,54.5,10,13,6,7,20.0,59.0,27.0,3.0,ENG-Premier League,2024.0,defense,BEL,MF,23-238,2001.0,13.0,4,0,0,27,21,0,1,20,22,0,0,0,60,21,14,60.0,ENG-Premier League,2024.0,misc
BEL_MF_27-024_1998.0,BEL,MF,27-024,1998.0,19,14,1261,14.0,1,0,1,1,0,0,2,0,1.1,1.1,0.6,1.8,6,34,19,0.07,0.0,0.07,0.07,0.07,0.08,0.05,0.13,0.08,0.13,ENG-Premier League,2024.0,standard,BEL,MF,27-024,1998.0,14.0,1,16,6,37.5,1.14,0.43,0.06,0.17,22.1,0,0,0,1.1,1.1,0.07,-0.1,-0.1,ENG-Premier League,2024.0,shooting,BEL,MF,27-024,1998.0,14.0,437,490,89.2,6998,1567,219,242,90.5,187,197,94.9,23,30,76.7,0.0,0.6,0.6,-0.6,8.0,50.0,8.0,1.0,34.0,ENG-Premier League,2024.0,passing,BEL,MF,27-024,1998.0,14.0,621,22,133,335,157,13,621,24,14,58.3,9,37.5,298,1574,576,6,6,3,12,12,406,19,ENG-Premier League,2024.0,possession,BEL,MF,27-024,1998.0,14.0,16,8,3,11,2,5,8,62.5,3,8,3,5,21.0,37.0,24.0,1.0,ENG-Premier League,2024.0,defense,BEL,MF,27-024,1998.0,14.0,2,0,0,24,17,2,6,21,8,0,0,0,49,6,8,42.9,ENG-Premier League,2024.0,misc
BEL_MF_27-339_1997.0,BEL,MF,27-339,1997.0,31,31,2645,29.4,2,5,7,2,0,1,4,0,2.7,1.9,6.2,8.1,31,198,38,0.07,0.17,0.24,0.07,0.24,0.09,0.21,0.3,0.06,0.27,ENG-Premier League,2024.0,standard,BEL,MF,27-339,1997.0,29.4,2,31,9,29.0,1.05,0.31,0.06,0.22,21.4,0,0,1,2.7,1.9,0.06,-0.7,0.1,ENG-Premier League,2024.0,shooting,BEL,MF,27-339,1997.0,29.4,1463,1784,82.0,24920,8877,684,763,89.6,637,729,87.4,117,222,52.7,5.0,6.2,5.1,-1.2,52.0,190.0,30.0,4.0,198.0,ENG-Premier League,2024.0,passing,BEL,MF,27-339,1997.0,29.4,2067,89,424,1183,481,33,2066,55,29,52.7,17,30.9,1106,4798,2158,31,23,8,29,25,1443,38,ENG-Premier League,2024.0,possession,BEL,MF,27-339,1997.0,29.4,75,50,28,40,7,36,66,54.5,30,35,15,20,21.0,96.0,41.0,3.0,ENG-Premier League,2024.0,defense,BEL,MF,27-339,1997.0,29.4,4,0,0,39,49,0,109,21,50,0,0,0,126,18,17,51.4,ENG-Premier League,2024.0,misc
BEL_MF_33-287_1991.0,BEL,MF,33-287,1991.0,21,13,1193,13.3,2,6,8,2,0,0,2,0,2.7,2.7,6.1,8.8,39,116,112,0.15,0.45,0.6,0.15,0.6,0.2,0.46,0.66,0.2,0.66,ENG-Premier League,2024.0,standard,BEL,MF,33-287,1991.0,13.3,2,39,11,28.2,2.94,0.83,0.05,0.18,22.5,5,0,0,2.7,2.7,0.07,-0.7,-0.7,ENG-Premier League,2024.0,shooting,BEL,MF,33-287,1991.0,13.3,654,853,76.7,11147,3230,329,383,85.9,258,330,78.2,60,99,60.6,6.0,6.1,4.7,-0.1,41.0,64.0,44.0,9.0,116.0,ENG-Premier League,2024.0,passing,BEL,MF,33-287,1991.0,13.3,982,10,62,330,597,56,982,27,10,37.0,14,51.9,568,2978,1614,39,37,15,20,23,743,112,ENG-Premier League,2024.0,possession,BEL,MF,33-287,1991.0,13.3,11,5,4,4,3,3,16,18.8,13,6,0,6,5.0,16.0,9.0,1.0,ENG-Premier League,2024.0,defense,BEL,MF,33-287,1991.0,13.3,2,0,0,12,12,5,89,5,5,0,0,0,44,3,11,21.4,ENG-Premier League,2024.0,misc
BFA_FW_23-059_2002.0,BFA,FW,23-059,2002.0,28,17,1685,18.7,7,4,11,7,0,0,1,0,7.7,7.7,4.8,12.5,67,36,169,0.37,0.21,0.59,0.37,0.59,0.41,0.26,0.67,0.41,0.67,ENG-Premier League,2024.0,standard,BFA,FW,23-059,2002.0,18.7,7,55,17,30.9,2.94,0.91,0.13,0.41,13.4,0,0,0,7.7,7.7,0.14,-0.7,-0.7,ENG-Premier League,2024.0,shooting,BFA,FW,23-059,2002.0,18.7,300,504,59.5,4743,1412,173,240,72.1,102,163,62.6,20,57,35.1,4.0,4.8,2.9,-0.8,28.0,19.0,23.0,9.0,36.0,ENG-Premier League,2024.0,passing,BFA,FW,23-059,2002.0,18.7,795,47,131,255,424,114,795,67,30,44.8,32,47.8,407,2983,1457,67,27,35,51,28,478,169,ENG-Premier League,2024.0,possession,BFA,FW,23-059,2002.0,18.7,31,23,11,11,9,16,36,44.4,20,30,8,22,8.0,39.0,42.0,0.0,ENG-Premier League,2024.0,defense,BFA,FW,23-059,2002.0,18.7,1,0,0,14,15,13,74,8,23,0,0,0,72,34,50,40.5,ENG-Premier League,2024.0,misc
