composite_key,nation,pos,age,born,Playing Time,Playing Time.1,Playing Time.2,Playing Time.3,Performance,Performance.1,Performance.2,Performance.3,Performance.4,Performance.5,Performance.6,Performance.7,Expected,Expected.1,Expected.2,Expected.3,Progression,Progression.1,Progression.2,Per 90 Minutes,Per 90 Minutes.1,Per 90 Minutes.2,Per 90 Minutes.3,Per 90 Minutes.4,Per 90 Minutes.5,Per 90 Minutes.6,Per 90 Minutes.7,Per 90 Minutes.8,Per 90 Minutes.9,league,season,stat_type,nation_dup,pos_dup,age_dup,born_dup,90s,Standard,Standard.1,Standard.2,Standard.3,Standard.4,Standard.5,Standard.6,Standard.7,Standard.8,Standard.9,Standard.10,Standard.11,Expected_dup,Expected.1_dup,Expected.2_dup,Expected.3_dup,Expected.4,league_dup,season_dup,stat_type_dup,nation_dup,pos_dup,age_dup,born_dup,90s_dup,Total,Total.1,Total.2,Total.3,Total.4,Short,Short.1,Short.2,Medium,Medium.1,Medium.2,Long,Long.1,Long.2,Ast,xAG,Expected_dup,Expected.1_dup,KP,1/3,PPA,CrsPA,PrgP,league_dup,season_dup,stat_type_dup,nation_dup,pos_dup,age_dup,born_dup,90s_dup,Touches,Touches.1,Touches.2,Touches.3,Touches.4,Touches.5,Touches.6,Take-Ons,Take-Ons.1,Take-Ons.2,Take-Ons.3,Take-Ons.4,Carries,Carries.1,Carries.2,Carries.3,Carries.4,Carries.5,Carries.6,Carries.7,Receiving,Receiving.1,league_dup,season_dup,stat_type_dup,nation_dup,pos_dup,age_dup,born_dup,90s_dup,Tackles,Tackles.1,Tackles.2,Tackles.3,Tackles.4,Challenges,Challenges.1,Challenges.2,Challenges.3,Blocks,Blocks.1,Blocks.2,Int,Tkl+Int,Clr,Err,league_dup,season_dup,stat_type_dup,nation_dup,pos_dup,age_dup,born_dup,90s_dup,Performance_dup,Performance.1_dup,Performance.2_dup,Performance.3_dup,Performance.4_dup,Performance.5_dup,Performance.6_dup,Performance.7_dup,Performance.8,Performance.9,Performance.10,Performance.11,Performance.12,Aerial Duels,Aerial Duels.1,Aerial Duels.2,league_dup,season_dup,stat_type_dup
ALG_DF_23-309_2001.0,ALG,DF,23-309,2001.0,30,30,2549,28.3,3,5,8,3,0,0,6,1,2.3,2.3,3.5,5.8,68,95,147,0.11,0.18,0.28,0.11,0.28,0.08,0.12,0.2,0.08,0.2,ENG-Premier League,2024.0,standard,ALG,DF,23-309,2001.0,28.3,3,28,7,25.0,0.99,0.25,0.11,0.43,15.1,0,0,0,2.3,2.3,0.08,0.7,0.7,ENG-Premier League,2024.0,shooting,ALG,DF,23-309,2001.0,28.3,1170,1387,84.4,16246,4872,715,765,93.5,362,416,87.0,39,94,41.5,5.0,3.5,2.6,1.5,32.0,64.0,23.0,5.0,95.0,ENG-Premier League,2024.0,passing,ALG,DF,23-309,2001.0,28.3,1728,81,475,745,529,72,1728,98,48,49.0,36,36.7,896,4944,2577,68,50,22,38,36,1038,147,ENG-Premier League,2024.0,possession,ALG,DF,23-309,2001.0,28.3,77,47,47,24,6,39,63,61.9,24,38,6,32,21.0,98.0,62.0,1.0,ENG-Premier League,2024.0,defense,ALG,DF,23-309,2001.0,28.3,6,1,1,26,31,4,69,21,47,0,0,0,126,18,26,40.9,ENG-Premier League,2024.0,misc
ARG_DF_26-349_1998.0,ARG,DF,26-349,1998.0,16,16,1281,14.2,1,0,1,1,0,0,2,0,1.4,1.4,0.5,1.9,12,57,3,0.07,0.0,0.07,0.07,0.07,0.1,0.04,0.13,0.1,0.13,ENG-Premier League,2024.0,standard,ARG,DF,26-349,1998.0,14.2,1,14,7,50.0,0.98,0.49,0.07,0.14,9.2,0,0,0,1.4,1.4,0.1,-0.4,-0.4,ENG-Premier League,2024.0,shooting,ARG,DF,26-349,1998.0,14.2,982,1103,89.0,18499,7509,325,356,91.3,569,603,94.4,76,120,63.3,0.0,0.5,0.8,-0.5,6.0,96.0,7.0,1.0,57.0,ENG-Premier League,2024.0,passing,ARG,DF,26-349,1998.0,14.2,1236,152,543,640,62,20,1236,4,1,25.0,2,50.0,810,4266,2590,12,17,0,6,4,844,3,ENG-Premier League,2024.0,possession,ARG,DF,26-349,1998.0,14.2,32,26,24,7,1,18,27,66.7,9,17,3,14,19.0,51.0,48.0,1.0,ENG-Premier League,2024.0,defense,ARG,DF,26-349,1998.0,14.2,2,0,0,11,11,2,3,19,26,0,0,0,77,34,26,56.7,ENG-Premier League,2024.0,misc
ARG_DF_27-083_1998.0,ARG,DF,27-083,1998.0,20,20,1751,19.5,2,1,3,2,0,0,7,0,1.3,1.3,1.1,2.4,23,117,7,0.1,0.05,0.15,0.1,0.15,0.07,0.06,0.13,0.07,0.13,ENG-Premier League,2024.0,standard,ARG,DF,27-083,1998.0,19.5,2,17,6,35.3,0.87,0.31,0.12,0.33,15.9,0,0,0,1.3,1.3,0.08,0.7,0.7,ENG-Premier League,2024.0,shooting,ARG,DF,27-083,1998.0,19.5,1200,1342,89.4,20292,7055,522,554,94.2,601,646,93.0,64,116,55.2,1.0,1.1,1.3,-0.1,9.0,91.0,18.0,2.0,117.0,ENG-Premier League,2024.0,passing,ARG,DF,27-083,1998.0,19.5,1524,156,713,697,125,18,1524,7,6,85.7,1,14.3,1017,5141,3129,23,23,2,1,3,1069,7,ENG-Premier League,2024.0,possession,ARG,DF,27-083,1998.0,19.5,40,24,25,12,3,21,36,58.3,15,22,8,14,32.0,72.0,57.0,1.0,ENG-Premier League,2024.0,defense,ARG,DF,27-083,1998.0,19.5,7,0,0,22,7,0,9,32,24,0,0,0,81,16,13,55.2,ENG-Premier League,2024.0,misc
"ARG_FW,MF_20-109_2004.0",ARG,"FW,MF",20-109,2004.0,27,13,1399,15.5,4,2,6,4,0,0,7,0,3.6,3.6,3.0,6.6,37,49,63,0.26,0.13,0.39,0.26,0.39,0.23,0.2,0.42,0.23,0.42,ENG-Premier League,2024.0,standard,ARG,"FW,MF",20-109,2004.0,15.5,4,31,10,32.3,1.99,0.64,0.13,0.4,17.8,0,0,0,3.6,3.6,0.11,0.4,0.4,ENG-Premier League,2024.0,shooting,ARG,"FW,MF",20-109,2004.0,15.5,413,536,77.1,6526,1638,226,263,85.9,139,170,81.8,33,67,49.3,2.0,3.0,2.2,-1.0,23.0,36.0,13.0,2.0,49.0,ENG-Premier League,2024.0,passing,ARG,"FW,MF",20-109,2004.0,15.5,805,23,117,412,289,32,805,74,25,33.8,45,60.8,442,2806,1261,37,26,8,51,37,491,63,ENG-Premier League,2024.0,possession,ARG,"FW,MF",20-109,2004.0,15.5,48,27,15,19,14,20,63,31.7,43,32,6,26,10.0,58.0,12.0,0.0,ENG-Premier League,2024.0,defense,ARG,"FW,MF",20-109,2004.0,15.5,7,0,0,33,32,3,40,10,27,0,0,0,74,14,31,31.1,ENG-Premier League,2024.0,misc
"ARG_MF,FW_20-284_2004.0",ARG,"MF,FW",20-284,2004.0,30,19,1822,20.2,4,1,5,4,0,0,2,0,6.0,6.0,2.8,8.8,118,46,241,0.2,0.05,0.25,0.2,0.25,0.3,0.14,0.44,0.3,0.44,ENG-Premier League,2024.0,standard,ARG,"MF,FW",20-284,2004.0,20.2,4,70,25,35.7,3.46,1.23,0.06,0.16,17.0,0,0,0,6.0,6.0,0.09,-2.0,-2.0,ENG-Premier League,2024.0,shooting,ARG,"MF,FW",20-284,2004.0,20.2,530,665,79.7,7473,967,337,376,89.6,144,175,82.3,26,44,59.1,1.0,2.8,1.8,-1.8,26.0,19.0,20.0,3.0,46.0,ENG-Premier League,2024.0,passing,ARG,"MF,FW",20-284,2004.0,20.2,948,13,110,308,546,139,948,74,21,28.4,46,62.2,691,5270,2702,118,61,57,51,41,722,241,ENG-Premier League,2024.0,possession,ARG,"MF,FW",20-284,2004.0,20.2,26,17,9,6,11,10,28,35.7,18,16,0,16,10.0,36.0,10.0,2.0,ENG-Premier League,2024.0,defense,ARG,"MF,FW",20-284,2004.0,20.2,2,0,0,8,36,9,42,10,17,0,0,0,99,3,21,12.5,ENG-Premier League,2024.0,misc
"ARG_MF,FW_22-132_2002.0",ARG,"MF,FW",22-132,2002.0,8,4,410,4.6,1,1,2,1,0,0,3,0,1.2,1.2,1.1,2.3,10,20,8,0.22,0.22,0.44,0.22,0.44,0.27,0.25,0.51,0.27,0.51,ENG-Premier League,2024.0,standard,ARG,"MF,FW",22-132,2002.0,4.6,1,17,6,35.3,3.73,1.32,0.06,0.17,20.3,0,0,0,1.2,1.2,0.07,-0.2,-0.2,ENG-Premier League,2024.0,shooting,ARG,"MF,FW",22-132,2002.0,4.6,122,159,76.7,2124,583,53,62,85.5,54,62,87.1,11,20,55.0,1.0,1.1,0.3,-0.1,9.0,9.0,12.0,1.0,20.0,ENG-Premier League,2024.0,passing,ARG,"MF,FW",22-132,2002.0,4.6,218,9,41,90,93,11,218,10,6,60.0,3,30.0,114,693,390,10,12,0,8,8,136,8,ENG-Premier League,2024.0,possession,ARG,"MF,FW",22-132,2002.0,4.6,11,5,5,3,3,3,8,37.5,5,4,1,3,3.0,14.0,5.0,0.0,ENG-Premier League,2024.0,defense,ARG,"MF,FW",22-132,2002.0,4.6,3,0,0,9,6,1,8,3,5,0,0,0,20,7,3,70.0,ENG-Premier League,2024.0,misc
"ARG_MF,FW_26-287_1998.0",ARG,"MF,FW",26-287,1998.0,27,17,1493,16.6,0,0,0,0,0,0,8,0,1.4,1.4,1.2,2.6,12,58,22,0.0,0.0,0.0,0.0,0.0,0.08,0.07,0.16,0.08,0.16,ENG-Premier League,2024.0,standard,ARG,"MF,FW",26-287,1998.0,16.6,0,17,7,41.2,1.02,0.42,0.0,0.0,18.5,0,0,0,1.4,1.4,0.08,-1.4,-1.4,ENG-Premier League,2024.0,shooting,ARG,"MF,FW",26-287,1998.0,16.6,628,727,86.4,9044,2614,358,393,91.1,206,231,89.2,27,44,61.4,0.0,1.2,1.3,-1.2,11.0,59.0,8.0,0.0,58.0,ENG-Premier League,2024.0,passing,ARG,"MF,FW",26-287,1998.0,16.6,937,60,233,490,222,23,937,8,3,37.5,3,37.5,357,1406,654,12,9,2,16,9,516,22,ENG-Premier League,2024.0,possession,ARG,"MF,FW",26-287,1998.0,16.6,69,36,32,27,10,27,58,46.6,31,30,10,20,25.0,94.0,38.0,1.0,ENG-Premier League,2024.0,defense,ARG,"MF,FW",26-287,1998.0,16.6,8,0,0,26,14,1,2,25,36,0,0,0,90,14,18,43.8,ENG-Premier League,2024.0,misc
ARG_MF_24-084_2001.0,ARG,MF,24-084,2001.0,29,25,2320,25.8,5,5,10,5,0,0,7,0,5.1,5.1,5.3,10.4,47,173,93,0.19,0.19,0.39,0.19,0.39,0.2,0.21,0.4,0.2,0.4,ENG-Premier League,2024.0,standard,ARG,MF,24-084,2001.0,25.8,5,45,16,35.6,1.75,0.62,0.11,0.31,18.5,2,0,0,5.1,5.1,0.11,-0.1,-0.1,ENG-Premier League,2024.0,shooting,ARG,MF,24-084,2001.0,25.8,1266,1569,80.7,22233,6229,595,664,89.6,510,600,85.0,130,220,59.1,5.0,5.3,5.2,-0.3,62.0,140.0,31.0,4.0,173.0,ENG-Premier League,2024.0,passing,ARG,MF,24-084,2001.0,25.8,1822,31,288,933,613,68,1822,43,21,48.8,15,34.9,981,4400,2188,47,46,7,25,26,1331,93,ENG-Premier League,2024.0,possession,ARG,MF,24-084,2001.0,25.8,55,28,14,26,15,26,70,37.1,44,30,5,25,11.0,66.0,19.0,4.0,ENG-Premier League,2024.0,defense,ARG,MF,24-084,2001.0,25.8,7,0,0,45,41,1,82,11,28,0,0,0,124,13,26,33.3,ENG-Premier League,2024.0,misc
ARG_MF_26-108_1998.0,ARG,MF,26-108,1998.0,30,27,2291,25.5,4,3,7,4,0,0,6,0,2.4,2.4,4.1,6.5,31,156,65,0.16,0.12,0.27,0.16,0.27,0.09,0.16,0.26,0.09,0.26,ENG-Premier League,2024.0,standard,ARG,MF,26-108,1998.0,25.5,4,31,10,32.3,1.22,0.39,0.13,0.4,18.2,0,0,0,2.4,2.4,0.08,1.6,1.6,ENG-Premier League,2024.0,shooting,ARG,MF,26-108,1998.0,25.5,1133,1350,83.9,17989,4958,591,657,90.0,439,495,88.7,75,127,59.1,3.0,4.1,4.4,-1.1,36.0,111.0,32.0,1.0,156.0,ENG-Premier League,2024.0,passing,ARG,MF,26-108,1998.0,25.5,1645,49,250,865,544,49,1645,38,14,36.8,20,52.6,818,3373,1762,31,37,3,24,20,1100,65,ENG-Premier League,2024.0,possession,ARG,MF,26-108,1998.0,25.5,82,50,22,48,12,46,87,52.9,41,54,5,49,19.0,101.0,25.0,1.0,ENG-Premier League,2024.0,defense,ARG,MF,26-108,1998.0,25.5,6,0,0,56,36,2,61,19,50,0,0,0,130,17,27,38.6,ENG-Premier League,2024.0,misc
ARG_MF_30-364_1994.0,ARG,MF,30-364,1994.0,20,14,1018,11.3,0,0,0,0,0,0,5,0,0.2,0.2,0.1,0.3,2,31,5,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,ENG-Premier League,2024.0,standard,ARG,MF,30-364,1994.0,11.3,0,8,1,12.5,0.71,0.09,0.0,0.0,27.8,0,0,0,0.2,0.2,0.03,-0.2,-0.2,ENG-Premier League,2024.0,shooting,ARG,MF,30-364,1994.0,11.3,419,498,84.1,7149,2000,201,230,87.4,180,197,91.4,32,51,62.7,0.0,0.1,0.1,-0.1,3.0,36.0,1.0,0.0,31.0,ENG-Premier League,2024.0,passing,ARG,MF,30-364,1994.0,11.3,617,42,196,366,56,2,617,3,2,66.7,0,0.0,284,988,392,2,5,0,2,6,354,5,ENG-Premier League,2024.0,possession,ARG,MF,30-364,1994.0,11.3,30,16,19,11,0,14,30,46.7,16,21,9,12,12.0,42.0,28.0,1.0,ENG-Premier League,2024.0,defense,ARG,MF,30-364,1994.0,11.3,5,0,0,15,11,1,4,12,16,0,0,0,46,8,7,53.3,ENG-Premier League,2024.0,misc
