composite_key,nation,pos,age,born,Playing Time,Playing Time.1,Playing Time.2,Playing Time.3,Performance,Performance.1,Performance.2,Performance.3,Performance.4,Performance.5,Performance.6,Performance.7,Expected,Expected.1,Expected.2,Expected.3,Progression,Progression.1,Progression.2,Per 90 Minutes,Per 90 Minutes.1,Per 90 Minutes.2,Per 90 Minutes.3,Per 90 Minutes.4,Per 90 Minutes.5,Per 90 Minutes.6,Per 90 Minutes.7,Per 90 Minutes.8,Per 90 Minutes.9,league,season,stat_type,nation_dup,pos_dup,age_dup,born_dup,90s,Standard,Standard.1,Standard.2,Standard.3,Standard.4,Standard.5,Standard.6,Standard.7,Standard.8,Standard.9,Standard.10,Standard.11,Expected_dup,Expected.1_dup,Expected.2_dup,Expected.3_dup,Expected.4,league_dup,season_dup,stat_type_dup,nation_dup,pos_dup,age_dup,born_dup,90s_dup,Total,Total.1,Total.2,Total.3,Total.4,Short,Short.1,Short.2,Medium,Medium.1,Medium.2,Long,Long.1,Long.2,Ast,xAG,Expected_dup,Expected.1_dup,KP,1/3,PPA,CrsPA,PrgP,league_dup,season_dup,stat_type_dup,nation_dup,pos_dup,age_dup,born_dup,90s_dup,Touches,Touches.1,Touches.2,Touches.3,Touches.4,Touches.5,Touches.6,Take-Ons,Take-Ons.1,Take-Ons.2,Take-Ons.3,Take-Ons.4,Carries,Carries.1,Carries.2,Carries.3,Carries.4,Carries.5,Carries.6,Carries.7,Receiving,Receiving.1,league_dup,season_dup,stat_type_dup,nation_dup,pos_dup,age_dup,born_dup,90s_dup,Tackles,Tackles.1,Tackles.2,Tackles.3,Tackles.4,Challenges,Challenges.1,Challenges.2,Challenges.3,Blocks,Blocks.1,Blocks.2,Int,Tkl+Int,Clr,Err,league_dup,season_dup,stat_type_dup,nation_dup,pos_dup,age_dup,born_dup,90s_dup,Performance_dup,Performance.1_dup,Performance.2_dup,Performance.3_dup,Performance.4_dup,Performance.5_dup,Performance.6_dup,Performance.7_dup,Performance.8,Performance.9,Performance.10,Performance.11,Performance.12,Aerial Duels,Aerial Duels.1,Aerial Duels.2,league_dup,season_dup,stat_type_dup
ALG_DF_19.0_2001.0,ALG,DF,19.0,2001.0,21,16,1404,15.6,1,1,2,1,0,0,1,0,0.6,0.6,0.6,1.2,47,54,85,0.06,0.06,0.13,0.06,0.13,0.04,0.04,0.08,0.04,0.08,ENG-Premier League,2020.0,standard,ALG,DF,19.0,2001.0,15.6,1,15,6,40.0,0.96,0.38,0.07,0.17,19.8,0,0,0,0.6,0.6,0.04,0.4,0.4,ENG-Premier League,2020.0,shooting,ALG,DF,19.0,2001.0,15.6,662,805,82.2,9828,2664,362,392,92.3,248,296,83.8,25,57,43.9,1.0,0.6,0.8,0.4,14.0,35.0,16.0,6.0,54.0,ENG-Premier League,2020.0,passing,ALG,DF,19.0,2001.0,15.6,996,42,267,430,309,26,996,54,26,48.1,28,51.9,573,2959,1702,47,34,9,30,19,622,85,ENG-Premier League,2020.0,possession,ALG,DF,19.0,2001.0,15.6,29,16,18,10,1,13,27,48.1,14,14,1,13,15.0,44.0,25.0,0.0,ENG-Premier League,2020.0,defense,ALG,DF,19.0,2001.0,15.6,1,0,0,15,19,1,61,15,16,0,1,0,86,5,23,17.9,ENG-Premier League,2020.0,misc
"ALG_FW,MF_24.0_1995.0",ALG,"FW,MF",24.0,1995.0,30,14,1391,15.5,1,6,7,1,0,0,0,0,2.6,2.6,4.1,6.7,63,60,107,0.06,0.39,0.45,0.06,0.45,0.17,0.26,0.43,0.17,0.43,ENG-Premier League,2020.0,standard,ALG,"FW,MF",24.0,1995.0,15.5,1,35,12,34.3,2.26,0.78,0.03,0.08,21.2,1,0,0,2.6,2.6,0.07,-1.6,-1.6,ENG-Premier League,2020.0,shooting,ALG,"FW,MF",24.0,1995.0,15.5,411,536,76.7,5618,1648,251,279,90.0,120,161,74.5,17,46,37.0,6.0,4.1,3.2,1.9,27.0,43.0,20.0,8.0,60.0,ENG-Premier League,2020.0,passing,ALG,"FW,MF",24.0,1995.0,15.5,752,13,113,307,351,49,752,80,42,52.5,38,47.5,509,3605,1793,63,35,16,48,33,535,107,ENG-Premier League,2020.0,possession,ALG,"FW,MF",24.0,1995.0,15.5,24,15,8,11,5,8,28,28.6,20,10,0,10,8.0,32.0,8.0,0.0,ENG-Premier League,2020.0,defense,ALG,"FW,MF",24.0,1995.0,15.5,0,0,0,14,15,2,44,8,15,0,1,0,91,2,13,13.3,ENG-Premier League,2020.0,misc
ALG_FW_29.0_1991.0,ALG,FW,29.0,1991.0,27,23,1949,21.7,9,6,15,9,0,0,0,0,4.7,4.7,5.0,9.7,88,88,247,0.42,0.28,0.69,0.42,0.69,0.22,0.23,0.45,0.22,0.45,ENG-Premier League,2020.0,standard,ALG,FW,29.0,1991.0,21.7,9,58,22,37.9,2.68,1.02,0.16,0.41,17.0,3,0,0,4.7,4.7,0.08,4.3,4.3,ENG-Premier League,2020.0,shooting,ALG,FW,29.0,1991.0,21.7,916,1096,83.6,12994,2572,556,599,92.8,265,328,80.8,50,84,59.5,6.0,5.0,5.7,1.0,43.0,38.0,43.0,5.0,88.0,ENG-Premier League,2020.0,passing,ALG,FW,29.0,1991.0,21.7,1311,5,61,449,813,138,1311,81,45,55.6,36,44.4,927,5313,2496,88,46,60,46,29,1074,247,ENG-Premier League,2020.0,possession,ALG,FW,29.0,1991.0,21.7,20,5,2,10,8,6,30,20.0,24,19,0,19,8.0,28.0,4.0,0.0,ENG-Premier League,2020.0,defense,ALG,FW,29.0,1991.0,21.7,0,0,0,13,30,7,81,8,5,0,0,0,80,15,14,51.7,ENG-Premier League,2020.0,misc
"ANG_MF,FW_26.0_1994.0",ANG,"MF,FW",26.0,1994.0,22,13,1156,12.8,3,3,6,3,0,0,0,0,2.2,2.2,0.6,2.8,47,28,84,0.23,0.23,0.47,0.23,0.47,0.17,0.04,0.22,0.17,0.22,ENG-Premier League,2020.0,standard,ANG,"MF,FW",26.0,1994.0,12.8,3,16,6,37.5,1.25,0.47,0.19,0.5,14.8,0,0,0,2.2,2.2,0.14,0.8,0.8,ENG-Premier League,2020.0,shooting,ANG,"MF,FW",26.0,1994.0,12.8,242,331,73.1,3063,741,152,178,85.4,68,88,77.3,5,21,23.8,3.0,0.6,0.6,2.4,8.0,4.0,10.0,2.0,28.0,ENG-Premier League,2020.0,passing,ANG,"MF,FW",26.0,1994.0,12.8,497,9,92,182,230,44,497,48,19,39.6,29,60.4,303,2135,1162,47,17,13,43,20,337,84,ENG-Premier League,2020.0,possession,ANG,"MF,FW",26.0,1994.0,12.8,25,11,12,5,8,11,32,34.4,21,11,0,11,3.0,28.0,5.0,1.0,ENG-Premier League,2020.0,defense,ANG,"MF,FW",26.0,1994.0,12.8,0,0,0,20,18,3,21,3,11,0,0,1,66,4,23,14.8,ENG-Premier League,2020.0,misc
ARG_DF_31.0_1989.0,ARG,DF,31.0,1989.0,24,24,2079,23.1,0,0,0,0,0,0,4,0,0.3,0.3,0.6,0.8,1,32,7,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,ENG-Premier League,2020.0,standard,ARG,DF,31.0,1989.0,23.1,0,4,2,50.0,0.17,0.09,0.0,0.0,14.0,0,0,0,0.3,0.3,0.06,-0.3,-0.3,ENG-Premier League,2020.0,shooting,ARG,DF,31.0,1989.0,23.1,715,894,80.0,13956,5356,244,277,88.1,368,412,89.3,91,166,54.8,0.0,0.6,0.4,-0.6,7.0,25.0,3.0,3.0,32.0,ENG-Premier League,2020.0,passing,ARG,DF,31.0,1989.0,23.1,1169,268,719,377,76,14,1169,1,0,0.0,1,100.0,553,2133,858,1,0,0,8,2,619,7,ENG-Premier League,2020.0,possession,ARG,DF,31.0,1989.0,23.1,29,22,23,5,1,17,21,81.0,4,41,31,10,17.0,46.0,147.0,0.0,ENG-Premier League,2020.0,defense,ARG,DF,31.0,1989.0,23.1,4,0,0,15,15,0,13,17,22,0,1,1,91,48,29,62.3,ENG-Premier League,2020.0,misc
"ARG_FW,MF_28.0_1992.0",ARG,"FW,MF",28.0,1992.0,23,5,717,8.0,1,0,1,1,0,0,6,1,1.1,1.1,1.0,2.1,28,36,49,0.13,0.0,0.13,0.13,0.13,0.14,0.12,0.26,0.14,0.26,ENG-Premier League,2020.0,standard,ARG,"FW,MF",28.0,1992.0,8.0,1,21,9,42.9,2.64,1.13,0.05,0.11,20.4,4,0,0,1.1,1.1,0.05,-0.1,-0.1,ENG-Premier League,2020.0,shooting,ARG,"FW,MF",28.0,1992.0,8.0,284,363,78.2,4124,873,157,180,87.2,93,109,85.3,14,33,42.4,0.0,1.0,0.9,-1.0,8.0,20.0,10.0,0.0,36.0,ENG-Premier League,2020.0,passing,ARG,"FW,MF",28.0,1992.0,8.0,474,4,45,245,196,22,474,40,25,62.5,15,37.5,286,2230,954,28,25,4,20,13,346,49,ENG-Premier League,2020.0,possession,ARG,"FW,MF",28.0,1992.0,8.0,17,9,1,11,5,8,21,38.1,13,11,1,10,6.0,23.0,2.0,0.0,ENG-Premier League,2020.0,defense,ARG,"FW,MF",28.0,1992.0,8.0,6,1,1,24,10,0,23,6,9,0,0,0,40,6,12,33.3,ENG-Premier League,2020.0,misc
ARG_FW_32.0_1988.0,ARG,FW,32.0,1988.0,12,7,559,6.2,4,1,5,3,1,2,0,0,3.5,1.9,1.2,3.1,12,12,39,0.64,0.16,0.81,0.48,0.64,0.56,0.19,0.75,0.31,0.5,ENG-Premier League,2020.0,standard,ARG,FW,32.0,1988.0,6.2,4,17,10,58.8,2.74,1.61,0.18,0.3,14.6,0,1,2,3.5,1.9,0.11,0.5,1.1,ENG-Premier League,2020.0,shooting,ARG,FW,32.0,1988.0,6.2,140,173,80.9,1625,219,86,99,86.9,34,38,89.5,2,2,100.0,1.0,1.2,0.9,-0.2,7.0,12.0,5.0,1.0,12.0,ENG-Premier League,2020.0,passing,ARG,FW,32.0,1988.0,6.2,234,0,5,99,131,45,232,13,8,61.5,5,38.5,155,769,330,12,10,3,15,11,191,39,ENG-Premier League,2020.0,possession,ARG,FW,32.0,1988.0,6.2,4,1,0,2,2,2,11,18.2,9,2,0,2,2.0,6.0,0.0,0.0,ENG-Premier League,2020.0,defense,ARG,FW,32.0,1988.0,6.2,0,0,0,2,7,1,1,2,1,0,0,0,12,2,4,33.3,ENG-Premier League,2020.0,misc
"ARG_MF,FW_21.0_1998.0",ARG,"MF,FW",21.0,1998.0,21,13,1115,12.4,1,1,2,1,0,0,1,0,1.3,1.3,1.5,2.7,15,48,55,0.08,0.08,0.16,0.08,0.16,0.1,0.12,0.22,0.1,0.22,ENG-Premier League,2020.0,standard,ARG,"MF,FW",21.0,1998.0,12.4,1,24,3,12.5,1.94,0.24,0.04,0.33,22.5,1,0,0,1.3,1.3,0.05,-0.3,-0.3,ENG-Premier League,2020.0,shooting,ARG,"MF,FW",21.0,1998.0,12.4,320,410,78.0,4922,1248,168,196,85.7,109,129,84.5,20,36,55.6,1.0,1.5,1.7,-0.5,15.0,26.0,16.0,0.0,48.0,ENG-Premier League,2020.0,passing,ARG,"MF,FW",21.0,1998.0,12.4,563,8,95,258,220,34,563,26,16,61.5,10,38.5,303,1505,680,15,12,0,28,16,368,55,ENG-Premier League,2020.0,possession,ARG,"MF,FW",21.0,1998.0,12.4,26,12,6,16,4,11,38,28.9,27,25,4,21,9.0,35.0,4.0,0.0,ENG-Premier League,2020.0,defense,ARG,"MF,FW",21.0,1998.0,12.4,1,0,0,19,15,0,11,9,12,0,0,0,67,7,19,26.9,ENG-Premier League,2020.0,misc
"ARG_MF,FW_27.0_1993.0",ARG,"MF,FW",27.0,1993.0,17,5,566,6.3,1,1,2,1,0,0,1,0,1.0,1.0,0.9,1.8,7,28,20,0.16,0.16,0.32,0.16,0.32,0.15,0.14,0.29,0.15,0.29,ENG-Premier League,2020.0,standard,ARG,"MF,FW",27.0,1993.0,6.3,1,12,3,25.0,1.91,0.48,0.08,0.33,18.4,1,0,0,1.0,1.0,0.08,0.0,0.0,ENG-Premier League,2020.0,shooting,ARG,"MF,FW",27.0,1993.0,6.3,338,375,90.1,4801,1253,202,215,94.0,109,117,93.2,14,19,73.7,1.0,0.9,0.9,0.1,11.0,27.0,2.0,0.0,28.0,ENG-Premier League,2020.0,passing,ARG,"MF,FW",27.0,1993.0,6.3,455,9,81,237,144,14,455,13,6,46.2,7,53.8,277,1528,647,7,14,2,14,9,333,20,ENG-Premier League,2020.0,possession,ARG,"MF,FW",27.0,1993.0,6.3,9,2,3,4,2,3,10,30.0,7,9,0,9,7.0,16.0,5.0,0.0,ENG-Premier League,2020.0,defense,ARG,"MF,FW",27.0,1993.0,6.3,1,0,0,7,10,3,3,7,2,0,0,0,59,2,8,20.0,ENG-Premier League,2020.0,misc
ARG_MF_24.0_1996.0,ARG,MF,24.0,1996.0,18,11,945,10.5,1,1,2,1,0,0,5,0,1.4,1.4,1.0,2.4,21,71,34,0.1,0.1,0.19,0.1,0.19,0.14,0.09,0.23,0.14,0.23,ENG-Premier League,2020.0,standard,ARG,MF,24.0,1996.0,10.5,1,15,5,33.3,1.43,0.48,0.07,0.2,19.0,1,0,0,1.4,1.4,0.09,-0.4,-0.4,ENG-Premier League,2020.0,shooting,ARG,MF,24.0,1996.0,10.5,469,604,77.6,6897,2082,269,302,89.1,143,180,79.4,28,58,48.3,1.0,1.0,1.0,0.0,15.0,52.0,12.0,0.0,71.0,ENG-Premier League,2020.0,passing,ARG,MF,24.0,1996.0,10.5,719,13,92,407,232,21,719,20,8,40.0,12,60.0,390,2360,1242,21,20,4,21,14,495,34,ENG-Premier League,2020.0,possession,ARG,MF,24.0,1996.0,10.5,28,22,12,11,5,10,29,34.5,19,12,1,11,7.0,35.0,5.0,0.0,ENG-Premier League,2020.0,defense,ARG,MF,24.0,1996.0,10.5,5,0,0,19,20,0,31,7,22,0,0,0,60,14,15,48.3,ENG-Premier League,2020.0,misc
