league,season,team,player,nation,pos,age,born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,stat_type,nation_shooting,pos_shooting,age_shooting,born_shooting,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG_shooting,Expected npxG_shooting,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,stat_type_shooting,nation_possession,pos_possession,age_possession,born_possession,90s_possession,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,stat_type_possession,nation_passing,pos_passing,age_passing,born_passing,90s_passing,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,stat_type_passing,nation_misc,pos_misc,age_misc,born_misc,90s_misc,Performance CrdY_misc,Performance CrdR_misc,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,stat_type_misc,nation_defense,pos_defense,age_defense,born_defense,90s_defense,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type_defense
ESP-La Liga,2023,Las Palmas,Aarón Escandell,ESP,GK,27.0,1995.0,2,1,153,1.7,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ESP,GK,27.0,1995.0,1.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,ESP,GK,27.0,1995.0,1.7,88,69,87,1,0,0,88,0,0,,0,,42,156,108,0,0,0,0,0,44,0,possession,ESP,GK,27.0,1995.0,1.7,64,86,74.4,1579,1172,15,15,100.0,29,29,100.0,18,39,46.2,0,0.0,0.0,0.0,0,1,0,0,0,passing,ESP,GK,27.0,1995.0,1.7,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,,misc,ESP,GK,27.0,1995.0,1.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,defense
ESP-La Liga,2023,Barcelona,Abde Ezzalzouli,MAR,"FW,MF",21.0,2001.0,2,0,68,0.8,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,7,1,12,0.0,0.0,0.0,0.0,0.0,0.28,0.09,0.37,0.28,0.37,standard,MAR,"FW,MF",21.0,2001.0,0.8,0,4,1,25.0,5.29,1.32,0.0,0.0,19.1,0,0,0,0.2,0.2,0.05,-0.2,-0.2,shooting,MAR,"FW,MF",21.0,2001.0,0.8,54,0,2,13,39,7,54,4,2,50.0,2,50.0,41,302,143,7,3,4,4,2,43,12,possession,MAR,"FW,MF",21.0,2001.0,0.8,23,37,62.2,289,83,18,23,78.3,4,8,50.0,1,4,25.0,0,0.1,0.0,-0.1,2,0,2,1,1,passing,MAR,"FW,MF",21.0,2001.0,0.8,0,0,0,1,3,0,7,0,1,0,0,0,2,1,2,33.3,misc,MAR,"FW,MF",21.0,2001.0,0.8,1,1,0,0,1,0,1,0.0,1,1,0,1,0,1,0,0,defense
ESP-La Liga,2023,Betis,Abde Ezzalzouli,MAR,FW,21.0,2001.0,26,6,865,9.6,1,0,1,1,0,1,1,0,3.0,2.2,0.3,2.5,57,25,89,0.1,0.0,0.1,0.1,0.1,0.31,0.03,0.34,0.23,0.26,standard,MAR,FW,21.0,2001.0,9.6,1,33,8,24.2,3.43,0.83,0.03,0.13,17.8,0,0,1,3.0,2.2,0.07,-2.0,-1.2,shooting,MAR,FW,21.0,2001.0,9.6,518,7,58,194,271,60,517,50,21,42.0,23,46.0,300,2801,1587,57,34,35,29,31,377,89,possession,MAR,FW,21.0,2001.0,9.6,232,353,65.7,2777,769,159,204,77.9,51,77,66.2,5,17,29.4,0,0.3,0.5,-0.3,4,11,9,1,25,passing,MAR,FW,21.0,2001.0,9.6,1,0,0,9,16,4,33,5,14,0,0,0,44,23,23,50.0,misc,MAR,FW,21.0,2001.0,9.6,17,14,7,5,5,4,14,28.6,10,10,0,10,5,22,5,0,defense
ESP-La Liga,2023,Atlético Madrid,Abdellah Raihani,MAR,FW,19.0,2004.0,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,MAR,FW,19.0,2004.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,MAR,FW,19.0,2004.0,0.1,1,0,0,0,1,1,1,0,0,,0,,1,0,0,0,0,0,1,0,1,1,possession,MAR,FW,19.0,2004.0,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,passing,MAR,FW,19.0,2004.0,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,misc,MAR,FW,19.0,2004.0,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,defense
ESP-La Liga,2023,Alavés,Abderrahman Rebbach,ALG,"FW,MF",24.0,1998.0,23,6,722,8.0,1,0,1,1,0,0,1,0,0.8,0.8,1.8,2.6,34,14,78,0.12,0.0,0.12,0.12,0.12,0.1,0.22,0.33,0.1,0.33,standard,ALG,"FW,MF",24.0,1998.0,8.0,1,17,4,23.5,2.12,0.5,0.06,0.25,19.4,1,0,0,0.8,0.8,0.05,0.2,0.2,shooting,ALG,"FW,MF",24.0,1998.0,8.0,343,6,46,102,198,36,343,28,10,35.7,16,57.1,180,1419,763,34,15,18,28,12,196,78,possession,ALG,"FW,MF",24.0,1998.0,8.0,124,225,55.1,2213,845,63,84,75.0,40,67,59.7,17,45,37.8,0,1.8,1.7,-1.8,18,12,6,3,14,passing,ALG,"FW,MF",24.0,1998.0,8.0,1,0,0,13,10,3,63,3,5,0,0,0,31,7,13,35.0,misc,ALG,"FW,MF",24.0,1998.0,8.0,9,5,4,2,3,5,15,33.3,10,10,1,9,3,12,7,0,defense
ESP-La Liga,2023,Rayo Vallecano,Abdul Mumin,GHA,DF,25.0,1998.0,20,19,1694,18.8,1,0,1,1,0,0,5,1,0.4,0.4,0.3,0.7,6,38,4,0.05,0.0,0.05,0.05,0.05,0.02,0.01,0.03,0.02,0.03,standard,GHA,DF,25.0,1998.0,18.8,1,6,1,16.7,0.32,0.05,0.17,1.0,15.9,0,0,0,0.4,0.4,0.06,0.6,0.6,shooting,GHA,DF,25.0,1998.0,18.8,956,127,578,359,25,8,956,4,2,50.0,1,25.0,492,2318,989,6,2,0,7,3,558,4,possession,GHA,DF,25.0,1998.0,18.8,617,773,79.8,12936,4915,179,203,88.2,355,393,90.3,76,163,46.6,0,0.3,0.1,-0.3,4,34,4,0,38,passing,GHA,DF,25.0,1998.0,18.8,5,1,0,15,16,0,2,22,10,0,0,0,79,39,31,55.7,misc,GHA,DF,25.0,1998.0,18.8,19,10,13,4,2,8,10,80.0,2,27,19,8,22,41,82,1,defense
ESP-La Liga,2023,Mallorca,Abdón Prats,ESP,"FW,MF",30.0,1992.0,34,11,1270,14.1,6,1,7,6,0,0,4,0,3.2,3.2,2.4,5.6,9,26,49,0.43,0.07,0.5,0.43,0.5,0.23,0.17,0.4,0.23,0.4,standard,ESP,"FW,MF",30.0,1992.0,14.1,6,33,14,42.4,2.34,0.99,0.18,0.43,14.8,2,0,0,3.2,3.2,0.1,2.8,2.8,shooting,ESP,"FW,MF",30.0,1992.0,14.1,376,16,34,171,181,43,376,18,8,44.4,10,55.6,183,830,285,9,9,5,41,10,266,49,possession,ESP,"FW,MF",30.0,1992.0,14.1,132,240,55.0,2042,475,73,110,66.4,42,71,59.2,12,23,52.2,1,2.4,1.2,-1.4,14,12,8,0,26,passing,ESP,"FW,MF",30.0,1992.0,14.1,4,0,0,18,18,5,8,2,4,0,0,0,30,39,60,39.4,misc,ESP,"FW,MF",30.0,1992.0,14.1,6,4,2,2,2,3,5,60.0,2,6,3,3,2,8,12,0,defense
ESP-La Liga,2023,Betis,Abner,BRA,DF,23.0,2000.0,23,15,1400,15.6,0,1,1,0,0,0,3,0,0.1,0.1,1.0,1.1,14,33,58,0.0,0.06,0.06,0.0,0.06,0.01,0.06,0.07,0.01,0.07,standard,BRA,DF,23.0,2000.0,15.6,0,4,0,0.0,0.26,0.0,0.0,,15.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,shooting,BRA,DF,23.0,2000.0,15.6,966,72,344,405,226,28,966,13,7,53.8,5,38.5,447,1802,949,14,10,5,18,11,502,58,possession,BRA,DF,23.0,2000.0,15.6,615,797,77.2,9211,4552,351,394,89.1,203,265,76.6,37,79,46.8,1,1.0,1.0,0.0,8,20,7,2,33,passing,BRA,DF,23.0,2000.0,15.6,3,0,0,16,2,2,26,15,19,0,1,0,79,14,10,58.3,misc,BRA,DF,23.0,2000.0,15.6,25,19,15,9,1,17,34,50.0,17,23,5,18,15,40,62,0,defense
ESP-La Liga,2023,Sevilla,Adnan Januzaj,BEL,"FW,MF",28.0,1995.0,8,0,193,2.1,0,0,0,0,0,0,0,0,0.6,0.6,0.0,0.6,1,9,17,0.0,0.0,0.0,0.0,0.0,0.28,0.02,0.3,0.28,0.3,standard,BEL,"FW,MF",28.0,1995.0,2.1,0,6,1,16.7,2.8,0.47,0.0,0.0,16.8,0,0,0,0.6,0.6,0.1,-0.6,-0.6,shooting,BEL,"FW,MF",28.0,1995.0,2.1,119,1,8,56,57,5,119,11,5,45.5,4,36.4,79,383,156,1,3,0,10,1,92,17,possession,BEL,"FW,MF",28.0,1995.0,2.1,70,88,79.5,1250,244,35,38,92.1,23,28,82.1,10,18,55.6,0,0.0,0.2,0.0,2,6,1,1,9,passing,BEL,"FW,MF",28.0,1995.0,2.1,0,0,0,3,9,0,8,1,3,0,0,0,9,3,1,75.0,misc,BEL,"FW,MF",28.0,1995.0,2.1,3,3,2,0,1,0,1,0.0,1,2,0,2,1,4,0,0,defense
ESP-La Liga,2023,Granada,Adri Bosch,ESP,DF,22.0,2001.0,1,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ESP,DF,22.0,2001.0,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,ESP,DF,22.0,2001.0,0.3,17,2,10,8,0,0,17,0,0,,0,,8,86,43,1,0,0,0,0,9,1,possession,ESP,DF,22.0,2001.0,0.3,11,14,78.6,211,61,6,7,85.7,2,2,100.0,3,5,60.0,0,0.0,0.0,0.0,0,2,0,0,1,passing,ESP,DF,22.0,2001.0,0.3,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1,0.0,misc,ESP,DF,22.0,2001.0,0.3,1,1,1,0,0,0,0,,0,0,0,0,0,1,1,0,defense
ESP-La Liga,2023,Almería,Adri Embarba,ESP,"FW,MF",31.0,1992.0,36,29,2476,27.5,3,2,5,2,1,1,5,0,4.3,3.5,4.4,8.0,94,58,167,0.11,0.07,0.18,0.07,0.15,0.16,0.16,0.32,0.13,0.29,standard,ESP,"FW,MF",31.0,1992.0,27.5,3,63,24,38.1,2.29,0.87,0.03,0.08,24.1,12,1,1,4.3,3.5,0.06,-1.3,-1.5,shooting,ESP,"FW,MF",31.0,1992.0,27.5,1316,18,195,514,633,65,1315,119,46,38.7,65,54.6,749,4984,2406,94,55,24,79,35,821,167,possession,ESP,"FW,MF",31.0,1992.0,27.5,609,928,65.6,9861,3039,339,396,85.6,179,263,68.1,67,173,38.7,2,4.4,3.6,-2.4,52,40,25,16,58,passing,ESP,"FW,MF",31.0,1992.0,27.5,5,0,0,37,40,16,171,15,37,0,0,0,141,25,43,36.8,misc,ESP,"FW,MF",31.0,1992.0,27.5,55,37,29,15,11,26,53,49.1,27,37,1,36,15,70,12,0,defense
ESP-La Liga,2023,Villarreal,Adrià Altimira,ESP,"DF,MF",22.0,2001.0,11,10,775,8.6,0,0,0,0,0,0,3,0,0.0,0.0,0.1,0.1,10,29,15,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.02,standard,ESP,"DF,MF",22.0,2001.0,8.6,0,1,0,0.0,0.12,0.0,0.0,,27.2,0,0,0,0.0,0.0,0.03,0.0,0.0,shooting,ESP,"DF,MF",22.0,2001.0,8.6,552,38,200,278,82,2,552,16,11,68.8,4,25.0,257,1338,644,10,6,0,7,5,329,15,possession,ESP,"DF,MF",22.0,2001.0,8.6,389,465,83.7,6578,2133,180,208,86.5,170,193,88.1,31,42,73.8,0,0.1,0.2,-0.1,2,25,5,2,29,passing,ESP,"DF,MF",22.0,2001.0,8.6,3,0,0,12,4,0,5,5,7,0,1,0,42,2,7,22.2,misc,ESP,"DF,MF",22.0,2001.0,8.6,16,7,9,6,1,9,24,37.5,15,18,5,13,5,21,18,0,defense
ESP-La Liga,2023,Sevilla,Adrià Pedrosa,ESP,DF,25.0,1998.0,31,15,1753,19.5,1,4,5,1,0,0,1,0,0.7,0.7,3.2,3.9,46,61,109,0.05,0.21,0.26,0.05,0.26,0.04,0.16,0.2,0.04,0.2,standard,ESP,DF,25.0,1998.0,19.5,1,16,4,25.0,0.82,0.21,0.06,0.25,22.0,0,0,0,0.7,0.7,0.04,0.3,0.3,shooting,ESP,DF,25.0,1998.0,19.5,1178,57,307,477,408,22,1178,38,12,31.6,18,47.4,575,2913,1475,46,38,9,35,23,667,109,possession,ESP,DF,25.0,1998.0,19.5,681,931,73.1,10819,3651,385,442,87.1,240,315,76.2,47,122,38.5,4,3.2,2.0,0.8,27,42,18,13,61,passing,ESP,DF,25.0,1998.0,19.5,1,0,0,6,32,2,111,15,26,0,0,0,102,10,21,32.3,misc,ESP,DF,25.0,1998.0,19.5,46,26,28,14,4,23,34,67.6,11,26,6,20,15,61,54,0,defense
ESP-La Liga,2023,Athletic Club,Adu Ares,ESP,FW,21.0,2001.0,12,2,265,2.9,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,13,3,39,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,standard,ESP,FW,21.0,2001.0,2.9,0,4,0,0.0,1.36,0.0,0.0,,21.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,shooting,ESP,FW,21.0,2001.0,2.9,147,1,21,63,70,6,147,24,15,62.5,7,29.2,103,881,361,13,3,5,8,4,110,39,possession,ESP,FW,21.0,2001.0,2.9,79,104,76.0,1252,82,45,53,84.9,27,34,79.4,5,9,55.6,0,0.0,0.1,0.0,1,5,0,0,3,passing,ESP,FW,21.0,2001.0,2.9,2,0,0,5,12,1,11,1,4,0,0,0,15,1,3,25.0,misc,ESP,FW,21.0,2001.0,2.9,8,4,4,2,2,2,3,66.7,1,1,0,1,1,9,0,0,defense
ESP-La Liga,2023,Cádiz,Aiham Ousou,SYR,DF,23.0,2000.0,6,5,430,4.8,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,2,7,0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,standard,SYR,DF,23.0,2000.0,4.8,0,2,0,0.0,0.42,0.0,0.0,,13.3,0,0,0,0.2,0.2,0.09,-0.2,-0.2,shooting,SYR,DF,23.0,2000.0,4.8,215,19,114,93,12,2,215,1,1,100.0,0,0.0,124,741,376,2,6,0,3,0,111,0,possession,SYR,DF,23.0,2000.0,4.8,142,181,78.5,2765,900,48,60,80.0,75,83,90.4,17,31,54.8,0,0.0,0.2,0.0,0,6,2,0,7,passing,SYR,DF,23.0,2000.0,4.8,0,0,0,4,6,0,0,7,5,0,0,0,26,8,7,53.3,misc,SYR,DF,23.0,2000.0,4.8,8,5,6,2,0,5,5,100.0,0,1,0,1,7,15,15,0,defense
ESP-La Liga,2023,Real Sociedad,Aihen Muñoz,ESP,DF,25.0,1997.0,21,11,1127,12.5,0,2,2,0,0,0,2,0,0.3,0.3,2.0,2.2,24,39,23,0.0,0.16,0.16,0.0,0.16,0.02,0.16,0.18,0.02,0.18,standard,ESP,DF,25.0,1997.0,12.5,0,7,2,28.6,0.56,0.16,0.0,0.0,24.2,0,0,0,0.3,0.3,0.04,-0.3,-0.3,shooting,ESP,DF,25.0,1997.0,12.5,838,44,244,418,181,6,838,19,10,52.6,7,36.8,372,2000,917,24,23,1,14,8,429,23,possession,ESP,DF,25.0,1997.0,12.5,504,702,71.8,9001,4109,216,240,90.0,234,315,74.3,48,112,42.9,2,2.0,0.9,0.0,12,35,11,10,39,passing,ESP,DF,25.0,1997.0,12.5,2,0,0,17,8,0,29,9,21,0,0,0,66,23,17,57.5,misc,ESP,DF,25.0,1997.0,12.5,36,21,20,10,6,24,35,68.6,11,16,8,8,9,45,33,0,defense
ESP-La Liga,2023,Osasuna,Aimar Oroz,ESP,MF,21.0,2001.0,33,26,2339,26.0,2,1,3,1,1,1,3,0,3.5,2.8,1.6,4.4,52,103,126,0.08,0.04,0.12,0.04,0.08,0.14,0.06,0.2,0.11,0.17,standard,ESP,MF,21.0,2001.0,26.0,2,24,5,20.8,0.92,0.19,0.04,0.2,18.0,1,1,1,3.5,2.8,0.11,-1.5,-1.8,shooting,ESP,MF,21.0,2001.0,26.0,1298,17,157,651,516,62,1297,52,26,50.0,18,34.6,773,4229,2079,52,46,9,58,42,928,126,possession,ESP,MF,21.0,2001.0,26.0,839,1035,81.1,12423,2859,485,560,86.6,288,329,87.5,41,63,65.1,1,1.6,2.2,-0.6,26,68,18,0,103,passing,ESP,MF,21.0,2001.0,26.0,3,0,0,39,46,2,11,16,26,0,0,0,144,19,39,32.8,misc,ESP,MF,21.0,2001.0,26.0,43,26,18,20,5,13,37,35.1,24,27,2,25,16,59,11,0,defense
ESP-La Liga,2023,Athletic Club,Aingeru Olabarrieta,ESP,FW,17.0,2005.0,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12,standard,ESP,FW,17.0,2005.0,0.1,0,1,0,0.0,10.0,0.0,0.0,,25.4,0,0,0,0.0,0.0,0.01,0.0,0.0,shooting,ESP,FW,17.0,2005.0,0.1,6,0,0,1,5,0,6,0,0,,0,,3,33,26,1,0,0,0,0,4,0,possession,ESP,FW,17.0,2005.0,0.1,2,5,40.0,23,6,2,2,100.0,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,passing,ESP,FW,17.0,2005.0,0.1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,misc,ESP,FW,17.0,2005.0,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
ESP-La Liga,2023,Osasuna,Aitor Fernández,ESP,GK,32.0,1991.0,7,6,551,6.1,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ESP,GK,32.0,1991.0,6.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,ESP,GK,32.0,1991.0,6.1,216,156,207,9,1,1,216,0,0,,0,,112,636,426,0,0,0,0,0,95,0,possession,ESP,GK,32.0,1991.0,6.1,127,198,64.1,4462,3696,10,10,100.0,48,49,98.0,69,137,50.4,0,0.0,0.0,0.0,0,10,0,0,1,passing,ESP,GK,32.0,1991.0,6.1,2,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0.0,misc,ESP,GK,32.0,1991.0,6.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,5,1,defense
ESP-La Liga,2023,Athletic Club,Aitor Paredes,ESP,DF,23.0,2000.0,34,31,2704,30.0,1,0,1,1,0,0,9,1,1.2,1.2,0.2,1.4,6,107,1,0.03,0.0,0.03,0.03,0.03,0.04,0.01,0.05,0.04,0.05,standard,ESP,DF,23.0,2000.0,30.0,1,14,3,21.4,0.47,0.1,0.07,0.33,9.7,0,0,0,1.2,1.2,0.08,-0.2,-0.2,shooting,ESP,DF,23.0,2000.0,30.0,1799,158,915,852,41,24,1799,3,2,66.7,1,33.3,1004,5116,2607,6,2,0,9,2,1167,1,possession,ESP,DF,23.0,2000.0,30.0,1331,1556,85.5,26700,10013,385,432,89.1,785,843,93.1,146,247,59.1,0,0.2,0.4,-0.2,4,68,6,0,107,passing,ESP,DF,23.0,2000.0,30.0,9,1,1,37,11,0,1,33,11,0,0,0,137,60,37,61.9,misc,ESP,DF,23.0,2000.0,30.0,20,11,11,9,0,7,14,50.0,7,23,11,12,33,53,104,0,defense
ESP-La Liga,2023,Betis,Aitor Ruibal,ESP,"DF,FW",27.0,1996.0,18,11,1017,11.3,2,1,3,2,0,0,5,0,0.8,0.8,1.3,2.1,22,54,50,0.18,0.09,0.27,0.18,0.27,0.07,0.11,0.19,0.07,0.19,standard,ESP,"DF,FW",27.0,1996.0,11.3,2,13,2,15.4,1.15,0.18,0.15,1.0,22.1,0,0,0,0.8,0.8,0.06,1.2,1.2,shooting,ESP,"DF,FW",27.0,1996.0,11.3,744,36,232,318,209,25,744,45,27,60.0,14,31.1,380,1932,1016,22,15,9,19,9,409,50,possession,ESP,"DF,FW",27.0,1996.0,11.3,445,586,75.9,7163,2899,252,280,90.0,148,190,77.9,37,79,46.8,1,1.3,0.8,-0.3,11,37,14,3,54,passing,ESP,"DF,FW",27.0,1996.0,11.3,5,0,0,16,13,1,28,14,27,0,1,0,78,4,9,30.8,misc,ESP,"DF,FW",27.0,1996.0,11.3,46,27,28,13,5,32,59,54.2,27,12,1,11,14,60,33,1,defense
ESP-La Liga,2023,Real Sociedad,Alberto Dadie,ESP,MF,21.0,2002.0,1,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ESP,MF,21.0,2002.0,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,ESP,MF,21.0,2002.0,0.3,14,0,6,6,2,1,14,1,0,0.0,1,100.0,12,28,8,0,0,0,4,0,10,0,possession,ESP,MF,21.0,2002.0,0.3,3,7,42.9,47,33,2,4,50.0,1,1,100.0,0,0,,0,0.0,0.1,0.0,0,0,0,0,0,passing,ESP,MF,21.0,2002.0,0.3,0,0,0,4,0,0,1,0,1,0,0,0,2,0,0,,misc,ESP,MF,21.0,2002.0,0.3,2,1,2,0,0,0,0,,0,1,0,1,0,2,0,0,defense
ESP-La Liga,2023,Valencia,Alberto Marí,ESP,FW,22.0,2001.0,16,2,276,3.1,1,1,2,0,1,1,0,0,1.8,1.2,0.9,2.0,2,6,13,0.33,0.33,0.65,0.0,0.33,0.6,0.28,0.88,0.39,0.67,standard,ESP,FW,22.0,2001.0,3.1,1,6,2,33.3,1.96,0.65,0.0,0.0,11.4,0,1,1,1.8,1.2,0.2,-0.8,-1.2,shooting,ESP,FW,22.0,2001.0,3.1,102,6,15,31,56,15,101,5,3,60.0,2,40.0,44,182,85,2,1,2,11,3,62,13,possession,ESP,FW,22.0,2001.0,3.1,38,61,62.3,498,112,22,30,73.3,11,16,68.8,2,2,100.0,1,0.9,0.9,0.1,6,3,1,0,6,passing,ESP,FW,22.0,2001.0,3.1,0,0,0,10,6,2,2,0,2,1,0,0,10,8,20,28.6,misc,ESP,FW,22.0,2001.0,3.1,4,2,0,1,3,1,1,100.0,0,3,0,3,0,4,5,0,defense
ESP-La Liga,2023,Las Palmas,Alberto Moleiro,ESP,"FW,MF",19.0,2003.0,28,21,1803,20.0,3,3,6,3,0,0,1,0,2.0,2.0,2.7,4.6,86,87,184,0.15,0.15,0.3,0.15,0.3,0.1,0.13,0.23,0.1,0.23,standard,ESP,"FW,MF",19.0,2003.0,20.0,3,33,10,30.3,1.65,0.5,0.09,0.3,20.0,0,0,0,2.0,2.0,0.06,1.0,1.0,shooting,ESP,"FW,MF",19.0,2003.0,20.0,977,8,109,441,453,59,977,116,57,49.1,54,46.6,681,4467,2389,86,67,24,60,27,773,184,possession,ESP,"FW,MF",19.0,2003.0,20.0,581,735,79.0,7847,1868,349,402,86.8,189,225,84.0,12,28,42.9,3,2.7,2.7,0.3,27,44,26,2,87,passing,ESP,"FW,MF",19.0,2003.0,20.0,1,0,0,17,18,2,27,7,6,1,0,0,67,1,16,5.9,misc,ESP,"FW,MF",19.0,2003.0,20.0,15,6,4,7,4,6,30,20.0,24,11,0,11,7,22,10,0,defense
ESP-La Liga,2023,Villarreal,Alberto Moreno,ESP,DF,31.0,1992.0,27,17,1484,16.5,2,2,4,2,0,0,5,2,0.7,0.7,1.6,2.4,26,55,79,0.12,0.12,0.24,0.12,0.24,0.04,0.1,0.14,0.04,0.14,standard,ESP,DF,31.0,1992.0,16.5,2,17,5,29.4,1.03,0.3,0.12,0.4,19.8,0,0,0,0.7,0.7,0.04,1.3,1.3,shooting,ESP,DF,31.0,1992.0,16.5,885,53,279,349,266,27,885,10,5,50.0,4,40.0,402,2042,1033,26,21,2,17,3,523,79,possession,ESP,DF,31.0,1992.0,16.5,586,733,79.9,10373,3766,272,307,88.6,246,291,84.5,60,104,57.7,2,1.6,1.8,0.4,16,35,23,9,55,passing,ESP,DF,31.0,1992.0,16.5,5,2,2,24,14,5,49,24,21,1,0,0,76,10,13,43.5,misc,ESP,DF,31.0,1992.0,16.5,31,21,19,10,2,10,30,33.3,20,12,2,10,24,55,33,0,defense
ESP-La Liga,2023,Granada,Alberto Perea,ESP,"MF,FW",32.0,1990.0,2,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,4.87,4.87,0.0,4.87,standard,ESP,"MF,FW",32.0,1990.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,ESP,"MF,FW",32.0,1990.0,0.0,8,0,1,3,4,0,8,1,0,0.0,0,0.0,7,24,10,0,0,0,0,0,6,1,possession,ESP,"MF,FW",32.0,1990.0,0.0,6,7,85.7,77,29,5,5,100.0,1,2,50.0,0,0,,0,0.1,0.0,-0.1,1,0,1,0,2,passing,ESP,"MF,FW",32.0,1990.0,0.0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,,misc,ESP,"MF,FW",32.0,1990.0,0.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0,defense
