league,season,team,player,nation,pos,age,born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,stat_type,nation_shooting,pos_shooting,age_shooting,born_shooting,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG_shooting,Expected npxG_shooting,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,stat_type_shooting,nation_possession,pos_possession,age_possession,born_possession,90s_possession,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,stat_type_possession,nation_passing,pos_passing,age_passing,born_passing,90s_passing,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,stat_type_passing,nation_misc,pos_misc,age_misc,born_misc,90s_misc,Performance CrdY_misc,Performance CrdR_misc,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,stat_type_misc,nation_defense,pos_defense,age_defense,born_defense,90s_defense,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type_defense
ESP-La Liga,2023,Atlético Madrid,Mario Hermoso,ESP,DF,28.0,1995.0,31,29,2557,28.4,0,1,1,0,0,0,9,0,1.4,1.4,0.8,2.2,39,177,61,0.0,0.04,0.04,0.0,0.04,0.05,0.03,0.08,0.05,0.08,standard,ESP,DF,28.0,1995.0,28.4,0,17,4,23.5,0.6,0.14,0.0,0.0,15.0,0,0,0,1.4,1.4,0.08,-1.4,-1.4,shooting,ESP,DF,28.0,1995.0,28.4,2196,152,811,1154,251,24,2196,20,11,55.0,6,30.0,1248,5330,3028,39,32,1,21,11,1484,61,possession,ESP,DF,28.0,1995.0,28.4,1676,1947,86.1,29197,10370,828,879,94.2,659,737,89.4,156,260,60.0,1,0.8,1.1,0.2,17,162,18,6,177,passing,ESP,DF,28.0,1995.0,28.4,9,0,0,32,23,1,38,30,25,1,0,0,168,46,32,59.0,misc,ESP,DF,28.0,1995.0,28.4,46,25,29,13,4,28,51,54.9,23,27,9,18,30,76,93,0,defense
ESP-La Liga,2023,Real Madrid,Mario Martín,ESP,MF,19.0,2004.0,2,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ESP,MF,19.0,2004.0,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,ESP,MF,19.0,2004.0,0.2,25,2,9,13,4,0,25,0,0,,0,,12,64,18,0,0,0,2,0,15,1,possession,ESP,MF,19.0,2004.0,0.2,12,15,80.0,175,42,5,5,100.0,6,9,66.7,0,0,,0,0.0,0.0,0.0,0,1,0,0,0,passing,ESP,MF,19.0,2004.0,0.2,0,0,0,1,1,0,0,0,1,0,0,0,2,0,0,,misc,ESP,MF,19.0,2004.0,0.2,5,1,0,2,3,3,4,75.0,1,2,1,1,0,5,0,0,defense
ESP-La Liga,2023,Sevilla,Marko Dmitrović,SRB,GK,31.0,1992.0,13,13,1170,13.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,SRB,GK,31.0,1992.0,13.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,SRB,GK,31.0,1992.0,13.0,429,363,425,4,0,0,429,1,1,100.0,0,0.0,234,1097,625,0,0,0,0,0,190,0,possession,SRB,GK,31.0,1992.0,13.0,292,394,74.1,7811,5954,65,65,100.0,152,153,99.3,74,174,42.5,0,0.0,0.0,0.0,1,8,0,0,1,passing,SRB,GK,31.0,1992.0,13.0,1,0,0,0,1,0,0,1,1,0,0,1,13,2,0,100.0,misc,SRB,GK,31.0,1992.0,13.0,1,1,1,0,0,1,2,50.0,1,0,0,0,1,2,5,0,defense
ESP-La Liga,2023,Almería,Marko Milovanović,SRB,"FW,MF",19.0,2003.0,11,2,308,3.4,1,0,1,1,0,0,0,0,1.5,1.5,0.1,1.6,2,3,13,0.29,0.0,0.29,0.29,0.29,0.45,0.03,0.47,0.45,0.47,standard,SRB,"FW,MF",19.0,2003.0,3.4,1,5,1,20.0,1.46,0.29,0.2,1.0,16.2,0,0,0,1.5,1.5,0.31,-0.5,-0.5,shooting,SRB,"FW,MF",19.0,2003.0,3.4,102,5,13,56,34,13,102,4,1,25.0,2,50.0,51,177,59,2,1,1,6,4,66,13,possession,SRB,"FW,MF",19.0,2003.0,3.4,43,68,63.2,457,59,30,41,73.2,9,15,60.0,0,2,0.0,0,0.1,0.1,-0.1,2,3,1,0,3,passing,SRB,"FW,MF",19.0,2003.0,3.4,0,0,0,15,6,4,1,0,4,0,0,0,9,13,23,36.1,misc,SRB,"FW,MF",19.0,2003.0,3.4,4,4,1,3,0,2,4,50.0,2,2,0,2,0,4,5,0,defense
ESP-La Liga,2023,Granada,Martin Hongla,CMR,"MF,DF",25.0,1998.0,13,6,562,6.2,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,3,16,5,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,standard,CMR,"MF,DF",25.0,1998.0,6.2,0,3,1,33.3,0.48,0.16,0.0,0.0,18.5,0,0,0,0.2,0.2,0.06,-0.2,-0.2,shooting,CMR,"MF,DF",25.0,1998.0,6.2,327,18,113,191,27,1,327,3,0,0.0,3,100.0,197,898,397,3,3,0,8,0,214,5,possession,CMR,"MF,DF",25.0,1998.0,6.2,237,283,83.7,4465,1179,87,95,91.6,118,131,90.1,29,48,60.4,0,0.0,0.1,0.0,0,20,1,0,16,passing,CMR,"MF,DF",25.0,1998.0,6.2,0,0,0,7,1,0,2,6,3,0,0,0,37,3,12,20.0,misc,CMR,"MF,DF",25.0,1998.0,6.2,7,3,2,5,0,3,9,33.3,6,6,3,3,6,13,13,1,defense
ESP-La Liga,2023,Mallorca,Martin Valjent,SVK,DF,27.0,1995.0,28,28,2349,26.1,0,1,1,0,0,0,5,0,0.3,0.3,0.9,1.2,22,61,27,0.0,0.04,0.04,0.0,0.04,0.01,0.03,0.05,0.01,0.05,standard,SVK,DF,27.0,1995.0,26.1,0,9,0,0.0,0.34,0.0,0.0,,19.6,0,0,0,0.3,0.3,0.04,-0.3,-0.3,shooting,SVK,DF,27.0,1995.0,26.1,1330,148,670,556,111,15,1330,3,1,33.3,2,66.7,640,3575,1812,22,12,1,14,2,736,27,possession,SVK,DF,27.0,1995.0,26.1,847,1067,79.4,15592,6228,343,374,91.7,400,468,85.5,84,178,47.2,1,0.9,1.0,0.1,7,60,5,3,61,passing,SVK,DF,27.0,1995.0,26.1,5,0,0,29,10,2,18,29,18,0,0,0,97,46,24,65.7,misc,SVK,DF,27.0,1995.0,26.1,34,18,19,13,2,18,30,60.0,12,26,11,15,29,63,112,1,defense
ESP-La Liga,2023,Real Sociedad,Martín Zubimendi,ESP,MF,24.0,1999.0,31,29,2654,29.5,4,1,5,4,0,0,5,0,2.7,2.7,1.5,4.1,34,152,27,0.14,0.03,0.17,0.14,0.17,0.09,0.05,0.14,0.09,0.14,standard,ESP,MF,24.0,1999.0,29.5,4,22,11,50.0,0.75,0.37,0.18,0.36,14.8,0,0,0,2.7,2.7,0.12,1.3,1.3,shooting,ESP,MF,24.0,1999.0,29.5,1793,91,397,1144,267,32,1793,18,12,66.7,5,27.8,942,5305,2671,34,41,5,26,16,1185,27,possession,ESP,MF,24.0,1999.0,29.5,1321,1542,85.7,22165,6269,607,677,89.7,607,677,89.7,86,126,68.3,1,1.5,2.0,-0.5,16,136,15,1,152,passing,ESP,MF,24.0,1999.0,29.5,5,0,0,36,20,0,7,37,27,0,0,0,169,44,28,61.1,misc,ESP,MF,24.0,1999.0,29.5,49,27,18,29,2,23,42,54.8,19,33,9,24,37,86,54,0,defense
ESP-La Liga,2023,Las Palmas,Marvin,ESP,"FW,DF",23.0,2000.0,31,17,1855,20.6,0,2,2,0,0,0,5,0,0.9,0.9,2.5,3.5,60,36,177,0.0,0.1,0.1,0.0,0.1,0.05,0.12,0.17,0.05,0.17,standard,ESP,"FW,DF",23.0,2000.0,20.6,0,14,3,21.4,0.68,0.15,0.0,0.0,17.3,0,0,0,0.9,0.9,0.07,-0.9,-0.9,shooting,ESP,"FW,DF",23.0,2000.0,20.6,1011,26,174,416,433,50,1011,47,19,40.4,21,44.7,574,3530,1535,60,40,13,52,23,662,177,possession,ESP,"FW,DF",23.0,2000.0,20.6,557,774,72.0,8082,1609,316,378,83.6,203,266,76.3,17,52,32.7,2,2.5,2.0,-0.5,13,16,13,6,36,passing,ESP,"FW,DF",23.0,2000.0,20.6,5,0,0,39,26,4,91,14,25,0,1,0,101,15,40,27.3,misc,ESP,"FW,DF",23.0,2000.0,20.6,39,25,18,17,4,18,36,50.0,18,28,2,26,14,53,18,1,defense
ESP-La Liga,2023,Getafe,Mason Greenwood,ENG,"MF,FW",21.0,2001.0,33,30,2662,29.6,8,6,14,6,2,3,6,1,8.8,6.4,4.6,11.0,127,89,239,0.27,0.2,0.47,0.2,0.41,0.3,0.15,0.45,0.22,0.37,standard,ENG,"MF,FW",21.0,2001.0,29.6,8,99,31,31.3,3.35,1.05,0.06,0.19,20.9,5,2,3,8.8,6.4,0.06,-0.8,-0.4,shooting,ENG,"MF,FW",21.0,2001.0,29.6,1355,6,76,621,690,124,1352,139,72,51.8,52,37.4,949,7176,3899,127,80,70,63,50,1090,239,possession,ENG,"MF,FW",21.0,2001.0,29.6,777,1036,75.0,13710,2684,388,450,86.2,266,333,79.9,101,183,55.2,6,4.6,4.3,1.4,36,62,27,11,89,passing,ENG,"MF,FW",21.0,2001.0,29.6,6,1,0,39,43,1,107,4,6,1,0,0,120,5,20,20.0,misc,ENG,"MF,FW",21.0,2001.0,29.6,11,6,3,5,3,4,21,19.0,17,9,0,9,4,15,4,0,defense
ESP-La Liga,2023,Granada,Matias Arezo,URU,FW,20.0,2002.0,14,3,369,4.1,0,0,0,0,0,0,1,0,1.2,1.2,0.1,1.2,6,5,17,0.0,0.0,0.0,0.0,0.0,0.28,0.01,0.3,0.28,0.3,standard,URU,FW,20.0,2002.0,4.1,0,12,4,33.3,2.93,0.98,0.0,0.0,18.1,0,0,0,1.2,1.2,0.1,-1.2,-1.2,shooting,URU,FW,20.0,2002.0,4.1,126,5,14,70,45,11,126,1,1,100.0,0,0.0,56,312,182,6,3,4,6,4,78,17,possession,URU,FW,20.0,2002.0,4.1,52,82,63.4,736,186,31,44,70.5,11,21,52.4,6,8,75.0,0,0.1,0.1,-0.1,2,3,2,1,5,passing,URU,FW,20.0,2002.0,4.1,1,0,0,6,1,8,4,1,3,0,0,0,13,11,17,39.3,misc,URU,FW,20.0,2002.0,4.1,7,3,2,5,0,1,5,20.0,4,4,1,3,1,8,4,0,defense
