league,season,team,player,nation,pos,age,born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,stat_type,nation_possession,pos_possession,age_possession,born_possession,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,stat_type_possession,nation_misc,pos_misc,age_misc,born_misc,90s_misc,Performance CrdY_misc,Performance CrdR_misc,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,stat_type_misc,nation_defense,pos_defense,age_defense,born_defense,90s_defense,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type_defense,nation_passing,pos_passing,age_passing,born_passing,90s_passing,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,stat_type_passing,nation_shooting,pos_shooting,age_shooting,born_shooting,90s_shooting,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG_shooting,Expected npxG_shooting,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,stat_type_shooting
ESP-La Liga,2024,Espanyol,Sergi Gómez,ESP,DF,33-014,1992.0,11,6,652,7.2,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,0,8,1,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,standard,ESP,DF,33-014,1992.0,7.2,415,63,278,129,8,4,415,0,0,,0,,222,851,376,0,0,0,1,0,291,1,possession,ESP,DF,33-014,1992.0,7.2,1,0,0,6,1,0,1,7,5,0,0,0,15,11,20,35.5,misc,ESP,DF,33-014,1992.0,7.2,8,5,7,1,0,2,3,66.7,1,12,8,4,7,15,36,0,defense,ESP,DF,33-014,1992.0,7.2,309,348,88.8,6063,1896,89,96,92.7,190,198,96.0,29,51,56.9,0,0.0,0.0,0.0,0,3,0,0,8,passing,ESP,DF,33-014,1992.0,7.2,0,2,1,50.0,0.28,0.14,0.0,0.0,8.7,0,0,0,0.3,0.3,0.15,-0.3,-0.3,shooting
ESP-La Liga,2024,Betis,Sergio Arribas,ESP,DF,22-060,2003.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ESP,DF,22-060,2003.0,1.0,71,5,24,43,4,0,71,0,0,,0,,33,128,75,0,0,0,0,0,35,4,possession,ESP,DF,22-060,2003.0,1.0,0,0,0,0,0,0,0,3,4,0,0,0,3,1,0,100.0,misc,ESP,DF,22-060,2003.0,1.0,7,4,4,3,0,6,7,85.7,1,2,2,0,3,10,4,0,defense,ESP,DF,22-060,2003.0,1.0,37,54,68.5,533,210,22,23,95.7,12,20,60.0,2,5,40.0,0,0.0,0.0,0.0,0,1,0,0,1,passing,ESP,DF,22-060,2003.0,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ESP-La Liga,2024,Rayo Vallecano,Sergio Camello,ESP,FW,24-060,2001.0,23,14,1134,12.6,3,2,5,3,0,0,2,0,4.1,4.1,2.0,6.1,20,27,68,0.24,0.16,0.4,0.24,0.4,0.32,0.16,0.48,0.32,0.48,standard,ESP,FW,24-060,2001.0,12.6,398,17,39,173,196,46,398,23,13,56.5,8,34.8,222,1128,554,20,16,8,38,23,308,68,possession,ESP,FW,24-060,2001.0,12.6,2,0,0,11,10,2,6,4,3,0,0,0,32,11,26,29.7,misc,ESP,FW,24-060,2001.0,12.6,9,3,2,5,2,4,6,66.7,2,8,1,7,4,13,16,0,defense,ESP,FW,24-060,2001.0,12.6,207,263,78.7,2869,452,127,151,84.1,61,73,83.6,7,9,77.8,2,2.0,1.1,0.0,19,12,7,0,27,passing,ESP,FW,24-060,2001.0,12.6,3,32,9,28.1,2.54,0.71,0.09,0.33,16.3,0,0,0,4.1,4.1,0.13,-1.1,-1.1,shooting
ESP-La Liga,2024,Celta Vigo,Sergio Carreira,ESP,"MF,DF",24-180,2000.0,17,14,1227,13.6,0,3,3,0,0,0,0,0,0.3,0.3,2.4,2.8,31,43,115,0.0,0.22,0.22,0.0,0.22,0.02,0.18,0.2,0.02,0.2,standard,ESP,"MF,DF",24-180,2000.0,13.6,802,22,180,316,312,40,802,23,10,43.5,12,52.2,421,2234,1084,31,17,12,15,11,496,115,possession,ESP,"MF,DF",24-180,2000.0,13.6,0,0,0,13,4,2,39,11,16,0,0,0,51,3,12,20.0,misc,ESP,"MF,DF",24-180,2000.0,13.6,27,16,15,6,6,14,21,66.7,7,18,2,16,11,38,27,0,defense,ESP,"MF,DF",24-180,2000.0,13.6,513,671,76.5,8379,2771,255,294,86.7,224,282,79.4,32,64,50.0,3,2.4,2.3,0.6,14,26,23,8,43,passing,ESP,"MF,DF",24-180,2000.0,13.6,0,8,3,37.5,0.59,0.22,0.0,0.0,16.0,0,0,0,0.3,0.3,0.04,-0.3,-0.3,shooting
ESP-La Liga,2024,Real Sociedad,Sergio Gómez,ESP,"MF,DF",24-219,2000.0,29,26,2267,25.2,2,5,7,2,0,0,3,0,1.3,1.3,7.3,8.6,37,85,128,0.08,0.2,0.28,0.08,0.28,0.05,0.29,0.34,0.05,0.34,standard,ESP,"MF,DF",24-219,2000.0,25.2,1477,31,238,669,589,38,1477,46,21,45.7,21,45.7,730,3811,1626,37,36,3,36,12,895,128,possession,ESP,"MF,DF",24-219,2000.0,25.2,3,0,0,26,12,8,177,16,34,0,1,0,125,12,18,40.0,misc,ESP,"MF,DF",24-219,2000.0,25.2,59,34,24,25,10,24,48,50.0,24,38,2,36,16,75,24,2,defense,ESP,"MF,DF",24-219,2000.0,25.2,933,1237,75.4,14834,3869,524,582,90.0,291,372,78.2,86,187,46.0,5,7.3,6.1,-2.3,41,69,20,9,85,passing,ESP,"MF,DF",24-219,2000.0,25.2,2,16,9,56.3,0.64,0.36,0.13,0.22,25.1,5,0,0,1.3,1.3,0.08,0.7,0.7,shooting
ESP-La Liga,2024,Osasuna,Sergio Herrera,ESP,GK,31-310,1993.0,29,29,2610,29.0,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ESP,GK,31-310,1993.0,29.0,1077,867,1067,10,0,0,1077,0,0,,0,,558,3097,1693,0,0,0,2,0,425,0,possession,ESP,GK,31-310,1993.0,29.0,5,0,0,1,3,0,0,0,1,0,1,0,26,4,1,80.0,misc,ESP,GK,31-310,1993.0,29.0,2,1,2,0,0,2,5,40.0,3,1,0,1,0,2,23,1,defense,ESP,GK,31-310,1993.0,29.0,689,987,69.8,23153,18672,73,74,98.6,311,318,97.8,305,591,51.6,0,0.0,0.1,0.0,0,25,0,0,2,passing,ESP,GK,31-310,1993.0,29.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ESP-La Liga,2024,Leganés,Seydouba Cissé,GUI,MF,24-060,2001.0,27,24,1925,21.4,2,0,2,2,0,0,3,0,1.4,1.4,0.3,1.7,20,82,34,0.09,0.0,0.09,0.09,0.09,0.06,0.01,0.08,0.06,0.08,standard,GUI,MF,24-060,2001.0,21.4,1106,40,234,710,178,15,1106,40,27,67.5,8,20.0,617,2992,1461,20,27,1,29,21,710,34,possession,GUI,MF,24-060,2001.0,21.4,3,0,0,33,21,1,7,11,26,1,1,0,135,23,31,42.6,misc,GUI,MF,24-060,2001.0,21.4,39,26,16,17,6,16,35,45.7,19,22,1,21,11,50,39,1,defense,GUI,MF,24-060,2001.0,21.4,763,907,84.1,12729,2572,352,393,89.6,318,359,88.6,66,103,64.1,0,0.3,0.5,-0.3,9,64,11,0,82,passing,GUI,MF,24-060,2001.0,21.4,2,13,2,15.4,0.61,0.09,0.15,1.0,23.0,0,0,0,1.4,1.4,0.1,0.6,0.6,shooting
ESP-La Liga,2024,Real Sociedad,Sheraldo Becker,SUR,"FW,MF",30-061,1995.0,20,11,971,10.8,2,1,3,2,0,0,1,1,2.0,2.0,2.0,4.0,49,23,105,0.19,0.09,0.28,0.19,0.28,0.19,0.18,0.37,0.19,0.37,standard,SUR,"FW,MF",30-061,1995.0,10.8,373,10,39,109,230,35,373,10,4,40.0,3,30.0,236,1839,1014,49,15,13,17,4,290,105,possession,SUR,"FW,MF",30-061,1995.0,10.8,1,1,0,8,14,9,63,1,2,0,0,0,29,7,15,31.8,misc,SUR,"FW,MF",30-061,1995.0,10.8,2,2,0,2,0,0,2,0.0,2,4,0,4,1,3,10,0,defense,SUR,"FW,MF",30-061,1995.0,10.8,194,305,63.6,3300,742,101,128,78.9,75,118,63.6,15,33,45.5,1,2.0,1.7,-1.0,8,6,17,5,23,passing,SUR,"FW,MF",30-061,1995.0,10.8,2,22,13,59.1,2.04,1.2,0.09,0.15,19.1,0,0,0,2.0,2.0,0.09,0.0,0.0,shooting
ESP-La Liga,2024,Mallorca,Siebe Van Der Heyden,BEL,"DF,MF",26-316,1998.0,2,1,97,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,5,1,0.0,0.0,0.0,0.0,0.0,0.03,0.07,0.1,0.03,0.1,standard,BEL,"DF,MF",26-316,1998.0,1.1,83,5,26,42,15,1,83,3,1,33.3,1,33.3,57,218,72,1,0,0,0,2,63,1,possession,BEL,"DF,MF",26-316,1998.0,1.1,0,0,0,2,0,0,2,2,1,0,0,0,5,2,1,66.7,misc,BEL,"DF,MF",26-316,1998.0,1.1,1,1,0,1,0,0,0,,0,1,0,1,2,3,3,0,defense,BEL,"DF,MF",26-316,1998.0,1.1,65,73,89.0,1164,308,31,33,93.9,26,30,86.7,7,9,77.8,0,0.1,0.1,-0.1,1,7,1,1,5,passing,BEL,"DF,MF",26-316,1998.0,1.1,0,1,0,0.0,0.93,0.0,0.0,,11.4,0,0,0,0.0,0.0,0.03,0.0,0.0,shooting
ESP-La Liga,2024,Girona,Silvi Clúa,ESP,MF,20-072,2005.0,4,2,163,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,4,3,3,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,standard,ESP,MF,20-072,2005.0,1.8,116,8,32,72,16,3,116,4,2,50.0,2,50.0,61,495,217,4,3,1,1,0,77,3,possession,ESP,MF,20-072,2005.0,1.8,0,0,0,5,0,0,0,2,7,0,0,0,4,6,3,66.7,misc,ESP,MF,20-072,2005.0,1.8,8,7,4,3,1,4,6,66.7,2,1,0,1,2,10,6,0,defense,ESP,MF,20-072,2005.0,1.8,75,95,78.9,1302,271,31,37,83.8,36,42,85.7,5,8,62.5,0,0.0,0.0,0.0,1,3,0,0,3,passing,ESP,MF,20-072,2005.0,1.8,0,2,1,50.0,1.1,0.55,0.0,0.0,33.3,0,0,0,0.0,0.0,0.02,0.0,0.0,shooting
