league,season,team,player,nation,pos,age,born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,stat_type,nation_possession,pos_possession,age_possession,born_possession,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,stat_type_possession,nation_misc,pos_misc,age_misc,born_misc,90s_misc,Performance CrdY_misc,Performance CrdR_misc,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,stat_type_misc,nation_defense,pos_defense,age_defense,born_defense,90s_defense,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type_defense,nation_passing,pos_passing,age_passing,born_passing,90s_passing,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,stat_type_passing,nation_shooting,pos_shooting,age_shooting,born_shooting,90s_shooting,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG_shooting,Expected npxG_shooting,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,stat_type_shooting
ESP-La Liga,2024,Betis,Abde Ezzalzouli,MAR,"FW,MF",23-115,2001.0,25,19,1613,17.9,1,1,2,1,0,1,2,0,7.2,6.4,1.7,8.1,100,58,172,0.06,0.06,0.11,0.06,0.11,0.4,0.1,0.5,0.36,0.45,standard,MAR,"FW,MF",23-115,2001.0,17.9,892,8,93,337,490,125,891,91,42,46.2,35,38.5,582,4396,2576,100,66,45,50,45,661,172,possession,MAR,"FW,MF",23-115,2001.0,17.9,2,0,0,18,32,3,42,5,22,1,0,0,84,19,31,38.0,misc,MAR,"FW,MF",23-115,2001.0,17.9,32,22,14,15,3,12,21,57.1,9,18,3,15,5,37,11,0,defense,MAR,"FW,MF",23-115,2001.0,17.9,442,627,70.5,5509,1624,305,376,81.1,110,160,68.8,9,29,31.0,1,1.7,1.6,-0.7,23,34,15,2,58,passing,MAR,"FW,MF",23-115,2001.0,17.9,1,50,18,36.0,2.79,1.0,0.02,0.06,15.8,1,0,1,7.2,6.4,0.13,-6.2,-5.4,shooting
ESP-La Liga,2024,Alavés,Abderrahman Rebbach,ALG,"FW,MF",26-243,1998.0,8,4,385,4.3,0,0,0,0,0,0,1,0,0.2,0.2,0.3,0.5,16,5,34,0.0,0.0,0.0,0.0,0.0,0.04,0.07,0.11,0.04,0.11,standard,ALG,"FW,MF",26-243,1998.0,4.3,173,4,27,62,85,18,173,14,3,21.4,9,64.3,103,674,389,16,6,7,9,5,107,34,possession,ALG,"FW,MF",26-243,1998.0,4.3,1,0,0,5,6,2,17,0,2,0,0,0,16,1,11,8.3,misc,ALG,"FW,MF",26-243,1998.0,4.3,3,2,3,0,0,0,6,0.0,6,4,0,4,0,3,6,0,defense,ALG,"FW,MF",26-243,1998.0,4.3,74,118,62.7,1234,255,41,58,70.7,24,35,68.6,8,17,47.1,0,0.3,0.4,-0.3,6,2,5,3,5,passing,ALG,"FW,MF",26-243,1998.0,4.3,0,6,1,16.7,1.4,0.23,0.0,0.0,20.3,0,0,0,0.2,0.2,0.03,-0.2,-0.2,shooting
ESP-La Liga,2024,Getafe,Abdoulaye Keita,ESP,"FW,MF",22-222,2002.0,3,1,95,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,4,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,standard,ESP,"FW,MF",22-222,2002.0,1.1,41,3,10,19,12,1,41,3,1,33.3,2,66.7,22,84,24,1,0,0,3,3,25,4,possession,ESP,"FW,MF",22-222,2002.0,1.1,0,0,0,6,0,0,1,0,2,0,0,0,6,3,3,50.0,misc,ESP,"FW,MF",22-222,2002.0,1.1,2,2,0,1,1,2,4,50.0,2,1,0,1,0,2,3,0,defense,ESP,"FW,MF",22-222,2002.0,1.1,15,27,55.6,257,66,8,11,72.7,6,6,100.0,1,6,16.7,0,0.0,0.1,0.0,0,3,1,1,2,passing,ESP,"FW,MF",22-222,2002.0,1.1,0,2,0,0.0,1.89,0.0,0.0,,25.8,0,0,0,0.0,0.0,0.02,0.0,0.0,shooting
ESP-La Liga,2024,Rayo Vallecano,Abdul Mumin,GHA,DF,26-309,1998.0,24,24,2017,22.4,2,1,3,2,0,0,6,1,0.6,0.6,0.2,0.8,12,40,6,0.09,0.04,0.13,0.09,0.13,0.03,0.01,0.03,0.03,0.03,standard,GHA,DF,26-309,1998.0,22.4,1351,253,874,447,39,13,1351,10,5,50.0,4,40.0,725,3467,1525,12,5,2,16,5,819,6,possession,GHA,DF,26-309,1998.0,22.4,6,1,0,22,12,0,6,23,25,0,0,0,93,31,25,55.4,misc,GHA,DF,26-309,1998.0,22.4,37,25,30,7,0,17,27,63.0,10,40,29,11,23,60,125,0,defense,GHA,DF,26-309,1998.0,22.4,900,1085,82.9,17231,7016,315,339,92.9,492,536,91.8,87,190,45.8,1,0.2,0.1,0.8,1,40,1,0,40,passing,GHA,DF,26-309,1998.0,22.4,2,10,3,30.0,0.45,0.13,0.2,0.67,12.9,0,0,0,0.6,0.6,0.06,1.4,1.4,shooting
ESP-La Liga,2024,Mallorca,Abdón Prats,ESP,"FW,MF",32-125,1992.0,21,2,376,4.2,2,0,2,1,1,1,4,0,1.9,1.1,0.0,1.2,0,6,9,0.48,0.0,0.48,0.24,0.24,0.46,0.0,0.47,0.27,0.28,standard,ESP,"FW,MF",32-125,1992.0,4.2,118,5,14,62,42,21,117,2,1,50.0,1,50.0,60,171,32,0,0,0,13,10,82,9,possession,ESP,"FW,MF",32-125,1992.0,4.2,4,0,0,5,15,2,0,1,1,1,0,0,12,15,28,34.9,misc,ESP,"FW,MF",32-125,1992.0,4.2,1,1,1,0,0,0,1,0.0,1,2,1,1,1,2,4,0,defense,ESP,"FW,MF",32-125,1992.0,4.2,47,69,68.1,721,146,25,33,75.8,15,22,68.2,4,6,66.7,0,0.0,0.1,0.0,1,4,1,0,6,passing,ESP,"FW,MF",32-125,1992.0,4.2,2,11,4,36.4,2.63,0.96,0.09,0.25,15.1,0,1,1,1.9,1.1,0.1,0.1,-0.1,shooting
ESP-La Liga,2024,Osasuna,Abel,ESP,DF,24-233,2000.0,28,16,1688,18.8,2,0,2,2,0,0,3,0,0.4,0.4,0.8,1.3,41,60,69,0.11,0.0,0.11,0.11,0.11,0.02,0.04,0.07,0.02,0.07,standard,ESP,DF,24-233,2000.0,18.8,1052,58,321,475,265,12,1052,29,14,48.3,11,37.9,468,2614,1419,41,34,5,21,12,511,69,possession,ESP,DF,24-233,2000.0,18.8,3,0,0,19,24,1,68,15,29,0,1,0,92,16,14,53.3,misc,ESP,DF,24-233,2000.0,18.8,47,29,21,19,7,29,46,63.0,17,22,2,20,15,62,55,2,defense,ESP,DF,24-233,2000.0,18.8,602,847,71.1,10127,4262,302,343,88.0,238,310,76.8,50,136,36.8,0,0.8,1.1,-0.8,11,46,10,8,60,passing,ESP,DF,24-233,2000.0,18.8,2,10,4,40.0,0.53,0.21,0.2,0.5,24.7,0,0,0,0.4,0.4,0.04,1.6,1.6,shooting
ESP-La Liga,2024,Girona,Abel Ruiz,ESP,FW,25-073,2000.0,18,15,1166,13.0,4,0,4,3,1,2,3,0,4.5,3.0,0.4,3.3,17,19,62,0.31,0.0,0.31,0.23,0.23,0.35,0.03,0.38,0.23,0.26,standard,ESP,FW,25-073,2000.0,13.0,339,11,27,159,155,53,337,16,5,31.3,8,50.0,201,1048,316,17,7,9,32,18,245,62,possession,ESP,FW,25-073,2000.0,13.0,3,0,0,6,13,5,4,4,2,0,0,0,20,7,19,26.9,misc,ESP,FW,25-073,2000.0,13.0,6,2,2,2,2,2,5,40.0,3,5,2,3,4,10,7,0,defense,ESP,FW,25-073,2000.0,13.0,198,227,87.2,2981,405,119,129,92.2,64,68,94.1,14,21,66.7,0,0.4,0.6,-0.4,4,13,4,0,19,passing,ESP,FW,25-073,2000.0,13.0,4,20,7,35.0,1.54,0.54,0.15,0.43,13.7,0,1,2,4.5,3.0,0.15,-0.5,0.0,shooting
ESP-La Liga,2024,Las Palmas,Aboubacar Bassinga,CIV,MF,19-272,2005.0,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,CIV,MF,19-272,2005.0,0.0,4,0,0,4,0,0,4,0,0,,0,,3,11,4,0,0,0,0,1,3,0,possession,CIV,MF,19-272,2005.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,misc,CIV,MF,19-272,2005.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense,CIV,MF,19-272,2005.0,0.0,2,4,50.0,53,0,1,1,100.0,0,0,,1,3,33.3,0,0.0,0.0,0.0,0,0,0,0,0,passing,CIV,MF,19-272,2005.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ESP-La Liga,2024,Valladolid,Adam Aznou,MAR,DF,18-313,2006.0,7,6,463,5.1,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,7,13,19,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.02,0.02,0.02,standard,MAR,DF,18-313,2006.0,5.1,282,17,93,142,53,5,282,17,7,41.2,5,29.4,130,686,380,7,4,1,17,7,135,19,possession,MAR,DF,18-313,2006.0,5.1,1,0,0,5,8,0,8,7,14,0,0,0,31,5,1,83.3,misc,MAR,DF,18-313,2006.0,5.1,16,14,12,4,0,13,24,54.2,11,12,2,10,7,23,10,0,defense,MAR,DF,18-313,2006.0,5.1,146,203,71.9,2249,625,80,91,87.9,50,71,70.4,11,24,45.8,0,0.0,0.1,0.0,1,12,1,0,13,passing,MAR,DF,18-313,2006.0,5.1,0,1,0,0.0,0.19,0.0,0.0,,14.6,0,0,0,0.1,0.1,0.1,-0.1,-0.1,shooting
ESP-La Liga,2024,Athletic Club,Adama Boiro,ESP,DF,22-293,2002.0,13,10,819,9.1,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,14,34,20,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,standard,ESP,DF,22-293,2002.0,9.1,482,21,117,246,121,8,482,15,6,40.0,7,46.7,214,1157,627,14,14,2,15,9,244,20,possession,ESP,DF,22-293,2002.0,9.1,1,0,0,8,7,0,25,9,7,0,0,0,38,14,5,73.7,misc,ESP,DF,22-293,2002.0,9.1,15,7,8,5,2,7,11,63.6,4,8,3,5,9,24,25,1,defense,ESP,DF,22-293,2002.0,9.1,316,392,80.6,4903,1467,170,185,91.9,137,175,78.3,8,20,40.0,0,0.2,0.3,-0.2,3,33,5,4,34,passing,ESP,DF,22-293,2002.0,9.1,0,3,0,0.0,0.33,0.0,0.0,,13.8,0,0,0,0.2,0.2,0.06,-0.2,-0.2,shooting
ESP-La Liga,2024,Las Palmas,Adnan Januzaj,BEL,"MF,FW",30-065,1995.0,12,3,366,4.1,2,1,3,2,0,0,4,0,0.6,0.6,0.7,1.3,16,28,37,0.49,0.25,0.74,0.49,0.74,0.14,0.17,0.31,0.14,0.31,standard,BEL,"MF,FW",30-065,1995.0,4.1,274,4,22,122,132,13,274,22,7,31.8,14,63.6,161,1036,445,16,4,5,19,4,196,37,possession,BEL,"MF,FW",30-065,1995.0,4.1,4,0,0,3,12,0,42,0,5,0,0,0,22,1,8,11.1,misc,BEL,"MF,FW",30-065,1995.0,4.1,7,5,1,5,1,5,7,71.4,2,4,0,4,0,7,2,0,defense,BEL,"MF,FW",30-065,1995.0,4.1,149,211,70.6,2973,1013,62,72,86.1,62,79,78.5,25,49,51.0,1,0.7,1.3,0.3,9,20,6,2,28,passing,BEL,"MF,FW",30-065,1995.0,4.1,2,11,3,27.3,2.7,0.74,0.18,0.67,22.8,4,0,0,0.6,0.6,0.05,1.4,1.4,shooting
ESP-La Liga,2024,Rayo Vallecano,Adri Embarba,ESP,"FW,MF",32-339,1992.0,28,15,1373,15.3,1,1,2,1,0,0,4,0,1.5,1.5,2.7,4.2,41,41,99,0.07,0.07,0.13,0.07,0.13,0.1,0.18,0.28,0.1,0.28,standard,ESP,"FW,MF",32-339,1992.0,15.3,715,14,85,278,368,39,715,43,17,39.5,21,48.8,393,2374,1098,41,31,11,47,20,450,99,possession,ESP,"FW,MF",32-339,1992.0,15.3,4,0,0,23,20,13,100,12,16,0,0,0,57,10,25,28.6,misc,ESP,"FW,MF",32-339,1992.0,15.3,35,16,13,15,7,16,39,41.0,23,17,1,16,12,47,12,1,defense,ESP,"FW,MF",32-339,1992.0,15.3,329,513,64.1,5337,1363,186,230,80.9,92,136,67.6,38,101,37.6,1,2.7,2.4,-1.7,19,20,17,10,41,passing,ESP,"FW,MF",32-339,1992.0,15.3,1,31,10,32.3,2.03,0.66,0.03,0.1,22.6,2,0,0,1.5,1.5,0.05,-0.5,-0.5,shooting
ESP-La Liga,2024,Valladolid,Adrian Baquerin,ESP,FW,18-038,2007.0,3,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ESP,FW,18-038,2007.0,0.1,6,1,2,2,2,0,6,1,0,0.0,0,0.0,3,6,1,0,0,0,1,0,3,0,possession,ESP,FW,18-038,2007.0,0.1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,100.0,misc,ESP,FW,18-038,2007.0,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,defense,ESP,FW,18-038,2007.0,0.1,3,3,100.0,37,10,2,2,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,1,0,1,passing,ESP,FW,18-038,2007.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ESP-La Liga,2024,Atlético Madrid,Adrian Niño,ESP,FW,20-296,2004.0,1,0,12,0.1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,0,1,0.0,0.0,0.0,0.0,0.0,1.44,0.0,1.44,1.44,1.44,standard,ESP,FW,20-296,2004.0,0.1,2,0,0,0,2,2,2,0,0,,0,,1,4,0,0,0,0,0,0,1,1,possession,ESP,FW,20-296,2004.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,misc,ESP,FW,20-296,2004.0,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense,ESP,FW,20-296,2004.0,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,passing,ESP,FW,20-296,2004.0,0.1,0,2,0,0.0,15.0,0.0,0.0,,13.9,0,0,0,0.2,0.2,0.1,-0.2,-0.2,shooting
ESP-La Liga,2024,Alavés,Adrian Rodriguez,ESP,GK,24-120,2000.0,2,1,122,1.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ESP,GK,24-120,2000.0,1.4,58,45,55,3,0,0,58,0,0,,0,,19,135,61,0,0,0,0,0,4,0,possession,ESP,GK,24-120,2000.0,1.4,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,,misc,ESP,GK,24-120,2000.0,1.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,3,1,defense,ESP,GK,24-120,2000.0,1.4,19,50,38.0,1160,1084,1,1,100.0,0,0,,18,48,37.5,0,0.0,0.0,0.0,0,1,0,0,0,passing,ESP,GK,24-120,2000.0,1.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ESP-La Liga,2024,Leganés,Adrià Altimira,ESP,"DF,FW",24-014,2001.0,15,12,1082,12.0,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.1,14,31,33,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,standard,ESP,"DF,FW",24-014,2001.0,12.0,563,51,189,275,109,2,563,22,8,36.4,10,45.5,241,1205,603,14,13,1,19,6,281,33,possession,ESP,"DF,FW",24-014,2001.0,12.0,3,0,0,21,17,2,10,12,15,0,1,0,52,9,14,39.1,misc,ESP,"DF,FW",24-014,2001.0,12.0,30,15,20,8,2,15,26,57.7,11,11,6,5,12,42,41,2,defense,ESP,"DF,FW",24-014,2001.0,12.0,326,410,79.5,5253,1496,179,204,87.7,118,148,79.7,25,43,58.1,0,0.0,0.2,0.0,2,27,5,0,31,passing,ESP,"DF,FW",24-014,2001.0,12.0,0,4,1,25.0,0.33,0.08,0.0,0.0,24.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,shooting
ESP-La Liga,2024,Sevilla,Adrià Pedrosa,ESP,DF,26-333,1998.0,24,22,1835,20.4,1,1,2,1,0,0,6,0,0.5,0.5,0.8,1.3,33,68,78,0.05,0.05,0.1,0.05,0.1,0.02,0.04,0.06,0.02,0.06,standard,ESP,DF,26-333,1998.0,20.4,1206,76,417,512,289,14,1206,27,13,48.1,13,48.1,476,2696,1485,33,39,3,31,12,647,78,possession,ESP,DF,26-333,1998.0,20.4,6,0,0,32,16,1,71,16,31,0,0,0,74,10,27,27.0,misc,ESP,DF,26-333,1998.0,20.4,50,31,31,13,6,27,48,56.3,21,36,8,28,16,66,71,0,defense,ESP,DF,26-333,1998.0,20.4,689,938,73.5,11557,4181,346,382,90.6,291,375,77.6,41,129,31.8,1,0.8,0.9,0.2,11,49,13,7,68,passing,ESP,DF,26-333,1998.0,20.4,1,18,4,22.2,0.88,0.2,0.06,0.25,26.3,0,0,0,0.5,0.5,0.03,0.5,0.5,shooting
ESP-La Liga,2024,Betis,Adrián,ESP,GK,38-098,1987.0,11,11,990,11.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ESP,GK,38-098,1987.0,11.0,379,323,378,1,0,0,379,0,0,,0,,226,1026,659,0,0,0,0,0,180,0,possession,ESP,GK,38-098,1987.0,11.0,3,0,0,0,3,0,0,0,0,0,0,0,8,1,1,50.0,misc,ESP,GK,38-098,1987.0,11.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,6,1,defense,ESP,GK,38-098,1987.0,11.0,270,364,74.2,6954,4765,39,40,97.5,150,153,98.0,80,166,48.2,0,0.0,0.0,0.0,0,3,0,0,0,passing,ESP,GK,38-098,1987.0,11.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ESP-La Liga,2024,Athletic Club,Adu Ares,ESP,FW,23-181,2001.0,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ESP,FW,23-181,2001.0,0.2,11,0,2,3,6,1,11,1,0,0.0,1,100.0,8,44,29,1,1,0,0,2,11,2,possession,ESP,FW,23-181,2001.0,0.2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,misc,ESP,FW,23-181,2001.0,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,defense,ESP,FW,23-181,2001.0,0.2,5,9,55.6,64,15,3,5,60.0,2,3,66.7,0,0,,0,0.0,0.0,0.0,0,0,1,0,3,passing,ESP,FW,23-181,2001.0,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ESP-La Liga,2024,Real Sociedad,Aihen Muñoz,ESP,DF,27-238,1997.0,16,8,688,7.6,0,0,0,0,0,0,4,0,0.1,0.1,0.1,0.2,14,24,9,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.02,0.01,0.02,standard,ESP,DF,27-238,1997.0,7.6,465,37,163,215,91,1,465,9,4,44.4,4,44.4,186,923,391,14,9,2,3,2,198,9,possession,ESP,DF,27-238,1997.0,7.6,4,0,0,10,9,0,16,11,10,0,1,0,31,16,14,53.3,misc,ESP,DF,27-238,1997.0,7.6,16,10,10,6,0,11,21,52.4,10,9,6,3,11,27,40,0,defense,ESP,DF,27-238,1997.0,7.6,253,368,68.8,3988,1731,132,149,88.6,98,140,70.0,15,60,25.0,0,0.1,0.1,-0.1,1,24,1,1,24,passing,ESP,DF,27-238,1997.0,7.6,0,4,0,0.0,0.52,0.0,0.0,,34.6,0,0,0,0.1,0.1,0.01,-0.1,-0.1,shooting
ESP-La Liga,2024,Osasuna,Aimar Oroz,ESP,"MF,FW",23-135,2001.0,29,27,2253,25.0,4,1,5,4,0,0,6,0,3.1,3.1,1.8,4.9,54,127,106,0.16,0.04,0.2,0.16,0.2,0.12,0.07,0.2,0.12,0.2,standard,ESP,"MF,FW",23-135,2001.0,25.0,1071,9,134,520,440,61,1071,76,36,47.4,33,43.4,672,3911,1948,54,52,10,48,36,754,106,possession,ESP,"MF,FW",23-135,2001.0,25.0,6,0,0,24,54,5,19,18,17,0,0,0,124,12,20,37.5,misc,ESP,"MF,FW",23-135,2001.0,25.0,30,17,14,10,6,14,37,37.8,23,27,2,25,18,48,7,0,defense,ESP,"MF,FW",23-135,2001.0,25.0,667,821,81.2,10751,2625,350,398,87.9,250,300,83.3,47,66,71.2,1,1.8,2.8,-0.8,27,68,28,1,127,passing,ESP,"MF,FW",23-135,2001.0,25.0,4,39,12,30.8,1.56,0.48,0.1,0.33,19.0,3,0,0,3.1,3.1,0.08,0.9,0.9,shooting
ESP-La Liga,2024,Osasuna,Aitor Fernández,ESP,GK,33-343,1991.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ESP,GK,33-343,1991.0,1.0,50,45,50,0,0,0,50,0,0,,0,,27,146,105,0,0,0,0,0,17,0,possession,ESP,GK,33-343,1991.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,misc,ESP,GK,33-343,1991.0,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,defense,ESP,GK,33-343,1991.0,1.0,29,45,64.4,1243,1147,0,0,,10,10,100.0,19,35,54.3,0,0.0,0.0,0.0,0,1,0,0,0,passing,ESP,GK,33-343,1991.0,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ESP-La Liga,2024,Athletic Club,Aitor Paredes,ESP,DF,24-347,2000.0,18,16,1362,15.1,3,0,3,3,0,0,4,1,2.2,2.2,0.1,2.3,3,38,1,0.2,0.0,0.2,0.2,0.2,0.15,0.0,0.15,0.15,0.15,standard,ESP,DF,24-347,2000.0,15.1,931,98,500,421,12,8,931,1,0,0.0,1,100.0,481,2388,1360,3,3,0,5,1,578,1,possession,ESP,DF,24-347,2000.0,15.1,4,1,1,18,4,0,1,19,8,0,1,0,50,24,23,51.1,misc,ESP,DF,24-347,2000.0,15.1,10,8,7,3,0,4,10,40.0,6,19,9,10,19,29,93,4,defense,ESP,DF,24-347,2000.0,15.1,649,770,84.3,14000,5291,141,160,88.1,426,458,93.0,80,145,55.2,0,0.1,0.1,-0.1,2,33,2,0,38,passing,ESP,DF,24-347,2000.0,15.1,3,5,3,60.0,0.33,0.2,0.6,1.0,3.8,0,0,0,2.2,2.2,0.44,0.8,0.8,shooting
ESP-La Liga,2024,Betis,Aitor Ruibal,ESP,"DF,FW",29-020,1996.0,22,8,821,9.1,0,2,2,0,0,0,3,0,0.6,0.6,1.3,1.9,16,27,43,0.0,0.22,0.22,0.0,0.22,0.06,0.14,0.21,0.06,0.21,standard,ESP,"DF,FW",29-020,1996.0,9.1,431,24,109,184,144,21,431,17,10,58.8,7,41.2,215,1098,575,16,15,4,19,11,256,43,possession,ESP,"DF,FW",29-020,1996.0,9.1,3,0,0,6,14,2,18,9,13,0,0,0,46,4,12,25.0,misc,ESP,"DF,FW",29-020,1996.0,9.1,18,13,12,3,3,14,23,60.9,9,11,3,8,9,27,22,0,defense,ESP,"DF,FW",29-020,1996.0,9.1,258,320,80.6,3918,1615,144,152,94.7,86,108,79.6,19,35,54.3,2,1.3,0.8,0.7,15,21,8,4,27,passing,ESP,"DF,FW",29-020,1996.0,9.1,0,9,2,22.2,0.99,0.22,0.0,0.0,17.9,0,0,0,0.6,0.6,0.07,-0.6,-0.6,shooting
ESP-La Liga,2024,Sevilla,Akor Adams,NGA,FW,25-072,2000.0,4,1,134,1.5,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,0,5,5,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.29,0.29,0.29,standard,NGA,FW,25-072,2000.0,1.5,34,1,4,18,12,1,34,1,1,100.0,0,0.0,5,18,0,0,0,0,2,0,20,5,possession,NGA,FW,25-072,2000.0,1.5,0,0,0,1,0,1,0,0,0,0,0,0,4,6,10,37.5,misc,NGA,FW,25-072,2000.0,1.5,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,defense,NGA,FW,25-072,2000.0,1.5,20,27,74.1,334,48,9,12,75.0,7,9,77.8,3,5,60.0,0,0.0,0.0,0.0,0,3,1,0,5,passing,NGA,FW,25-072,2000.0,1.5,0,2,1,50.0,1.34,0.67,0.0,0.0,22.2,0,0,0,0.4,0.4,0.22,-0.4,-0.4,shooting
ESP-La Liga,2024,Sevilla,Albert Sambi Lokonga,BEL,MF,25-171,1999.0,19,14,1335,14.8,0,2,2,0,0,0,4,0,0.4,0.4,0.7,1.2,22,82,18,0.0,0.13,0.13,0.0,0.13,0.03,0.05,0.08,0.03,0.08,standard,BEL,MF,25-171,1999.0,14.8,941,39,245,560,138,15,941,10,4,40.0,4,40.0,491,2726,1518,22,13,1,16,11,689,18,possession,BEL,MF,25-171,1999.0,14.8,4,0,0,19,20,0,2,8,14,0,0,0,65,28,11,71.8,misc,BEL,MF,25-171,1999.0,14.8,20,14,10,9,1,10,13,76.9,3,10,1,9,8,28,21,3,defense,BEL,MF,25-171,1999.0,14.8,749,836,89.6,12299,3629,384,408,94.1,298,325,91.7,52,80,65.0,2,0.7,0.8,1.3,15,74,7,0,82,passing,BEL,MF,25-171,1999.0,14.8,0,8,2,25.0,0.54,0.13,0.0,0.0,18.8,0,0,0,0.4,0.4,0.06,-0.4,-0.4,shooting
