league,season,team,player,nation,pos,age,born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,stat_type
FRA-Ligue 1,2022,Angers,Abdallah Sima,SEN,FW,21,2001,20.4,0,0,0,32,24,12,16,4,13,1,1,1,52,43,63,40.6,misc
FRA-Ligue 1,2022,Angers,Abdoulaye Bamba,CIV,DF,32,1990,15.2,2,0,0,10,13,4,19,18,12,0,0,0,68,17,14,54.8,misc
FRA-Ligue 1,2022,Angers,Adrien Hunou,FRA,"MF,FW",28,1994,24.8,2,0,0,14,45,5,16,7,20,2,1,0,108,19,28,40.4,misc
FRA-Ligue 1,2022,Angers,Amine Salama,FRA,"FW,MF",22,2000,13.9,1,0,0,7,9,6,12,10,9,0,0,0,51,8,19,29.6,misc
FRA-Ligue 1,2022,Angers,Antonin Bobichon,FRA,MF,26,1995,0.2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0.0,misc
FRA-Ligue 1,2022,Angers,Azzedine Ounahi,MAR,"MF,FW",22,2000,12.5,1,0,0,11,24,1,17,15,8,0,0,0,70,5,12,29.4,misc
FRA-Ligue 1,2022,Angers,Batista Mendy,FRA,"MF,DF",22,2000,31.8,8,1,1,67,42,1,9,21,30,0,1,0,193,27,13,67.5,misc
FRA-Ligue 1,2022,Angers,Cédric Hountondji,BEN,DF,28,1994,34.4,7,0,0,42,11,0,2,59,36,0,3,2,151,63,31,67.0,misc
FRA-Ligue 1,2022,Angers,Faouzi Ghoulam,ALG,DF,31,1991,5.3,0,0,0,4,5,2,38,4,3,0,0,0,21,9,6,60.0,misc
FRA-Ligue 1,2022,Angers,Farid El Melali,ALG,"DF,FW",25,1997,9.0,1,0,0,13,15,2,16,8,12,0,0,0,53,2,9,18.2,misc
FRA-Ligue 1,2022,Angers,Halid Šabanović,BIH,DF,22,1999,7.1,1,1,0,10,2,1,8,8,6,0,0,0,28,4,4,50.0,misc
FRA-Ligue 1,2022,Angers,Himad Abdelli,ALG,"MF,FW",22,1999,23.7,3,0,0,43,31,1,35,28,38,0,0,0,180,18,23,43.9,misc
FRA-Ligue 1,2022,Angers,Ibrahim Amadou,FRA,"DF,MF",29,1993,4.7,2,0,0,4,3,0,1,10,7,0,2,0,29,6,5,54.5,misc
FRA-Ligue 1,2022,Angers,Ibrahima Niane,SEN,FW,23,1999,12.6,4,0,0,12,27,2,7,1,2,0,0,0,35,23,50,31.5,misc
FRA-Ligue 1,2022,Angers,Ilyes Cheti,ALG,DF,27,1995,2.3,1,0,0,4,1,0,5,4,4,0,1,0,18,0,0,,misc
FRA-Ligue 1,2022,Angers,Jason Mbock,FRA,"MF,FW",22,1999,0.3,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,,misc
FRA-Ligue 1,2022,Angers,Jean Mattéo Bahoya,FRA,"FW,MF",17,2005,3.0,0,0,0,4,7,0,2,0,3,0,0,0,14,2,5,28.6,misc
FRA-Ligue 1,2022,Angers,Justin-Noël Kalumba,FRA,DF,17,2004,6.1,0,0,0,3,9,0,13,4,5,0,0,0,25,0,4,0.0,misc
FRA-Ligue 1,2022,Angers,Lilian Raolisoa,FRA,"DF,MF",22,2000,1.9,0,0,0,1,3,0,10,3,9,0,0,0,17,1,0,100.0,misc
FRA-Ligue 1,2022,Angers,Lois Diony,FRA,FW,29,1992,5.6,1,0,0,10,4,3,3,0,0,0,0,0,9,19,21,47.5,misc
FRA-Ligue 1,2022,Angers,Marin Jakoliš,CRO,FW,25,1996,0.3,0,0,0,1,0,0,2,0,1,0,0,0,1,0,1,0.0,misc
FRA-Ligue 1,2022,Angers,Miha Blažič,SVN,DF,29,1993,22.0,4,0,0,12,16,0,1,22,6,0,1,1,113,44,19,69.8,misc
FRA-Ligue 1,2022,Angers,Nabil Bentaleb,ALG,MF,27,1994,27.7,7,1,1,39,54,0,96,44,40,0,0,0,231,29,18,61.7,misc
FRA-Ligue 1,2022,Angers,Ousmane Camara,FRA,DF,19,2003,5.8,2,0,0,5,2,0,0,11,6,0,0,0,36,10,4,71.4,misc
FRA-Ligue 1,2022,Angers,Paul Bernardoni,FRA,GK,25,1997,27.0,0,0,0,1,2,0,0,1,0,0,1,0,17,6,1,85.7,misc
FRA-Ligue 1,2022,Angers,Pierrick Capelle,FRA,"MF,DF",35,1987,15.9,8,0,0,32,6,0,46,15,21,0,0,0,107,13,24,35.1,misc
FRA-Ligue 1,2022,Angers,Sada Thioub,SEN,"DF,FW",27,1995,11.8,3,0,0,14,6,0,37,7,10,0,0,0,63,4,14,22.2,misc
FRA-Ligue 1,2022,Angers,Sofiane Boufal,MAR,"FW,MF",28,1993,9.3,3,1,1,20,20,2,37,5,9,1,0,0,36,1,9,10.0,misc
FRA-Ligue 1,2022,Angers,Souleyman Doumbia,CIV,"DF,FW",25,1996,19.9,2,1,0,27,20,3,48,27,31,0,0,0,118,18,14,56.3,misc
FRA-Ligue 1,2022,Angers,Waniss Taibi,FRA,MF,20,2002,2.1,1,0,0,3,0,0,1,2,5,0,0,0,16,2,5,28.6,misc
FRA-Ligue 1,2022,Angers,Yahia Fofana,CIV,GK,21,2000,11.0,2,0,0,0,1,0,0,1,0,0,0,0,16,5,0,100.0,misc
FRA-Ligue 1,2022,Angers,Yan Valery,TUN,DF,23,1999,27.7,3,0,0,46,20,1,81,34,39,0,0,0,141,37,22,62.7,misc
FRA-Ligue 1,2022,Angers,Zinédine Ould Khaled,FRA,"MF,FW",22,2000,0.6,0,0,0,1,0,0,0,2,1,0,0,0,6,1,2,33.3,misc
FRA-Ligue 1,2022,Auxerre,Akim Zedadka,ALG,DF,27,1995,17.8,5,0,0,23,27,0,38,23,21,0,2,0,95,24,23,51.1,misc
FRA-Ligue 1,2022,Auxerre,Alexandre Coeff,FRA,DF,30,1992,6.5,0,0,0,3,1,0,5,8,5,0,0,0,29,6,7,46.2,misc
FRA-Ligue 1,2022,Auxerre,Benoît Costil,FRA,GK,35,1987,19.0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,100.0,misc
FRA-Ligue 1,2022,Auxerre,Birama Touré,MLI,MF,30,1992,37.8,3,0,0,50,22,0,14,67,47,0,1,0,242,56,60,48.3,misc
FRA-Ligue 1,2022,Auxerre,Brayann Pereira,FRA,DF,19,2003,2.0,0,0,0,1,4,0,9,2,5,0,0,0,9,3,0,100.0,misc
FRA-Ligue 1,2022,Auxerre,Donovan Léon,GUF,GK,29,1992,2.0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,,misc
FRA-Ligue 1,2022,Auxerre,Dénys Bain,FRA,DF,29,1993,1.4,0,0,0,2,1,0,0,2,3,0,0,0,5,3,1,75.0,misc
FRA-Ligue 1,2022,Auxerre,Gauthier Hein,FRA,"MF,FW",25,1996,20.8,1,0,0,21,14,2,99,6,20,0,0,0,89,3,31,8.8,misc
FRA-Ligue 1,2022,Auxerre,Gaëtan Charbonnier,FRA,"FW,MF",33,1988,2.8,1,0,0,3,1,3,1,0,1,0,0,0,6,3,7,30.0,misc
FRA-Ligue 1,2022,Auxerre,Gaëtan Perrin,FRA,"MF,FW",26,1996,15.5,1,0,0,18,22,4,30,10,8,0,0,0,84,14,22,38.9,misc
FRA-Ligue 1,2022,Auxerre,Gideon Mensah,GHA,DF,24,1998,25.1,5,0,0,29,18,1,67,38,44,0,1,0,246,21,20,51.2,misc
FRA-Ligue 1,2022,Auxerre,Hamza Sakhi,FRA,MF,26,1996,18.4,1,0,0,13,21,5,88,25,22,0,0,0,106,6,3,66.7,misc
FRA-Ligue 1,2022,Auxerre,Han-Noah Massengo,FRA,MF,21,2001,12.4,3,0,0,16,23,1,2,14,15,1,0,0,59,6,16,27.3,misc
FRA-Ligue 1,2022,Auxerre,Ionuț Radu,ROU,GK,25,1997,17.0,0,0,0,1,0,0,0,0,0,0,0,0,19,3,0,100.0,misc
FRA-Ligue 1,2022,Auxerre,Jubal,BRA,DF,28,1993,35.7,7,0,0,38,24,4,4,53,26,1,0,0,178,76,56,57.6,misc
FRA-Ligue 1,2022,Auxerre,Julian Jeanvier,GUI,DF,30,1992,19.6,5,1,1,25,10,0,2,27,17,0,0,0,82,24,26,48.0,misc
FRA-Ligue 1,2022,Auxerre,Kays Ruiz,FRA,MF,19,2002,0.7,1,0,0,2,3,0,0,3,1,0,0,0,10,0,0,,misc
FRA-Ligue 1,2022,Auxerre,Kenji-Van Boto,MAD,DF,26,1996,2.0,0,0,0,2,4,0,4,1,2,0,0,0,8,1,2,33.3,misc
FRA-Ligue 1,2022,Auxerre,Kévin Danois,FRA,MF,18,2004,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,misc
FRA-Ligue 1,2022,Auxerre,Lassine Sinayoko,MLI,"MF,FW",22,1999,17.4,2,1,1,31,22,5,30,18,15,1,0,0,112,22,39,36.1,misc
FRA-Ligue 1,2022,Auxerre,M'Baye Niang,SEN,FW,27,1994,16.5,2,2,0,43,42,8,8,1,7,0,1,0,37,68,65,51.1,misc
FRA-Ligue 1,2022,Auxerre,Mathias Autret,FRA,"MF,FW",31,1991,14.3,0,0,0,7,4,2,65,12,10,0,0,0,73,5,13,27.8,misc
FRA-Ligue 1,2022,Auxerre,Matthis Abline,FRA,"FW,MF",19,2003,9.0,1,0,0,14,10,5,6,1,2,1,0,0,13,12,30,28.6,misc
FRA-Ligue 1,2022,Auxerre,Nuno da Costa,CPV,"FW,MF",31,1991,22.3,5,1,1,37,57,5,15,20,23,0,0,0,67,45,68,39.8,misc
FRA-Ligue 1,2022,Auxerre,Ousmane Camara,GUI,"FW,MF",20,2001,0.3,1,0,0,2,0,0,2,0,1,0,0,0,2,0,3,0.0,misc
FRA-Ligue 1,2022,Auxerre,Paul Joly,FRA,DF,22,2000,9.6,2,0,0,7,9,0,36,24,21,1,0,0,83,6,11,35.3,misc
FRA-Ligue 1,2022,Auxerre,Quentin Bernard,FRA,DF,33,1989,7.0,0,0,0,6,3,0,14,15,7,0,0,0,39,3,8,27.3,misc
FRA-Ligue 1,2022,Auxerre,Rayan Raveloson,MAD,"DF,MF",25,1997,27.0,0,0,0,22,35,1,33,39,23,0,0,1,181,29,22,56.9,misc
FRA-Ligue 1,2022,Auxerre,Rémy Dugimont,FRA,"FW,MF",36,1986,1.3,1,0,0,5,1,2,0,0,1,0,0,0,11,7,9,43.8,misc
FRA-Ligue 1,2022,Auxerre,Siriki Dembélé,CIV,"MF,FW",25,1996,4.1,1,0,0,8,9,0,6,1,6,0,0,0,24,2,8,20.0,misc
FRA-Ligue 1,2022,Auxerre,Souleymane Touré,FRA,DF,19,2003,17.6,5,1,1,20,13,0,3,26,13,0,1,0,83,24,10,70.6,misc
FRA-Ligue 1,2022,Auxerre,Théo Pellenard,FRA,DF,28,1994,1.1,0,0,0,1,0,0,1,2,0,0,0,0,2,1,0,100.0,misc
FRA-Ligue 1,2022,Auxerre,Youssouf M'Changama,COM,MF,31,1990,12.0,1,0,0,12,18,0,35,15,11,1,0,0,62,12,6,66.7,misc
FRA-Ligue 1,2022,Brest,Achraf Dari,MAR,DF,23,1999,14.6,1,0,0,13,13,2,1,19,14,1,1,0,78,35,24,59.3,misc
FRA-Ligue 1,2022,Brest,Alberth Elis,HON,"MF,FW",26,1996,2.9,0,0,0,8,5,1,2,1,3,0,0,0,17,3,12,20.0,misc
FRA-Ligue 1,2022,Brest,Axel Camblan,FRA,"FW,MF",18,2003,0.8,0,0,0,4,1,0,2,0,2,0,0,0,5,7,3,70.0,misc
FRA-Ligue 1,2022,Brest,Bradley Locko,FRA,DF,20,2002,3.0,0,0,0,0,2,0,6,2,3,0,0,0,18,3,2,60.0,misc
FRA-Ligue 1,2022,Brest,Brendan Chardonnet,FRA,DF,27,1994,27.7,6,0,0,39,26,0,6,63,27,0,1,1,149,92,42,68.7,misc
FRA-Ligue 1,2022,Brest,Christophe Hérelle,MTQ,DF,29,1992,11.8,2,0,0,13,14,0,2,20,4,0,2,1,58,11,10,52.4,misc
FRA-Ligue 1,2022,Brest,Franck Honorat,FRA,"FW,MF",25,1996,28.2,1,0,0,23,18,9,214,21,29,0,1,0,134,13,36,26.5,misc
FRA-Ligue 1,2022,Brest,Félix Lemaréchal,FRA,MF,18,2003,3.2,2,0,0,6,0,0,7,1,5,0,0,0,13,6,3,66.7,misc
FRA-Ligue 1,2022,Brest,Haris Belkebla,ALG,MF,28,1994,29.5,3,0,0,33,50,0,11,52,48,0,0,0,197,20,30,40.0,misc
FRA-Ligue 1,2022,Brest,Hianga Mananga Mbock,FRA,MF,22,1999,0.2,0,0,0,1,0,0,1,0,0,0,0,0,2,1,1,50.0,misc
FRA-Ligue 1,2022,Brest,Hugo Magnetti,FRA,MF,24,1998,18.8,2,0,0,17,26,0,20,25,27,0,0,0,127,7,18,28.0,misc
FRA-Ligue 1,2022,Brest,Irvin Cardona,FRA,"FW,MF",24,1997,2.6,0,0,0,5,2,5,1,2,0,0,0,0,7,4,5,44.4,misc
FRA-Ligue 1,2022,Brest,Islam Slimani,ALG,FW,34,1988,11.0,5,0,0,19,14,10,9,1,3,0,0,0,16,22,25,46.8,misc
FRA-Ligue 1,2022,Brest,Jean-Kevin Duverne,HAI,DF,25,1997,27.9,2,0,0,39,20,4,85,28,38,2,0,0,159,33,22,60.0,misc
FRA-Ligue 1,2022,Brest,Jere Uronen,FIN,DF,28,1994,3.3,0,0,0,3,7,0,13,7,5,0,0,0,14,2,6,25.0,misc
FRA-Ligue 1,2022,Brest,Joaquín Blázquez,ARG,GK,21,2001,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,misc
FRA-Ligue 1,2022,Brest,Jérémy Le Douaron,FRA,"MF,FW",24,1998,23.0,1,0,0,33,36,10,32,11,9,0,0,0,61,61,71,46.2,misc
FRA-Ligue 1,2022,Brest,Karamoko Dembélé,ENG,"FW,MF",19,2003,2.0,0,0,0,5,9,0,14,1,0,0,0,0,13,0,4,0.0,misc
FRA-Ligue 1,2022,Brest,Kenny Lala,MAD,DF,30,1991,15.7,4,0,0,18,16,1,64,21,19,0,1,0,119,8,14,36.4,misc
FRA-Ligue 1,2022,Brest,Lilian Brassier,FRA,DF,22,1999,34.4,5,0,0,42,16,0,33,53,30,0,0,0,201,61,37,62.2,misc
FRA-Ligue 1,2022,Brest,Mahdi Camara,FRA,MF,24,1998,20.2,4,1,0,22,32,0,15,40,36,1,0,0,114,19,24,44.2,misc
FRA-Ligue 1,2022,Brest,Marco Bizot,NED,GK,31,1991,37.0,4,0,0,0,4,0,0,0,0,0,0,0,29,5,1,83.3,misc
FRA-Ligue 1,2022,Brest,Mathias Pereira Lage,POR,"MF,FW",25,1996,14.0,2,0,0,23,27,1,34,14,7,1,0,0,69,21,28,42.9,misc
FRA-Ligue 1,2022,Brest,Noah Fadiga,SEN,DF,22,1999,14.5,2,0,0,22,18,1,10,26,21,1,1,0,80,8,8,50.0,misc
