league,season,team,player,nation,pos,age,born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,stat_type,nation_shooting,pos_shooting,age_shooting,born_shooting,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG_shooting,Expected npxG_shooting,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,stat_type_shooting,nation_defense,pos_defense,age_defense,born_defense,90s_defense,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type_defense,nation_possession,pos_possession,age_possession,born_possession,90s_possession,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,stat_type_possession,nation_misc,pos_misc,age_misc,born_misc,90s_misc,Performance CrdY_misc,Performance CrdR_misc,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,stat_type_misc,nation_passing,pos_passing,age_passing,born_passing,90s_passing,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,stat_type_passing
GER-Bundesliga,2023,Eint Frankfurt,Omar Marmoush,EGY,"FW,MF",24.0,1999.0,29,27,2301,25.6,12,6,18,10,2,2,7,0,11.6,10.1,4.4,14.5,88,60,165,0.47,0.23,0.7,0.39,0.63,0.46,0.17,0.63,0.39,0.57,standard,EGY,"FW,MF",24.0,1999.0,25.6,12,77,31,40.3,3.01,1.21,0.13,0.32,17.6,5,2,2,11.6,10.1,0.13,0.4,-0.1,shooting,EGY,"FW,MF",24.0,1999.0,25.6,21,11,7,8,6,6,16,37.5,10,13,0,13,11,32,7,0,defense,EGY,"FW,MF",24.0,1999.0,25.6,940,5,60,403,503,155,938,112,39,34.8,64,57.1,647,4713,2153,88,52,40,99,58,700,165,possession,EGY,"FW,MF",24.0,1999.0,25.6,7,0,0,28,74,12,33,11,11,2,1,0,90,27,29,48.2,misc,EGY,"FW,MF",24.0,1999.0,25.6,407,574,70.9,6183,1361,218,273,79.9,135,180,75.0,32,56,57.1,6,4.4,4.4,1.6,40,31,21,2,60,passing
GER-Bundesliga,2023,Heidenheim,Omar Traoré,GER,DF,25.0,1998.0,31,29,2472,27.5,0,2,2,0,0,0,5,0,0.3,0.3,1.3,1.6,61,78,91,0.0,0.07,0.07,0.0,0.07,0.01,0.05,0.06,0.01,0.06,standard,GER,DF,25.0,1998.0,27.5,0,11,1,9.1,0.4,0.04,0.0,0.0,28.0,0,0,0,0.3,0.3,0.02,-0.3,-0.3,shooting,GER,DF,25.0,1998.0,27.5,60,33,33,21,6,32,56,57.1,24,32,7,25,40,100,54,1,defense,GER,DF,25.0,1998.0,27.5,1532,80,441,697,413,11,1532,49,20,40.8,26,53.1,674,4307,2303,61,40,5,37,17,754,91,possession,GER,DF,25.0,1998.0,27.5,5,0,0,30,31,1,73,40,33,0,1,0,155,15,19,44.1,misc,GER,DF,25.0,1998.0,27.5,881,1240,71.0,15012,6810,400,465,86.0,375,501,74.9,80,183,43.7,2,1.3,1.8,0.7,19,58,28,15,78,passing
GER-Bundesliga,2023,Darmstadt 98,Oscar Vilhelmsson,SWE,"FW,MF",19.0,2003.0,26,16,1374,15.3,4,1,5,4,0,0,2,0,4.1,4.1,0.7,4.7,16,7,72,0.26,0.07,0.33,0.26,0.33,0.27,0.04,0.31,0.27,0.31,standard,SWE,"FW,MF",19.0,2003.0,15.3,4,28,10,35.7,1.83,0.66,0.14,0.4,14.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1,shooting,SWE,"FW,MF",19.0,2003.0,15.3,13,6,3,7,3,7,10,70.0,3,15,5,10,3,16,19,0,defense,SWE,"FW,MF",19.0,2003.0,15.3,362,24,40,163,164,41,362,18,5,27.8,12,66.7,172,909,359,16,10,8,29,8,256,72,possession,SWE,"FW,MF",19.0,2003.0,15.3,2,0,0,32,27,7,10,3,6,0,0,0,22,42,81,34.1,misc,SWE,"FW,MF",19.0,2003.0,15.3,123,212,58.0,1513,234,78,115,67.8,32,54,59.3,3,11,27.3,1,0.7,0.6,0.3,11,5,2,0,7,passing
GER-Bundesliga,2023,Hoffenheim,Ozan Kabak,TUR,DF,23.0,2000.0,28,28,2282,25.4,4,0,4,4,0,0,11,1,2.2,2.2,1.1,3.3,21,110,11,0.16,0.0,0.16,0.16,0.16,0.09,0.04,0.13,0.09,0.13,standard,TUR,DF,23.0,2000.0,25.4,4,19,7,36.8,0.75,0.28,0.21,0.57,12.2,0,0,0,2.2,2.2,0.11,1.8,1.8,shooting,TUR,DF,23.0,2000.0,25.4,48,35,32,14,2,19,33,57.6,14,43,21,22,46,94,106,2,defense,TUR,DF,23.0,2000.0,25.4,1665,175,659,895,116,28,1665,15,9,60.0,5,33.3,947,4383,2383,21,21,2,13,5,1093,11,possession,TUR,DF,23.0,2000.0,25.4,11,1,1,31,9,0,3,46,35,0,1,0,96,68,47,59.1,misc,TUR,DF,23.0,2000.0,25.4,1159,1358,85.3,21139,7126,441,488,90.4,618,677,91.3,93,172,54.1,0,1.1,1.7,-1.1,8,92,16,2,110,passing
GER-Bundesliga,2023,Stuttgart,Pascal Stenzel,GER,DF,27.0,1996.0,23,14,1064,11.8,0,5,5,0,0,0,3,1,0.3,0.3,3.2,3.5,34,85,46,0.0,0.42,0.42,0.0,0.42,0.03,0.27,0.29,0.03,0.29,standard,GER,DF,27.0,1996.0,11.8,0,14,4,28.6,1.18,0.34,0.0,0.0,28.2,1,0,0,0.3,0.3,0.02,-0.3,-0.3,shooting,GER,DF,27.0,1996.0,11.8,18,8,7,9,2,10,30,33.3,20,22,8,14,15,33,26,0,defense,GER,DF,27.0,1996.0,11.8,947,45,217,498,237,4,947,8,6,75.0,2,25.0,491,2454,1346,34,31,1,16,6,595,46,possession,GER,DF,27.0,1996.0,11.8,3,1,1,16,11,0,26,15,8,0,0,0,49,9,17,34.6,misc,GER,DF,27.0,1996.0,11.8,715,824,86.8,13536,3889,304,330,92.1,293,327,89.6,104,134,77.6,5,3.2,2.4,1.8,15,66,25,8,85,passing
GER-Bundesliga,2023,Augsburg,Patric Pfeiffer,GER,DF,23.0,1999.0,11,4,511,5.7,0,1,1,0,0,0,0,0,0.5,0.5,0.8,1.3,1,19,4,0.0,0.18,0.18,0.0,0.18,0.09,0.14,0.22,0.09,0.22,standard,GER,DF,23.0,1999.0,5.7,0,11,0,0.0,1.94,0.0,0.0,,17.9,0,0,0,0.5,0.5,0.04,-0.5,-0.5,shooting,GER,DF,23.0,1999.0,5.7,11,7,6,4,1,5,6,83.3,1,10,6,4,11,22,21,0,defense,GER,DF,23.0,1999.0,5.7,340,36,153,158,31,19,340,1,0,0.0,1,100.0,153,637,299,1,0,0,6,1,184,4,possession,GER,DF,23.0,1999.0,5.7,0,0,0,7,4,0,1,11,7,0,1,0,27,20,12,62.5,misc,GER,DF,23.0,1999.0,5.7,193,267,72.3,4034,1515,56,65,86.2,105,132,79.5,30,58,51.7,1,0.8,0.6,0.2,4,15,3,1,19,passing
GER-Bundesliga,2023,Gladbach,Patrick Herrmann,GER,"FW,DF",32.0,1991.0,8,0,86,1.0,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,3,6,8,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.3,0.2,0.3,standard,GER,"FW,DF",32.0,1991.0,1.0,0,4,0,0.0,4.19,0.0,0.0,,18.8,0,0,0,0.2,0.2,0.05,-0.2,-0.2,shooting,GER,"FW,DF",32.0,1991.0,1.0,4,4,2,1,1,2,2,100.0,0,1,0,1,1,5,2,0,defense,GER,"FW,DF",32.0,1991.0,1.0,58,2,5,22,32,9,58,1,0,0.0,0,0.0,27,148,92,3,4,1,1,1,34,8,possession,GER,"FW,DF",32.0,1991.0,1.0,1,0,0,3,2,0,5,1,4,0,0,0,6,1,1,50.0,misc,GER,"FW,DF",32.0,1991.0,1.0,29,44,65.9,545,160,16,23,69.6,7,11,63.6,6,7,85.7,0,0.1,0.1,-0.1,3,2,1,0,6,passing
GER-Bundesliga,2023,Heidenheim,Patrick Mainka,GER,DF,28.0,1994.0,34,34,3060,34.0,2,0,2,2,0,0,1,0,3.2,3.2,0.1,3.2,33,122,6,0.06,0.0,0.06,0.06,0.06,0.09,0.0,0.09,0.09,0.09,standard,GER,DF,28.0,1994.0,34.0,2,29,6,20.7,0.85,0.18,0.07,0.33,9.4,0,0,0,3.2,3.2,0.11,-1.2,-1.2,shooting,GER,DF,28.0,1994.0,34.0,85,49,58,24,3,38,74,51.4,36,66,32,34,49,134,158,1,defense,GER,DF,28.0,1994.0,34.0,1997,267,1151,777,85,45,1997,20,10,50.0,7,35.0,1049,6518,3805,33,15,0,13,5,1098,6,possession,GER,DF,28.0,1994.0,34.0,1,0,0,24,16,2,0,49,49,0,1,0,183,119,84,58.6,misc,GER,DF,28.0,1994.0,34.0,1289,1555,82.9,25821,10674,384,448,85.7,742,831,89.3,151,231,65.4,0,0.1,0.6,-0.1,3,77,2,0,122,passing
GER-Bundesliga,2023,Bochum,Patrick Osterhage,GER,MF,23.0,2000.0,24,21,1861,20.7,2,1,3,2,0,0,5,0,1.4,1.4,0.8,2.2,26,64,65,0.1,0.05,0.15,0.1,0.15,0.07,0.04,0.11,0.07,0.11,standard,GER,MF,23.0,2000.0,20.7,2,22,3,13.6,1.06,0.15,0.09,0.67,19.5,0,0,0,1.4,1.4,0.06,0.6,0.6,shooting,GER,MF,23.0,2000.0,20.7,38,26,14,23,1,17,36,47.2,19,36,9,27,27,65,32,1,defense,GER,MF,23.0,2000.0,20.7,1081,58,252,592,251,29,1081,38,17,44.7,19,50.0,547,2899,1232,26,16,3,33,17,603,65,possession,GER,MF,23.0,2000.0,20.7,5,0,0,21,24,3,20,27,26,0,0,0,142,26,30,46.4,misc,GER,MF,23.0,2000.0,20.7,658,835,78.8,9287,2817,378,439,86.1,200,248,80.6,35,59,59.3,1,0.8,0.7,0.2,13,49,13,2,64,passing
GER-Bundesliga,2023,Wolfsburg,Patrick Wimmer,AUT,"FW,MF",22.0,2001.0,14,8,589,6.5,2,0,2,2,0,0,3,1,1.4,1.4,0.1,1.5,8,15,44,0.31,0.0,0.31,0.31,0.31,0.22,0.02,0.24,0.22,0.24,standard,AUT,"FW,MF",22.0,2001.0,6.5,2,10,4,40.0,1.53,0.61,0.2,0.5,16.2,0,0,0,1.4,1.4,0.14,0.6,0.6,shooting,AUT,"FW,MF",22.0,2001.0,6.5,14,5,5,5,4,8,18,44.4,10,14,0,14,3,17,7,0,defense,AUT,"FW,MF",22.0,2001.0,6.5,292,2,42,138,117,23,292,18,8,44.4,9,50.0,165,935,441,8,8,3,18,6,197,44,possession,AUT,"FW,MF",22.0,2001.0,6.5,3,1,0,14,11,1,12,3,5,0,0,0,27,13,9,59.1,misc,AUT,"FW,MF",22.0,2001.0,6.5,128,200,64.0,1822,525,78,101,77.2,35,57,61.4,5,15,33.3,0,0.1,0.3,-0.1,4,11,3,0,15,passing
