league,season,team,player,nation,pos,age,born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,stat_type,nation_defense,pos_defense,age_defense,born_defense,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type_defense,nation_shooting,pos_shooting,age_shooting,born_shooting,90s_shooting,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG_shooting,Expected npxG_shooting,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,stat_type_shooting,nation_passing,pos_passing,age_passing,born_passing,90s_passing,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,stat_type_passing,nation_possession,pos_possession,age_possession,born_possession,90s_possession,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,stat_type_possession,nation_misc,pos_misc,age_misc,born_misc,90s_misc,Performance CrdY_misc,Performance CrdR_misc,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,stat_type_misc
FRA-Ligue 1,2023,Paris S-G,Manuel Ugarte Ribeiro,URU,MF,22,2001,25,21,1932,21.5,0,2,2,0,0,0,5,0,0.6,0.6,0.9,1.5,16,87,24,0.0,0.09,0.09,0.0,0.09,0.03,0.04,0.07,0.03,0.07,standard,URU,MF,22,2001,21.5,98,57,39,43,16,43,89,48.3,46,27,6,21,40,138,25,2,defense,URU,MF,22,2001,21.5,0,10,1,10.0,0.47,0.05,0.0,0.0,23.4,0,0,0,0.6,0.6,0.06,-0.6,-0.6,shooting,URU,MF,22,2001,21.5,1214,1331,91.2,22281,4148,463,512,90.4,627,659,95.1,104,122,85.2,2,0.9,1.0,1.1,14,99,6,0,87,passing,URU,MF,22,2001,21.5,1597,89,327,987,307,12,1597,40,21,52.5,15,37.5,1230,5575,2111,16,35,4,25,24,1099,24,possession,URU,MF,22,2001,21.5,5,0,0,46,27,0,4,40,57,1,0,0,181,14,12,53.8,misc
FRA-Ligue 1,2023,Nice,Marcin Bułka,POL,GK,23,1999,34,34,3060,34.0,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,POL,GK,23,1999,34.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,9,3,defense,POL,GK,23,1999,34.0,0,1,0,0.0,0.03,0.0,0.0,,7.5,0,0,0,0.1,0.1,0.13,-0.1,-0.1,shooting,POL,GK,23,1999,34.0,1060,1235,85.8,21917,13487,351,355,98.9,500,513,97.5,185,337,54.9,0,0.0,0.1,0.0,0,1,0,0,0,passing,POL,GK,23,1999,34.0,1292,1071,1285,4,3,2,1292,2,2,100.0,0,0.0,1062,4593,2229,0,0,0,0,0,798,0,possession,POL,GK,23,1999,34.0,2,0,0,0,4,0,0,0,0,0,0,0,52,8,2,80.0,misc
FRA-Ligue 1,2023,Paris S-G,Marco Asensio,ESP,"MF,FW",27,1996,19,13,1113,12.4,4,5,9,4,0,0,0,0,3.2,3.2,5.8,9.0,36,71,92,0.32,0.4,0.73,0.32,0.73,0.26,0.47,0.73,0.26,0.73,standard,ESP,"MF,FW",27,1996,12.4,12,10,4,7,1,4,13,30.8,9,7,0,7,5,17,2,0,defense,ESP,"MF,FW",27,1996,12.4,4,27,10,37.0,2.18,0.81,0.15,0.4,19.2,1,0,0,3.2,3.2,0.12,0.8,0.8,shooting,ESP,"MF,FW",27,1996,12.4,545,656,83.1,8033,2110,304,334,91.0,185,208,88.9,27,68,39.7,5,5.8,4.3,-0.8,33,49,22,5,71,passing,ESP,"MF,FW",27,1996,12.4,747,6,74,323,358,38,747,22,10,45.5,10,45.5,612,3466,1413,36,36,6,13,9,586,92,possession,ESP,"MF,FW",27,1996,12.4,0,0,0,8,10,0,52,5,10,0,0,0,43,2,3,40.0,misc
FRA-Ligue 1,2023,Brest,Marco Bizot,NED,GK,32,1991,32,32,2876,32.0,0,0,0,0,0,0,3,1,0.0,0.0,0.1,0.1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,NED,GK,32,1991,32.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,18,3,defense,NED,GK,32,1991,32.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,NED,GK,32,1991,32.0,826,1100,75.1,25531,18973,95,95,100.0,404,404,100.0,325,595,54.6,0,0.1,0.1,-0.1,3,15,0,0,1,passing,NED,GK,32,1991,32.0,1185,988,1177,8,0,0,1185,0,0,,0,,838,4115,1789,0,0,0,1,0,632,0,possession,NED,GK,32,1991,32.0,3,1,0,1,0,0,0,0,0,0,1,0,35,3,1,75.0,misc
FRA-Ligue 1,2023,Nantes,Marcus Coco,FRA,"DF,FW",27,1996,28,18,1481,16.5,1,0,1,1,0,0,2,0,0.8,0.8,1.0,1.8,28,55,65,0.06,0.0,0.06,0.06,0.06,0.05,0.06,0.11,0.05,0.11,standard,FRA,"DF,FW",27,1996,16.5,43,26,29,10,4,28,60,46.7,32,19,1,18,21,64,38,0,defense,FRA,"DF,FW",27,1996,16.5,1,9,2,22.2,0.55,0.12,0.11,0.5,20.0,0,0,0,0.8,0.8,0.09,0.2,0.2,shooting,FRA,"DF,FW",27,1996,16.5,473,641,73.8,7533,2758,224,265,84.5,199,249,79.9,27,86,31.4,0,1.0,1.1,-1.0,12,40,18,8,55,passing,FRA,"DF,FW",27,1996,16.5,831,49,208,401,231,14,831,31,12,38.7,12,38.7,539,3134,1306,28,31,1,26,11,483,65,possession,FRA,"DF,FW",27,1996,16.5,2,0,0,23,27,0,46,21,26,0,0,0,77,23,21,52.3,misc
FRA-Ligue 1,2023,Nantes,Marquinhos,BRA,"FW,MF",20,2003,7,1,154,1.7,0,0,0,0,0,0,0,0,0.3,0.3,0.7,1.0,2,4,11,0.0,0.0,0.0,0.0,0.0,0.15,0.43,0.58,0.15,0.58,standard,BRA,"FW,MF",20,2003,1.7,3,2,2,0,1,1,4,25.0,3,7,2,5,6,9,1,0,defense,BRA,"FW,MF",20,2003,1.7,0,5,1,20.0,2.92,0.58,0.0,0.0,20.7,1,0,0,0.3,0.3,0.05,-0.3,-0.3,shooting,BRA,"FW,MF",20,2003,1.7,50,67,74.6,768,223,30,37,81.1,18,21,85.7,2,6,33.3,0,0.7,0.7,-0.7,5,2,4,2,4,passing,BRA,"FW,MF",20,2003,1.7,99,3,17,42,40,8,99,7,4,57.1,3,42.9,66,308,115,2,2,1,2,6,60,11,possession,BRA,"FW,MF",20,2003,1.7,0,0,0,7,6,1,5,6,2,1,0,0,14,2,5,28.6,misc
FRA-Ligue 1,2023,Paris S-G,Marquinhos,BRA,DF,29,1994,21,18,1537,17.1,0,1,1,0,0,0,1,0,0.4,0.4,0.5,0.9,18,114,3,0.0,0.06,0.06,0.0,0.06,0.03,0.03,0.05,0.03,0.05,standard,BRA,DF,29,1994,17.1,19,11,10,7,2,11,17,64.7,6,29,19,10,17,36,58,1,defense,BRA,DF,29,1994,17.1,0,4,0,0.0,0.23,0.0,0.0,,6.5,0,0,0,0.4,0.4,0.11,-0.4,-0.4,shooting,BRA,DF,29,1994,17.1,1706,1807,94.4,31879,9264,556,573,97.0,981,1008,97.3,141,190,74.2,1,0.5,0.7,0.5,9,165,5,0,114,passing,BRA,DF,29,1994,17.1,1957,196,669,1175,124,9,1957,1,1,100.0,0,0.0,1658,9114,5226,18,25,0,8,2,1590,3,possession,BRA,DF,29,1994,17.1,1,0,0,3,3,2,0,17,11,0,0,0,96,24,22,52.2,misc
FRA-Ligue 1,2023,Reims,Marshall Munetsi,ZIM,MF,27,1996,27,25,2173,24.1,4,3,7,4,0,0,5,0,6.2,6.2,1.0,7.2,19,67,81,0.17,0.12,0.29,0.17,0.29,0.26,0.04,0.3,0.26,0.3,standard,ZIM,MF,27,1996,24.1,61,39,18,34,9,33,61,54.1,28,21,7,14,14,75,33,0,defense,ZIM,MF,27,1996,24.1,4,44,16,36.4,1.82,0.66,0.09,0.25,12.8,0,0,0,6.2,6.2,0.15,-2.2,-2.2,shooting,ZIM,MF,27,1996,24.1,380,542,70.1,6066,1820,190,254,74.8,143,185,77.3,29,51,56.9,3,1.0,2.2,2.0,12,42,11,3,67,passing,ZIM,MF,27,1996,24.1,836,50,161,433,253,72,836,33,10,30.3,21,63.6,487,2475,935,19,17,1,51,17,439,81,possession,ZIM,MF,27,1996,24.1,5,0,0,45,26,3,18,14,39,1,0,0,110,42,33,56.0,misc
FRA-Ligue 1,2023,Brest,Martin Satriano,URU,FW,22,2001,33,21,1864,20.7,4,4,8,4,0,0,4,0,6.1,6.1,2.9,9.0,28,37,121,0.19,0.19,0.39,0.19,0.39,0.29,0.14,0.43,0.29,0.43,standard,URU,FW,22,2001,20.7,24,16,6,13,5,10,25,40.0,15,19,7,12,7,31,28,0,defense,URU,FW,22,2001,20.7,4,63,20,31.7,3.04,0.97,0.06,0.2,16.2,0,0,0,6.1,6.1,0.1,-2.1,-2.1,shooting,URU,FW,22,2001,20.7,325,456,71.3,5299,1060,172,233,73.8,105,136,77.2,33,45,73.3,4,2.9,2.6,1.1,21,22,9,1,37,passing,URU,FW,22,2001,20.7,714,32,79,297,347,99,714,45,21,46.7,24,53.3,490,2665,889,28,22,12,67,16,507,121,possession,URU,FW,22,2001,20.7,4,0,0,18,26,2,11,7,16,0,0,0,63,62,60,50.8,misc
FRA-Ligue 1,2023,Rennes,Martin Terrier,FRA,"FW,MF",26,1997,24,19,1527,17.0,7,3,10,7,0,0,2,1,5.2,5.2,2.6,7.8,28,58,112,0.41,0.18,0.59,0.41,0.59,0.31,0.15,0.46,0.31,0.46,standard,FRA,"FW,MF",26,1997,17.0,14,9,3,8,3,6,14,42.9,8,21,4,17,9,23,17,0,defense,FRA,"FW,MF",26,1997,17.0,7,38,16,42.1,2.24,0.94,0.18,0.44,12.8,0,0,0,5.2,5.2,0.14,1.8,1.8,shooting,FRA,"FW,MF",26,1997,17.0,395,497,79.5,5865,1309,220,277,79.4,135,160,84.4,23,24,95.8,3,2.6,2.4,0.4,16,34,18,0,58,passing,FRA,"FW,MF",26,1997,17.0,679,19,75,288,323,87,679,39,16,41.0,18,46.2,506,2828,1153,28,25,9,33,18,511,112,possession,FRA,"FW,MF",26,1997,17.0,2,1,0,13,28,9,5,9,9,0,0,0,52,33,36,47.8,misc
