league,season,team,player,nation,pos,age,born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,stat_type
ITA-Serie A,2023,Bologna,Kacper Urbanski,POL,"MF,FW",18,2004,10.3,2,0,0,11,11,3,22,4,10,0,0,0,30,22,12,64.7,misc
ITA-Serie A,2023,Bologna,Kevin Bonifazi,ITA,DF,27,1996,1.0,0,0,0,1,1,0,0,0,0,0,0,0,8,0,0,,misc
ITA-Serie A,2023,Bologna,Lewis Ferguson,SCO,MF,23,1999,30.1,8,0,0,52,72,4,11,17,21,1,1,0,142,34,40,45.9,misc
ITA-Serie A,2023,Bologna,Lorenzo De Silvestri,ITA,DF,35,1988,7.5,0,0,0,3,6,0,9,6,8,0,0,0,21,9,5,64.3,misc
ITA-Serie A,2023,Bologna,Michel Aebischer,SUI,MF,26,1997,24.8,8,0,0,37,30,0,12,12,20,0,0,0,135,11,16,40.7,misc
ITA-Serie A,2023,Bologna,Nicola Bagnolini,ITA,GK,19,2004,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,misc
ITA-Serie A,2023,Bologna,Nicolás Domínguez,ARG,MF,25,1998,1.1,0,0,0,3,0,0,0,0,0,0,0,0,7,1,0,100.0,misc
ITA-Serie A,2023,Bologna,Nikola Moro,CRO,MF,25,1998,9.3,0,0,0,11,9,0,13,7,16,0,0,0,46,4,13,23.5,misc
ITA-Serie A,2023,Bologna,Oussama El Azzouzi,MAR,MF,22,2001,6.1,4,0,0,14,7,1,2,6,7,0,0,0,37,5,11,31.3,misc
ITA-Serie A,2023,Bologna,Remo Freuler,SUI,MF,31,1992,29.2,9,0,0,44,15,0,9,36,50,0,1,0,137,20,27,42.6,misc
ITA-Serie A,2023,Bologna,Riccardo Calafiori,ITA,DF,21,2002,26.1,4,0,0,35,27,2,9,50,32,0,2,1,194,60,24,71.4,misc
ITA-Serie A,2023,Bologna,Riccardo Orsolini,ITA,"FW,MF",26,1997,19.9,2,0,0,17,41,14,100,8,14,0,0,0,69,16,17,48.5,misc
ITA-Serie A,2023,Bologna,Sam Beukema,NED,DF,24,1998,28.3,6,1,1,27,11,1,2,15,11,0,2,0,144,46,36,56.1,misc
ITA-Serie A,2023,Bologna,Santiago Castro,ARG,FW,18,2004,2.7,1,0,0,7,7,0,1,1,1,0,0,0,4,5,7,41.7,misc
ITA-Serie A,2023,Bologna,Stefan Posch,AUT,DF,26,1997,26.8,7,0,0,30,13,1,39,18,46,0,0,0,109,34,29,54.0,misc
ITA-Serie A,2023,Bologna,Sydney van Hooijdonk,NED,FW,23,2000,2.4,0,0,0,6,2,1,1,1,0,0,0,0,3,5,12,29.4,misc
ITA-Serie A,2023,Bologna,Tommaso Corazza,ITA,DF,19,2004,2.2,1,0,0,1,3,0,8,5,4,0,0,0,8,0,1,0.0,misc
ITA-Serie A,2023,Bologna,Victor Bernth Kristiansen,DEN,DF,20,2002,25.6,4,0,0,29,7,1,35,12,34,1,1,0,88,24,19,55.8,misc
ITA-Serie A,2023,Bologna,Łukasz Skorupski,POL,GK,32,1991,32.0,2,0,0,0,4,0,0,1,2,0,0,0,34,1,2,33.3,misc
ITA-Serie A,2023,Cagliari,Adam Obert,SVK,DF,20,2002,10.5,1,0,0,14,4,0,15,21,9,0,0,0,54,14,18,43.8,misc
ITA-Serie A,2023,Cagliari,Alberto Dossena,ITA,DF,24,1998,33.1,5,0,0,38,42,0,1,45,35,0,0,2,190,118,68,63.4,misc
ITA-Serie A,2023,Cagliari,Alessandro Deiola,ITA,MF,27,1995,17.9,7,0,0,25,17,0,15,9,19,0,0,1,87,35,30,53.8,misc
