league,season,team,player,nation,pos,age,born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,stat_type,nation_misc,pos_misc,age_misc,born_misc,90s,Performance CrdY_misc,Performance CrdR_misc,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,stat_type_misc,nation_defense,pos_defense,age_defense,born_defense,90s_defense,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type_defense,nation_shooting,pos_shooting,age_shooting,born_shooting,90s_shooting,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG_shooting,Expected npxG_shooting,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,stat_type_shooting,nation_possession,pos_possession,age_possession,born_possession,90s_possession,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,stat_type_possession,nation_passing,pos_passing,age_passing,born_passing,90s_passing,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,stat_type_passing
ESP-La Liga,2022,Osasuna,Abde Ezzalzouli,MAR,"FW,MF",20,2001,28,19,1504,16.7,4,2,6,4,0,0,4,2,2.7,2.7,1.9,4.6,93,44,136,0.24,0.12,0.36,0.24,0.36,0.16,0.11,0.27,0.16,0.27,standard,MAR,"FW,MF",20,2001,16.7,4,2,1,27,34,2,76,4,19,0,0,0,71,3,17,15.0,misc,MAR,"FW,MF",20,2001,16.7,29,19,13,12,4,13,23,56.5,10,20,0,20,4,33,6,0,defense,MAR,"FW,MF",20,2001,16.7,4,40,16,40.0,2.39,0.96,0.1,0.25,19.1,2,0,0,2.7,2.7,0.07,1.3,1.3,shooting,MAR,"FW,MF",20,2001,16.7,813,4,73,287,473,66,813,117,59,50.4,42,35.9,555,4651,2531,93,60,45,64,38,606,136,possession,MAR,"FW,MF",20,2001,16.7,365,549,66.5,5242,1286,222,268,82.8,107,164,65.2,24,51,47.1,2,1.9,3.8,0.1,12,13,24,9,44,passing
ESP-La Liga,2022,Rayo Vallecano,Abdul Mumin,GHA,DF,24,1998,16,9,922,10.2,0,0,0,0,0,0,2,0,0.4,0.4,0.0,0.4,5,19,1,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,standard,GHA,DF,24,1998,10.2,2,0,0,7,8,0,3,9,9,0,0,0,54,13,18,41.9,misc,GHA,DF,24,1998,10.2,11,9,5,6,0,3,7,42.9,4,13,5,8,9,20,36,2,defense,GHA,DF,24,1998,10.2,0,6,1,16.7,0.59,0.1,0.0,0.0,11.3,0,0,0,0.4,0.4,0.07,-0.4,-0.4,shooting,GHA,DF,24,1998,10.2,493,59,248,231,19,8,493,9,5,55.6,4,44.4,268,1328,646,5,6,0,4,5,270,1,possession,GHA,DF,24,1998,10.2,299,390,76.7,6424,1975,73,82,89.0,180,202,89.1,45,99,45.5,0,0.0,0.1,0.0,1,18,1,1,19,passing
ESP-La Liga,2022,Mallorca,Abdón Prats,ESP,"FW,MF",29,1992,26,2,416,4.6,1,1,2,1,0,0,1,0,0.7,0.7,1.4,2.1,1,8,15,0.22,0.22,0.43,0.22,0.43,0.15,0.31,0.45,0.15,0.45,standard,ESP,"FW,MF",29,1992,4.6,1,0,0,5,6,2,0,0,0,0,0,0,12,14,38,26.9,misc,ESP,"FW,MF",29,1992,4.6,1,0,1,0,0,0,0,,0,5,0,5,0,1,2,0,defense,ESP,"FW,MF",29,1992,4.6,1,6,4,66.7,1.3,0.87,0.17,0.25,13.9,0,0,0,0.7,0.7,0.12,0.3,0.3,shooting,ESP,"FW,MF",29,1992,4.6,141,4,10,78,54,16,141,9,3,33.3,5,55.6,72,273,56,1,1,3,8,14,100,15,possession,ESP,"FW,MF",29,1992,4.6,58,91,63.7,874,173,27,45,60.0,18,28,64.3,6,7,85.7,1,1.4,0.2,-0.4,7,4,3,0,8,passing
ESP-La Liga,2022,Betis,Abner,BRA,DF,22,2000,13,7,607,6.7,0,0,0,0,0,0,2,0,1.7,1.7,0.1,1.8,8,16,25,0.0,0.0,0.0,0.0,0.0,0.25,0.02,0.27,0.25,0.27,standard,BRA,DF,22,2000,6.7,2,0,0,8,2,0,13,8,9,0,1,0,43,9,16,36.0,misc,BRA,DF,22,2000,6.7,12,9,9,2,1,7,16,43.8,9,8,2,6,8,20,24,0,defense,BRA,DF,22,2000,6.7,0,5,1,20.0,0.74,0.15,0.0,0.0,13.6,0,0,0,1.7,1.7,0.34,-1.7,-1.7,shooting,BRA,DF,22,2000,6.7,425,25,128,189,113,11,425,10,3,30.0,7,70.0,203,854,469,8,7,4,10,4,232,25,possession,BRA,DF,22,2000,6.7,252,351,71.8,3886,1578,130,149,87.2,94,134,70.1,16,42,38.1,0,0.1,0.5,-0.1,2,18,3,1,16,passing
ESP-La Liga,2022,Sevilla,Adnan Januzaj,BEL,FW,27,1995,2,1,47,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,BEL,FW,27,1995,0.5,0,0,0,1,2,0,1,1,0,0,0,0,5,0,0,,misc,BEL,FW,27,1995,0.5,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,defense,BEL,FW,27,1995,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,BEL,FW,27,1995,0.5,30,0,2,12,16,1,30,8,4,50.0,3,37.5,19,171,32,0,1,0,1,1,22,6,possession,BEL,FW,27,1995,0.5,15,24,62.5,229,35,10,12,83.3,4,5,80.0,1,3,33.3,0,0.0,0.0,0.0,0,0,0,0,1,passing
ESP-La Liga,2022,Espanyol,Adri Embarba,ESP,FW,30,1992,1,0,35,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,0,2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,standard,ESP,FW,30,1992,0.4,0,0,0,1,1,0,2,0,0,0,0,0,2,0,1,0.0,misc,ESP,FW,30,1992,0.4,1,0,0,1,0,1,1,100.0,0,1,0,1,0,1,0,0,defense,ESP,FW,30,1992,0.4,0,2,0,0.0,5.14,0.0,0.0,,29.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1,shooting,ESP,FW,30,1992,0.4,15,2,2,8,6,1,15,5,3,60.0,1,20.0,7,49,36,1,1,0,2,0,6,2,possession,ESP,FW,30,1992,0.4,4,6,66.7,80,37,2,3,66.7,1,2,50.0,1,1,100.0,0,0.0,0.1,0.0,0,0,0,0,0,passing
ESP-La Liga,2022,Espanyol,Adrià Pedrosa,ESP,"DF,MF",24,1998,7,2,229,2.5,0,0,0,0,0,0,0,0,0.1,0.1,0.7,0.7,7,4,21,0.0,0.0,0.0,0.0,0.0,0.02,0.26,0.28,0.02,0.28,standard,ESP,"DF,MF",24,1998,2.5,0,0,0,3,4,1,9,5,1,0,0,0,18,1,1,50.0,misc,ESP,"DF,MF",24,1998,2.5,5,1,5,0,0,4,7,57.1,3,1,1,0,5,10,3,0,defense,ESP,"DF,MF",24,1998,2.5,0,1,0,0.0,0.39,0.0,0.0,,19.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1,shooting,ESP,"DF,MF",24,1998,2.5,115,7,30,38,49,5,115,9,1,11.1,8,88.9,76,542,220,7,6,3,6,1,66,21,possession,ESP,"DF,MF",24,1998,2.5,61,76,80.3,881,239,37,40,92.5,20,27,74.1,2,4,50.0,0,0.7,1.0,-0.7,5,2,4,2,4,passing
ESP-La Liga,2022,Athletic Club,Adu Ares,ESP,"FW,MF",20,2001,8,0,84,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,8,4,19,0.0,0.0,0.0,0.0,0.0,0.11,0.19,0.3,0.11,0.3,standard,ESP,"FW,MF",20,2001,0.9,0,0,0,2,8,0,8,2,2,0,0,0,7,3,0,100.0,misc,ESP,"FW,MF",20,2001,0.9,4,2,2,1,1,4,4,100.0,0,1,0,1,2,6,1,0,defense,ESP,"FW,MF",20,2001,0.9,0,3,0,0.0,3.21,0.0,0.0,,21.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1,shooting,ESP,"FW,MF",20,2001,0.9,69,2,5,18,46,3,69,9,5,55.6,2,22.2,51,410,246,8,4,1,1,3,49,19,possession,ESP,"FW,MF",20,2001,0.9,42,51,82.4,744,137,23,27,85.2,10,12,83.3,7,8,87.5,0,0.2,0.2,-0.2,3,4,3,3,4,passing
ESP-La Liga,2022,Celta Vigo,Agustín Marchesín,ARG,GK,34,1988,19,19,1710,19.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ARG,GK,34,1988,19.0,2,0,0,0,4,0,0,0,0,0,0,0,22,3,0,100.0,misc,ARG,GK,34,1988,19.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,7,0,defense,ARG,GK,34,1988,19.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,ARG,GK,34,1988,19.0,677,550,673,6,0,0,677,0,0,,0,,392,1729,1123,0,0,0,0,0,325,0,possession,ARG,GK,34,1988,19.0,449,635,70.7,12898,9202,81,81,100.0,206,212,97.2,161,337,47.8,0,0.0,0.0,0.0,0,6,0,0,1,passing
ESP-La Liga,2022,Real Sociedad,Aihen Muñoz,ESP,DF,24,1997,23,20,1756,19.5,0,1,1,0,0,0,2,0,0.2,0.2,0.9,1.1,37,57,87,0.0,0.05,0.05,0.0,0.05,0.01,0.05,0.06,0.01,0.06,standard,ESP,DF,24,1997,19.5,2,0,0,29,16,0,54,9,23,0,0,0,102,21,25,45.7,misc,ESP,DF,24,1997,19.5,38,23,17,17,4,22,47,46.8,25,26,5,21,9,47,38,0,defense,ESP,DF,24,1997,19.5,0,6,2,33.3,0.31,0.1,0.0,0.0,24.8,0,0,0,0.2,0.2,0.03,-0.2,-0.2,shooting,ESP,DF,24,1997,19.5,1226,39,340,531,366,9,1226,40,19,47.5,18,45.0,624,3038,1395,37,32,2,25,18,704,87,possession,ESP,DF,24,1997,19.5,781,1027,76.0,13080,5178,389,436,89.2,323,403,80.1,60,132,45.5,1,0.9,1.1,0.1,14,48,18,11,57,passing
ESP-La Liga,2022,Osasuna,Aimar Oroz,ESP,"MF,FW",20,2001,31,23,2013,22.4,3,6,9,2,1,1,6,0,3.6,2.8,2.8,5.5,35,86,144,0.13,0.27,0.4,0.09,0.36,0.16,0.12,0.28,0.12,0.25,standard,ESP,"MF,FW",20,2001,22.4,6,0,0,36,61,2,7,24,14,0,0,0,106,17,39,30.4,misc,ESP,"MF,FW",20,2001,22.4,26,14,8,10,8,8,30,26.7,22,24,1,23,24,50,6,0,defense,ESP,"MF,FW",20,2001,22.4,3,22,7,31.8,0.98,0.31,0.09,0.29,17.2,2,1,1,3.6,2.8,0.13,-0.6,-0.8,shooting,ESP,"MF,FW",20,2001,22.4,1051,7,112,507,448,55,1050,62,31,50.0,22,35.5,652,3119,1359,35,34,8,42,51,769,144,possession,ESP,"MF,FW",20,2001,22.4,649,820,79.1,9209,2193,400,462,86.6,194,239,81.2,32,49,65.3,6,2.8,2.3,3.2,33,48,20,0,86,passing
ESP-La Liga,2022,Osasuna,Aitor Fernández,ESP,GK,31,1991,21,21,1890,21.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ESP,GK,31,1991,21.0,1,0,0,0,0,0,0,2,1,0,0,0,27,3,1,75.0,misc,ESP,GK,31,1991,21.0,1,1,1,0,0,0,1,0.0,1,0,0,0,2,3,17,0,defense,ESP,GK,31,1991,21.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,ESP,GK,31,1991,21.0,846,701,835,11,0,0,846,0,0,,0,,443,2217,1515,0,0,0,1,0,335,0,possession,ESP,GK,31,1991,21.0,518,793,65.3,18920,16063,44,45,97.8,205,212,96.7,269,531,50.7,0,0.0,0.1,0.0,0,33,0,0,1,passing
ESP-La Liga,2022,Athletic Club,Aitor Paredes,ESP,DF,22,2000,16,9,859,9.5,0,0,0,0,0,0,3,0,0.5,0.5,0.4,0.9,4,33,8,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.09,0.05,0.09,standard,ESP,DF,22,2000,9.5,3,0,0,12,2,0,2,14,6,0,0,1,59,21,7,75.0,misc,ESP,DF,22,2000,9.5,7,6,4,2,1,6,11,54.5,5,11,7,4,14,21,26,0,defense,ESP,DF,22,2000,9.5,0,8,3,37.5,0.84,0.31,0.0,0.0,12.6,0,0,0,0.5,0.5,0.06,-0.5,-0.5,shooting,ESP,DF,22,2000,9.5,600,53,277,296,30,10,600,1,0,0.0,1,100.0,343,1678,895,4,2,0,3,0,377,8,possession,ESP,DF,22,2000,9.5,464,521,89.1,9712,3359,133,143,93.0,258,273,94.5,68,93,73.1,0,0.4,0.2,-0.4,3,29,2,0,33,passing
ESP-La Liga,2022,Betis,Aitor Ruibal,ESP,"DF,FW",26,1996,26,15,1454,16.2,0,0,0,0,0,0,4,1,0.8,0.8,2.1,3.0,39,62,70,0.0,0.0,0.0,0.0,0.0,0.05,0.13,0.18,0.05,0.18,standard,ESP,"DF,FW",26,1996,16.2,4,1,0,22,18,3,31,24,29,0,0,0,102,14,18,43.8,misc,ESP,"DF,FW",26,1996,16.2,47,29,35,9,3,31,58,53.4,27,17,2,15,24,71,41,0,defense,ESP,"DF,FW",26,1996,16.2,0,15,6,40.0,0.93,0.37,0.0,0.0,19.8,0,0,0,0.8,0.8,0.06,-0.8,-0.8,shooting,ESP,"DF,FW",26,1996,16.2,1061,44,338,468,277,24,1061,67,35,52.2,31,46.3,559,2957,1830,39,27,8,24,13,597,70,possession,ESP,"DF,FW",26,1996,16.2,647,841,76.9,10213,3689,356,394,90.4,212,281,75.4,51,100,51.0,0,2.1,1.1,-2.1,15,51,12,5,62,passing
ESP-La Liga,2022,Villarreal,Alberto Del Moral,ESP,MF,22,2000,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ESP,MF,22,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,misc,ESP,MF,22,2000,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense,ESP,MF,22,2000,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,ESP,MF,22,2000,0.1,1,0,0,1,0,0,1,0,0,,0,,1,2,1,0,0,0,0,0,1,0,possession,ESP,MF,22,2000,0.1,0,1,0.0,0,0,0,0,,0,0,,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,passing
ESP-La Liga,2022,Valencia,Alberto Marí,ESP,"FW,MF",21,2001,5,0,86,1.0,1,0,1,1,0,0,1,0,0.2,0.2,0.0,0.2,1,1,6,1.05,0.0,1.05,1.05,1.05,0.25,0.0,0.25,0.25,0.25,standard,ESP,"FW,MF",21,2001,1.0,1,0,0,3,2,2,0,0,0,0,0,0,4,2,3,40.0,misc,ESP,"FW,MF",21,2001,1.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,1,0,defense,ESP,"FW,MF",21,2001,1.0,1,2,1,50.0,2.09,1.05,0.5,1.0,10.7,0,0,0,0.2,0.2,0.12,0.8,0.8,shooting,ESP,"FW,MF",21,2001,1.0,30,0,3,12,15,7,30,4,1,25.0,3,75.0,21,71,27,1,0,1,2,1,26,6,possession,ESP,"FW,MF",21,2001,1.0,8,20,40.0,102,7,7,12,58.3,1,4,25.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,1,passing
ESP-La Liga,2022,Villarreal,Alberto Moreno,ESP,DF,30,1992,24,14,1296,14.4,0,1,1,0,0,0,7,0,0.9,0.9,1.4,2.3,41,47,97,0.0,0.07,0.07,0.0,0.07,0.07,0.1,0.16,0.07,0.16,standard,ESP,DF,30,1992,14.4,7,0,0,26,9,3,36,23,12,0,0,0,62,12,10,54.5,misc,ESP,DF,30,1992,14.4,23,12,10,10,3,11,24,45.8,13,12,1,11,23,46,26,0,defense,ESP,DF,30,1992,14.4,0,15,3,20.0,1.04,0.21,0.0,0.0,20.7,2,0,0,0.9,0.9,0.06,-0.9,-0.9,shooting,ESP,DF,30,1992,14.4,872,27,247,298,331,28,872,16,6,37.5,8,50.0,490,2569,1333,41,32,7,17,6,549,97,possession,ESP,DF,30,1992,14.4,605,730,82.9,9845,2768,298,329,90.6,252,283,89.0,36,64,56.3,1,1.4,1.9,-0.4,12,18,24,6,47,passing
ESP-La Liga,2022,Cádiz,Alberto Perea,ESP,MF,31,1990,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ESP,MF,31,1990,0.5,0,0,0,0,2,0,1,0,0,0,0,0,2,0,2,0.0,misc,ESP,MF,31,1990,0.5,2,0,2,0,0,0,0,,0,2,0,2,0,2,0,0,defense,ESP,MF,31,1990,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,ESP,MF,31,1990,0.5,20,0,7,6,7,0,20,6,2,33.3,3,50.0,5,36,7,0,0,0,0,1,13,2,possession,ESP,MF,31,1990,0.5,10,12,83.3,114,30,6,7,85.7,3,3,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,2,passing
ESP-La Liga,2022,Girona,Aleix García,ESP,MF,25,1997,30,26,2337,26.0,1,5,6,1,0,0,1,0,1.8,1.8,6.2,8.0,41,156,76,0.04,0.19,0.23,0.04,0.23,0.07,0.24,0.31,0.07,0.31,standard,ESP,MF,25,1997,26.0,1,0,0,14,29,1,179,31,20,0,0,0,132,13,6,68.4,misc,ESP,MF,25,1997,26.0,37,20,9,18,10,15,33,45.5,18,24,8,16,31,68,35,1,defense,ESP,MF,25,1997,26.0,1,32,14,43.8,1.23,0.54,0.03,0.07,23.2,4,0,0,1.8,1.8,0.06,-0.8,-0.8,shooting,ESP,MF,25,1997,26.0,1867,68,386,1003,490,23,1867,26,13,50.0,9,34.6,1041,4868,2266,41,35,7,19,12,1302,76,possession,ESP,MF,25,1997,26.0,1370,1657,82.7,24515,7738,661,710,93.1,471,536,87.9,182,303,60.1,5,6.2,6.0,-1.2,64,154,23,10,156,passing
ESP-La Liga,2022,Barcelona,Aleix Garrido,ESP,FW,18,2004,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ESP,FW,18,2004,0.1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,,misc,ESP,FW,18,2004,0.1,2,1,1,0,1,1,1,100.0,0,1,0,1,0,2,0,0,defense,ESP,FW,18,2004,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,ESP,FW,18,2004,0.1,7,0,4,0,3,1,7,1,0,0.0,1,100.0,4,30,18,0,0,0,0,0,3,0,possession,ESP,FW,18,2004,0.1,2,3,66.7,21,8,2,3,66.7,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,passing
ESP-La Liga,2022,Espanyol,Aleix Vidal,ESP,"MF,FW",32,1989,25,10,1025,11.4,0,3,3,0,0,0,10,1,0.1,0.1,2.2,2.4,16,23,53,0.0,0.26,0.26,0.0,0.26,0.01,0.2,0.21,0.01,0.21,standard,ESP,"MF,FW",32,1989,11.4,10,1,1,23,17,1,39,15,5,0,0,0,63,3,7,30.0,misc,ESP,"MF,FW",32,1989,11.4,11,5,6,3,2,4,22,18.2,18,21,2,19,15,26,14,0,defense,ESP,"MF,FW",32,1989,11.4,0,3,2,66.7,0.26,0.18,0.0,0.0,17.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1,shooting,ESP,"MF,FW",32,1989,11.4,489,19,99,205,188,15,489,19,7,36.8,11,57.9,238,1219,457,16,5,3,15,7,250,53,possession,ESP,"MF,FW",32,1989,11.4,279,384,72.7,4979,1379,147,176,83.5,90,127,70.9,37,53,69.8,3,2.2,1.3,0.8,15,19,10,4,23,passing
ESP-La Liga,2022,Elche,Alejandro Alfaro,ESP,MF,20,2002,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ESP,MF,20,2002,0.2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,misc,ESP,MF,20,2002,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense,ESP,MF,20,2002,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,ESP,MF,20,2002,0.2,2,0,0,1,1,0,2,1,0,0.0,1,100.0,1,6,0,0,1,0,0,0,2,0,possession,ESP,MF,20,2002,0.2,1,1,100.0,3,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,passing
ESP-La Liga,2022,Barcelona,Alejandro Balde,ESP,DF,18,2003,33,30,2471,27.5,1,6,7,1,0,0,4,0,1.9,1.9,4.9,6.8,95,79,234,0.04,0.22,0.25,0.04,0.25,0.07,0.18,0.25,0.07,0.25,standard,ESP,DF,18,2003,27.5,4,0,0,27,29,5,67,12,30,0,0,0,145,19,18,51.4,misc,ESP,DF,18,2003,27.5,42,30,22,16,4,24,41,58.5,17,25,3,22,12,54,17,1,defense,ESP,DF,18,2003,27.5,1,19,4,21.1,0.69,0.15,0.05,0.25,17.9,0,0,0,1.9,1.9,0.1,-0.9,-0.9,shooting,ESP,DF,18,2003,27.5,1939,40,419,874,672,78,1939,97,50,51.5,36,37.1,1270,7245,4093,95,69,34,41,24,1347,234,possession,ESP,DF,18,2003,27.5,1482,1670,88.7,21525,4340,892,951,93.8,486,536,90.7,71,106,67.0,6,4.9,5.4,1.1,22,74,22,16,79,passing
ESP-La Liga,2022,Almería,Alejandro Pozo Pozo,ESP,DF,23,1999,30,20,1880,20.9,0,3,3,0,0,0,2,0,0.5,0.5,3.6,4.2,44,64,90,0.0,0.14,0.14,0.0,0.14,0.03,0.17,0.2,0.03,0.2,standard,ESP,DF,23,1999,20.9,2,0,0,15,14,1,70,26,19,0,1,0,138,12,23,34.3,misc,ESP,DF,23,1999,20.9,37,19,17,17,3,27,53,50.9,26,30,5,25,26,63,45,1,defense,ESP,DF,23,1999,20.9,0,10,2,20.0,0.48,0.1,0.0,0.0,20.4,0,0,0,0.5,0.5,0.05,-0.5,-0.5,shooting,ESP,DF,23,1999,20.9,1323,55,441,576,319,30,1323,24,12,50.0,10,41.7,625,2824,1563,44,31,10,27,9,721,90,possession,ESP,DF,23,1999,20.9,814,1117,72.9,13478,5554,421,470,89.6,303,392,77.3,72,174,41.4,3,3.6,2.6,-0.6,24,40,21,16,64,passing
ESP-La Liga,2022,Getafe,Alejandro Revuelta Montero,ESP,DF,22,2000,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ESP,DF,22,2000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,misc,ESP,DF,22,2000,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,defense,ESP,DF,22,2000,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,ESP,DF,22,2000,0.0,1,0,1,0,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,possession,ESP,DF,22,2000,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,passing
ESP-La Liga,2022,Villarreal,Alex Baena,ESP,"MF,FW",21,2001,35,19,1947,21.6,6,2,8,6,0,0,13,1,3.9,3.9,5.2,9.1,50,124,110,0.28,0.09,0.37,0.28,0.37,0.18,0.24,0.42,0.18,0.42,standard,ESP,"MF,FW",21,2001,21.6,13,1,1,58,56,3,26,7,17,1,1,0,100,1,26,3.7,misc,ESP,"MF,FW",21,2001,21.6,30,17,9,15,6,15,45,33.3,30,15,3,12,7,37,16,0,defense,ESP,"MF,FW",21,2001,21.6,6,62,22,35.5,2.87,1.02,0.1,0.27,22.6,3,0,0,3.9,3.9,0.06,2.1,2.1,shooting,ESP,"MF,FW",21,2001,21.6,1103,28,152,512,454,66,1103,62,27,43.5,25,40.3,752,3962,1847,50,42,14,41,34,873,110,possession,ESP,"MF,FW",21,2001,21.6,681,859,79.3,11154,3034,340,380,89.5,257,301,85.4,59,100,59.0,2,5.2,3.8,-3.2,31,75,43,3,124,passing
ESP-La Liga,2022,Real Sociedad,Alex Sola,ESP,DF,23,1999,10,3,349,3.9,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,8,4,19,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05,standard,ESP,DF,23,1999,3.9,1,0,0,3,8,0,12,7,9,0,0,0,17,7,3,70.0,misc,ESP,DF,23,1999,3.9,18,9,14,3,1,7,10,70.0,3,7,2,5,7,25,10,0,defense,ESP,DF,23,1999,3.9,0,4,1,25.0,1.03,0.26,0.0,0.0,26.4,0,0,0,0.1,0.1,0.02,-0.1,-0.1,shooting,ESP,DF,23,1999,3.9,252,12,73,99,84,6,252,16,7,43.8,5,31.3,116,739,298,8,3,1,2,6,131,19,possession,ESP,DF,23,1999,3.9,158,198,79.8,2779,704,60,68,88.2,78,91,85.7,15,28,53.6,0,0.1,0.1,-0.1,2,6,1,1,4,passing
