league,season,team,player,nation,pos,age,born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,stat_type,nation_shooting,pos_shooting,age_shooting,born_shooting,90s,Standard Gls,Standard Sh,Standard SoT,Standard Sh/90,Standard SoT/90,Standard FK,Standard PK,Standard PKatt,Expected xG_shooting,Expected npxG_shooting,Expected G-xG,Expected np:G-xG,stat_type_shooting,nation_misc,pos_misc,age_misc,born_misc,Performance CrdY_misc,Performance CrdR_misc,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,stat_type_misc,nation_possession,pos_possession,age_possession,born_possession,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Tkld,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,stat_type_possession,nation_passing,pos_passing,age_passing,born_passing,90s_passing,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,stat_type_passing,nation_defense,pos_defense,age_defense,born_defense,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type_defense
ITA-Serie A,2020,Parma,Vincent Laurini,FRA,DF,31,1989,14,10,870,9.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,11,37,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,standard,FRA,DF,31,1989,9.7,0,1,0,0.1,0.0,0,0,0,0.0,0.0,0.0,0.0,shooting,FRA,DF,31,1989,1,0,0,12,18,0,28,17,11,0,0,0,31,6,12,misc,FRA,DF,31,1989,581,33,188,300,97,2,581,3,2,1,319,1440,904,11,11,0,9,1,353,15,possession,FRA,DF,31,1989,9.7,400,505,79.2,6865,2842,193,211,91.5,164,211,77.7,38,68,0,0.0,0.2,0.0,1,35,5,4,37,passing,FRA,DF,31,1989,16,11,8,6,2,7,9,2,8,4,4,17,33,22,1,defense
ITA-Serie A,2020,Torino,Vincenzo Millico,ITA,"FW,MF",19,2000,3,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.31,0.0,0.31,standard,ITA,"FW,MF",19,2000,0.2,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,shooting,ITA,"FW,MF",19,2000,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,misc,ITA,"FW,MF",19,2000,12,0,1,7,4,0,12,1,0,1,9,55,6,0,0,0,0,0,8,2,possession,ITA,"FW,MF",19,2000,0.2,7,9,77.8,145,39,2,3,66.7,2,2,100.0,2,3,0,0.1,0.0,-0.1,1,1,0,0,0,passing,ITA,"FW,MF",19,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,defense
ITA-Serie A,2020,Genoa,Vittorio Parigini,ITA,"MF,DF",24,1996,4,0,56,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,0,8,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,standard,ITA,"MF,DF",24,1996,0.6,0,1,1,1.61,1.61,0,0,0,0.0,0.0,0.0,0.0,shooting,ITA,"MF,DF",24,1996,0,0,0,0,2,1,9,0,2,0,0,0,2,2,2,misc,ITA,"MF,DF",24,1996,35,1,4,9,22,0,35,2,1,1,18,162,80,5,1,0,1,1,20,8,possession,ITA,"MF,DF",24,1996,0.6,14,27,51.9,237,33,6,7,85.7,8,14,57.1,0,1,0,0.0,0.2,0.0,0,0,1,1,0,passing,ITA,"MF,DF",24,1996,5,2,4,0,1,0,1,1,0,0,0,0,5,0,0,defense
ITA-Serie A,2020,Sassuolo,Vlad Chiricheș,ROU,DF,30,1989,24,22,1837,20.4,2,1,3,2,0,0,6,0,1.3,1.3,0.4,1.7,10,67,9,0.1,0.05,0.15,0.1,0.15,0.06,0.02,0.08,0.06,0.08,standard,ROU,DF,30,1989,20.4,2,12,3,0.59,0.15,0,0,0,1.3,1.3,0.7,0.7,shooting,ROU,DF,30,1989,6,0,0,31,14,1,4,50,23,0,0,1,135,52,45,misc,ROU,DF,30,1989,1828,216,804,958,77,17,1828,15,11,4,1201,5365,2975,10,21,2,11,5,1349,9,possession,ROU,DF,30,1989,20.4,1505,1610,93.5,26044,8573,631,661,95.5,745,778,95.8,106,131,1,0.4,0.5,0.6,8,66,2,1,67,passing,ROU,DF,30,1989,38,23,34,3,1,21,35,14,31,21,10,50,88,59,2,defense
ITA-Serie A,2020,Torino,Samir Ujkani,KVX,GK,32,1988,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,KVX,GK,32,1988,1.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,shooting,KVX,GK,32,1988,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,misc,KVX,GK,32,1988,29,26,29,0,0,0,29,0,0,0,17,70,33,0,0,0,0,0,13,0,possession,KVX,GK,32,1988,1.0,23,27,85.2,622,503,1,1,100.0,12,12,100.0,9,12,0,0.0,0.0,0.0,0,0,0,0,0,passing,KVX,GK,32,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,defense
ITA-Serie A,2020,Milan,Samu Castillejo,ESP,FW,25,1995,28,12,1181,13.1,1,0,1,1,0,0,5,0,2.5,2.5,0.7,3.2,41,41,90,0.08,0.0,0.08,0.08,0.08,0.19,0.05,0.24,0.19,0.24,standard,ESP,FW,25,1995,13.1,1,25,7,1.91,0.53,1,0,0,2.5,2.5,-1.5,-1.5,shooting,ESP,FW,25,1995,5,0,0,25,30,4,34,6,12,1,0,0,78,8,20,misc,ESP,FW,25,1995,614,9,84,274,269,43,614,47,30,17,394,2598,1189,41,30,16,21,23,428,90,possession,ESP,FW,25,1995,13.1,356,451,78.9,5632,1329,183,210,87.1,122,142,85.9,32,53,0,0.7,0.8,-0.7,10,25,16,5,41,passing,ESP,FW,25,1995,24,12,9,14,1,14,40,26,21,0,21,6,30,9,0,defense
ITA-Serie A,2020,Fiorentina,Valentin Eysseric,FRA,"MF,FW",28,1992,16,6,729,8.1,2,0,2,2,0,0,2,0,1.3,1.3,0.6,1.8,14,33,45,0.25,0.0,0.25,0.25,0.25,0.16,0.07,0.23,0.16,0.23,standard,FRA,"MF,FW",28,1992,8.1,2,13,5,1.6,0.62,1,0,0,1.3,1.3,0.7,0.7,shooting,FRA,"MF,FW",28,1992,2,0,0,12,11,0,33,7,8,0,0,0,40,10,9,misc,FRA,"MF,FW",28,1992,444,11,72,208,166,13,444,6,3,3,255,1176,592,14,12,3,11,7,298,45,possession,FRA,"MF,FW",28,1992,8.1,256,357,71.7,4331,1264,132,153,86.3,77,105,73.3,33,63,0,0.6,0.7,-0.6,8,31,5,4,33,passing,FRA,"MF,FW",28,1992,14,8,6,7,1,5,11,6,11,0,11,7,21,8,0,defense
ITA-Serie A,2020,Parma,Valentin Mihaila,ROU,"FW,MF",20,2000,16,4,698,7.8,3,0,3,3,0,0,2,0,2.7,2.7,0.3,3.0,30,9,60,0.39,0.0,0.39,0.39,0.39,0.35,0.04,0.38,0.35,0.38,standard,ROU,"FW,MF",20,2000,7.8,3,19,10,2.45,1.29,0,0,0,2.7,2.7,0.3,0.3,shooting,ROU,"FW,MF",20,2000,2,0,0,5,8,5,14,5,1,1,0,0,20,3,15,misc,ROU,"FW,MF",20,2000,288,9,40,104,148,31,288,28,14,14,179,1672,777,30,19,14,20,6,202,60,possession,ROU,"FW,MF",20,2000,7.8,124,192,64.6,1814,378,74,97,76.3,34,49,69.4,10,22,0,0.3,0.4,-0.3,7,7,3,2,9,passing,ROU,"FW,MF",20,2000,2,1,1,1,0,0,10,10,8,1,7,5,7,8,0,defense
ITA-Serie A,2020,Sampdoria,Valerio Verre,ITA,"FW,MF",26,1994,27,12,998,11.1,3,3,6,3,0,0,3,0,1.9,1.9,1.6,3.6,32,70,82,0.27,0.27,0.54,0.27,0.54,0.17,0.15,0.32,0.17,0.32,standard,ITA,"FW,MF",26,1994,11.1,3,24,10,2.16,0.9,0,0,0,1.9,1.9,1.1,1.1,shooting,ITA,"FW,MF",26,1994,3,0,0,25,21,1,20,9,7,0,0,0,67,18,25,misc,ITA,"FW,MF",26,1994,673,7,72,350,263,28,673,32,19,13,403,2177,1090,32,23,3,42,23,514,82,possession,ITA,"FW,MF",26,1994,11.1,371,530,70.0,6143,1972,188,232,81.0,126,176,71.6,38,66,3,1.6,1.3,1.4,19,48,21,2,70,passing,ITA,"FW,MF",26,1994,11,7,2,7,2,4,19,15,14,2,12,9,20,3,0,defense
ITA-Serie A,2020,Genoa,Valon Behrami,SUI,MF,35,1985,26,8,892,9.9,0,0,0,0,0,0,3,1,0.5,0.5,0.1,0.6,5,23,16,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.06,0.05,0.06,standard,SUI,MF,35,1985,9.9,0,4,1,0.4,0.1,0,0,0,0.5,0.5,-0.5,-0.5,shooting,SUI,MF,35,1985,3,1,1,28,21,0,3,9,9,1,0,0,41,12,18,misc,SUI,MF,35,1985,310,20,82,169,63,6,310,3,1,2,130,553,270,5,4,2,7,2,148,16,possession,SUI,MF,35,1985,9.9,162,218,74.3,2214,875,90,114,78.9,51,66,77.3,8,14,0,0.1,0.1,-0.1,2,16,2,1,23,passing,SUI,MF,35,1985,21,9,9,10,2,9,26,17,13,5,8,9,30,13,0,defense
ITA-Serie A,2020,Torino,Vanja Milinković-Savić,SRB,GK,23,1997,5,5,450,5.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,SRB,GK,23,1997,5.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,shooting,SRB,GK,23,1997,0,1,0,0,2,0,0,0,1,0,0,0,11,1,0,misc,SRB,GK,23,1997,188,143,187,2,0,0,188,0,0,0,114,634,385,0,0,0,1,0,84,0,possession,SRB,GK,23,1997,5.0,116,176,65.9,3057,2138,20,20,100.0,68,69,98.6,27,85,0,0.0,0.0,0.0,0,5,1,0,0,passing,SRB,GK,23,1997,1,1,1,0,0,1,1,0,0,0,0,0,1,1,3,defense
ITA-Serie A,2020,Sampdoria,Vasco Regini,ITA,DF,29,1990,3,1,88,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05,standard,ITA,DF,29,1990,1.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,shooting,ITA,DF,29,1990,0,0,0,1,1,0,2,1,2,0,0,1,1,0,1,misc,ITA,DF,29,1990,52,5,21,19,12,0,52,0,0,0,18,60,28,0,1,0,0,0,28,1,possession,ITA,DF,29,1990,1.0,35,40,87.5,572,265,21,23,91.3,10,12,83.3,4,5,0,0.0,0.0,0.0,1,3,1,1,3,passing,ITA,DF,29,1990,2,2,2,0,0,2,2,0,1,1,0,1,3,5,0,defense
ITA-Serie A,2020,Udinese,Ryder Matos,BRA,MF,27,1993,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.31,0.0,0.31,standard,BRA,MF,27,1993,0.1,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,shooting,BRA,MF,27,1993,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,misc,BRA,MF,27,1993,8,0,0,5,4,1,8,1,1,0,9,84,59,4,1,0,0,1,10,4,possession,BRA,MF,27,1993,0.1,6,8,75.0,87,34,5,6,83.3,0,0,84.9,1,2,0,0.0,0.0,0.0,1,1,1,1,0,passing,BRA,MF,27,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,defense
ITA-Serie A,2020,Cagliari,Răzvan Marin,ROU,MF,24,1996,37,35,2965,32.9,3,6,9,3,0,0,6,0,1.4,1.4,4.7,6.1,45,159,80,0.09,0.18,0.27,0.09,0.27,0.04,0.14,0.18,0.04,0.18,standard,ROU,MF,24,1996,32.9,3,27,10,0.82,0.3,1,0,0,1.4,1.4,1.6,1.6,shooting,ROU,MF,24,1996,6,0,0,49,23,2,161,29,33,0,0,0,186,10,18,misc,ROU,MF,24,1996,1984,44,383,1089,543,32,1984,73,34,39,1065,6302,2962,45,48,7,49,25,1282,80,possession,ROU,MF,24,1996,32.9,1389,1698,81.8,24363,7325,631,696,90.7,548,617,88.8,163,297,6,4.7,4.8,1.3,69,142,30,5,159,passing,ROU,MF,24,1996,54,33,26,22,6,27,53,26,29,10,19,29,83,15,0,defense
ITA-Serie A,2020,Spezia,Salvador Ferrer,ESP,DF,22,1998,18,14,1190,13.2,0,1,1,0,0,0,4,0,0.1,0.1,1.3,1.4,28,46,49,0.0,0.08,0.08,0.0,0.08,0.01,0.1,0.1,0.01,0.1,standard,ESP,DF,22,1998,13.2,0,3,1,0.23,0.08,0,0,0,0.1,0.1,-0.1,-0.1,shooting,ESP,DF,22,1998,4,0,0,15,7,0,57,24,10,0,1,0,78,25,16,misc,ESP,DF,22,1998,1037,49,341,462,243,6,1037,8,5,3,547,2541,1299,28,19,0,12,7,601,49,possession,ESP,DF,22,1998,13.2,676,908,74.4,12680,4232,291,339,85.8,273,348,78.4,106,172,1,1.3,0.9,-0.3,14,35,19,16,46,passing,ESP,DF,22,1998,20,10,10,8,2,8,22,14,13,4,9,24,44,37,1,defense
ITA-Serie A,2020,Crotone,Salvatore Molina,ITA,"MF,DF",28,1992,29,28,2315,25.7,1,4,5,1,0,0,1,0,0.7,0.7,2.3,3.0,34,97,87,0.04,0.16,0.19,0.04,0.19,0.03,0.09,0.12,0.03,0.12,standard,ITA,"MF,DF",28,1992,25.7,1,15,5,0.58,0.19,0,0,0,0.7,0.7,0.3,0.3,shooting,ITA,"MF,DF",28,1992,1,0,0,23,39,2,71,17,22,0,0,1,161,21,18,misc,ITA,"MF,DF",28,1992,1326,84,402,605,334,21,1326,44,25,19,758,4143,1790,34,27,5,36,30,869,87,possession,ITA,"MF,DF",28,1992,25.7,842,1082,77.8,14821,4433,405,448,90.4,329,401,82.0,93,172,4,2.3,2.1,1.7,23,59,32,17,97,passing,ITA,"MF,DF",28,1992,39,22,18,14,7,29,45,16,30,8,22,17,56,41,0,defense
