league,season,team,player,nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,stat_type
,,,,,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,
FRA-Ligue 1,2023,Clermont Foot,Habib Keita,MLI,MF,21,2002,14.2,4,0,0,23,36,0,4,29,19,0,0,0,83,7,11,38.9,misc
FRA-Ligue 1,2023,Clermont Foot,Ilhan Fakili,FRA,"MF,FW",17,2006,1.0,0,0,0,1,1,0,1,1,0,0,0,0,3,0,3,0.0,misc
FRA-Ligue 1,2023,Clermont Foot,Jim Allevinah,GAB,"MF,DF",28,1995,20.7,1,0,0,15,26,1,47,13,18,0,0,0,100,16,26,38.1,misc
FRA-Ligue 1,2023,Clermont Foot,Johan Gastien,FRA,MF,35,1988,25.1,7,0,0,31,29,1,39,36,22,0,0,0,165,17,16,51.5,misc
FRA-Ligue 1,2023,Clermont Foot,Joshua M'Bahia,CIV,MF,18,2005,0.2,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,100.0,misc
FRA-Ligue 1,2023,Clermont Foot,Jérémie Bela,ANG,"MF,FW",30,1993,2.3,0,0,0,0,4,0,14,0,1,0,0,0,8,1,3,25.0,misc
FRA-Ligue 1,2023,Clermont Foot,Jérémy Jacquet,FRA,DF,18,2005,2.8,0,0,0,1,3,1,1,6,3,0,0,0,9,6,4,60.0,misc
FRA-Ligue 1,2023,Clermont Foot,Komnen Andrić,SRB,FW,28,1995,1.9,0,0,0,2,2,1,1,0,1,0,0,0,4,2,8,20.0,misc
FRA-Ligue 1,2023,Clermont Foot,Massamba Ndiaye,SEN,GK,21,2001,4.0,0,0,0,0,1,0,0,0,0,0,0,0,5,2,1,66.7,misc
FRA-Ligue 1,2023,Clermont Foot,Mateusz Wieteska,POL,DF,26,1997,1.9,0,0,0,0,2,1,0,5,1,0,0,0,12,4,2,66.7,misc
FRA-Ligue 1,2023,Clermont Foot,Maxime Gonalons,FRA,MF,34,1989,14.4,4,0,0,28,15,0,1,20,33,0,0,0,97,15,9,62.5,misc
FRA-Ligue 1,2023,Clermont Foot,Maximiliano Caufriez,BEL,DF,26,1997,18.4,6,3,1,39,18,0,4,18,28,0,1,0,72,19,17,52.8,misc
FRA-Ligue 1,2023,Clermont Foot,Mehdi Zeffane,ALG,"DF,MF",31,1992,13.7,2,0,0,13,7,2,42,16,20,1,0,0,64,7,13,35.0,misc
