nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,league,season,stat_type
,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,,,
CIV,DF,30,1990,15.0,2,0,0,14,6,0,48,19,17,0,1,0,82,10,9,52.6,FRA-Ligue 1,2020,misc
FRA,MF,23,1996,30.3,4,0,0,29,133,3,100,15,13,0,0,0,164,20,44,31.3,FRA-Ligue 1,2020,misc
FRA,"MF,FW",24,1995,10.1,0,0,0,14,16,0,43,2,14,1,0,0,58,8,12,40.0,FRA-Ligue 1,2020,misc
FRA,MF,25,1995,3.0,1,0,0,7,5,1,1,7,6,0,0,0,25,6,5,54.5,FRA-Ligue 1,2020,misc
CHA,FW,27,1993,0.3,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2,0.0,FRA-Ligue 1,2020,misc
CMR,DF,21,1999,2.9,1,0,0,3,4,0,4,2,3,0,0,0,14,2,2,50.0,FRA-Ligue 1,2020,misc
ALG,"FW,MF",23,1997,4.6,1,0,0,8,15,1,8,6,5,1,0,0,30,2,8,20.0,FRA-Ligue 1,2020,misc
FRA,MF,27,1993,16.7,6,0,0,34,5,0,4,23,26,0,0,0,98,19,17,52.8,FRA-Ligue 1,2020,misc
CIV,DF,33,1986,33.3,3,0,0,21,11,0,4,40,14,0,0,0,214,36,41,46.8,FRA-Ligue 1,2020,misc
FRA,"FW,MF",26,1994,10.5,1,0,0,16,11,1,26,12,13,0,0,0,65,1,7,12.5,FRA-Ligue 1,2020,misc
MLI,MF,24,1996,18.7,4,1,0,26,31,0,12,33,41,0,0,0,130,28,26,51.9,FRA-Ligue 1,2020,misc
FRA,FW,27,1992,19.4,2,0,0,22,35,5,38,5,10,1,0,0,34,46,77,37.4,FRA-Ligue 1,2020,misc
BIH,DF,30,1990,12.3,3,0,0,16,2,0,0,21,6,0,0,0,59,23,19,54.8,FRA-Ligue 1,2020,misc
POR,"FW,MF",23,1996,16.3,5,0,0,29,15,2,26,15,17,0,1,0,61,21,39,35.0,FRA-Ligue 1,2020,misc
FRA,"FW,MF",16,2004,3.9,1,0,0,8,8,0,11,3,7,0,0,0,20,7,9,43.8,FRA-Ligue 1,2020,misc
FRA,"FW,MF",18,2002,0.2,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0.0,FRA-Ligue 1,2020,misc
FRA,GK,23,1997,38.0,1,0,0,2,11,0,0,2,1,0,2,0,23,6,0,100.0,FRA-Ligue 1,2020,misc
FRA,"MF,DF",33,1987,22.8,2,0,0,30,16,4,32,47,28,0,1,0,177,42,51,45.2,FRA-Ligue 1,2020,misc
MAR,FW,28,1992,0.2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,,FRA-Ligue 1,2020,misc
ALG,DF,19,2001,2.1,0,0,0,2,3,0,4,4,2,0,0,0,8,1,3,25.0,FRA-Ligue 1,2020,misc
FRA,DF,32,1988,33.6,5,1,1,35,20,3,0,50,25,0,1,0,186,97,53,64.7,FRA-Ligue 1,2020,misc
SEN,"FW,MF",25,1995,14.0,0,0,0,18,25,1,25,9,14,0,0,0,67,13,16,44.8,FRA-Ligue 1,2020,misc
MAR,"FW,MF",26,1993,8.1,3,0,0,22,23,0,20,3,11,2,0,0,49,5,5,50.0,FRA-Ligue 1,2020,misc
CIV,DF,23,1996,24.7,8,0,0,33,16,0,64,42,33,1,1,1,139,23,21,52.3,FRA-Ligue 1,2020,misc
CMR,FW,28,1992,18.0,4,0,0,31,29,17,20,9,6,0,0,0,40,26,55,32.1,FRA-Ligue 1,2020,misc
FRA,MF,33,1987,29.9,3,0,0,17,24,1,108,38,37,0,0,0,193,21,22,48.8,FRA-Ligue 1,2020,misc
FRA,DF,31,1989,25.7,4,0,0,17,15,0,62,35,27,0,1,0,132,13,11,54.2,FRA-Ligue 1,2020,misc
FRA,MF,18,2002,0.4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,FRA-Ligue 1,2020,misc
CIV,FW,22,1998,1.5,0,0,0,2,1,0,1,0,0,0,0,0,0,1,7,12.5,FRA-Ligue 1,2020,misc
FRA,FW,21,1999,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FRA-Ligue 1,2020,misc
FRA,MF,20,2000,0.4,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,,FRA-Ligue 1,2020,misc
FRA,"FW,MF",18,2002,3.4,0,0,0,5,10,0,15,1,1,0,0,0,14,1,4,20.0,FRA-Ligue 1,2020,misc
FRA,GK,33,1987,38.0,0,0,0,0,3,0,0,1,1,0,0,0,48,6,0,100.0,FRA-Ligue 1,2020,misc
FRA,"FW,MF",17,2002,0.6,0,0,0,1,6,0,0,1,2,0,0,0,6,1,2,33.3,FRA-Ligue 1,2020,misc
FRA,DF,23,1997,11.5,4,0,0,15,17,0,17,26,12,0,0,0,78,23,14,62.2,FRA-Ligue 1,2020,misc
FRA,"MF,FW",33,1987,18.9,2,0,0,20,35,5,80,2,7,1,0,0,66,4,9,30.8,FRA-Ligue 1,2020,misc
KOR,"FW,MF",27,1992,27.8,1,0,0,32,35,18,11,8,6,0,0,0,53,30,57,34.5,FRA-Ligue 1,2020,misc
MLI,"MF,DF",18,2002,0.9,2,0,0,4,1,0,0,1,4,0,0,0,7,1,0,100.0,FRA-Ligue 1,2020,misc
CIV,MF,29,1991,7.9,3,0,0,14,12,0,5,12,9,0,0,0,56,7,10,41.2,FRA-Ligue 1,2020,misc
FRA,FW,34,1985,6.3,2,0,0,14,12,2,0,1,3,0,1,0,21,30,31,49.2,FRA-Ligue 1,2020,misc
NGA,FW,21,1998,8.9,2,0,0,7,12,2,0,6,2,0,0,0,31,14,19,42.4,FRA-Ligue 1,2020,misc
FRA,DF,34,1985,24.6,3,0,0,12,24,2,2,54,17,1,0,0,137,53,32,62.4,FRA-Ligue 1,2020,misc
SUI,DF,28,1992,29.5,7,1,0,39,16,2,40,42,26,0,1,0,175,43,29,59.7,FRA-Ligue 1,2020,misc
TOG,DF,21,1999,1.0,0,0,0,1,0,0,0,1,0,0,0,0,4,0,1,0.0,FRA-Ligue 1,2020,misc
FRA,DF,27,1992,5.5,1,0,0,3,9,0,25,11,7,0,0,0,17,16,10,61.5,FRA-Ligue 1,2020,misc
ALG,"MF,FW",21,1999,13.2,3,1,0,21,25,1,8,9,15,1,1,0,69,18,18,50.0,FRA-Ligue 1,2020,misc
MOZ,DF,31,1988,7.9,3,0,0,10,2,0,3,17,6,0,1,0,48,26,11,70.3,FRA-Ligue 1,2020,misc
FRA,"FW,MF",29,1991,17.9,3,0,0,20,45,2,64,13,14,0,0,0,88,25,29,46.3,FRA-Ligue 1,2020,misc
BRA,MF,26,1994,17.3,6,0,0,28,10,0,2,26,31,0,1,0,112,9,12,42.9,FRA-Ligue 1,2020,misc
BRA,DF,29,1991,12.0,5,0,0,20,5,0,1,25,11,0,1,1,71,38,17,69.1,FRA-Ligue 1,2020,misc
FRA,DF,32,1988,29.0,5,1,1,22,15,1,2,52,18,0,1,0,129,67,51,56.8,FRA-Ligue 1,2020,misc
FRA,"FW,MF",23,1996,26.9,2,0,0,23,34,4,133,51,16,0,0,0,150,48,41,53.9,FRA-Ligue 1,2020,misc
ESP,MF,27,1992,0.3,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,,FRA-Ligue 1,2020,misc
NGA,"FW,MF",22,1997,10.7,3,0,0,16,36,5,28,9,12,0,0,0,61,14,12,53.8,FRA-Ligue 1,2020,misc
FRA,"FW,MF",18,2002,2.5,0,0,0,7,4,1,3,1,3,0,0,0,6,16,6,72.7,FRA-Ligue 1,2020,misc
FRA,MF,18,2002,5.8,4,1,1,18,1,0,2,12,14,0,0,0,36,3,4,42.9,FRA-Ligue 1,2020,misc
CRO,MF,23,1996,28.9,7,0,0,42,31,2,64,32,22,0,0,0,139,25,30,45.5,FRA-Ligue 1,2020,misc
FRA,MF,20,2000,26.9,6,0,0,39,37,0,53,39,37,0,0,0,172,27,27,50.0,FRA-Ligue 1,2020,misc
SEN,DF,27,1993,32.3,4,0,0,32,43,2,50,49,33,0,1,0,169,25,25,50.0,FRA-Ligue 1,2020,misc
FRA,"MF,FW",19,2001,0.5,0,0,0,0,1,0,1,0,0,0,0,0,2,0,1,0.0,FRA-Ligue 1,2020,misc
FRA,DF,25,1994,30.2,3,1,0,29,23,0,4,64,29,0,1,0,136,76,49,60.8,FRA-Ligue 1,2020,misc
MTQ,DF,27,1992,15.3,4,0,0,19,16,1,2,31,13,0,0,1,65,36,20,64.3,FRA-Ligue 1,2020,misc
ITA,MF,28,1992,3.9,0,0,0,1,2,0,17,4,2,0,0,0,21,1,4,20.0,FRA-Ligue 1,2020,misc
FRA,"MF,FW",23,1996,27.3,3,0,0,37,14,3,185,11,13,0,1,0,124,22,25,46.8,FRA-Ligue 1,2020,misc
FRA,GK,23,1997,35.0,2,0,0,1,6,0,0,0,1,0,1,0,38,6,0,100.0,FRA-Ligue 1,2020,misc
FRA,"MF,FW",31,1988,17.4,4,0,0,25,21,10,24,9,15,0,0,0,71,30,46,39.5,FRA-Ligue 1,2020,misc
ALG,MF,26,1994,30.3,7,1,0,38,33,0,11,57,39,0,1,0,182,23,34,40.4,FRA-Ligue 1,2020,misc
POR,"FW,MF",23,1997,0.5,0,0,0,1,0,0,2,1,0,0,0,0,1,1,2,33.3,FRA-Ligue 1,2020,misc
FRA,"MF,FW",20,1999,5.1,1,0,0,9,3,0,0,3,3,0,0,0,16,9,6,60.0,FRA-Ligue 1,2020,misc
FRA,MF,22,1998,6.7,4,0,0,12,9,0,5,14,12,0,0,0,46,3,6,33.3,FRA-Ligue 1,2020,misc
FRA,MF,21,1999,4.9,1,0,0,8,8,0,3,3,9,0,0,0,35,1,3,25.0,FRA-Ligue 1,2020,misc
FRA,FW,22,1997,22.5,2,0,0,16,15,16,32,9,5,1,0,0,53,23,28,45.1,FRA-Ligue 1,2020,misc
BRA,"MF,FW",22,1998,11.2,4,1,1,14,22,0,15,8,13,0,0,0,74,8,14,36.4,FRA-Ligue 1,2020,misc
HAI,DF,23,1997,22.5,4,0,0,21,15,0,10,30,21,0,2,0,112,38,50,43.2,FRA-Ligue 1,2020,misc
FRA,DF,33,1987,10.6,2,0,0,12,6,1,52,9,11,0,1,0,63,8,8,50.0,FRA-Ligue 1,2020,misc
FRA,"FW,MF",22,1998,9.1,0,0,0,18,17,1,12,8,10,1,0,0,36,28,26,51.9,FRA-Ligue 1,2020,misc
FRA,DF,20,1999,10.7,3,0,0,19,12,0,8,23,10,0,0,0,54,33,11,75.0,FRA-Ligue 1,2020,misc
GUF,"DF,MF",34,1986,3.3,0,0,0,3,7,0,2,5,5,0,0,0,24,8,7,53.3,FRA-Ligue 1,2020,misc
FRA,MF,31,1989,18.7,4,1,0,27,17,1,4,47,26,0,1,0,107,22,20,52.4,FRA-Ligue 1,2020,misc
FRA,"MF,FW",22,1998,32.1,0,0,0,35,72,0,138,30,27,0,1,1,230,15,27,35.7,FRA-Ligue 1,2020,misc
FRA,DF,22,1997,34.9,4,0,0,47,53,2,131,45,34,0,1,0,203,24,42,36.4,FRA-Ligue 1,2020,misc
FRA,"MF,FW",32,1988,6.5,0,0,0,3,7,2,9,10,6,0,0,0,33,0,0,,FRA-Ligue 1,2020,misc
FRA,DF,22,1998,25.6,4,0,0,27,28,2,41,30,40,1,0,0,120,21,26,44.7,FRA-Ligue 1,2020,misc
BEN,FW,25,1994,29.8,6,0,0,68,27,20,12,12,11,1,0,0,78,257,105,71.0,FRA-Ligue 1,2020,misc
FRA,GK,22,1998,3.0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,0,,FRA-Ligue 1,2020,misc
MTN,"FW,MF",25,1995,6.2,1,1,0,14,17,1,10,0,1,0,0,0,12,15,21,41.7,FRA-Ligue 1,2020,misc
CHA,DF,19,2000,1.7,1,0,0,4,1,0,2,2,4,0,1,0,12,3,4,42.9,FRA-Ligue 1,2020,misc
SEN,GK,26,1993,5.0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,,FRA-Ligue 1,2020,misc
SUI,GK,21,1998,21.0,0,0,0,0,2,0,0,2,0,0,0,0,32,4,1,80.0,FRA-Ligue 1,2020,misc
ECU,DF,24,1996,8.3,0,0,0,15,9,0,12,14,7,0,0,0,44,7,7,50.0,FRA-Ligue 1,2020,misc
