league,season,team,player,nation,pos,age,born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type
FRA-Ligue 1,2024,Auxerre,Gaëtan Perrin,FRA,"MF,FW",28-308,1996.0,24.0,48,26,22,12,14,21,45,46.7,24,10,0,10,12,60,4,0,defense
FRA-Ligue 1,2024,Auxerre,Gideon Mensah,GHA,DF,26-267,1998.0,20.6,56,36,27,20,9,26,53,49.1,27,22,4,18,40,96,69,0,defense
FRA-Ligue 1,2024,Auxerre,Hamed Junior Traorè,CIV,MF,25-054,2000.0,21.7,41,20,11,17,13,16,53,30.2,37,14,0,14,6,47,11,0,defense
FRA-Ligue 1,2024,Auxerre,Han-Noah Massengo,FRA,MF,23-278,2001.0,6.9,12,7,5,4,3,6,8,75.0,2,6,2,4,9,21,6,1,defense
FRA-Ligue 1,2024,Auxerre,Jubal,BRA,DF,31-225,1993.0,24.4,53,34,43,9,1,25,36,69.4,11,55,30,25,19,72,168,1,defense
FRA-Ligue 1,2024,Auxerre,Ki-Jana Hoever,NED,DF,23-083,2002.0,19.8,47,34,25,14,8,27,49,55.1,22,29,3,26,18,65,58,0,defense
FRA-Ligue 1,2024,Auxerre,Kévin Danois,FRA,MF,20-287,2004.0,15.3,48,29,20,21,7,20,46,43.5,26,16,3,13,19,67,20,0,defense
FRA-Ligue 1,2024,Auxerre,Lassine Sinayoko,MLI,"FW,MF",25-124,1999.0,19.8,26,16,7,11,8,11,20,55.0,9,14,2,12,9,35,32,0,defense
FRA-Ligue 1,2024,Auxerre,Lasso Coulibaly,GHA,"FW,MF",22-174,2002.0,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
FRA-Ligue 1,2024,Auxerre,Loïc N'Gatta,FRA,DF,21-121,2003.0,0.1,1,1,0,1,0,1,2,50.0,1,1,0,1,0,1,1,0,defense
FRA-Ligue 1,2024,Auxerre,Paul Joly,FRA,DF,24-308,2000.0,8.8,41,27,27,13,1,21,37,56.8,16,13,0,13,23,64,27,5,defense
FRA-Ligue 1,2024,Auxerre,Rayan Raveloson,MAD,"MF,DF",28-085,1997.0,8.0,6,5,2,4,0,5,15,33.3,10,8,7,1,5,11,22,0,defense
FRA-Ligue 1,2024,Auxerre,Rudy Matondo,FRA,MF,17-029,2008.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
FRA-Ligue 1,2024,Auxerre,Sinaly Diomande,CIV,DF,24-002,2001.0,15.6,28,13,14,13,1,19,28,67.9,9,32,17,15,22,50,74,2,defense
FRA-Ligue 1,2024,Auxerre,Theo Bair,CAN,FW,25-227,1999.0,9.2,4,3,1,2,1,0,2,0.0,2,6,2,4,3,7,8,0,defense
FRA-Ligue 1,2024,Auxerre,Théo De Percin,MTQ,GK,24-068,2001.0,2.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,3,0,defense
FRA-Ligue 1,2024,Auxerre,Théo Pellenard,FRA,DF,31-038,1994.0,0.5,3,2,2,1,0,1,3,33.3,2,1,0,1,0,3,3,0,defense
FRA-Ligue 1,2024,Auxerre,Yoann Cissé,FRA,MF,20-119,2004.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
FRA-Ligue 1,2024,Brest,Abdallah Sima,SEN,"FW,MF",23-298,2001.0,10.8,9,8,1,3,5,4,9,44.4,5,5,0,5,1,10,9,0,defense
FRA-Ligue 1,2024,Brest,Abdoulaye Niakhate Ndiaye,SEN,DF,23-001,2002.0,14.5,36,25,26,10,0,18,28,64.3,10,20,12,8,7,43,116,1,defense
FRA-Ligue 1,2024,Brest,Axel Camblan,FRA,"MF,FW",21-224,2003.0,0.3,1,1,0,0,1,1,2,50.0,1,1,0,1,0,1,0,0,defense
FRA-Ligue 1,2024,Brest,Brendan Chardonnet,FRA,DF,30-110,1994.0,22.8,36,27,22,11,3,20,33,60.6,13,41,25,16,25,61,148,2,defense
FRA-Ligue 1,2024,Brest,Edimilson Fernandes,SUI,MF,28-361,1996.0,9.3,8,6,2,6,0,6,10,60.0,4,11,4,7,17,25,24,1,defense
FRA-Ligue 1,2024,Brest,Grégoire Coudert,FRA,GK,26-008,1999.0,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,defense
FRA-Ligue 1,2024,Brest,Hamidou Makalou,MLI,FW,18-270,2006.0,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
FRA-Ligue 1,2024,Brest,Hianga Mananga Mbock,FRA,MF,25-104,1999.0,0.2,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,defense
FRA-Ligue 1,2024,Brest,Hugo Magnetti,FRA,MF,26-316,1998.0,21.2,40,26,15,22,3,18,40,45.0,22,16,3,13,14,54,31,0,defense
FRA-Ligue 1,2024,Brest,Ibrahim Salah,MAR,FW,23-224,2001.0,4.0,4,2,1,1,2,1,6,16.7,5,2,0,2,2,6,0,0,defense
FRA-Ligue 1,2024,Brest,Jonas Martin,FRA,MF,35-002,1990.0,5.1,11,5,8,2,1,5,10,50.0,5,3,0,3,6,17,11,1,defense
FRA-Ligue 1,2024,Brest,Jordan Amavi,FRA,DF,31-033,1994.0,8.8,24,17,10,11,3,15,21,71.4,6,10,2,8,7,31,18,0,defense
FRA-Ligue 1,2024,Brest,Julien Le Cardinal,FRA,DF,27-251,1997.0,13.8,23,13,12,8,3,8,13,61.5,5,17,14,3,26,49,66,0,defense
FRA-Ligue 1,2024,Brest,Justin Bourgault,FRA,DF,19-209,2005.0,1.4,2,1,1,1,0,0,0,,0,0,0,0,0,2,1,0,defense
FRA-Ligue 1,2024,Brest,Jérémy Le Douaron,FRA,FW,26-355,1998.0,1.1,1,0,0,0,1,0,1,0.0,1,1,0,1,0,1,0,0,defense
FRA-Ligue 1,2024,Brest,Kamory Doumbia,MLI,MF,22-052,2003.0,11.6,30,21,12,14,4,10,25,40.0,15,13,1,12,23,53,12,1,defense
FRA-Ligue 1,2024,Brest,Kenny Lala,MAD,DF,33-190,1991.0,24.8,60,37,34,21,5,33,50,66.0,17,24,9,15,21,81,62,0,defense
FRA-Ligue 1,2024,Brest,Luc Zogbé,CIV,DF,20-018,2005.0,7.1,32,18,17,11,4,18,26,69.2,8,11,2,9,14,46,22,1,defense
FRA-Ligue 1,2024,Brest,Ludovic Ajorque,FRA,FW,31-045,1994.0,22.5,21,16,3,8,10,6,25,24.0,19,18,5,13,4,25,19,0,defense
FRA-Ligue 1,2024,Brest,Mahdi Camara,FRA,"MF,FW",26-285,1998.0,23.9,66,37,13,36,17,22,39,56.4,17,35,4,31,25,91,27,0,defense
FRA-Ligue 1,2024,Brest,Mama Samba Baldé,GNB,FW,29-156,1995.0,11.8,10,6,3,3,4,2,11,18.2,9,6,0,6,5,15,14,0,defense
FRA-Ligue 1,2024,Brest,Marco Bizot,NED,GK,34-032,1991.0,27.0,2,1,2,0,0,1,1,100.0,0,0,0,0,0,2,23,0,defense
