nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,league,season,stat_type
,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,,,
MAR,DF,26-032,1999,26.5,0,11,1,9.1,0.41,0.04,0.0,0.0,7.8,0,0,0,0.8,0.8,0.08,-0.8,-0.8,ESP-La Liga,2024,shooting
ALG,"FW,MF",26-243,1998,4.3,0,6,1,16.7,1.4,0.23,0.0,0.0,20.3,0,0,0,0.2,0.2,0.03,-0.2,-0.2,ESP-La Liga,2024,shooting
ESP,GK,24-120,2000,1.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ESP-La Liga,2024,shooting
SRB,DF,33-119,1991,4.7,0,1,0,0.0,0.21,0.0,0.0,,11.8,0,0,0,0.0,0.0,0.03,0.0,0.0,ESP-La Liga,2024,shooting
ESP,MF,27-278,1997,17.0,0,8,2,25.0,0.47,0.12,0.0,0.0,22.3,0,0,0,0.4,0.4,0.05,-0.4,-0.4,ESP-La Liga,2024,shooting
ESP,MF,24-262,2000,22.7,0,19,2,10.5,0.84,0.09,0.0,0.0,25.1,0,0,0,0.7,0.7,0.04,-0.7,-0.7,ESP-La Liga,2024,shooting
ESP,GK,28-243,1996,24.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ESP-La Liga,2024,shooting
ESP,FW,27-193,1997,3.5,1,7,1,14.3,2.01,0.29,0.0,0.0,14.2,0,1,1,1.6,0.8,0.11,-0.6,-0.8,ESP-La Liga,2024,shooting
ESP,"MF,FW",27-096,1998,5.8,0,8,2,25.0,1.38,0.34,0.0,0.0,20.8,0,0,0,0.4,0.4,0.05,-0.4,-0.4,ESP-La Liga,2024,shooting
