nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,league,season,stat_type
,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,,,
RUS,"MF,FW",24,1995,7.5,24,13,8,9,7,6,9,66.7,3,1,0,1,3,27,1,0,ITA-Serie A,2021,defense
CIV,MF,18,2002,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,ITA-Serie A,2021,defense
ALB,DF,27,1993,29.2,41,29,27,12,2,17,34,50.0,17,34,20,14,62,103,89,1,ITA-Serie A,2021,defense
CRO,DF,20,2000,2.6,5,5,0,3,2,4,5,80.0,1,2,1,1,2,7,7,1,ITA-Serie A,2021,defense
ARG,DF,22,1998,28.3,63,32,41,19,3,27,49,55.1,22,31,13,18,96,159,71,2,ITA-Serie A,2021,defense
ITA,DF,27,1992,0.7,1,1,1,0,0,0,1,0.0,1,1,0,1,0,1,0,0,ITA-Serie A,2021,defense
ITA,DF,19,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,ITA-Serie A,2021,defense
COL,FW,29,1991,26.4,12,5,2,3,7,4,13,30.8,9,19,5,14,6,18,19,0,ITA-Serie A,2021,defense
ITA,DF,23,1997,2.1,3,2,0,1,2,1,2,50.0,1,4,0,4,3,6,2,0,ITA-Serie A,2021,defense
NED,DF,26,1994,19.6,28,17,12,14,2,13,23,56.5,10,8,1,7,17,45,9,0,ITA-Serie A,2021,defense
DEN,DF,23,1997,13.5,18,10,7,5,6,8,19,42.1,11,17,2,15,11,29,5,0,ITA-Serie A,2021,defense
COL,DF,27,1992,3.3,4,4,3,1,0,2,3,66.7,1,3,0,3,7,11,6,0,ITA-Serie A,2021,defense
SVN,"MF,FW",32,1988,17.0,9,4,1,5,3,5,21,23.8,16,12,0,12,2,11,0,1,ITA-Serie A,2021,defense
ARG,DF,30,1990,27.0,67,33,41,19,7,24,48,50.0,24,30,16,14,79,146,60,2,ITA-Serie A,2021,defense
COL,FW,29,1991,16.0,20,9,4,8,8,9,26,34.6,17,17,0,17,7,27,4,0,ITA-Serie A,2021,defense
ITA,MF,18,2001,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,ITA-Serie A,2021,defense
ITA,GK,28,1992,14.0,2,2,2,0,0,1,3,33.3,2,0,0,0,2,4,5,1,ITA-Serie A,2021,defense
CRO,MF,25,1995,12.5,26,15,5,17,4,12,19,63.2,7,12,1,11,8,34,6,0,ITA-Serie A,2021,defense
NED,MF,29,1991,33.6,80,48,30,36,14,36,84,42.9,48,44,9,35,69,149,40,0,ITA-Serie A,2021,defense
ITA,MF,23,1997,18.3,14,7,4,6,4,7,24,29.2,17,17,2,15,17,31,7,1,ITA-Serie A,2021,defense
ITA,DF,18,2002,2.3,3,0,1,2,0,2,3,66.7,1,2,0,2,4,7,2,0,ITA-Serie A,2021,defense
ITA,DF,26,1994,1.2,1,0,0,1,0,1,1,100.0,0,3,2,1,4,5,3,0,ITA-Serie A,2021,defense
ARG,"MF,FW",32,1988,7.4,3,2,2,1,0,2,8,25.0,6,8,1,7,1,4,1,0,ITA-Serie A,2021,defense
ITA,GK,25,1995,24.0,1,0,1,0,0,1,2,50.0,1,1,0,1,1,2,11,0,ITA-Serie A,2021,defense
ITA,DF,29,1990,28.2,51,23,21,26,4,26,48,54.2,22,37,7,30,33,84,66,0,ITA-Serie A,2021,defense
SUI,MF,28,1992,30.1,63,39,17,38,8,32,76,42.1,44,52,4,48,39,102,27,2,ITA-Serie A,2021,defense
GER,DF,26,1994,28.0,46,35,20,15,11,17,41,41.5,24,50,7,43,41,87,34,0,ITA-Serie A,2021,defense
UKR,"MF,FW",27,1993,20.8,19,8,2,13,4,8,23,34.8,15,16,1,15,2,21,4,0,ITA-Serie A,2021,defense
NED,"FW,MF",23,1997,3.2,2,0,0,2,0,0,6,0.0,6,0,0,0,0,2,3,0,ITA-Serie A,2021,defense
UKR,FW,24,1996,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,ITA-Serie A,2021,defense
ARG,FW,21,1999,8.5,9,4,1,7,1,1,13,7.7,12,4,0,4,2,11,4,0,ITA-Serie A,2021,defense
ITA,DF,30,1990,19.6,39,17,34,4,1,15,25,60.0,10,22,10,12,36,75,91,1,ITA-Serie A,2021,defense
GHA,FW,19,2001,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,ITA-Serie A,2021,defense
COL,"DF,MF",23,1996,4.6,9,6,8,0,1,5,20,25.0,15,8,1,7,6,15,6,0,ITA-Serie A,2021,defense
MDA,MF,29,1990,31.5,47,22,11,31,5,17,63,27.0,46,38,14,24,19,66,28,0,ITA-Serie A,2021,defense
BFA,MF,28,1992,12.4,11,8,5,3,3,5,16,31.3,11,7,1,6,13,24,16,0,ITA-Serie A,2021,defense
ITA,DF,38,1982,3.3,9,4,2,7,0,3,9,33.3,6,4,1,3,2,11,6,0,ITA-Serie A,2021,defense
ITA,DF,19,2001,1.3,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,8,0,ITA-Serie A,2021,defense
BEL,DF,21,1999,11.3,26,15,21,5,0,16,28,57.1,12,12,3,9,14,40,34,0,ITA-Serie A,2021,defense
ITA,DF,23,1997,12.4,25,13,15,6,4,15,32,46.9,17,16,4,12,12,37,38,0,ITA-Serie A,2021,defense
ITA,DF,26,1993,29.5,31,16,22,8,1,21,35,60.0,14,39,18,21,48,79,94,4,ITA-Serie A,2021,defense
ITA,"FW,MF",24,1996,4.0,2,1,2,0,0,0,1,0.0,1,2,0,2,2,4,4,0,ITA-Serie A,2021,defense
ITA,DF,30,1990,17.4,36,25,19,13,4,17,36,47.2,19,15,3,12,20,56,42,1,ITA-Serie A,2021,defense
ITA,"MF,FW",27,1993,20.7,16,11,5,5,6,6,31,19.4,25,19,1,18,18,34,8,0,ITA-Serie A,2021,defense
PER,FW,30,1990,28.5,22,12,3,13,6,6,25,24.0,19,18,3,15,5,27,16,0,ITA-Serie A,2021,defense
ITA,"FW,MF",19,2001,3.2,2,2,1,1,0,0,4,0.0,4,5,0,5,0,2,4,0,ITA-Serie A,2021,defense
ESP,"MF,FW",30,1990,4.0,4,2,2,2,0,1,6,16.7,5,4,1,3,0,4,1,0,ITA-Serie A,2021,defense
POL,DF,32,1988,35.6,44,24,33,10,1,25,53,47.2,28,37,31,6,62,106,153,0,ITA-Serie A,2021,defense
ITA,MF,30,1990,0.1,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0,ITA-Serie A,2021,defense
ITA,GK,24,1996,37.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,16,3,ITA-Serie A,2021,defense
ITA,DF,29,1991,17.5,21,13,13,6,2,10,22,45.5,12,20,15,5,20,41,56,0,ITA-Serie A,2021,defense
ITA,"MF,FW",32,1987,8.7,6,2,0,6,0,1,16,6.3,15,7,0,7,5,11,3,0,ITA-Serie A,2021,defense
ITA,GK,32,1988,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,1,ITA-Serie A,2021,defense
ITA,MF,30,1989,11.5,16,9,2,11,3,6,28,21.4,22,10,3,7,9,25,7,0,ITA-Serie A,2021,defense
ITA,MF,33,1987,25.0,37,22,25,12,0,19,47,40.4,28,19,5,14,32,69,29,2,ITA-Serie A,2021,defense
FIN,MF,33,1986,24.6,44,27,21,18,5,26,61,42.6,35,41,5,36,22,66,24,1,ITA-Serie A,2021,defense
ITA,"DF,MF",26,1993,25.9,39,23,25,8,6,21,45,46.7,24,23,4,19,28,67,47,0,ITA-Serie A,2021,defense
ITA,"MF,FW",26,1994,17.8,16,10,8,3,5,7,27,25.9,20,10,0,10,7,23,9,0,ITA-Serie A,2021,defense
CIV,MF,18,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,ITA-Serie A,2021,defense
SCO,DF,18,2002,8.4,12,8,10,2,0,7,17,41.2,10,6,1,5,15,27,15,1,ITA-Serie A,2021,defense
FRA,DF,28,1992,19.5,24,14,17,7,0,6,12,50.0,6,28,23,5,20,44,72,0,ITA-Serie A,2021,defense
ITA,MF,30,1989,4.3,9,7,4,2,3,6,12,50.0,6,7,1,6,7,16,7,0,ITA-Serie A,2021,defense
DEN,"FW,DF",20,1999,13.1,19,10,11,4,4,11,21,52.4,10,15,0,15,3,22,25,0,ITA-Serie A,2021,defense
ISL,MF,18,2002,2.4,6,6,1,2,3,1,3,33.3,2,3,1,2,3,9,7,0,ITA-Serie A,2021,defense
BRA,GK,36,1983,6.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,3,ITA-Serie A,2021,defense
ITA,FW,16,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,ITA-Serie A,2021,defense
ITA,"DF,FW",24,1996,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,ITA-Serie A,2021,defense
BRA,DF,36,1984,34.8,33,24,23,10,0,8,29,27.6,21,58,36,22,51,84,127,2,ITA-Serie A,2021,defense
ITA,FW,19,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,ITA-Serie A,2021,defense
ITA,"FW,MF",19,2000,13.4,18,9,9,6,3,3,15,20.0,12,6,1,5,10,28,7,0,ITA-Serie A,2021,defense
