nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,league,season,stat_type
,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,,,
GER,DF,17,2004,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,GER-Bundesliga,2022,defense
GER,"FW,MF",31,1990,4.3,9,5,4,4,1,8,12,66.7,4,9,2,7,4,13,14,0,GER-Bundesliga,2022,defense
BEL,MF,18,2003,16.0,20,9,9,10,1,8,19,42.1,11,17,5,12,15,35,12,1,GER-Bundesliga,2022,defense
GER,MF,23,1999,21.8,31,22,17,11,3,10,18,55.6,8,21,0,21,15,46,22,0,GER-Bundesliga,2022,defense
ECU,MF,27,1995,10.7,21,12,12,9,0,9,16,56.3,7,13,4,9,10,31,15,0,GER-Bundesliga,2022,defense
ITA,"DF,MF",34,1988,3.2,8,5,5,3,0,4,5,80.0,1,3,2,1,3,11,2,0,GER-Bundesliga,2022,defense
CRO,"DF,FW",22,2000,1.8,4,1,1,1,2,2,2,100.0,0,8,0,8,4,8,3,0,GER-Bundesliga,2022,defense
CRO,FW,20,2002,12.5,7,6,3,2,2,2,13,15.4,11,15,2,13,1,8,14,0,GER-Bundesliga,2022,defense
KVX,MF,24,1997,28.0,51,30,18,24,9,29,59,49.2,30,39,12,27,17,68,40,0,GER-Bundesliga,2022,defense
BIH,"FW,MF",24,1998,26.3,31,14,9,12,10,9,22,40.9,13,31,4,27,14,45,37,0,GER-Bundesliga,2022,defense
GER,"FW,MF",31,1990,10.1,10,5,5,4,1,4,7,57.1,3,16,2,14,1,11,9,0,GER-Bundesliga,2022,defense
DEN,DF,21,2001,1.0,2,2,1,1,0,0,2,0.0,2,1,1,0,0,2,7,0,GER-Bundesliga,2022,defense
FIN,"FW,MF",24,1997,10.3,15,10,8,3,4,5,10,50.0,5,12,5,7,4,19,12,0,GER-Bundesliga,2022,defense
BRA,"DF,MF",25,1997,17.8,34,16,20,10,4,11,29,37.9,18,18,5,13,17,51,53,0,GER-Bundesliga,2022,defense
FRA,"MF,FW",24,1997,3.5,1,1,1,0,0,1,5,20.0,4,3,0,3,4,5,8,0,GER-Bundesliga,2022,defense
NED,DF,31,1991,31.1,42,27,19,17,6,24,49,49.0,25,41,23,18,50,92,141,2,GER-Bundesliga,2022,defense
AUT,MF,34,1988,6.2,15,4,5,6,4,6,19,31.6,13,4,2,2,4,19,15,0,GER-Bundesliga,2022,defense
ITA,"FW,MF",22,2000,3.9,6,4,2,4,0,2,5,40.0,3,7,0,7,1,7,2,0,GER-Bundesliga,2022,defense
BUL,"MF,FW",21,2000,1.6,5,1,4,1,0,2,3,66.7,1,4,1,3,1,6,0,0,GER-Bundesliga,2022,defense
DEN,"DF,MF",25,1996,20.4,44,23,31,11,2,22,33,66.7,11,32,9,23,20,64,41,1,GER-Bundesliga,2022,defense
GER,DF,22,2000,20.5,31,17,18,12,1,17,34,50.0,17,25,9,16,23,54,79,1,GER-Bundesliga,2022,defense
GER,FW,24,1998,18.7,11,6,4,3,4,4,14,28.6,10,16,1,15,0,11,19,0,GER-Bundesliga,2022,defense
COD,"MF,FW",20,2002,0.4,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,GER-Bundesliga,2022,defense
GER,MF,24,1998,5.4,21,12,8,11,2,9,16,56.3,7,9,3,6,6,27,9,0,GER-Bundesliga,2022,defense
NGA,"MF,FW",25,1996,0.2,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,GER-Bundesliga,2022,defense
GER,DF,24,1997,16.1,30,20,14,13,3,15,29,51.7,14,27,14,13,29,59,61,1,GER-Bundesliga,2022,defense
POL,GK,34,1987,23.0,2,2,2,0,0,2,3,66.7,1,0,0,0,0,2,15,5,GER-Bundesliga,2022,defense
GER,"DF,FW",26,1995,2.0,10,6,6,4,0,3,5,60.0,2,2,1,1,2,12,5,0,GER-Bundesliga,2022,defense
ENG,DF,23,1998,1.0,1,1,1,0,0,0,0,,0,4,3,1,1,2,5,0,GER-Bundesliga,2022,defense
POR,DF,19,2003,7.1,9,6,4,3,2,7,9,77.8,2,20,6,14,7,16,29,1,GER-Bundesliga,2022,defense
USA,FW,19,2003,1.1,1,1,1,0,0,1,1,100.0,0,1,0,1,0,1,1,0,GER-Bundesliga,2022,defense
POL,DF,24,1998,22.4,34,24,13,15,6,11,27,40.7,16,21,7,14,26,60,62,1,GER-Bundesliga,2022,defense
SUI,"MF,FW",23,1998,12.6,15,7,6,7,2,5,11,45.5,6,8,2,6,6,21,16,1,GER-Bundesliga,2022,defense
CZE,GK,29,1992,11.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,7,0,GER-Bundesliga,2022,defense
CAN,DF,21,2000,22.7,45,28,25,13,7,18,39,46.2,21,28,4,24,24,69,24,4,GER-Bundesliga,2022,defense
GER,MF,16,2005,0.2,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,GER-Bundesliga,2022,defense
FRA,DF,26,1996,27.0,70,41,36,26,8,36,48,75.0,12,35,16,19,44,114,83,0,GER-Bundesliga,2022,defense
SEN,FW,30,1992,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,GER-Bundesliga,2022,defense
NED,"DF,MF",32,1990,1.5,2,0,2,0,0,0,1,0.0,1,4,2,2,2,4,6,0,GER-Bundesliga,2022,defense
FRA,DF,23,1998,26.1,65,37,43,22,0,28,45,62.2,17,26,6,20,27,92,71,4,GER-Bundesliga,2022,defense
CMR,FW,33,1989,12.4,10,7,2,6,2,1,2,50.0,1,8,0,8,0,10,5,0,GER-Bundesliga,2022,defense
CRO,FW,18,2003,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,GER-Bundesliga,2022,defense
GER,"MF,FW",19,2003,24.4,34,23,9,16,9,13,35,37.1,22,30,3,27,19,53,3,0,GER-Bundesliga,2022,defense
GER,MF,27,1995,31.2,78,49,24,46,8,38,72,52.8,34,36,7,29,41,119,39,2,GER-Bundesliga,2022,defense
CRO,DF,22,2000,6.4,19,11,14,2,3,12,17,70.6,5,9,1,8,7,26,11,3,GER-Bundesliga,2022,defense
POR,"DF,FW",28,1994,11.2,23,14,9,10,4,10,23,43.5,13,14,2,12,15,38,22,0,GER-Bundesliga,2022,defense
FRA,"FW,MF",26,1996,15.7,11,8,3,5,3,7,17,41.2,10,19,1,18,2,13,7,0,GER-Bundesliga,2022,defense
GER,MF,27,1995,19.2,43,24,21,16,6,27,48,56.3,21,40,3,37,30,73,32,0,GER-Bundesliga,2022,defense
GER,"MF,FW",26,1996,22.3,38,30,11,19,8,18,36,50.0,18,11,1,10,3,41,1,2,GER-Bundesliga,2022,defense
FRA,DF,26,1996,5.3,6,4,3,3,0,5,6,83.3,1,2,1,1,5,11,7,0,GER-Bundesliga,2022,defense
GER,GK,36,1986,12.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,1,GER-Bundesliga,2022,defense
AUT,MF,28,1994,7.0,27,14,11,10,6,10,17,58.8,7,3,0,3,10,37,9,0,GER-Bundesliga,2022,defense
FRA,FW,17,2005,4.6,2,2,0,1,1,1,1,100.0,0,5,1,4,0,2,2,0,GER-Bundesliga,2022,defense
NED,DF,22,1999,26.7,32,23,15,16,1,15,24,62.5,9,31,20,11,23,55,85,0,GER-Bundesliga,2022,defense
MAR,DF,24,1997,11.9,29,21,9,9,11,15,24,62.5,9,13,2,11,10,39,25,0,GER-Bundesliga,2022,defense
GER,MF,16,2005,0.3,3,1,1,2,0,1,1,100.0,0,0,0,0,0,3,1,0,GER-Bundesliga,2022,defense
NED,MF,20,2002,6.4,17,8,4,10,3,7,13,53.8,6,9,1,8,9,26,10,0,GER-Bundesliga,2022,defense
SEN,"FW,MF",30,1992,15.8,11,5,3,3,5,1,9,11.1,8,15,2,13,0,11,4,0,GER-Bundesliga,2022,defense
GER,"FW,MF",27,1995,21.6,35,23,11,14,10,17,43,39.5,26,24,1,23,11,46,5,1,GER-Bundesliga,2022,defense
GER,GK,33,1988,3.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,1,GER-Bundesliga,2022,defense
GER,"FW,MF",32,1989,18.5,21,12,5,9,7,6,16,37.5,10,19,3,16,4,25,16,0,GER-Bundesliga,2022,defense
SUI,GK,33,1988,19.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,1,GER-Bundesliga,2022,defense
FRA,MF,36,1986,30.2,76,49,32,34,10,38,77,49.4,39,39,12,27,37,113,67,0,GER-Bundesliga,2022,defense
GHA,"FW,MF",28,1994,22.0,23,15,7,8,8,10,29,34.5,19,17,0,17,5,28,16,0,GER-Bundesliga,2022,defense
CRC,DF,32,1989,16.4,42,24,27,14,1,21,31,67.7,10,20,7,13,16,58,34,1,GER-Bundesliga,2022,defense
BRA,DF,30,1991,19.6,72,46,42,23,7,43,72,59.7,29,29,6,23,30,102,56,1,GER-Bundesliga,2022,defense
GER,DF,28,1993,8.8,13,9,5,7,1,6,17,35.3,11,11,7,4,12,25,34,0,GER-Bundesliga,2022,defense
SRB,"DF,MF",23,1998,24.2,50,31,28,21,1,30,51,58.8,21,30,14,16,27,77,79,0,GER-Bundesliga,2022,defense
PHI,"FW,MF",27,1995,10.5,14,7,6,7,1,12,21,57.1,9,15,1,14,2,16,4,0,GER-Bundesliga,2022,defense
UKR,DF,30,1992,27.2,31,19,21,9,1,16,28,57.1,12,34,17,17,57,88,139,0,GER-Bundesliga,2022,defense
POL,MF,29,1992,1.6,6,3,3,3,0,4,6,66.7,2,4,0,4,3,9,5,0,GER-Bundesliga,2022,defense
GER,"DF,FW",25,1997,0.7,2,1,1,1,0,1,1,100.0,0,1,0,1,3,5,2,0,GER-Bundesliga,2022,defense
ENG,"DF,FW",23,1998,8.3,23,18,13,5,5,12,23,52.2,11,12,5,7,10,33,8,0,GER-Bundesliga,2022,defense
GER,DF,25,1997,8.2,17,9,12,5,0,9,11,81.8,2,11,5,6,14,31,49,0,GER-Bundesliga,2022,defense
AUT,MF,28,1993,28.9,84,45,38,32,14,31,94,33.0,63,27,4,23,26,110,21,1,GER-Bundesliga,2022,defense
GRE,"DF,MF",28,1993,11.6,27,16,13,8,6,10,24,41.7,14,21,8,13,20,47,31,1,GER-Bundesliga,2022,defense
GER,GK,33,1988,34.0,3,2,3,0,0,3,5,60.0,2,1,0,1,5,8,23,7,GER-Bundesliga,2022,defense
GER,"FW,MF",21,2000,2.4,0,0,0,0,0,0,5,0.0,5,1,0,1,0,0,6,0,GER-Bundesliga,2022,defense
GER,MF,22,2000,11.4,20,17,8,10,2,11,16,68.8,5,17,6,11,12,32,25,0,GER-Bundesliga,2022,defense
GER,MF,27,1995,14.5,31,19,11,15,5,12,40,30.0,28,22,0,22,6,37,6,0,GER-Bundesliga,2022,defense
GER,FW,29,1993,29.2,18,11,0,13,5,5,12,41.7,7,20,8,12,6,24,48,0,GER-Bundesliga,2022,defense
CMR,"MF,FW",27,1995,4.2,12,6,3,8,1,6,14,42.9,8,7,1,6,7,19,9,0,GER-Bundesliga,2022,defense
GAM,DF,26,1995,12.6,23,15,13,8,2,12,20,60.0,8,24,10,14,11,34,33,1,GER-Bundesliga,2022,defense
CGO,"FW,MF",26,1996,2.7,2,2,0,1,1,0,0,,0,0,0,0,0,2,3,0,GER-Bundesliga,2022,defense
GER,FW,31,1991,16.2,11,4,2,8,1,4,12,33.3,8,14,1,13,6,17,21,0,GER-Bundesliga,2022,defense
