nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,league,season,stat_type
,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,,,
ESP,"MF,FW",27,1992,21.6,5,23,9,39.1,1.07,0.42,0.22,0.56,13.9,1,0,0,4.5,4.5,0.21,0.5,0.5,ESP-La Liga,2020,shooting
GHA,FW,26,1994,26.5,6,52,16,30.8,1.96,0.6,0.1,0.31,15.2,0,1,1,6.2,5.4,0.1,-0.2,-0.4,ESP-La Liga,2020,shooting
ESP,"FW,MF",23,1997,1.1,0,2,0,0.0,1.89,0.0,0.0,,15.3,0,0,0,0.1,0.1,0.07,-0.1,-0.1,ESP-La Liga,2020,shooting
ESP,DF,27,1993,7.2,0,2,1,50.0,0.28,0.14,0.0,0.0,25.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,ESP-La Liga,2020,shooting
ESP,DF,29,1991,28.0,1,18,7,38.9,0.64,0.25,0.06,0.14,19.3,1,0,0,1.1,1.1,0.07,-0.1,-0.1,ESP-La Liga,2020,shooting
ESP,"FW,MF",22,1998,0.6,0,1,0,0.0,1.73,0.0,0.0,,23.8,0,0,0,0.0,0.0,0.03,0.0,0.0,ESP-La Liga,2020,shooting
ESP,GK,23,1996,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ESP-La Liga,2020,shooting
ESP,"MF,FW",21,1998,15.1,2,24,8,33.3,1.58,0.53,0.08,0.25,23.1,3,0,0,1.2,1.2,0.05,0.8,0.8,ESP-La Liga,2020,shooting
BIH,"FW,MF",26,1993,0.5,1,1,1,100.0,2.05,2.05,0.0,0.0,39.4,0,1,1,0.8,0.0,0.03,0.2,0.0,ESP-La Liga,2020,shooting
ESP,DF,32,1988,18.8,0,3,1,33.3,0.16,0.05,0.0,0.0,30.3,1,0,0,0.1,0.1,0.03,-0.1,-0.1,ESP-La Liga,2020,shooting
ESP,MF,27,1993,19.1,0,22,5,22.7,1.15,0.26,0.0,0.0,17.7,0,0,0,1.6,1.6,0.07,-1.6,-1.6,ESP-La Liga,2020,shooting
ESP,MF,18,2002,0.6,0,1,0,0.0,1.58,0.0,0.0,,14.0,0,0,0,0.0,0.0,0.05,0.0,0.0,ESP-La Liga,2020,shooting
ESP,MF,21,1999,1.1,0,1,0,0.0,0.9,0.0,0.0,,16.2,0,0,0,0.1,0.1,0.08,-0.1,-0.1,ESP-La Liga,2020,shooting
ESP,"FW,MF",20,2000,11.5,2,18,6,33.3,1.57,0.52,0.11,0.33,12.7,0,0,0,2.8,2.8,0.16,-0.8,-0.8,ESP-La Liga,2020,shooting
ESP,"FW,MF",34,1986,19.4,5,44,11,25.0,2.27,0.57,0.07,0.27,17.2,0,2,3,6.1,3.7,0.08,-1.1,-0.7,ESP-La Liga,2020,shooting
ESP,MF,24,1995,15.8,3,25,10,40.0,1.58,0.63,0.12,0.3,25.2,5,0,0,1.1,1.1,0.05,1.9,1.9,ESP-La Liga,2020,shooting
