league,season,team,player,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,stat_type
,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,
GER-Bundesliga,2024,Augsburg,Noahkai Banks,USA,DF,18-131,2006,8,2,278,3.1,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,2,8,3,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,standard
GER-Bundesliga,2024,Augsburg,Phillip Tietz,GER,FW,27-276,1997,28,18,1488,16.5,6,1,7,5,1,1,3,0,5.1,4.3,0.8,5.2,6,25,93,0.36,0.06,0.42,0.3,0.36,0.31,0.05,0.36,0.26,0.31,standard
GER-Bundesliga,2024,Augsburg,Robert Gumny,POL,DF,26-311,1998,4,1,147,1.6,0,0,0,0,0,0,2,0,0.2,0.2,0.4,0.5,3,6,6,0.0,0.0,0.0,0.0,0.0,0.09,0.23,0.33,0.09,0.33,standard
GER-Bundesliga,2024,Augsburg,Ruben Vargas,SUI,"MF,FW",26-249,1998,8,3,305,3.4,0,0,0,0,0,0,3,0,0.7,0.7,0.7,1.4,9,13,24,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.2,0.4,standard
GER-Bundesliga,2024,Augsburg,Samuel Essende,COD,FW,27-078,1998,25,16,1374,15.3,6,2,8,6,0,0,4,1,3.2,3.2,1.2,4.4,31,14,105,0.39,0.13,0.52,0.39,0.52,0.21,0.08,0.29,0.21,0.29,standard
GER-Bundesliga,2024,Augsburg,Steve Mounié,BEN,"FW,MF",30-194,1994,14,1,299,3.3,0,0,0,0,0,0,2,0,1.9,1.9,0.0,2.0,8,9,23,0.0,0.0,0.0,0.0,0.0,0.58,0.01,0.59,0.58,0.59,standard
GER-Bundesliga,2024,Augsburg,Tim Breithaupt,GER,MF,23-063,2002,2,2,120,1.3,0,1,1,0,0,0,0,0,0.1,0.1,0.4,0.4,1,10,1,0.0,0.75,0.75,0.0,0.75,0.04,0.29,0.33,0.04,0.33,standard
GER-Bundesliga,2024,Augsburg,Yusuf Kabadayı,GER,"FW,MF",21-068,2004,5,0,71,0.8,1,0,1,1,0,0,0,0,0.6,0.6,0.0,0.7,2,3,8,1.27,0.0,1.27,1.27,1.27,0.82,0.06,0.89,0.82,0.89,standard
GER-Bundesliga,2024,Bayern Munich,Adam Aznou,MAR,DF,18-313,2006,2,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard
GER-Bundesliga,2024,Bayern Munich,Aleksandar Pavlovic,GER,MF,20-343,2004,15,14,1041,11.6,1,0,1,1,0,0,2,0,0.4,0.4,0.2,0.6,8,92,30,0.09,0.0,0.09,0.09,0.09,0.03,0.01,0.05,0.03,0.05,standard
