league,season,team,player,nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP,stat_type
,,,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,,
GER-Bundesliga,2024,Augsburg,Steve Mounié,BEN,"FW,MF",30-194,1994,3.3,56,92,60.9,827,143,27,42,64.3,24,34,70.6,3,7,42.9,0,0.0,0.1,0.0,1,3,0,0,9,passing
GER-Bundesliga,2024,Augsburg,Tim Breithaupt,GER,MF,23-063,2002,1.3,58,67,86.6,1042,369,20,24,83.3,34,36,94.4,3,4,75.0,1,0.4,0.3,0.6,1,10,1,1,10,passing
GER-Bundesliga,2024,Augsburg,Yusuf Kabadayı,GER,"FW,MF",21-068,2004,0.8,16,25,64.0,251,69,9,10,90.0,6,10,60.0,1,2,50.0,0,0.0,0.0,0.0,1,0,1,0,3,passing
GER-Bundesliga,2024,Bayern Munich,Adam Aznou,MAR,DF,18-313,2006,0.2,13,17,76.5,178,44,9,10,90.0,4,6,66.7,0,0,,0,0.0,0.0,0.0,0,1,0,0,1,passing
GER-Bundesliga,2024,Bayern Munich,Aleksandar Pavlovic,GER,MF,20-343,2004,11.6,1073,1143,93.9,16854,4086,592,609,97.2,415,431,96.3,53,76,69.7,0,0.2,1.4,-0.2,5,128,10,1,92,passing
GER-Bundesliga,2024,Bayern Munich,Alphonso Davies,CAN,DF,24-160,2000,17.3,1141,1272,89.7,16222,3977,690,734,94.0,401,443,90.5,24,37,64.9,2,1.6,2.2,0.4,27,95,16,2,120,passing
GER-Bundesliga,2024,Bayern Munich,Arijon Ibrahimović,GER,FW,19-121,2005,0.0,3,3,100.0,45,0,2,2,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,passing
GER-Bundesliga,2024,Bayern Munich,Daniel Peretz,ISR,GK,24-275,2000,3.0,79,103,76.7,1811,1173,14,14,100.0,49,49,100.0,16,40,40.0,0,0.0,0.0,0.0,0,0,0,0,1,passing
GER-Bundesliga,2024,Bayern Munich,Dayot Upamecano,FRA,DF,26-166,1998,19.5,1805,1923,93.9,34017,11145,602,641,93.9,1040,1075,96.7,147,177,83.1,0,0.5,1.2,-0.5,7,197,3,1,137,passing
GER-Bundesliga,2024,Bayern Munich,Eric Dier,ENG,DF,31-086,1994,10.3,890,947,94.0,16110,5447,332,345,96.2,481,499,96.4,65,83,78.3,1,0.1,0.6,0.9,2,97,4,0,52,passing
