nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,league,season,stat_type
,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,,,
GER,DF,22,1998,29.8,58,32,39,17,2,20,33,60.6,13,48,35,13,66,124,160,3,GER-Bundesliga,2021,defense
ANG,DF,23,1997,17.8,40,25,23,17,0,20,40,50.0,20,30,7,23,27,67,53,0,GER-Bundesliga,2021,defense
GER,"FW,MF",28,1992,11.1,12,8,6,6,0,8,17,47.1,9,11,0,11,3,15,11,0,GER-Bundesliga,2021,defense
GER,MF,21,1999,11.5,13,9,5,7,1,4,11,36.4,7,10,3,7,8,21,11,1,GER-Bundesliga,2021,defense
GER,DF,28,1991,0.9,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,GER-Bundesliga,2021,defense
BEN,"FW,MF",27,1992,5.1,12,8,5,5,2,6,11,54.5,5,3,0,3,3,15,4,0,GER-Bundesliga,2021,defense
AUT,"MF,FW",26,1993,7.6,9,4,2,5,2,4,11,36.4,7,4,1,3,6,15,14,0,GER-Bundesliga,2021,defense
SUI,DF,26,1994,29.5,42,22,24,15,3,27,40,67.5,13,30,10,20,42,84,96,0,GER-Bundesliga,2021,defense
GER,FW,32,1987,30.1,24,13,9,11,4,7,26,26.9,19,20,6,14,4,28,29,0,GER-Bundesliga,2021,defense
GER,MF,22,1998,14.1,38,26,19,15,4,19,42,45.2,23,19,3,16,18,56,22,1,GER-Bundesliga,2021,defense
DEN,DF,25,1994,12.3,23,12,13,8,2,10,16,62.5,6,14,4,10,24,47,37,0,GER-Bundesliga,2021,defense
SWE,DF,26,1994,24.0,36,24,23,12,1,14,23,60.9,9,29,22,7,39,75,111,0,GER-Bundesliga,2021,defense
FRO,"FW,MF",29,1991,0.6,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0,GER-Bundesliga,2021,defense
AUT,MF,28,1991,28.0,65,44,33,28,4,12,73,16.4,61,34,7,27,45,110,24,0,GER-Bundesliga,2021,defense
GER,MF,24,1996,18.7,35,19,15,18,2,20,40,50.0,20,17,4,13,26,61,16,1,GER-Bundesliga,2021,defense
JPN,MF,24,1996,10.2,17,8,5,11,1,6,14,42.9,8,17,2,15,8,25,5,0,GER-Bundesliga,2021,defense
