nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,league,season,stat_type
,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,,,
MAR,DF,24,1999,25.7,10,0,0,33,23,1,2,23,19,0,2,1,109,39,36,52.0,ESP-La Liga,2023,misc
ALG,"FW,MF",24,1998,8.0,1,0,0,13,10,3,63,3,5,0,0,0,31,7,13,35.0,ESP-La Liga,2023,misc
SRB,DF,31,1991,10.5,2,0,0,14,4,1,0,13,10,0,1,0,49,17,18,48.6,ESP-La Liga,2023,misc
ESP,"FW,MF",24,1999,14.0,2,0,0,11,28,10,84,11,15,0,1,0,79,16,18,47.1,ESP-La Liga,2023,misc
ESP,MF,26,1997,32.6,7,0,0,48,30,0,8,13,32,1,0,0,218,45,41,52.3,ESP-La Liga,2023,misc
ESP,DF,26,1996,31.7,6,0,0,29,41,0,81,28,42,1,1,0,164,25,57,30.5,ESP-La Liga,2023,misc
ESP,MF,23,2000,27.0,5,1,0,36,40,0,15,35,36,0,0,0,160,21,18,53.8,ESP-La Liga,2023,misc
ESP,GK,26,1996,34.0,3,0,0,0,2,0,0,0,0,0,0,0,23,7,1,87.5,ESP-La Liga,2023,misc
URU,MF,25,1998,12.6,5,0,0,38,9,1,4,19,35,0,2,0,72,35,30,53.8,ESP-La Liga,2023,misc
ESP,FW,24,1999,12.4,1,0,0,18,25,9,90,4,6,0,0,0,47,22,26,45.8,ESP-La Liga,2023,misc
ESP,DF,20,2003,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,ESP-La Liga,2023,misc
ARG,FW,20,2002,7.0,1,0,0,11,6,2,14,5,5,1,0,0,37,2,10,16.7,ESP-La Liga,2023,misc
ROU,"MF,FW",24,1998,8.9,3,0,0,13,19,1,54,5,12,0,0,0,33,13,11,54.2,ESP-La Liga,2023,misc
ESP,DF,21,2002,26.5,3,0,0,25,29,1,105,10,12,0,1,0,123,28,22,56.0,ESP-La Liga,2023,misc
EQG,GK,22,2001,4.0,1,0,0,0,0,0,0,0,0,0,0,0,11,2,0,100.0,ESP-La Liga,2023,misc
ARG,"FW,MF",20,2002,2.5,0,0,0,8,4,1,0,1,3,0,0,0,10,17,5,77.3,ESP-La Liga,2023,misc
ESP,MF,28,1995,29.8,2,0,0,21,30,2,21,22,24,0,0,0,131,45,47,48.9,ESP-La Liga,2023,misc
ESP,"MF,FW",20,2002,0.2,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,,ESP-La Liga,2023,misc
