nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,league,season,stat_type
,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,,,
FRA,"MF,FW",26-309,1998,18.2,4,0,0,26,30,2,16,13,21,1,0,0,54,13,16,44.8,GER-Bundesliga,2024,misc
BEL,"MF,FW",21-215,2003,0.9,1,0,0,3,1,0,4,0,0,0,0,0,0,1,0,100.0,GER-Bundesliga,2024,misc
GER,MF,26-093,1999,9.2,0,0,0,8,6,0,55,4,6,0,0,0,69,4,7,36.4,GER-Bundesliga,2024,misc
SUI,DF,26-291,1998,9.1,6,1,1,11,5,0,8,16,4,0,0,0,37,19,14,57.6,GER-Bundesliga,2024,misc
FRA,DF,22-331,2002,22.3,4,0,0,8,9,0,2,46,14,0,0,1,121,55,22,71.4,GER-Bundesliga,2024,misc
GRE,DF,29-176,1995,23.8,7,0,0,17,14,0,88,37,27,1,0,0,115,9,20,31.0,GER-Bundesliga,2024,misc
KVX,MF,27-161,1997,18.5,8,0,0,11,37,1,68,16,18,0,0,0,80,7,17,29.2,GER-Bundesliga,2024,misc
GER,GK,27-015,1998,13.0,0,0,0,0,1,0,0,0,0,0,0,0,21,4,0,100.0,GER-Bundesliga,2024,misc
NGA,MF,27-100,1998,23.1,7,0,0,39,59,2,16,32,40,0,0,0,123,14,14,50.0,GER-Bundesliga,2024,misc
FIN,MF,27-214,1997,7.2,0,0,0,5,4,3,18,4,5,0,0,0,13,5,10,33.3,GER-Bundesliga,2024,misc
GER,DF,25-220,1999,6.9,1,0,0,4,3,2,17,12,10,0,0,0,36,7,7,50.0,GER-Bundesliga,2024,misc
NED,DF,33-275,1991,26.7,9,0,0,20,12,2,15,29,23,0,1,0,105,50,24,67.6,GER-Bundesliga,2024,misc
GER,DF,27-348,1997,13.4,4,1,1,10,10,1,2,14,16,0,2,0,53,37,16,69.8,GER-Bundesliga,2024,misc
CRO,MF,27-332,1997,20.0,2,0,0,20,23,2,12,26,18,0,0,0,105,27,24,52.9,GER-Bundesliga,2024,misc
DEN,DF,28-222,1996,2.6,0,0,0,5,1,1,5,2,7,0,1,0,11,1,2,33.3,GER-Bundesliga,2024,misc
GER,DF,29-319,1995,20.2,2,0,0,17,12,2,100,20,14,0,0,0,74,7,6,53.8,GER-Bundesliga,2024,misc
GER,DF,25-061,2000,7.3,1,0,0,7,13,0,4,6,8,0,0,0,20,19,12,61.3,GER-Bundesliga,2024,misc
GER,FW,26-335,1998,0.1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,GER-Bundesliga,2024,misc
GER,MF,19-268,2005,4.0,1,0,0,3,7,2,9,3,2,0,0,0,23,9,8,52.9,GER-Bundesliga,2024,misc
CRO,GK,25-183,1999,15.0,0,0,0,0,2,0,0,0,0,0,0,0,14,6,1,85.7,GER-Bundesliga,2024,misc
GER,MF,27-086,1998,0.4,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,,GER-Bundesliga,2024,misc
USA,DF,18-131,2006,3.1,2,0,0,2,1,0,2,5,5,0,0,1,13,8,8,50.0,GER-Bundesliga,2024,misc
GER,FW,27-276,1997,16.5,3,0,0,32,11,14,1,4,6,0,0,0,42,69,75,47.9,GER-Bundesliga,2024,misc
POL,DF,26-311,1998,1.6,2,0,0,3,3,0,2,0,2,0,0,0,8,2,2,50.0,GER-Bundesliga,2024,misc
SUI,"MF,FW",26-249,1998,3.4,3,0,0,5,3,0,12,2,1,0,0,0,14,3,5,37.5,GER-Bundesliga,2024,misc
COD,FW,27-078,1998,15.3,4,1,0,41,30,12,4,0,5,0,0,0,35,49,57,46.2,GER-Bundesliga,2024,misc
BEN,"FW,MF",30-194,1994,3.3,2,0,0,9,5,1,3,1,3,0,0,0,7,19,21,47.5,GER-Bundesliga,2024,misc
GER,MF,23-063,2002,1.3,0,0,0,2,3,0,1,2,1,0,0,0,9,4,5,44.4,GER-Bundesliga,2024,misc
GER,"FW,MF",21-068,2004,0.8,0,0,0,1,1,1,1,0,0,0,0,0,6,0,2,0.0,GER-Bundesliga,2024,misc
MAR,DF,18-313,2006,0.2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.0,GER-Bundesliga,2024,misc
GER,MF,20-343,2004,11.6,2,0,0,13,5,0,5,3,16,0,0,0,56,6,7,46.2,GER-Bundesliga,2024,misc
CAN,DF,24-160,2000,17.3,0,0,0,8,26,3,22,13,17,0,0,0,115,9,8,52.9,GER-Bundesliga,2024,misc
GER,FW,19-121,2005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,GER-Bundesliga,2024,misc
ISR,GK,24-275,2000,3.0,1,0,0,0,2,0,0,0,0,0,0,0,10,0,0,,GER-Bundesliga,2024,misc
FRA,DF,26-166,1998,19.5,6,0,0,20,11,0,6,34,22,0,0,0,115,59,42,58.4,GER-Bundesliga,2024,misc
ENG,DF,31-086,1994,10.3,0,0,0,10,3,0,1,13,9,0,0,0,51,34,26,56.7,GER-Bundesliga,2024,misc
CRO,MF,21-131,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,GER-Bundesliga,2024,misc
ENG,FW,31-257,1993,22.5,4,0,0,8,19,15,13,2,9,2,0,0,55,25,17,59.5,GER-Bundesliga,2024,misc
JPN,DF,25-334,1999,2.8,1,0,0,2,3,0,2,6,0,0,0,0,13,5,1,83.3,GER-Bundesliga,2024,misc
GER,MF,22-044,2003,20.0,3,0,0,20,55,2,8,8,21,1,0,0,75,7,14,33.3,GER-Bundesliga,2024,misc
GER,GK,21-246,2003,4.0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,100.0,GER-Bundesliga,2024,misc
GER,MF,30-062,1995,25.6,4,0,0,13,20,2,145,20,26,0,0,0,156,10,8,55.6,GER-Bundesliga,2024,misc
CRO,DF,25-009,2000,4.1,0,0,0,1,4,0,11,4,7,0,0,0,20,4,4,50.0,GER-Bundesliga,2024,misc
POR,MF,29-276,1995,7.3,2,1,0,13,9,0,2,4,14,0,1,0,16,20,11,64.5,GER-Bundesliga,2024,misc
