nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,league,season,stat_type
,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,,,
FRA,FW,27-246,1997,5.8,2,9,5,55.6,1.56,0.87,0.22,0.4,15.4,0,0,1,2.2,1.4,0.16,-0.2,0.6,FRA-Ligue 1,2024,shooting
TUN,FW,20-350,2004,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,FRA-Ligue 1,2024,shooting
FRA,DF,19-049,2006,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,FRA-Ligue 1,2024,shooting
FRA,MF,27-075,1998,2.4,0,1,0,0.0,0.41,0.0,0.0,,27.0,0,0,0,0.0,0.0,0.02,0.0,0.0,FRA-Ligue 1,2024,shooting
FRA,MF,22-312,2002,10.8,0,16,3,18.8,1.48,0.28,0.0,0.0,22.3,0,0,0,1.2,1.2,0.07,-1.2,-1.2,FRA-Ligue 1,2024,shooting
BEL,FW,20-134,2004,17.1,7,32,14,43.8,1.87,0.82,0.22,0.5,13.4,0,0,0,6.2,6.2,0.19,0.8,0.8,FRA-Ligue 1,2024,shooting
FRA,DF,27-361,1997,22.3,0,5,2,40.0,0.22,0.09,0.0,0.0,11.4,0,0,0,0.5,0.5,0.1,-0.5,-0.5,FRA-Ligue 1,2024,shooting
FRA,DF,20-330,2004,1.4,0,2,1,50.0,1.44,0.72,0.0,0.0,24.9,0,0,0,0.0,0.0,0.02,0.0,0.0,FRA-Ligue 1,2024,shooting
FRA,"MF,FW",28-017,1997,8.1,1,23,10,43.5,2.83,1.23,0.04,0.1,20.3,2,0,0,1.5,1.5,0.06,-0.5,-0.5,FRA-Ligue 1,2024,shooting
FRA,MF,19-083,2006,9.5,0,7,1,14.3,0.73,0.1,0.0,0.0,18.9,0,0,0,0.5,0.5,0.06,-0.5,-0.5,FRA-Ligue 1,2024,shooting
FRA,DF,26-284,1998,2.5,0,2,0,0.0,0.8,0.0,0.0,,25.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,FRA-Ligue 1,2024,shooting
FRA,DF,26-038,1999,18.6,1,3,1,33.3,0.16,0.05,0.33,1.0,9.5,0,0,0,0.7,0.7,0.22,0.3,0.3,FRA-Ligue 1,2024,shooting
FRA,DF,28-120,1996,6.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,FRA-Ligue 1,2024,shooting
FRA,MF,23-086,2002,21.6,1,13,2,15.4,0.6,0.09,0.08,0.5,26.0,0,0,0,0.4,0.4,0.03,0.6,0.6,FRA-Ligue 1,2024,shooting
MAR,DF,37-195,1987,10.9,0,2,1,50.0,0.18,0.09,0.0,0.0,10.8,0,0,0,0.2,0.2,0.12,-0.2,-0.2,FRA-Ligue 1,2024,shooting
FRA,DF,26-192,1998,7.8,0,10,2,20.0,1.29,0.26,0.0,0.0,20.3,0,0,0,0.3,0.3,0.03,-0.3,-0.3,FRA-Ligue 1,2024,shooting
GEO,"FW,MF",24-055,2001,24.0,7,49,18,36.7,2.05,0.75,0.1,0.28,19.6,4,2,2,6.2,4.6,0.1,0.8,0.4,FRA-Ligue 1,2024,shooting
CIV,DF,22-107,2002,10.2,1,5,1,20.0,0.49,0.1,0.2,1.0,9.0,0,0,0,0.4,0.4,0.08,0.6,0.6,FRA-Ligue 1,2024,shooting
IRL,DF,22-292,2002,2.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,FRA-Ligue 1,2024,shooting
BRA,MF,20-343,2004,25.7,9,35,14,40.0,1.36,0.54,0.26,0.64,16.3,0,0,0,4.3,4.3,0.12,4.7,4.7,FRA-Ligue 1,2024,shooting
USA,"DF,MF",20-110,2004,3.0,0,1,0,0.0,0.34,0.0,0.0,,27.3,0,0,0,0.0,0.0,0.03,0.0,0.0,FRA-Ligue 1,2024,shooting
POR,"DF,MF",20-248,2004,24.4,1,23,7,30.4,0.94,0.29,0.04,0.14,16.0,1,0,0,1.9,1.9,0.08,-0.9,-0.9,FRA-Ligue 1,2024,shooting
FRA,"MF,FW",22-228,2002,22.3,4,41,19,46.3,1.84,0.85,0.1,0.21,21.5,5,0,0,4.0,4.0,0.1,0.0,0.0,FRA-Ligue 1,2024,shooting
UKR,DF,29-356,1995,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,FRA-Ligue 1,2024,shooting
NED,FW,22-067,2003,21.5,12,54,31,57.4,2.51,1.44,0.22,0.39,12.3,0,0,0,15.2,15.2,0.28,-3.2,-3.2,FRA-Ligue 1,2024,shooting
FRA,"MF,FW",21-247,2003,15.1,3,16,7,43.8,1.06,0.46,0.19,0.43,13.9,0,0,0,2.5,2.5,0.16,0.5,0.5,FRA-Ligue 1,2024,shooting
