nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP,league,season,stat_type
,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,,,,
CRO,MF,39-214,1985,15.8,1302,1482,87.9,22856,7473,615,657,93.6,506,549,92.2,145,216,67.1,4,5.5,4.9,-1.5,49,167,25,1,143,ESP-La Liga,2024,passing
ESP,DF,22-057,2003,12.2,657,705,93.2,11535,3697,276,288,95.8,332,346,96.0,41,59,69.5,1,0.5,0.4,0.5,3,31,3,0,18,ESP-La Liga,2024,passing
BRA,"FW,MF",24-092,2001,19.7,886,1027,86.3,11548,2856,579,610,94.9,224,257,87.2,32,78,41.0,5,3.0,4.0,2.0,48,63,26,2,104,ESP-La Liga,2024,passing
BEL,GK,32-335,1992,24.0,709,837,84.7,16122,10020,138,139,99.3,454,456,99.6,116,240,48.3,0,0.0,0.0,0.0,0,4,0,0,0,ESP-La Liga,2024,passing
BRA,FW,24-273,2000,20.5,535,718,74.5,8162,1965,305,370,82.4,159,199,79.9,45,73,61.6,5,5.6,5.3,-0.6,44,44,28,4,69,ESP-La Liga,2024,passing
BRA,DF,27-083,1998,10.4,636,712,89.3,13095,4633,189,201,94.0,372,394,94.4,72,110,65.5,1,0.5,0.2,0.5,6,56,3,0,46,ESP-La Liga,2024,passing
ESP,DF,27-238,1997,7.6,253,368,68.8,3988,1731,132,149,88.6,98,140,70.0,15,60,25.0,0,0.1,0.1,-0.1,1,24,1,1,24,ESP-La Liga,2024,passing
ESP,"MF,FW",23-105,2001,11.4,312,438,71.2,5221,1236,171,205,83.4,90,130,69.2,39,58,67.2,3,1.8,2.1,1.2,15,22,19,3,43,ESP-La Liga,2024,passing
ESP,DF,31-014,1994,10.9,492,585,84.1,9295,3308,187,200,93.5,251,277,90.6,48,88,54.5,0,0.2,0.3,-0.2,4,44,2,0,34,ESP-La Liga,2024,passing
ESP,"MF,FW",20-006,2005,0.9,14,23,60.9,206,43,9,13,69.2,3,4,75.0,1,1,100.0,0,0.0,0.0,0.0,1,1,2,0,2,ESP-La Liga,2024,passing
RUS,"MF,FW",21-320,2003,0.8,28,33,84.8,451,106,17,20,85.0,6,7,85.7,4,5,80.0,0,0.1,0.1,-0.1,1,3,1,0,3,ESP-La Liga,2024,passing
ESP,MF,23-070,2002,8.3,286,328,87.2,4894,1043,140,155,90.3,108,117,92.3,27,42,64.3,0,0.2,0.3,-0.2,3,27,2,1,34,ESP-La Liga,2024,passing
ESP,MF,28-094,1997,14.0,522,667,78.3,7872,2279,294,333,88.3,167,204,81.9,38,81,46.9,1,1.7,1.8,-0.7,19,61,10,2,74,ESP-La Liga,2024,passing
ESP,MF,18-293,2006,0.1,1,3,33.3,20,0,0,0,,1,3,33.3,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,ESP-La Liga,2024,passing
MLI,DF,33-074,1992,4.9,252,301,83.7,4316,1525,122,131,93.1,103,125,82.4,26,39,66.7,1,0.2,0.4,0.8,2,13,4,1,20,ESP-La Liga,2024,passing
ESP,DF,28-012,1997,22.7,1121,1316,85.2,22106,6908,336,374,89.8,681,727,93.7,97,186,52.2,0,0.4,0.5,-0.4,4,82,6,0,91,ESP-La Liga,2024,passing
ESP,DF,23-017,2002,18.2,698,884,79.0,11254,4175,380,414,91.8,258,337,76.6,49,86,57.0,0,0.4,1.0,-0.4,5,35,14,7,60,ESP-La Liga,2024,passing
VEN,DF,22-262,2002,22.5,937,1211,77.4,13808,5740,504,567,88.9,360,470,76.6,39,100,39.0,1,0.9,1.1,0.1,11,65,8,5,84,ESP-La Liga,2024,passing
ESP,MF,24-272,2000,0.1,7,13,53.8,117,30,3,7,42.9,4,4,100.0,0,0,,0,0.0,0.1,0.0,0,0,0,0,1,ESP-La Liga,2024,passing
ESP,DF,19-100,2006,4.0,113,140,80.7,2214,784,30,38,78.9,76,79,96.2,7,19,36.8,1,0.1,0.0,0.9,1,2,0,0,7,ESP-La Liga,2024,passing
ESP,DF,24-093,2001,7.0,319,380,83.9,6305,1847,114,128,89.1,164,175,93.7,41,70,58.6,0,0.0,0.2,0.0,0,22,2,0,20,ESP-La Liga,2024,passing
CRO,MF,22-215,2002,16.1,584,707,82.6,9195,1932,313,344,91.0,205,236,86.9,45,70,64.3,1,1.7,2.0,-0.7,19,42,12,2,69,ESP-La Liga,2024,passing
ESP,DF,20-285,2004,0.1,5,5,100.0,108,22,1,1,100.0,2,2,100.0,2,2,100.0,0,0.0,0.0,0.0,0,0,0,0,0,ESP-La Liga,2024,passing
ESP,MF,26-068,1999,26.9,1217,1460,83.4,20835,6210,570,649,87.8,528,603,87.6,97,150,64.7,1,0.9,1.1,0.1,16,137,19,1,163,ESP-La Liga,2024,passing
ESP,FW,27-355,1997,18.3,288,389,74.0,3778,688,185,215,86.0,76,100,76.0,7,16,43.8,2,2.3,1.6,-0.3,12,18,7,2,23,ESP-La Liga,2024,passing
MAR,DF,29-012,1996,18.6,1132,1295,87.4,21950,7836,423,446,94.8,562,601,93.5,134,212,63.2,0,0.1,0.3,-0.1,5,84,3,1,71,ESP-La Liga,2024,passing
ESP,MF,24-238,2000,8.4,269,354,76.0,4235,822,144,174,82.8,97,120,80.8,19,34,55.9,1,0.8,0.7,0.2,6,30,8,0,35,ESP-La Liga,2024,passing
ISL,FW,20-225,2004,9.8,99,186,53.2,1094,176,68,106,64.2,21,35,60.0,0,5,0.0,0,0.2,0.5,-0.2,5,4,3,1,8,ESP-La Liga,2024,passing
ESP,MF,21-282,2003,6.9,181,236,76.7,2960,517,83,101,82.2,81,102,79.4,13,21,61.9,2,0.7,0.6,1.3,9,14,5,2,19,ESP-La Liga,2024,passing
ESP,"MF,DF",24-219,2000,25.2,933,1237,75.4,14834,3869,524,582,90.0,291,372,78.2,86,187,46.0,5,7.3,6.1,-2.3,41,69,20,9,85,ESP-La Liga,2024,passing
SUR,"FW,MF",30-061,1995,10.8,194,305,63.6,3300,742,101,128,78.9,75,118,63.6,15,33,45.5,1,2.0,1.7,-1.0,8,6,17,5,23,ESP-La Liga,2024,passing
JPN,"MF,FW",23-311,2001,19.5,494,699,70.7,6914,2154,303,357,84.9,122,180,67.8,35,72,48.6,0,3.5,2.4,-3.5,37,44,34,8,78,ESP-La Liga,2024,passing
NGA,FW,28-068,1997,2.5,25,48,52.1,349,77,17,28,60.7,6,10,60.0,1,2,50.0,0,0.2,0.1,-0.2,1,2,0,0,5,ESP-La Liga,2024,passing
ESP,GK,23-184,2001,1.0,22,30,73.3,591,369,4,4,100.0,10,11,90.9,8,14,57.1,0,0.0,0.0,0.0,0,0,0,0,0,ESP-La Liga,2024,passing
ESP,MF,24-022,2001,0.5,10,17,58.8,171,61,7,11,63.6,1,3,33.3,2,2,100.0,0,0.0,0.0,0.0,0,0,0,0,1,ESP-La Liga,2024,passing
ESP,GK,30-018,1995,29.0,746,1026,72.7,21507,15400,103,103,100.0,390,397,98.2,253,520,48.7,0,0.0,0.0,0.0,1,12,0,0,1,ESP-La Liga,2024,passing
ESP,DF,29-118,1995,0.5,22,30,73.3,344,111,11,12,91.7,6,12,50.0,3,4,75.0,0,0.0,0.0,0.0,0,4,1,1,3,ESP-La Liga,2024,passing
ESP,DF,26-333,1998,20.4,689,938,73.5,11557,4181,346,382,90.6,291,375,77.6,41,129,31.8,1,0.8,0.9,0.2,11,49,13,7,68,ESP-La Liga,2024,passing
NGA,FW,25-072,2000,1.5,20,27,74.1,334,48,9,12,75.0,7,9,77.8,3,5,60.0,0,0.0,0.0,0.0,0,3,1,0,5,ESP-La Liga,2024,passing
BEL,MF,25-171,1999,14.8,749,836,89.6,12299,3629,384,408,94.1,298,325,91.7,52,80,65.0,2,0.7,0.8,1.3,15,74,7,0,82,ESP-La Liga,2024,passing
ESP,DF,23-072,2002,26.9,1242,1523,81.5,20010,7385,615,698,88.1,543,635,85.5,54,115,47.0,0,1.3,0.6,-1.3,13,82,12,4,93,ESP-La Liga,2024,passing
NGA,FW,27-099,1998,9.8,334,410,81.5,5218,912,187,207,90.3,111,134,82.8,26,41,63.4,1,1.6,0.7,-0.6,16,15,17,2,34,ESP-La Liga,2024,passing
ESP,DF,22-089,2003,0.1,0,2,0.0,0,0,0,0,,0,2,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,ESP-La Liga,2024,passing
SUI,MF,28-064,1997,18.5,716,809,88.5,11455,3004,363,400,90.8,296,322,91.9,42,56,75.0,1,0.8,0.5,0.2,17,65,8,0,86,ESP-La Liga,2024,passing
BEL,FW,27-199,1997,28.0,637,868,73.4,10190,2291,369,423,87.2,194,257,75.5,60,135,44.4,2,3.3,3.6,-1.3,46,37,22,6,74,ESP-La Liga,2024,passing
ARG,"DF,MF",28-100,1997,1.3,68,78,87.2,1288,364,29,30,96.7,33,37,89.2,6,10,60.0,0,0.0,0.1,0.0,0,8,1,1,2,ESP-La Liga,2024,passing
ESP,FW,24-328,2000,21.7,280,397,70.5,4414,560,158,199,79.4,81,116,69.8,26,38,68.4,2,2.0,2.1,0.0,18,15,10,3,22,ESP-La Liga,2024,passing
ESP,FW,21-339,2003,0.2,2,2,100.0,24,0,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,ESP-La Liga,2024,passing
ESP,"FW,MF",39-141,1985,4.7,203,262,77.5,3443,816,105,117,89.7,71,88,80.7,22,38,57.9,0,0.5,0.6,-0.5,10,16,6,5,23,ESP-La Liga,2024,passing
ESP,"MF,DF",21-239,2003,13.7,357,443,80.6,5126,1279,213,237,89.9,136,161,84.5,4,13,30.8,3,1.2,0.6,1.8,16,34,7,2,40,ESP-La Liga,2024,passing
NGA,FW,28-190,1996,4.4,60,80,75.0,831,125,36,44,81.8,15,25,60.0,4,5,80.0,0,0.3,0.2,-0.3,5,1,1,0,5,ESP-La Liga,2024,passing
ESP,DF,22-353,2002,18.4,884,1124,78.6,16698,5772,336,370,90.8,469,541,86.7,74,192,38.5,2,0.6,0.8,1.4,6,56,2,1,48,ESP-La Liga,2024,passing
PUR,FW,22-088,2003,0.1,1,1,100.0,10,6,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,1,0,0,0,0,ESP-La Liga,2024,passing
FRA,DF,25-000,2000,24.2,1332,1553,85.8,26461,10100,473,504,93.8,714,761,93.8,140,260,53.8,1,0.6,0.2,0.4,3,76,3,0,43,ESP-La Liga,2024,passing
ARG,FW,30-274,1994,1.9,65,91,71.4,1020,296,36,45,80.0,19,23,82.6,6,11,54.5,1,0.3,0.1,0.7,3,8,2,1,7,ESP-La Liga,2024,passing
FRA,MF,23-061,2002,15.8,680,823,82.6,10590,3211,367,403,91.1,245,289,84.8,49,84,58.3,0,1.0,0.8,-1.0,10,70,6,1,71,ESP-La Liga,2024,passing
ESP,MF,20-258,2004,1.2,43,48,89.6,705,82,22,24,91.7,16,17,94.1,3,4,75.0,0,0.0,0.0,0.0,0,4,1,0,3,ESP-La Liga,2024,passing
BRA,DF,28-310,1996,5.1,230,261,88.1,3967,1586,105,108,97.2,109,119,91.6,15,27,55.6,0,0.0,0.0,0.0,0,12,0,0,17,ESP-La Liga,2024,passing
ESP,FW,22-011,2003,0.1,0,1,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,ESP-La Liga,2024,passing
SRB,"DF,MF",33-146,1991,22.1,992,1148,86.4,16773,4934,453,481,94.2,464,510,91.0,58,120,48.3,1,0.6,0.9,0.4,13,60,6,0,47,ESP-La Liga,2024,passing
ESP,"FW,MF",22-189,2002,9.0,198,250,79.2,2937,660,119,140,85.0,59,72,81.9,13,20,65.0,1,1.2,0.8,-0.2,10,18,3,1,22,ESP-La Liga,2024,passing
ESP,DF,22-171,2002,0.1,9,10,90.0,169,47,2,2,100.0,7,7,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,ESP-La Liga,2024,passing
SUI,"FW,MF",26-249,1998,7.5,166,247,67.2,2714,696,94,113,83.2,51,74,68.9,16,39,41.0,1,0.8,0.9,0.2,13,11,9,5,14,ESP-La Liga,2024,passing
ESP,MF,30-141,1994,13.8,402,511,78.7,6448,1695,205,239,85.8,165,194,85.1,21,45,46.7,6,2.4,1.9,3.6,21,40,7,2,50,ESP-La Liga,2024,passing
BEL,"FW,MF",19-286,2005,2.9,53,63,84.1,871,207,28,32,87.5,20,22,90.9,5,7,71.4,1,0.7,0.1,0.3,6,2,1,0,8,ESP-La Liga,2024,passing
ESP,"FW,MF",31-143,1993,2.0,100,126,79.4,1688,523,49,54,90.7,34,39,87.2,11,23,47.8,0,0.4,0.4,-0.4,9,14,4,1,14,ESP-La Liga,2024,passing
FRA,DF,22-308,2002,5.8,285,314,90.8,4654,1465,131,139,94.2,143,155,92.3,7,15,46.7,0,0.0,0.0,0.0,0,6,0,0,10,ESP-La Liga,2024,passing
ARG,"DF,FW",20-262,2004,3.2,139,191,72.8,2139,895,77,88,87.5,38,53,71.7,13,30,43.3,0,0.6,0.3,-0.6,6,12,3,0,13,ESP-La Liga,2024,passing
ESP,GK,26-363,1998,7.3,185,293,63.1,4960,3505,44,44,100.0,92,93,98.9,49,155,31.6,0,0.1,0.0,-0.1,1,6,0,0,0,ESP-La Liga,2024,passing
ESP,FW,23-100,2002,0.7,9,13,69.2,174,41,2,3,66.7,6,7,85.7,1,1,100.0,0,0.0,0.0,0.0,0,2,0,0,0,ESP-La Liga,2024,passing
NOR,GK,34-213,1990,22.7,502,785,63.9,12947,9705,137,138,99.3,232,239,97.1,132,403,32.8,0,0.2,0.0,-0.2,3,18,1,0,1,ESP-La Liga,2024,passing
ESP,FW,23-274,2001,0.1,2,4,50.0,33,7,1,1,100.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,1,ESP-La Liga,2024,passing
ESP,DF,20-288,2004,28.9,1413,1548,91.3,25885,8746,540,574,94.1,751,795,94.5,110,146,75.3,0,0.0,0.2,0.0,0,90,1,0,92,ESP-La Liga,2024,passing
ESP,DF,23-044,2002,26.6,1020,1230,82.9,19887,6821,325,355,91.5,589,645,91.3,101,198,51.0,0,0.1,0.2,-0.1,3,68,1,0,63,ESP-La Liga,2024,passing
ESP,FW,26-255,1998,5.9,62,83,74.7,741,120,44,50,88.0,15,23,65.2,0,0,,0,0.0,0.1,0.0,1,3,2,0,6,ESP-La Liga,2024,passing
ESP,MF,17-177,2007,0.2,2,4,50.0,27,4,2,3,66.7,0,0,,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,ESP-La Liga,2024,passing
ESP,"MF,FW",22-333,2002,24.1,516,727,71.0,8098,1919,282,347,81.3,192,244,78.7,30,50,60.0,4,3.9,3.5,0.1,27,34,21,5,67,ESP-La Liga,2024,passing
FRA,DF,32-019,1993,20.9,797,1029,77.5,12551,4747,432,463,93.3,321,412,77.9,34,93,36.6,1,1.3,1.8,-0.3,8,65,13,4,79,ESP-La Liga,2024,passing
POR,"MF,FW",24-316,2000,17.1,611,719,85.0,9814,2617,319,340,93.8,214,246,87.0,53,86,61.6,3,2.2,3.6,0.8,33,74,16,3,108,ESP-La Liga,2024,passing
ARG,MF,23-324,2001,18.5,834,977,85.4,14535,4037,383,429,89.3,360,398,90.5,77,109,70.6,2,0.8,0.9,1.2,12,106,6,0,92,ESP-La Liga,2024,passing
ESP,"FW,MF",22-214,2002,4.5,119,161,73.9,1747,347,78,86,90.7,28,40,70.0,9,18,50.0,0,2.1,1.3,-2.1,5,5,5,1,10,ESP-La Liga,2024,passing
ESP,MF,23-026,2002,1.6,34,47,72.3,474,50,20,24,83.3,13,14,92.9,1,7,14.3,0,0.0,0.0,0.0,1,3,0,0,2,ESP-La Liga,2024,passing
GEO,GK,24-194,2000,26.0,520,795,65.4,15334,11346,82,82,100.0,272,277,98.2,166,433,38.3,0,0.1,0.0,-0.1,2,9,1,0,0,ESP-La Liga,2024,passing
ESP,FW,25-152,1999,19.0,242,343,70.6,3323,410,139,177,78.5,77,103,74.8,9,17,52.9,2,1.2,0.5,0.8,13,14,3,0,23,ESP-La Liga,2024,passing
ESP,MF,25-070,2000,4.0,154,188,81.9,2607,748,75,86,87.2,64,75,85.3,13,23,56.5,0,0.0,0.3,0.0,2,11,4,1,15,ESP-La Liga,2024,passing
ESP,DF,19-151,2005,0.2,9,11,81.8,169,91,3,5,60.0,5,5,100.0,1,1,100.0,0,0.1,0.0,-0.1,1,1,1,1,1,ESP-La Liga,2024,passing
ESP,MF,24-197,2000,2.1,64,80,80.0,925,298,38,42,90.5,22,26,84.6,2,5,40.0,0,0.3,0.3,-0.3,3,4,6,1,11,ESP-La Liga,2024,passing
ESP,MF,22-100,2003,22.0,738,955,77.3,12434,3816,366,422,86.7,300,351,85.5,61,116,52.6,3,2.9,3.0,0.1,21,91,17,4,104,ESP-La Liga,2024,passing
ESP,DF,22-099,2003,8.6,295,386,76.4,4096,1152,182,201,90.5,101,130,77.7,7,25,28.0,0,0.2,0.4,-0.2,1,13,3,2,19,ESP-La Liga,2024,passing
ESP,MF,26-243,1998,16.0,822,1055,77.9,15623,5247,353,390,90.5,340,406,83.7,115,217,53.0,2,1.8,2.1,0.2,28,146,5,3,124,ESP-La Liga,2024,passing
ESP,DF,29-321,1995,13.7,532,687,77.4,9256,3071,256,288,88.9,219,264,83.0,52,110,47.3,1,2.1,2.5,-1.1,19,34,24,18,44,ESP-La Liga,2024,passing
ESP,"MF,FW",31-177,1993,25.1,637,953,66.8,10658,2850,340,402,84.6,229,316,72.5,55,149,36.9,2,3.3,3.8,-1.3,26,38,36,19,65,ESP-La Liga,2024,passing
ESP,"MF,DF",20-364,2004,0.5,20,26,76.9,328,95,10,12,83.3,8,10,80.0,1,2,50.0,0,0.0,0.0,0.0,1,2,0,0,4,ESP-La Liga,2024,passing
ENG,"DF,MF",25-097,2000,1.2,29,42,69.0,414,130,16,22,72.7,11,16,68.8,1,2,50.0,0,0.0,0.0,0.0,1,1,0,0,4,ESP-La Liga,2024,passing
BEL,DF,28-054,1997,1.0,11,14,78.6,219,77,3,3,100.0,6,7,85.7,2,4,50.0,0,0.0,0.0,0.0,0,0,0,0,1,ESP-La Liga,2024,passing
GUI,DF,28-113,1996,3.0,74,95,77.9,1382,539,28,33,84.8,38,42,90.5,8,18,44.4,0,0.0,0.0,0.0,1,2,1,0,7,ESP-La Liga,2024,passing
ESP,"FW,MF",27-297,1997,4.8,69,92,75.0,1051,182,44,50,88.0,16,23,69.6,7,10,70.0,2,0.7,0.4,1.3,2,3,2,1,7,ESP-La Liga,2024,passing
ESP,DF,21-334,2003,0.7,17,29,58.6,268,110,11,14,78.6,4,7,57.1,2,7,28.6,0,0.0,0.0,0.0,0,0,0,0,2,ESP-La Liga,2024,passing
ESP,"MF,FW",28-068,1997,4.0,89,155,57.4,1455,409,50,62,80.6,31,51,60.8,6,23,26.1,1,0.2,0.2,0.8,4,9,3,3,9,ESP-La Liga,2024,passing
MKD,GK,31-107,1993,4.0,68,133,51.1,2105,1516,6,6,100.0,35,37,94.6,27,90,30.0,0,0.0,0.0,0.0,0,3,0,0,0,ESP-La Liga,2024,passing
POR,DF,26-033,1999,8.5,330,441,74.8,5750,2179,160,183,87.4,137,172,79.7,31,67,46.3,0,0.3,0.8,-0.3,5,23,12,3,44,ESP-La Liga,2024,passing
NGA,FW,28-068,1997,6.3,93,125,74.4,1237,143,60,74,81.1,27,36,75.0,2,4,50.0,0,0.5,0.4,-0.5,4,2,0,0,6,ESP-La Liga,2024,passing
ESP,DF,20-089,2005,10.4,384,479,80.2,7474,2606,123,141,87.2,217,247,87.9,42,80,52.5,0,0.1,0.3,-0.1,3,43,3,1,37,ESP-La Liga,2024,passing
MAR,DF,18-313,2006,5.1,146,203,71.9,2249,625,80,91,87.9,50,71,70.4,11,24,45.8,0,0.0,0.1,0.0,1,12,1,0,13,ESP-La Liga,2024,passing
ESP,FW,18-038,2007,0.1,3,3,100.0,37,10,2,2,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,1,0,1,ESP-La Liga,2024,passing
SEN,"FW,DF",28-269,1996,3.5,63,83,75.9,981,248,36,40,90.0,18,22,81.8,6,11,54.5,1,0.2,0.1,0.8,4,4,3,1,11,ESP-La Liga,2024,passing
POR,GK,28-317,1996,1.0,22,32,68.8,556,390,5,5,100.0,12,12,100.0,5,15,33.3,0,0.0,0.0,0.0,0,0,0,0,0,ESP-La Liga,2024,passing
ITA,DF,24-349,2000,5.0,192,258,74.4,3293,1186,95,106,89.6,76,103,73.8,15,36,41.7,0,0.4,0.4,-0.4,2,11,3,3,14,ESP-La Liga,2024,passing
MAR,"MF,FW",30-086,1995,14.4,285,357,79.8,4265,665,146,173,84.4,115,139,82.7,11,21,52.4,0,0.5,0.5,-0.5,6,9,3,2,20,ESP-La Liga,2024,passing
ESP,GK,21-349,2003,1.0,33,43,76.7,1001,672,4,4,100.0,20,21,95.2,9,17,52.9,0,0.0,0.0,0.0,0,0,0,0,0,ESP-La Liga,2024,passing
TUR,DF,24-187,2000,3.9,170,204,83.3,3377,1211,53,57,93.0,103,110,93.6,13,32,40.6,0,0.0,0.0,0.0,0,4,0,0,5,ESP-La Liga,2024,passing
ESP,"MF,FW",20-347,2004,4.5,65,94,69.1,1055,322,36,44,81.8,20,26,76.9,8,16,50.0,0,0.5,0.6,-0.5,3,5,1,1,7,ESP-La Liga,2024,passing
VEN,"FW,MF",32-063,1993,5.3,120,194,61.9,2295,700,52,63,82.5,43,69,62.3,20,46,43.5,1,0.5,0.8,0.5,7,14,5,4,16,ESP-La Liga,2024,passing
ESP,DF,22-037,2003,15.4,589,714,82.5,11231,4594,193,205,94.1,335,373,89.8,59,115,51.3,0,0.0,0.1,0.0,1,27,1,1,37,ESP-La Liga,2024,passing
CMR,DF,23-186,2001,3.0,174,190,91.6,3007,1118,75,77,97.4,87,93,93.5,11,19,57.9,0,0.0,0.0,0.0,0,2,0,0,7,ESP-La Liga,2024,passing
SUI,"DF,MF",27-066,1998,14.9,641,735,87.2,13087,4185,180,206,87.4,388,410,94.6,67,104,64.4,0,0.0,0.1,0.0,0,38,1,0,37,ESP-La Liga,2024,passing
AUT,MF,29-247,1995,3.7,157,195,80.5,3076,875,58,66,87.9,71,81,87.7,25,40,62.5,0,0.6,0.4,-0.6,7,24,4,0,29,ESP-La Liga,2024,passing
BRA,DF,30-351,1994,0.5,25,30,83.3,439,66,8,9,88.9,15,18,83.3,2,3,66.7,0,0.0,0.0,0.0,0,0,0,0,0,ESP-La Liga,2024,passing
ESP,"MF,FW",32-200,1992,12.3,301,430,70.0,5454,1755,143,163,87.7,110,151,72.8,42,90,46.7,1,1.7,1.6,-0.7,16,38,13,8,58,ESP-La Liga,2024,passing
ESP,DF,28-028,1997,20.4,878,1018,86.2,17719,6443,274,290,94.5,498,525,94.9,102,181,56.4,0,0.3,0.4,-0.3,6,35,1,0,25,ESP-La Liga,2024,passing
GHA,DF,29-194,1995,3.1,152,180,84.4,2983,1131,45,48,93.8,93,100,93.0,13,30,43.3,0,0.0,0.0,0.0,0,7,1,0,3,ESP-La Liga,2024,passing
ESP,FW,24-019,2001,9.8,101,175,57.7,1482,251,62,91,68.1,29,57,50.9,6,11,54.5,0,0.4,0.3,-0.4,8,7,2,1,10,ESP-La Liga,2024,passing
SLE,DF,19-000,2006,9.6,330,407,81.1,6294,2123,118,131,90.1,177,191,92.7,31,73,42.5,0,0.0,0.0,0.0,1,15,0,0,13,ESP-La Liga,2024,passing
EST,GK,22-363,2002,28.0,785,1071,73.3,22809,16083,114,114,100.0,437,441,99.1,234,514,45.5,0,0.0,0.1,0.0,0,21,0,0,0,ESP-La Liga,2024,passing
BRA,"MF,FW",29-062,1996,0.1,1,2,50.0,10,0,1,2,50.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,ESP-La Liga,2024,passing
ESP,MF,28-056,1997,13.2,440,564,78.0,8065,2480,183,220,83.2,191,217,88.0,49,92,53.3,0,1.0,1.1,-1.0,17,47,5,0,67,ESP-La Liga,2024,passing
BRA,DF,25-008,2000,21.0,637,833,76.5,10312,3479,331,372,89.0,252,318,79.2,42,92,45.7,1,2.0,1.5,-1.0,13,34,6,4,50,ESP-La Liga,2024,passing
ESP,DF,30-066,1995,25.9,828,1097,75.5,14786,5423,372,419,88.8,340,450,75.6,105,180,58.3,0,1.8,2.4,-1.8,23,54,31,28,79,ESP-La Liga,2024,passing
SEN,"FW,MF",31-022,1994,14.1,135,216,62.5,2046,373,80,108,74.1,41,67,61.2,8,13,61.5,1,1.5,0.6,-0.5,12,10,5,0,17,ESP-La Liga,2024,passing
BRA,FW,28-173,1996,13.0,136,207,65.7,2337,388,77,101,76.2,42,65,64.6,14,18,77.8,2,0.8,0.3,1.2,9,13,3,0,16,ESP-La Liga,2024,passing
ESP,MF,21-134,2003,0.2,11,15,73.3,200,65,6,6,100.0,3,4,75.0,2,2,100.0,1,0.1,0.0,0.9,1,2,0,0,1,ESP-La Liga,2024,passing
ESP,MF,21-037,2004,17.2,595,700,85.0,10525,2689,246,280,87.9,282,307,91.9,48,72,66.7,1,1.4,1.2,-0.4,11,47,3,1,57,ESP-La Liga,2024,passing
ESP,DF,21-210,2003,1.4,35,58,60.3,730,329,15,19,78.9,13,20,65.0,7,16,43.8,0,0.0,0.1,0.0,1,5,1,0,3,ESP-La Liga,2024,passing
ESP,"FW,MF",22-127,2002,19.3,383,583,65.7,7380,2442,175,222,78.8,129,184,70.1,72,132,54.5,2,4.1,4.4,-2.1,36,31,31,19,64,ESP-La Liga,2024,passing
MAR,MF,28-147,1996,12.3,253,325,77.8,4244,1271,142,154,92.2,69,86,80.2,34,59,57.6,1,0.6,1.0,0.4,10,33,7,0,39,ESP-La Liga,2024,passing
CRO,MF,28-238,1996,15.7,518,612,84.6,8422,2340,255,287,88.9,225,250,90.0,27,46,58.7,0,0.5,0.1,-0.5,4,28,2,0,45,ESP-La Liga,2024,passing
HUN,MF,25-159,1999,6.1,185,200,92.5,2887,593,96,103,93.2,71,74,95.9,12,15,80.0,0,0.0,0.0,0.0,1,8,1,0,8,ESP-La Liga,2024,passing
ESP,MF,25-306,1999,4.6,148,189,78.3,2262,703,76,89,85.4,57,71,80.3,6,11,54.5,0,0.0,0.3,0.0,1,17,1,1,22,ESP-La Liga,2024,passing
ESP,MF,23-265,2001,25.0,759,1145,66.3,15478,5805,272,343,79.3,359,491,73.1,119,244,48.8,7,9.7,11.2,-2.7,84,87,66,16,168,ESP-La Liga,2024,passing
ESP,"DF,MF",29-002,1996,0.9,40,53,75.5,594,196,19,19,100.0,17,22,77.3,1,5,20.0,0,0.3,0.6,-0.3,3,4,4,3,4,ESP-La Liga,2024,passing
NED,FW,28-070,1997,2.2,23,30,76.7,359,40,11,15,73.3,10,12,83.3,1,2,50.0,0,0.0,0.0,0.0,1,1,0,0,1,ESP-La Liga,2024,passing
ESP,FW,31-256,1993,15.6,225,298,75.5,3477,880,107,124,86.3,98,123,79.7,11,21,52.4,1,2.2,1.4,-1.2,23,23,15,5,49,ESP-La Liga,2024,passing
ESP,MF,35-360,1989,19.7,1106,1258,87.9,20786,6276,436,477,91.4,522,564,92.6,133,181,73.5,1,0.7,1.3,0.3,14,141,13,3,142,ESP-La Liga,2024,passing
ESP,MF,31-095,1994,4.1,122,163,74.8,1952,662,70,81,86.4,39,47,83.0,9,22,40.9,1,0.5,0.5,0.5,8,11,3,0,21,ESP-La Liga,2024,passing
