nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP,league,season,stat_type
,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,,,,
ESP,"MF,FW",22-364,2002,14.2,357,473,75.5,5122,1424,222,258,86.0,106,141,75.2,19,37,51.4,0,1.9,1.5,-1.9,13,27,14,3,51,ESP-La Liga,2024,passing
POR,MF,24-135,2000,21.8,889,1098,81.0,15984,4559,393,451,87.1,383,444,86.3,99,142,69.7,2,1.2,1.3,0.8,12,87,12,5,87,ESP-La Liga,2024,passing
ESP,"MF,FW",31-110,1993,22.7,744,966,77.0,14331,4420,333,376,88.6,271,336,80.7,122,210,58.1,4,2.9,4.0,1.1,43,94,26,10,113,ESP-La Liga,2024,passing
BEL,"DF,MF",26-316,1998,1.1,65,73,89.0,1164,308,31,33,93.9,26,30,86.7,7,9,77.8,0,0.1,0.1,-0.1,1,7,1,1,5,ESP-La Liga,2024,passing
JPN,"FW,MF",30-152,1994,10.6,129,194,66.5,1840,440,79,94,84.0,43,61,70.5,4,15,26.7,0,0.6,0.6,-0.6,5,8,3,2,19,ESP-La Liga,2024,passing
ESP,DF,27-141,1997,4.9,176,239,73.6,3094,1082,87,104,83.7,75,99,75.8,14,29,48.3,0,0.4,0.6,-0.4,5,11,10,9,19,ESP-La Liga,2024,passing
ESP,"MF,FW",25-139,1999,3.2,74,85,87.1,964,191,47,55,85.5,19,21,90.5,3,3,100.0,0,0.0,0.1,0.0,1,3,2,1,5,ESP-La Liga,2024,passing
KVX,FW,30-352,1994,19.4,253,413,61.3,3632,762,152,211,72.0,71,131,54.2,14,22,63.6,2,2.0,1.7,0.0,23,21,6,0,28,ESP-La Liga,2024,passing
ESP,DF,24-233,2000,18.8,602,847,71.1,10127,4262,302,343,88.0,238,310,76.8,50,136,36.8,0,0.8,1.1,-0.8,11,46,10,8,60,ESP-La Liga,2024,passing
ESP,"MF,FW",23-135,2001,25.0,667,821,81.2,10751,2625,350,398,87.9,250,300,83.3,47,66,71.2,1,1.8,2.8,-0.8,27,68,28,1,127,ESP-La Liga,2024,passing
ESP,GK,33-343,1991,1.0,29,45,64.4,1243,1147,0,0,,10,10,100.0,19,35,54.3,0,0.0,0.0,0.0,0,1,0,0,0,ESP-La Liga,2024,passing
CRO,FW,33-263,1991,25.4,186,356,52.2,2306,405,129,206,62.6,46,98,46.9,1,7,14.3,2,1.5,1.0,0.5,13,7,7,0,20,ESP-La Liga,2024,passing
ESP,"FW,MF",23-351,2001,15.9,261,406,64.3,4766,1274,117,153,76.5,100,149,67.1,38,75,50.7,5,2.6,4.5,2.4,25,16,25,15,37,ESP-La Liga,2024,passing
ESP,DF,30-165,1994,27.8,1018,1232,82.6,22326,8883,225,249,90.4,639,686,93.1,149,276,54.0,2,1.4,1.6,0.6,5,57,3,0,74,ESP-La Liga,2024,passing
CMR,DF,23-186,2001,25.2,917,1058,86.7,17621,6934,318,346,91.9,503,544,92.5,89,147,60.5,0,0.8,0.5,-0.8,3,61,4,0,86,ESP-La Liga,2024,passing
ESP,"FW,MF",22-244,2002,0.4,9,13,69.2,128,7,4,6,66.7,3,4,75.0,1,2,50.0,0,0.0,0.0,0.0,1,0,0,0,0,ESP-La Liga,2024,passing
ESP,MF,22-157,2002,4.6,151,198,76.3,2573,662,74,83,89.2,62,76,81.6,12,21,57.1,0,0.2,0.5,-0.2,3,15,3,0,13,ESP-La Liga,2024,passing
