nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,league,season,stat_type
,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,,,
ENG,"MF,DF",22,1997,5.4,0,2,1,50.0,0.37,0.18,0.0,0.0,20.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1,ENG-Premier League,2021,shooting
FRA,FW,29,1991,21.4,13,42,25,59.5,1.97,1.17,0.24,0.4,14.9,3,3,3,11.7,9.3,0.22,1.3,0.7,ENG-Premier League,2021,shooting
GER,GK,28,1992,34.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ENG-Premier League,2021,shooting
ENG,"FW,MF",18,2001,28.4,5,61,20,32.8,2.15,0.71,0.08,0.25,16.1,1,0,0,6.9,6.9,0.11,-1.9,-1.9,ENG-Premier League,2021,shooting
ENG,DF,25,1995,8.4,0,8,0,0.0,0.96,0.0,0.0,,16.6,0,0,0,0.4,0.4,0.05,-0.4,-0.4,ENG-Premier League,2021,shooting
POR,DF,28,1991,8.3,0,7,2,28.6,0.84,0.24,0.0,0.0,25.2,1,0,0,0.3,0.3,0.04,-0.3,-0.3,ENG-Premier League,2021,shooting
ESP,MF,23,1996,17.9,0,13,2,15.4,0.72,0.11,0.0,0.0,21.7,1,0,0,0.6,0.6,0.05,-0.6,-0.6,ENG-Premier League,2021,shooting
BRA,DF,33,1987,15.5,1,15,2,13.3,0.97,0.13,0.07,0.5,19.0,3,0,0,0.9,0.9,0.06,0.1,0.1,ENG-Premier League,2021,shooting
ENG,FW,21,1999,4.7,2,12,5,41.7,2.55,1.06,0.17,0.4,12.8,0,0,0,1.8,1.8,0.15,0.2,0.2,ENG-Premier League,2021,shooting
ENG,"MF,FW",20,2000,16.0,2,13,4,30.8,0.81,0.25,0.15,0.5,17.8,0,0,0,1.8,1.8,0.14,0.2,0.2,ENG-Premier League,2021,shooting
BRA,DF,22,1997,22.2,2,16,4,25.0,0.72,0.18,0.13,0.5,12.6,0,0,0,1.3,1.3,0.08,0.7,0.7,ENG-Premier League,2021,shooting
BRA,FW,19,2001,6.5,2,20,8,40.0,3.06,1.22,0.1,0.25,14.1,0,0,0,3.3,3.3,0.17,-1.3,-1.3,ENG-Premier League,2021,shooting
SUI,"MF,DF",27,1992,28.0,1,21,7,33.3,0.75,0.25,0.05,0.14,27.1,7,0,0,0.9,0.9,0.04,0.1,0.1,ENG-Premier League,2021,shooting
