nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,league,season,stat_type
,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,,,
COD,"FW,MF",23,1998,22.1,5,42,16,38.1,1.9,0.72,0.1,0.25,16.1,0,1,1,6.5,5.7,0.14,-1.5,-1.7,GER-Bundesliga,2022,shooting
FRA,"FW,DF",21,2001,3.6,4,11,6,54.5,3.04,1.66,0.27,0.5,19.4,0,1,1,2.3,1.5,0.14,1.7,1.5,GER-Bundesliga,2022,shooting
GRE,"FW,DF",19,2003,0.8,0,2,1,50.0,2.5,1.25,0.0,0.0,13.7,0,0,0,0.3,0.3,0.13,-0.3,-0.3,GER-Bundesliga,2022,shooting
POR,"FW,MF",20,2002,14.3,3,34,13,38.2,2.37,0.91,0.09,0.23,19.1,0,0,0,2.9,2.9,0.09,0.1,0.1,GER-Bundesliga,2022,shooting
GER,DF,26,1996,32.6,1,24,5,20.8,0.74,0.15,0.04,0.2,18.3,0,0,0,1.6,1.6,0.07,-0.6,-0.6,GER-Bundesliga,2022,shooting
JPN,MF,29,1993,32.5,5,45,15,33.3,1.39,0.46,0.11,0.33,16.7,0,0,0,3.8,3.8,0.09,1.2,1.2,GER-Bundesliga,2022,shooting
HUN,MF,23,1999,9.6,0,7,1,14.3,0.73,0.1,0.0,0.0,23.5,0,0,0,0.4,0.4,0.06,-0.4,-0.4,GER-Bundesliga,2022,shooting
TUN,MF,25,1996,9.7,2,6,2,33.3,0.62,0.21,0.33,1.0,16.4,0,0,0,0.8,0.8,0.14,1.2,1.2,GER-Bundesliga,2022,shooting
AUT,DF,35,1987,20.1,0,14,3,21.4,0.7,0.15,0.0,0.0,17.8,1,0,0,0.7,0.7,0.05,-0.7,-0.7,GER-Bundesliga,2022,shooting
NED,DF,24,1998,24.6,5,17,9,52.9,0.69,0.37,0.29,0.56,11.6,0,0,0,1.9,1.9,0.11,3.1,3.1,GER-Bundesliga,2022,shooting
POR,DF,23,1999,25.0,0,12,0,0.0,0.48,0.0,0.0,,14.8,0,0,0,0.8,0.8,0.07,-0.8,-0.8,GER-Bundesliga,2022,shooting
DEN,GK,29,1992,29.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,GER-Bundesliga,2022,shooting
JPN,MF,31,1991,5.5,0,6,1,16.7,1.08,0.18,0.0,0.0,21.4,0,0,0,0.3,0.3,0.04,-0.3,-0.3,GER-Bundesliga,2022,shooting
GER,"FW,MF",21,2001,2.9,1,9,5,55.6,3.06,1.7,0.11,0.2,16.7,0,0,0,0.7,0.7,0.07,0.3,0.3,GER-Bundesliga,2022,shooting
GER,MF,28,1994,24.3,5,32,14,43.8,1.32,0.58,0.16,0.36,19.0,0,0,0,3.3,3.3,0.1,1.7,1.7,GER-Bundesliga,2022,shooting
USA,FW,26,1996,15.1,4,32,6,18.8,2.12,0.4,0.13,0.67,12.2,0,0,2,4.5,2.9,0.09,-0.5,1.1,GER-Bundesliga,2022,shooting
CRO,DF,26,1995,10.4,2,6,1,16.7,0.58,0.1,0.17,1.0,29.6,2,1,1,1.6,0.8,0.14,0.4,0.2,GER-Bundesliga,2022,shooting
NOR,DF,24,1997,11.5,0,16,5,31.3,1.39,0.43,0.0,0.0,24.0,0,0,0,0.7,0.7,0.04,-0.7,-0.7,GER-Bundesliga,2022,shooting
FRA,DF,29,1993,10.6,0,9,2,22.2,0.85,0.19,0.0,0.0,22.1,0,0,0,0.5,0.5,0.06,-0.5,-0.5,GER-Bundesliga,2022,shooting
GER,FW,31,1991,17.1,8,35,14,40.0,2.05,0.82,0.23,0.57,11.7,0,0,0,4.8,4.8,0.14,3.2,3.2,GER-Bundesliga,2022,shooting
