nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,league,season,stat_type
,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,,,
NGA,"FW,MF",24,1997,19.2,13,49,23,46.9,2.55,1.2,0.2,0.43,15.8,1,3,3,9.1,6.7,0.14,3.9,3.3,ITA-Serie A,2022,shooting
ALB,DF,29,1993,20.0,0,5,0,0.0,0.25,0.0,0.0,,7.6,0,0,0,0.6,0.6,0.12,-0.6,-0.6,ITA-Serie A,2022,shooting
FRA,DF,20,2002,7.1,0,7,2,28.6,0.98,0.28,0.0,0.0,18.9,0,0,0,0.3,0.3,0.05,-0.3,-0.3,ITA-Serie A,2022,shooting
ITA,DF,21,2001,10.7,0,7,2,28.6,0.66,0.19,0.0,0.0,12.2,0,0,0,0.5,0.5,0.06,-0.5,-0.5,ITA-Serie A,2022,shooting
ITA,DF,30,1992,16.3,4,25,10,40.0,1.53,0.61,0.16,0.4,16.6,0,0,0,1.5,1.5,0.06,2.5,2.5,ITA-Serie A,2022,shooting
COL,FW,31,1991,15.4,2,41,8,19.5,2.65,0.52,0.05,0.25,15.6,0,0,0,3.9,3.9,0.1,-1.9,-1.9,ITA-Serie A,2022,shooting
ITA,GK,31,1991,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ITA-Serie A,2022,shooting
ITA,DF,18,2003,25.9,2,17,4,23.5,0.66,0.15,0.12,0.5,11.2,0,0,0,2.0,2.0,0.12,0.0,0.0,ITA-Serie A,2022,shooting
NED,DF,28,1994,15.5,1,12,4,33.3,0.77,0.26,0.08,0.25,10.5,0,0,0,1.3,1.3,0.11,-0.3,-0.3,ITA-Serie A,2022,shooting
CIV,"MF,FW",25,1997,8.7,2,13,3,23.1,1.5,0.35,0.15,0.67,20.2,2,0,0,1.9,1.9,0.14,0.1,0.1,ITA-Serie A,2022,shooting
