league,season,team,player,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,stat_type
,,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,
FRA-Ligue 1,2021,Angers,Abdoulaye Bamba,CIV,DF,30,1990,15.0,0,1,1,100.0,0.07,0.07,0.0,0.0,15.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1,shooting
FRA-Ligue 1,2021,Angers,Angelo Fulgini,FRA,MF,23,1996,30.3,7,65,28,43.1,2.15,0.92,0.09,0.21,20.4,7,1,1,5.4,4.6,0.07,1.6,1.4,shooting
FRA-Ligue 1,2021,Angers,Antonin Bobichon,FRA,"MF,FW",24,1995,10.1,0,22,3,13.6,2.17,0.3,0.0,0.0,24.1,3,0,0,1.0,1.0,0.04,-1.0,-1.0,shooting
FRA-Ligue 1,2021,Angers,Baptiste Santamaria,FRA,MF,25,1995,3.0,0,4,3,75.0,1.33,1.0,0.0,0.0,27.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,shooting
FRA-Ligue 1,2021,Angers,Casimir Ninga,CHA,FW,27,1993,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
FRA-Ligue 1,2021,Angers,Enzo Ebosse,CMR,DF,21,1999,2.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
FRA-Ligue 1,2021,Angers,Farid El Melali,ALG,"FW,MF",23,1997,4.6,1,13,5,38.5,2.83,1.09,0.08,0.2,18.5,0,0,0,1.2,1.2,0.09,-0.2,-0.2,shooting
FRA-Ligue 1,2021,Angers,Ibrahim Amadou,FRA,MF,27,1993,16.7,0,15,5,33.3,0.9,0.3,0.0,0.0,20.3,0,0,0,1.5,1.5,0.1,-1.5,-1.5,shooting
FRA-Ligue 1,2021,Angers,Ismaël Traoré,CIV,DF,33,1986,33.3,3,13,5,38.5,0.39,0.15,0.23,0.6,9.8,0,0,0,1.5,1.5,0.12,1.5,1.5,shooting
FRA-Ligue 1,2021,Angers,Jimmy Cabot,FRA,"FW,MF",26,1994,10.5,1,10,4,40.0,0.96,0.38,0.1,0.25,19.8,0,0,0,0.8,0.8,0.08,0.2,0.2,shooting
FRA-Ligue 1,2021,Angers,Lassana Coulibaly,MLI,MF,24,1996,18.7,1,14,4,28.6,0.75,0.21,0.07,0.25,23.2,0,0,0,1.2,1.2,0.08,-0.2,-0.2,shooting
FRA-Ligue 1,2021,Angers,Lois Diony,FRA,FW,27,1992,19.4,5,28,13,46.4,1.44,0.67,0.14,0.31,15.3,0,1,1,4.0,3.3,0.12,1.0,0.7,shooting
FRA-Ligue 1,2021,Angers,Mateo Pavlović,BIH,DF,30,1990,12.3,0,4,0,0.0,0.33,0.0,0.0,,10.0,0,0,0,0.4,0.4,0.09,-0.4,-0.4,shooting
FRA-Ligue 1,2021,Angers,Mathias Pereira Lage,POR,"FW,MF",23,1996,16.3,4,28,10,35.7,1.72,0.61,0.14,0.4,21.7,2,0,0,2.1,2.1,0.08,1.9,1.9,shooting
FRA-Ligue 1,2021,Angers,Mohamed Ali Cho,FRA,"FW,MF",16,2004,3.9,0,10,0,0.0,2.59,0.0,0.0,,13.0,0,0,0,1.9,1.9,0.19,-1.9,-1.9,shooting
FRA-Ligue 1,2021,Angers,Noah Fatar,FRA,"FW,MF",18,2002,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
FRA-Ligue 1,2021,Angers,Paul Bernardoni,FRA,GK,23,1997,38.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
FRA-Ligue 1,2021,Angers,Pierrick Capelle,FRA,"MF,DF",33,1987,22.8,3,29,5,17.2,1.27,0.22,0.1,0.6,21.2,1,0,0,3.0,3.0,0.1,0.0,0.0,shooting
FRA-Ligue 1,2021,Angers,Rachid Alioui,MAR,FW,28,1992,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
FRA-Ligue 1,2021,Angers,Rayan Aït-Nouri,ALG,DF,19,2001,2.1,0,1,0,0.0,0.48,0.0,0.0,,14.3,0,0,0,0.1,0.1,0.06,-0.1,-0.1,shooting
FRA-Ligue 1,2021,Angers,Romain Thomas,FRA,DF,32,1988,33.6,4,14,6,42.9,0.42,0.18,0.29,0.67,9.3,0,0,0,2.6,2.6,0.19,1.4,1.4,shooting
FRA-Ligue 1,2021,Angers,Sada Thioub,SEN,"FW,MF",25,1995,14.0,1,23,6,26.1,1.65,0.43,0.04,0.17,19.0,0,0,0,1.1,1.1,0.05,-0.1,-0.1,shooting
FRA-Ligue 1,2021,Angers,Sofiane Boufal,MAR,"FW,MF",26,1993,8.1,1,13,5,38.5,1.6,0.61,0.08,0.2,16.4,2,0,0,1.7,1.7,0.13,-0.7,-0.7,shooting
FRA-Ligue 1,2021,Angers,Souleyman Doumbia,CIV,DF,23,1996,24.7,0,7,2,28.6,0.28,0.08,0.0,0.0,21.3,0,0,0,0.6,0.6,0.09,-0.6,-0.6,shooting
FRA-Ligue 1,2021,Angers,Stéphane Bahoken,CMR,FW,28,1992,18.0,6,59,23,39.0,3.29,1.28,0.1,0.26,16.1,0,0,1,8.3,7.5,0.13,-2.3,-1.5,shooting
FRA-Ligue 1,2021,Angers,Thomas Mangani,FRA,MF,33,1987,29.9,3,21,4,19.0,0.7,0.13,0.0,0.0,25.8,3,3,3,3.3,0.9,0.04,-0.3,-0.9,shooting
FRA-Ligue 1,2021,Angers,Vincent Manceau,FRA,DF,31,1989,25.7,0,6,2,33.3,0.23,0.08,0.0,0.0,22.6,0,0,0,0.2,0.2,0.03,-0.2,-0.2,shooting
FRA-Ligue 1,2021,Angers,Waniss Taibi,FRA,MF,18,2002,0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
FRA-Ligue 1,2021,Angers,Wilfried Kanga,CIV,FW,22,1998,1.5,0,1,1,100.0,0.68,0.68,0.0,0.0,17.8,0,0,0,0.2,0.2,0.24,-0.2,-0.2,shooting
FRA-Ligue 1,2021,Angers,Yassin Fortune,FRA,FW,21,1999,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
FRA-Ligue 1,2021,Angers,Zinédine Ould Khaled,FRA,MF,20,2000,0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
FRA-Ligue 1,2021,Bordeaux,Amadou Traore,FRA,"FW,MF",18,2002,3.4,0,3,1,33.3,0.89,0.3,0.0,0.0,18.0,0,0,0,0.2,0.2,0.07,-0.2,-0.2,shooting
FRA-Ligue 1,2021,Bordeaux,Benoît Costil,FRA,GK,33,1987,38.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
FRA-Ligue 1,2021,Bordeaux,Dilane Bakwa,FRA,"FW,MF",17,2002,0.6,0,3,2,66.7,4.82,3.21,0.0,0.0,21.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1,shooting
FRA-Ligue 1,2021,Bordeaux,Enock Kwateng,FRA,DF,23,1997,11.5,1,4,2,50.0,0.35,0.17,0.25,0.5,11.2,0,0,0,0.5,0.5,0.13,0.5,0.5,shooting
FRA-Ligue 1,2021,Bordeaux,Hatem Ben Arfa,FRA,"MF,FW",33,1987,18.9,2,33,11,33.3,1.74,0.58,0.06,0.18,21.6,5,0,0,2.3,2.3,0.07,-0.3,-0.3,shooting
FRA-Ligue 1,2021,Bordeaux,Hwang Ui-jo,KOR,"FW,MF",27,1992,27.8,12,73,27,37.0,2.62,0.97,0.12,0.33,14.8,0,3,3,12.6,10.3,0.14,-0.6,-1.3,shooting
FRA-Ligue 1,2021,Bordeaux,Issouf Sissokho,MLI,"MF,DF",18,2002,0.9,1,2,1,50.0,2.31,1.15,0.5,1.0,26.4,0,0,0,0.1,0.1,0.03,0.9,0.9,shooting
FRA-Ligue 1,2021,Bordeaux,Jean Seri,CIV,MF,29,1991,7.9,0,4,0,0.0,0.51,0.0,0.0,,24.1,2,0,0,0.2,0.2,0.04,-0.2,-0.2,shooting
FRA-Ligue 1,2021,Bordeaux,Jimmy Briand,FRA,FW,34,1985,6.3,1,12,3,25.0,1.89,0.47,0.0,0.0,14.0,0,1,1,1.8,1.0,0.08,-0.8,-1.0,shooting
FRA-Ligue 1,2021,Bordeaux,Josh Maja,NGA,FW,21,1998,8.9,2,19,9,47.4,2.13,1.01,0.11,0.22,15.1,0,0,0,2.4,2.4,0.12,-0.4,-0.4,shooting
FRA-Ligue 1,2021,Bordeaux,Laurent Koscielny,FRA,DF,34,1985,24.6,0,6,1,16.7,0.24,0.04,0.0,0.0,8.4,0,0,0,1.6,1.6,0.29,-1.6,-1.6,shooting
FRA-Ligue 1,2021,Bordeaux,Loris Benito,SUI,DF,28,1992,29.5,0,8,1,12.5,0.27,0.03,0.0,0.0,12.3,0,0,0,0.5,0.5,0.06,-0.5,-0.5,shooting
FRA-Ligue 1,2021,Bordeaux,Loïc Bessile,TOG,DF,21,1999,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
FRA-Ligue 1,2021,Bordeaux,Maxime Poundjé,FRA,DF,27,1992,5.5,0,1,0,0.0,0.18,0.0,0.0,,24.9,0,0,0,0.0,0.0,0.05,0.0,0.0,shooting
FRA-Ligue 1,2021,Bordeaux,Mehdi Zerkane,ALG,"MF,FW",21,1999,13.2,1,15,7,46.7,1.14,0.53,0.07,0.14,17.0,0,0,0,1.6,1.6,0.11,-0.6,-0.6,shooting
FRA-Ligue 1,2021,Bordeaux,Mexer,MOZ,DF,31,1988,7.9,0,1,0,0.0,0.13,0.0,0.0,,10.7,0,0,0,0.1,0.1,0.13,-0.1,-0.1,shooting
FRA-Ligue 1,2021,Bordeaux,Nicolas de Préville,FRA,"FW,MF",29,1991,17.9,1,38,11,28.9,2.12,0.61,0.03,0.09,16.8,3,0,0,3.8,3.8,0.1,-2.8,-2.8,shooting
FRA-Ligue 1,2021,Bordeaux,Otávio,BRA,MF,26,1994,17.3,1,6,2,33.3,0.35,0.12,0.17,0.5,28.9,0,0,0,0.4,0.4,0.07,0.6,0.6,shooting
FRA-Ligue 1,2021,Bordeaux,Pablo,BRA,DF,29,1991,12.0,1,9,1,11.1,0.75,0.08,0.11,1.0,9.4,0,0,0,1.1,1.1,0.12,-0.1,-0.1,shooting
FRA-Ligue 1,2021,Bordeaux,Paul Baysse,FRA,DF,32,1988,29.0,2,11,2,18.2,0.38,0.07,0.18,1.0,10.3,0,0,0,1.5,1.5,0.13,0.5,0.5,shooting
FRA-Ligue 1,2021,Bordeaux,Remi Oudin,FRA,"FW,MF",23,1996,26.9,4,55,16,29.1,2.05,0.6,0.07,0.25,17.2,1,0,0,3.9,3.9,0.07,0.1,0.1,shooting
FRA-Ligue 1,2021,Bordeaux,Rubén Pardo,ESP,MF,27,1992,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
FRA-Ligue 1,2021,Bordeaux,Samuel Kalu,NGA,"FW,MF",22,1997,10.7,4,25,8,32.0,2.33,0.75,0.16,0.5,17.4,1,0,0,1.8,1.8,0.07,2.2,2.2,shooting
FRA-Ligue 1,2021,Bordeaux,Sekou Mara,FRA,"FW,MF",18,2002,2.5,1,4,4,100.0,1.57,1.57,0.25,0.25,15.4,0,0,0,0.5,0.5,0.13,0.5,0.5,shooting
FRA-Ligue 1,2021,Bordeaux,Tom Lacoux,FRA,MF,18,2002,5.8,0,3,0,0.0,0.52,0.0,0.0,,25.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,shooting
FRA-Ligue 1,2021,Bordeaux,Toma Bašić,CRO,MF,23,1996,28.9,4,45,17,37.8,1.56,0.59,0.09,0.24,21.8,7,0,0,4.6,4.6,0.1,-0.6,-0.6,shooting
FRA-Ligue 1,2021,Bordeaux,Yacine Adli,FRA,MF,20,2000,26.9,2,24,9,37.5,0.89,0.33,0.08,0.22,20.0,1,0,0,1.9,1.9,0.08,0.1,0.1,shooting
FRA-Ligue 1,2021,Bordeaux,Youssouf Sabaly,SEN,DF,27,1993,32.3,1,13,2,15.4,0.4,0.06,0.08,0.5,21.9,0,0,0,0.6,0.6,0.05,0.4,0.4,shooting
FRA-Ligue 1,2021,Brest,Bandiougou Fadiga,FRA,"MF,FW",19,2001,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
FRA-Ligue 1,2021,Brest,Brendan Chardonnet,FRA,DF,25,1994,30.2,3,21,9,42.9,0.7,0.3,0.14,0.33,13.5,0,0,0,2.3,2.3,0.11,0.7,0.7,shooting
FRA-Ligue 1,2021,Brest,Christophe Hérelle,MTQ,DF,27,1992,15.3,0,6,0,0.0,0.39,0.0,0.0,,8.4,0,0,0,0.9,0.9,0.15,-0.9,-0.9,shooting
FRA-Ligue 1,2021,Brest,Cristian Battocchio,ITA,MF,28,1992,3.9,0,5,1,20.0,1.27,0.25,0.0,0.0,24.1,1,0,0,0.4,0.4,0.09,-0.4,-0.4,shooting
