league,season,team,player,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,stat_type
,,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,
FRA-Ligue 1,2024,Monaco,Maghnes Akliouche,FRA,"FW,MF",23-045,2002,21.7,4,48,12,25.0,2.21,0.55,0.06,0.25,16.3,1,1,1,7.1,6.3,0.13,-3.1,-3.3,shooting
FRA-Ligue 1,2024,Monaco,Mamadou Coulibaly,FRA,MF,20-355,2004,0.1,0,1,0,0.0,11.25,0.0,0.0,,22.2,0,0,0,0.1,0.1,0.08,-0.1,-0.1,shooting
FRA-Ligue 1,2024,Monaco,Mika Biereth,DEN,FW,22-062,2003,9.9,12,34,17,50.0,3.43,1.72,0.32,0.65,11.8,0,1,2,9.8,8.2,0.24,2.2,2.8,shooting
FRA-Ligue 1,2024,Monaco,Mohammed Salisu,GHA,DF,25-359,1999,11.3,1,8,4,50.0,0.71,0.35,0.13,0.25,8.1,0,0,0,0.8,0.8,0.1,0.2,0.2,shooting
FRA-Ligue 1,2024,Monaco,Philipp Köhn,SUI,GK,27-009,1998,13.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
FRA-Ligue 1,2024,Monaco,Radosław Majecki,POL,GK,25-146,1999,15.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
FRA-Ligue 1,2024,Monaco,Saïmon Bouabré,FRA,"MF,FW",18-314,2006,0.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
FRA-Ligue 1,2024,Monaco,Soungoutou Magassa,FRA,MF,21-185,2003,9.8,0,8,3,37.5,0.82,0.31,0.0,0.0,19.0,0,0,0,0.5,0.5,0.06,-0.5,-0.5,shooting
FRA-Ligue 1,2024,Monaco,Takumi Minamino,JPN,"MF,FW",30-085,1995,19.9,4,45,15,33.3,2.26,0.75,0.09,0.27,14.8,0,0,0,7.3,7.3,0.16,-3.3,-3.3,shooting
FRA-Ligue 1,2024,Monaco,Thilo Kehrer,GER,DF,28-202,1996,23.5,4,10,8,80.0,0.43,0.34,0.4,0.5,8.7,0,0,0,1.3,1.3,0.13,2.7,2.7,shooting
