league,season,team,player,nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,stat_type
,,,,,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,
ITA-Serie A,2020,Benevento,Amadou Diambo,GHA,FW,19,2001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,misc
ITA-Serie A,2020,Benevento,Andrés Tello,COL,"DF,MF",23,1996,4.6,3,0,0,6,4,0,10,6,6,0,0,0,35,10,10,50.0,misc
ITA-Serie A,2020,Benevento,Artur Ioniță,MDA,MF,29,1990,31.5,6,0,0,59,23,1,25,19,22,2,0,0,125,65,91,41.7,misc
ITA-Serie A,2020,Benevento,Bryan Dabo,BFA,MF,28,1992,12.4,5,0,0,17,19,1,14,13,8,0,0,0,84,52,19,73.2,misc
ITA-Serie A,2020,Benevento,Christian Maggio,ITA,DF,38,1982,3.3,2,0,0,6,7,0,3,2,4,0,0,0,12,3,8,27.3,misc
ITA-Serie A,2020,Benevento,Christian Pastina,ITA,DF,19,2001,1.3,1,0,0,1,0,0,2,1,0,0,0,0,2,0,0,,misc
ITA-Serie A,2020,Benevento,Daam Foulon,BEL,DF,21,1999,11.3,4,0,0,16,22,0,27,14,15,0,0,1,36,11,6,64.7,misc
ITA-Serie A,2020,Benevento,Fabio Depaoli,ITA,DF,23,1997,12.4,2,0,0,17,8,1,23,12,13,0,0,1,45,12,14,46.2,misc
ITA-Serie A,2020,Benevento,Federico Barba,ITA,DF,26,1993,29.5,8,0,0,27,10,1,38,48,16,0,0,1,116,22,30,42.3,misc
ITA-Serie A,2020,Benevento,Gabriele Moncini,ITA,"FW,MF",24,1996,4.0,0,0,0,9,10,1,0,2,1,0,0,0,18,10,17,37.0,misc
ITA-Serie A,2020,Benevento,Gaetano Letizia,ITA,DF,30,1990,17.4,2,0,0,14,22,0,84,20,25,0,0,0,116,13,8,61.9,misc
ITA-Serie A,2020,Benevento,Gianluca Caprari,ITA,"MF,FW",27,1993,20.7,4,1,0,23,55,8,106,18,11,1,0,0,129,3,30,9.1,misc
ITA-Serie A,2020,Benevento,Gianluca Lapadula,PER,FW,30,1990,28.5,2,0,0,48,68,34,14,5,12,3,0,0,55,34,88,27.9,misc
ITA-Serie A,2020,Benevento,Giuseppe Di Serio,ITA,"FW,MF",19,2001,3.2,1,0,0,13,17,2,1,0,2,0,0,0,12,7,17,29.2,misc
ITA-Serie A,2020,Benevento,Iago Falque,ESP,"MF,FW",30,1990,4.0,0,0,0,0,3,0,30,0,2,0,0,0,27,1,5,16.7,misc
ITA-Serie A,2020,Benevento,Kamil Glik,POL,DF,32,1988,35.6,10,1,1,32,21,0,1,62,24,0,0,1,137,87,55,61.3,misc
ITA-Serie A,2020,Benevento,Lorenzo Del Pinto,ITA,MF,30,1990,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,misc
ITA-Serie A,2020,Benevento,Lorenzo Montipò,ITA,GK,24,1996,37.0,3,0,0,3,6,0,0,0,0,0,2,1,31,9,2,81.8,misc
ITA-Serie A,2020,Benevento,Luca Caldirola,ITA,DF,29,1991,17.5,6,1,1,20,25,1,3,20,13,0,0,0,60,26,25,51.0,misc
ITA-Serie A,2020,Benevento,Marco Sau,ITA,"MF,FW",32,1987,8.7,1,1,0,8,19,1,40,5,2,1,0,0,37,1,16,5.9,misc
ITA-Serie A,2020,Benevento,Niccolò Manfredini,ITA,GK,32,1988,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,misc
ITA-Serie A,2020,Benevento,Nicolas Viola,ITA,MF,30,1989,11.5,1,0,0,14,23,0,47,9,9,0,0,0,64,6,11,35.3,misc
ITA-Serie A,2020,Benevento,Pasquale Schiattarella,ITA,MF,33,1987,25.0,13,1,0,36,54,1,6,32,22,0,0,0,172,12,8,60.0,misc
ITA-Serie A,2020,Benevento,Përparim Hetemaj,FIN,MF,33,1986,24.6,5,0,0,41,78,1,43,22,27,0,0,0,158,14,28,33.3,misc
ITA-Serie A,2020,Benevento,Riccardo Improta,ITA,"DF,MF",26,1993,25.9,7,0,0,23,55,2,77,28,23,0,0,1,121,49,49,50.0,misc
ITA-Serie A,2020,Benevento,Roberto Insigne,ITA,"MF,FW",26,1994,17.8,2,0,0,13,15,3,47,7,10,0,0,0,79,5,19,20.8,misc
ITA-Serie A,2020,Benevento,Siriki Sanogo,CIV,MF,18,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,misc
ITA-Serie A,2020,Bologna,Aaron Hickey,SCO,DF,18,2002,8.4,3,1,0,11,14,0,7,15,8,0,0,0,51,6,5,54.5,misc
ITA-Serie A,2020,Bologna,Adama Soumaoro,FRA,DF,28,1992,19.5,4,0,0,33,19,0,0,20,14,0,3,0,111,60,15,80.0,misc
ITA-Serie A,2020,Bologna,Andrea Poli,ITA,MF,30,1989,4.3,1,0,0,5,7,0,2,7,7,0,0,1,27,0,7,0.0,misc
ITA-Serie A,2020,Bologna,Andreas Skov Olsen,DEN,"FW,DF",20,1999,13.1,1,0,0,12,12,2,66,3,10,0,0,0,58,9,10,47.4,misc
ITA-Serie A,2020,Bologna,Andri Fannar Baldursson,ISL,MF,18,2002,2.4,2,0,0,7,3,1,0,3,6,0,0,0,8,3,6,33.3,misc
ITA-Serie A,2020,Bologna,Angelo da Costa Júnior,BRA,GK,36,1983,6.0,2,0,0,0,0,0,0,0,0,0,0,0,16,0,0,,misc
ITA-Serie A,2020,Bologna,Antonio Raimondo,ITA,FW,16,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,misc
ITA-Serie A,2020,Bologna,Arturo Calabresi,ITA,"DF,FW",24,1996,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,misc
ITA-Serie A,2020,Bologna,Danilo Larangeira,BRA,DF,36,1984,34.8,8,0,0,38,15,1,2,51,24,0,2,0,168,79,74,51.6,misc
