nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,league,season,stat_type
,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,,,
ALG,DF,16,2005,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,FRA-Ligue 1,2022,shooting
CIV,FW,18,2003,2.3,0,2,0,0.0,0.86,0.0,0.0,,28.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,FRA-Ligue 1,2022,shooting
FRA,GK,33,1989,31.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,FRA-Ligue 1,2022,shooting
CGO,FW,27,1995,7.8,1,20,7,35.0,2.58,0.9,0.05,0.14,12.6,0,0,0,1.8,1.8,0.09,-0.8,-0.8,FRA-Ligue 1,2022,shooting
FRA,"DF,MF",22,2000,21.1,1,12,2,16.7,0.57,0.09,0.08,0.5,10.8,0,0,0,0.8,0.8,0.06,0.2,0.2,FRA-Ligue 1,2022,shooting
BFA,MF,26,1996,22.3,1,22,6,27.3,0.99,0.27,0.05,0.17,15.2,0,0,0,2.0,2.0,0.09,-1.0,-1.0,FRA-Ligue 1,2022,shooting
GLP,DF,35,1986,19.9,1,3,1,33.3,0.15,0.05,0.33,1.0,4.1,0,0,0,1.0,1.0,0.41,0.0,0.0,FRA-Ligue 1,2022,shooting
CGO,DF,26,1996,7.9,0,4,0,0.0,0.51,0.0,0.0,,6.2,0,0,0,1.2,1.2,0.29,-1.2,-1.2,FRA-Ligue 1,2022,shooting
FRA,MF,24,1998,3.7,0,2,1,50.0,0.55,0.27,0.0,0.0,26.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,FRA-Ligue 1,2022,shooting
