nation,pos,age,born,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,league,season,stat_type
,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,,,
ENG,DF,24,1997,36.9,2192,349,1280,850,70,22,2192,15,5,33.3,3,20.0,1375,6226,3596,7,9,0,15,5,1533,11,ENG-Premier League,2022,possession
ENG,"MF,FW",21,2001,29.3,1245,57,238,609,422,85,1245,77,31,40.3,31,40.3,752,5322,2656,94,62,21,62,37,819,119,ENG-Premier League,2022,possession
POL,DF,26,1996,1.1,79,9,39,40,1,0,79,0,0,,0,,47,291,177,1,0,0,0,0,53,0,ENG-Premier League,2022,possession
SCO,"MF,FW",27,1994,29.9,1348,37,218,756,388,45,1348,70,45,64.3,14,20.0,804,4072,1799,34,35,8,58,35,888,66,ENG-Premier League,2022,possession
COL,"FW,MF",18,2003,1.5,57,3,3,26,29,6,57,2,1,50.0,1,50.0,33,205,123,4,5,1,8,3,41,13,ENG-Premier League,2022,possession
BEL,MF,27,1995,7.7,365,21,102,219,46,7,365,5,3,60.0,2,40.0,171,852,271,1,6,1,8,3,207,2,ENG-Premier League,2022,possession
JAM,"FW,MF",24,1997,21.9,813,16,91,283,456,89,813,112,41,36.6,55,49.1,521,4027,1706,85,33,38,48,53,561,182,ENG-Premier League,2022,possession
FRA,DF,29,1993,16.7,1096,64,365,396,342,24,1096,18,3,16.7,11,61.1,552,2363,1262,29,14,2,16,12,625,89,ENG-Premier League,2022,possession
SWE,DF,28,1994,0.9,51,3,19,15,17,2,51,1,0,0.0,1,100.0,29,180,27,0,2,0,0,0,21,3,ENG-Premier League,2022,possession
POL,DF,24,1997,20.2,1215,76,423,545,258,11,1215,33,16,48.5,9,27.3,610,3143,1677,42,33,4,24,7,652,57,ENG-Premier League,2022,possession
FRA,MF,27,1994,0.1,9,1,1,4,4,0,9,0,0,,0,,5,11,9,0,0,0,1,0,5,0,ENG-Premier League,2022,possession
ENG,FW,26,1995,34.7,927,47,86,365,488,164,925,65,18,27.7,36,55.4,475,2519,1164,50,24,32,82,39,684,196,ENG-Premier League,2022,possession
BRA,"MF,FW",30,1992,8.8,500,2,34,259,213,24,500,34,14,41.2,15,44.1,309,1747,739,18,28,5,23,17,369,68,ENG-Premier League,2022,possession
SWE,GK,32,1990,3.1,141,119,139,2,0,0,141,0,0,,0,,80,405,198,0,0,0,1,0,57,0,ENG-Premier League,2022,possession
ENG,DF,29,1993,35.0,2228,384,1276,877,81,21,2228,12,6,50.0,3,25.0,1379,7995,4556,20,21,3,8,7,1486,7,ENG-Premier League,2022,possession
ESP,DF,29,1993,14.8,949,60,327,337,293,43,949,57,23,40.4,27,47.4,510,3260,1642,65,29,16,38,15,570,122,ENG-Premier League,2022,possession
ENG,DF,31,1991,32.7,1527,112,602,650,296,17,1527,30,6,20.0,17,56.7,647,2762,1368,28,21,3,21,4,771,54,ENG-Premier League,2022,possession
GHA,"FW,MF",22,2000,2.9,102,8,24,43,39,5,102,6,3,50.0,2,33.3,58,508,239,5,9,4,12,6,64,11,ENG-Premier League,2022,possession
