league,season,team,player,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,stat_type
,,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,
ITA-Serie A,2024,Parma,Woyo Coulibaly,FRA,DF,25-326,1999,12.0,0,3,0,0.0,0.25,0.0,0.0,,23.7,0,0,0,0.1,0.1,0.05,-0.1,-0.1,shooting
ITA-Serie A,2024,Parma,Wylan Cyprien,FRA,MF,30-073,1995,0.3,0,1,0,0.0,3.21,0.0,0.0,,15.2,0,0,0,0.2,0.2,0.2,-0.2,-0.2,shooting
ITA-Serie A,2024,Parma,Yordan Osorio,VEN,DF,30-336,1994,1.9,0,1,0,0.0,0.52,0.0,0.0,,25.7,0,0,0,0.0,0.0,0.01,0.0,0.0,shooting
ITA-Serie A,2024,Parma,Zion Suzuki,JPN,GK,22-233,2002,29.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ITA-Serie A,2024,Roma,Alexis Saelemaekers,BEL,"DF,FW",25-288,1999,11.7,6,17,9,52.9,1.45,0.77,0.35,0.67,17.3,0,0,0,1.9,1.9,0.11,4.1,4.1,shooting
ITA-Serie A,2024,Roma,Anass Salah-Eddine,NED,DF,23-083,2002,1.7,0,2,1,50.0,1.18,0.59,0.0,0.0,13.0,0,0,0,0.3,0.3,0.16,-0.3,-0.3,shooting
ITA-Serie A,2024,Roma,Angeliño,ESP,DF,28-097,1997,28.3,2,19,4,21.1,0.67,0.14,0.11,0.5,20.3,0,0,0,1.1,1.1,0.06,0.9,0.9,shooting
ITA-Serie A,2024,Roma,Artem Dovbyk,UKR,FW,27-294,1997,23.0,11,57,23,40.4,2.48,1.0,0.16,0.39,13.9,0,2,2,11.3,9.7,0.18,-0.3,-0.7,shooting
ITA-Serie A,2024,Roma,Bryan Cristante,ITA,MF,30-039,1995,16.5,2,23,3,13.0,1.39,0.18,0.09,0.67,17.6,0,0,0,1.3,1.3,0.06,0.7,0.7,shooting
ITA-Serie A,2024,Roma,Devyne Rensch,NED,DF,22-083,2003,3.9,0,1,1,100.0,0.26,0.26,0.0,0.0,21.5,0,0,0,0.1,0.1,0.08,-0.1,-0.1,shooting
ITA-Serie A,2024,Roma,Eldor Shomurodov,UZB,FW,29-286,1995,6.9,3,22,10,45.5,3.17,1.44,0.14,0.3,12.1,0,0,0,3.4,3.4,0.15,-0.4,-0.4,shooting
ITA-Serie A,2024,Roma,Enzo Le Fée,FRA,MF,25-067,2000,3.5,0,4,2,50.0,1.13,0.57,0.0,0.0,24.9,0,0,0,0.2,0.2,0.06,-0.2,-0.2,shooting
ITA-Serie A,2024,Roma,Gianluca Mancini,ITA,DF,28-359,1996,27.9,1,16,3,18.8,0.57,0.11,0.06,0.33,12.0,0,0,0,1.3,1.3,0.08,-0.3,-0.3,shooting
ITA-Serie A,2024,Roma,Leandro Paredes,ARG,MF,30-286,1994,12.9,1,18,6,33.3,1.39,0.46,0.0,0.0,29.8,4,1,1,1.3,0.5,0.03,-0.3,-0.5,shooting
ITA-Serie A,2024,Roma,Lorenzo Pellegrini,ITA,MF,28-296,1996,16.2,2,35,11,31.4,2.16,0.68,0.03,0.09,18.9,2,1,1,4.5,3.7,0.11,-2.5,-2.7,shooting
ITA-Serie A,2024,Roma,Lucas Gourna-Douath,FRA,MF,21-249,2003,1.9,0,1,0,0.0,0.54,0.0,0.0,,15.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1,shooting
ITA-Serie A,2024,Roma,Manu Koné,FRA,MF,23-329,2001,21.9,2,29,7,24.1,1.32,0.32,0.07,0.29,19.7,0,0,0,2.9,2.9,0.1,-0.9,-0.9,shooting
ITA-Serie A,2024,Roma,Mario Hermoso,ESP,DF,29-297,1995,2.8,0,1,0,0.0,0.36,0.0,0.0,,10.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1,shooting
ITA-Serie A,2024,Roma,Mats Hummels,GER,DF,36-116,1988,10.2,0,8,1,12.5,0.79,0.1,0.0,0.0,15.3,0,0,0,0.5,0.5,0.06,-0.5,-0.5,shooting
ITA-Serie A,2024,Roma,Matìas Soulé,ARG,"MF,FW",21-361,2003,13.1,3,28,10,35.7,2.13,0.76,0.11,0.3,20.8,1,0,0,2.1,2.1,0.07,0.9,0.9,shooting
ITA-Serie A,2024,Roma,Mile Svilar,SRB,GK,25-227,1999,31.0,0,1,0,0.0,0.03,0.0,0.0,,10.5,0,0,0,0.0,0.0,0.05,0.0,0.0,shooting
ITA-Serie A,2024,Roma,Niccolò Pisilli,ITA,MF,20-200,2004,12.4,2,24,7,29.2,1.94,0.57,0.08,0.29,18.7,0,0,0,2.1,2.1,0.09,-0.1,-0.1,shooting
