league,season,team,player,nation,pos,age,born,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,stat_type
ITA-Serie A,2020,Atalanta,Amad Diallo,CIV,MF,18,2002,0.2,14,0,0,9,5,1,14,2,0,0.0,2,100.0,13,97,35,1,1,0,0,0,14,3,possession
ITA-Serie A,2020,Atalanta,Berat Djimsiti,ALB,DF,27,1993,29.2,2093,161,737,1051,318,49,2093,13,10,76.9,3,23.1,1209,5954,3254,42,52,5,25,9,1367,51,possession
ITA-Serie A,2020,Atalanta,Bosko Sutalo,CRO,DF,20,2000,2.6,194,7,69,91,37,4,194,3,2,66.7,1,33.3,86,497,325,6,3,0,3,1,119,9,possession
ITA-Serie A,2020,Atalanta,Cristian Romero,ARG,DF,22,1998,28.3,1662,153,764,817,100,29,1662,14,7,50.0,7,50.0,863,4722,1995,26,18,0,16,7,818,8,possession
ITA-Serie A,2020,Atalanta,Cristiano Piccini,ITA,DF,27,1992,0.7,25,0,4,14,7,1,25,3,1,33.3,2,66.7,9,57,11,1,0,0,0,2,14,3,possession
ITA-Serie A,2020,Atalanta,Davide Angelo Ghislandi,ITA,DF,19,2001,0.1,4,1,1,1,2,0,4,0,0,,0,,3,4,2,0,0,0,0,0,3,1,possession
ITA-Serie A,2020,Atalanta,Duván Zapata,COL,FW,29,1991,26.4,1214,24,57,374,798,221,1213,85,34,40.0,51,60.0,836,4620,1892,88,46,56,114,65,1009,329,possession
ITA-Serie A,2020,Atalanta,Fabio Depaoli,ITA,DF,23,1997,2.1,125,2,17,61,47,4,125,2,1,50.0,1,50.0,59,227,127,3,3,0,5,3,82,22,possession
ITA-Serie A,2020,Atalanta,Hans Hateboer,NED,DF,26,1994,19.6,1147,24,218,498,439,67,1147,13,5,38.5,8,61.5,681,3003,1719,41,30,7,28,12,812,159,possession
ITA-Serie A,2020,Atalanta,Joakim Mæhle,DEN,DF,23,1997,13.5,880,14,179,344,367,42,880,31,16,51.6,15,48.4,473,2349,1283,35,22,7,28,11,556,97,possession
ITA-Serie A,2020,Atalanta,Johan Mojica,COL,DF,27,1992,3.3,262,11,64,101,97,6,262,6,2,33.3,4,66.7,169,840,376,14,8,3,8,6,176,36,possession
ITA-Serie A,2020,Atalanta,Josip Iličić,SVN,"MF,FW",32,1988,17.0,1269,1,56,471,750,99,1267,100,57,57.0,42,42.0,932,5554,2551,88,75,37,74,45,1076,194,possession
ITA-Serie A,2020,Atalanta,José Luis Palomino,ARG,DF,30,1990,27.0,1831,153,836,914,97,17,1831,2,2,100.0,0,0.0,982,4780,2169,16,12,2,13,5,1026,14,possession
ITA-Serie A,2020,Atalanta,Luis Muriel,COL,FW,29,1991,16.0,999,4,43,326,643,125,996,90,53,58.9,37,41.1,602,3845,1771,70,35,39,59,50,754,218,possession
ITA-Serie A,2020,Atalanta,Manu Gyabuaa,ITA,MF,18,2001,0.0,2,0,1,1,0,0,2,0,0,,0,,1,5,5,0,0,0,0,0,1,0,possession
ITA-Serie A,2020,Atalanta,Marco Sportiello,ITA,GK,28,1992,14.0,403,319,402,1,0,0,403,0,0,,0,,248,883,520,0,0,0,0,0,190,0,possession
ITA-Serie A,2020,Atalanta,Mario Pašalić,CRO,MF,25,1995,12.5,794,10,89,445,273,44,794,28,11,39.3,16,57.1,511,2474,1246,32,21,12,25,18,608,91,possession
ITA-Serie A,2020,Atalanta,Marten de Roon,NED,MF,29,1991,33.6,2491,74,540,1527,439,13,2491,16,12,75.0,4,25.0,1412,5755,3080,37,42,5,17,10,1627,34,possession
ITA-Serie A,2020,Atalanta,Matteo Pessina,ITA,MF,23,1997,18.3,1132,16,137,584,420,63,1132,35,15,42.9,20,57.1,751,3619,1502,27,18,8,35,19,844,104,possession
ITA-Serie A,2020,Atalanta,Matteo Ruggeri,ITA,DF,18,2002,2.3,138,4,36,51,52,3,138,1,1,100.0,0,0.0,70,365,204,6,3,0,3,0,100,14,possession
ITA-Serie A,2020,Atalanta,Mattia Caldara,ITA,DF,26,1994,1.2,77,6,39,36,4,3,77,0,0,,0,,35,155,27,0,0,0,1,1,37,1,possession
ITA-Serie A,2020,Atalanta,Papu Gómez,ARG,"MF,FW",32,1988,7.4,511,4,42,243,234,20,511,22,15,68.2,7,31.8,365,2364,1213,32,23,6,11,10,402,29,possession
ITA-Serie A,2020,Atalanta,Pierluigi Gollini,ITA,GK,25,1995,24.0,717,575,712,5,0,0,717,1,1,100.0,0,0.0,434,2072,1207,0,0,0,1,0,367,0,possession
ITA-Serie A,2020,Atalanta,Rafael Tolói,ITA,DF,29,1990,28.2,1959,103,616,990,374,52,1959,16,8,50.0,8,50.0,1092,4863,2823,40,36,3,22,13,1317,77,possession
