nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,league,season,stat_type
,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,,,
MAR,DF,24,1999,25.7,35,19,28,5,2,21,35,60.0,14,31,26,5,23,58,115,0,ESP-La Liga,2023,defense
ALG,"FW,MF",24,1998,8.0,9,5,4,2,3,5,15,33.3,10,10,1,9,3,12,7,0,ESP-La Liga,2023,defense
SRB,DF,31,1991,10.5,14,10,10,4,0,10,16,62.5,6,8,4,4,13,27,43,0,ESP-La Liga,2023,defense
ESP,"FW,MF",24,1999,14.0,27,15,11,9,7,14,26,53.8,12,18,2,16,11,38,16,0,ESP-La Liga,2023,defense
ESP,MF,26,1997,32.6,59,32,28,25,6,31,64,48.4,33,34,12,22,13,72,46,1,ESP-La Liga,2023,defense
ESP,DF,26,1996,31.7,62,42,40,17,5,38,75,50.7,37,24,8,16,28,90,69,0,ESP-La Liga,2023,defense
ESP,MF,23,2000,27.0,61,36,29,27,5,31,86,36.0,55,25,2,23,35,96,30,0,ESP-La Liga,2023,defense
ESP,GK,26,1996,34.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,17,1,ESP-La Liga,2023,defense
URU,MF,25,1998,12.6,56,35,19,26,11,19,34,55.9,15,13,5,8,19,75,31,0,ESP-La Liga,2023,defense
ESP,FW,24,1999,12.4,16,6,7,7,2,10,25,40.0,15,4,0,4,4,20,9,0,ESP-La Liga,2023,defense
ESP,DF,20,2003,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,ESP-La Liga,2023,defense
ARG,FW,20,2002,7.0,7,5,2,3,2,5,17,29.4,12,10,0,10,5,12,3,0,ESP-La Liga,2023,defense
ROU,"MF,FW",24,1998,8.9,17,12,2,14,1,5,12,41.7,7,8,0,8,5,22,4,0,ESP-La Liga,2023,defense
ESP,DF,21,2002,26.5,23,12,11,9,3,15,26,57.7,11,25,9,16,10,33,77,1,ESP-La Liga,2023,defense
EQG,GK,22,2001,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,ESP-La Liga,2023,defense
ARG,"FW,MF",20,2002,2.5,3,3,1,1,1,1,2,50.0,1,1,0,1,1,4,4,0,ESP-La Liga,2023,defense
ESP,MF,28,1995,29.8,42,24,10,27,5,12,45,26.7,33,23,3,20,22,64,22,0,ESP-La Liga,2023,defense
ESP,"MF,FW",20,2002,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,ESP-La Liga,2023,defense
ESP,"FW,MF",33,1989,15.8,8,4,2,3,3,4,9,44.4,5,16,5,11,1,9,12,0,ESP-La Liga,2023,defense
ESP,"FW,MF",29,1993,27.8,27,19,10,12,5,14,43,32.6,29,28,1,27,16,43,28,0,ESP-La Liga,2023,defense
SEN,"FW,MF",29,1994,0.2,0,0,0,0,0,0,0,,0,1,1,0,0,0,1,0,ESP-La Liga,2023,defense
ESP,"FW,MF",23,1999,0.7,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,ESP-La Liga,2023,defense
ARG,DF,27,1996,12.7,29,19,22,4,3,16,28,57.1,12,14,8,6,12,41,59,0,ESP-La Liga,2023,defense
ESP,DF,21,2002,27.1,32,20,23,9,0,14,27,51.9,13,34,21,13,33,65,129,2,ESP-La Liga,2023,defense
ESP,DF,27,1995,20.9,39,20,21,16,2,21,31,67.7,10,21,6,15,23,62,69,0,ESP-La Liga,2023,defense
ESP,FW,19,2004,21.3,6,3,1,4,1,0,4,0.0,4,11,2,9,1,7,14,0,ESP-La Liga,2023,defense
ESP,MF,18,2004,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,ESP-La Liga,2023,defense
ESP,MF,21,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,ESP-La Liga,2023,defense
ESP,"FW,MF",21,2002,0.0,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,ESP-La Liga,2023,defense
ESP,"FW,MF",26,1997,3.4,5,5,3,2,0,3,7,42.9,4,2,1,1,1,6,2,0,ESP-La Liga,2023,defense
ESP,"FW,MF",31,1992,27.5,55,37,29,15,11,26,53,49.1,27,37,1,36,15,70,12,0,ESP-La Liga,2023,defense
ESP,"DF,MF",24,1999,10.8,19,12,11,6,2,12,20,60.0,8,14,4,10,7,26,21,0,ESP-La Liga,2023,defense
SRB,DF,29,1993,6.3,8,7,7,1,0,6,6,100.0,0,8,8,0,11,19,48,0,ESP-La Liga,2023,defense
HON,FW,30,1993,8.6,7,5,2,5,0,4,7,57.1,3,6,1,5,2,9,12,0,ESP-La Liga,2023,defense
ESP,"FW,DF",22,2001,2.8,2,1,1,1,0,1,3,33.3,2,3,0,3,3,5,2,0,ESP-La Liga,2023,defense
MOZ,DF,25,1997,9.1,17,12,10,5,2,6,14,42.9,8,11,4,7,4,21,33,2,ESP-La Liga,2023,defense
ESP,DF,24,1999,27.0,34,22,22,12,0,16,26,61.5,10,38,23,15,14,48,107,3,ESP-La Liga,2023,defense
MEX,DF,26,1997,19.9,22,13,13,9,0,9,18,50.0,9,21,9,12,11,33,94,0,ESP-La Liga,2023,defense
ESP,GK,33,1990,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,ESP-La Liga,2023,defense
SEN,MF,21,2002,21.3,62,37,36,20,6,17,44,38.6,27,23,5,18,15,77,22,2,ESP-La Liga,2023,defense
ESP,GK,33,1990,4.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,2,0,ESP-La Liga,2023,defense
ESP,"MF,FW",29,1994,12.3,14,8,7,5,2,7,19,36.8,12,12,4,8,4,18,11,0,ESP-La Liga,2023,defense
GNB,DF,25,1998,4.4,16,13,11,5,0,8,16,50.0,8,4,2,2,1,17,17,1,ESP-La Liga,2023,defense
MLI,FW,24,1999,3.1,1,0,1,0,0,1,1,100.0,0,1,0,1,0,1,4,0,ESP-La Liga,2023,defense
GHA,MF,27,1996,15.9,46,26,27,18,1,17,39,43.6,22,20,6,14,11,57,27,2,ESP-La Liga,2023,defense
ESP,MF,33,1989,10.1,19,9,6,9,4,10,19,52.6,9,4,0,4,4,23,1,0,ESP-La Liga,2023,defense
BRA,DF,19,2004,5.8,7,4,6,0,1,3,6,50.0,3,9,7,2,3,10,29,1,ESP-La Liga,2023,defense
BEL,"FW,MF",22,2001,17.3,12,7,5,6,1,6,26,23.1,20,16,2,14,34,46,10,0,ESP-La Liga,2023,defense
ARG,MF,26,1997,26.5,61,33,28,23,10,25,50,50.0,25,43,9,34,51,112,43,0,ESP-La Liga,2023,defense
COL,FW,25,1997,10.2,7,5,2,5,0,2,6,33.3,4,11,0,11,0,7,13,0,ESP-La Liga,2023,defense
ARG,FW,18,2004,4.9,5,1,2,3,0,2,4,50.0,2,12,1,11,1,6,2,1,ESP-La Liga,2023,defense
POR,GK,24,1999,33.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,19,2,ESP-La Liga,2023,defense
BRA,"FW,MF",21,2002,3.2,4,1,2,0,2,2,8,25.0,6,4,0,4,1,5,1,0,ESP-La Liga,2023,defense
BRA,FW,30,1992,20.4,25,16,12,8,5,9,25,36.0,16,13,1,12,11,36,22,0,ESP-La Liga,2023,defense
ESP,DF,20,2003,20.9,47,23,35,8,4,22,39,56.4,17,20,8,12,15,62,83,1,ESP-La Liga,2023,defense
GNB,"FW,MF",19,2004,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,ESP-La Liga,2023,defense
ESP,MF,18,2005,4.9,19,14,12,7,0,6,12,50.0,6,9,3,6,13,32,8,0,ESP-La Liga,2023,defense
SRB,"FW,MF",19,2003,3.4,4,4,1,3,0,2,4,50.0,2,2,0,2,0,4,5,0,ESP-La Liga,2023,defense
ESP,DF,18,2004,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,4,0,ESP-La Liga,2023,defense
MAR,FW,18,2005,0.2,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,ESP-La Liga,2023,defense
ESP,DF,25,1997,18.6,27,15,18,7,2,13,16,81.3,3,14,4,10,10,37,34,0,ESP-La Liga,2023,defense
ESP,"MF,FW",21,2001,22.7,34,17,16,17,1,14,31,45.2,17,20,1,19,16,50,8,1,ESP-La Liga,2023,defense
SRB,DF,27,1996,1.0,2,2,0,2,0,1,1,100.0,0,1,1,0,0,2,2,0,ESP-La Liga,2023,defense
ESP,DF,25,1997,10.9,11,6,9,2,0,8,18,44.4,10,5,2,3,18,29,29,0,ESP-La Liga,2023,defense
ESP,"DF,MF",26,1997,28.0,45,21,22,20,3,25,49,51.0,24,48,28,20,38,83,130,3,ESP-La Liga,2023,defense
ESP,FW,21,2001,2.9,8,4,4,2,2,2,3,66.7,1,1,0,1,1,9,0,0,ESP-La Liga,2023,defense
ESP,FW,17,2005,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,ESP-La Liga,2023,defense
ESP,DF,23,2000,30.0,20,11,11,9,0,7,14,50.0,7,23,11,12,33,53,104,0,ESP-La Liga,2023,defense
ESP,MF,33,1989,11.4,44,32,11,26,7,20,36,55.6,16,16,6,10,15,59,18,1,ESP-La Liga,2023,defense
ESP,FW,25,1997,5.7,2,1,0,0,2,2,2,100.0,0,2,1,1,0,2,6,0,ESP-La Liga,2023,defense
ESP,"MF,DF",22,2001,16.1,45,28,11,23,11,23,42,54.8,19,32,5,27,23,68,27,0,ESP-La Liga,2023,defense
ESP,MF,33,1990,8.3,17,11,4,7,6,12,24,50.0,12,9,3,6,8,25,11,0,ESP-La Liga,2023,defense
ESP,DF,24,1999,32.0,42,28,29,11,2,28,45,62.2,17,49,25,24,31,73,104,0,ESP-La Liga,2023,defense
ESP,FW,26,1996,24.6,34,23,6,25,3,9,30,30.0,21,36,2,34,17,51,23,0,ESP-La Liga,2023,defense
ESP,"MF,FW",30,1992,6.6,5,1,2,3,0,1,3,33.3,2,4,1,3,0,5,0,0,ESP-La Liga,2023,defense
ESP,DF,23,2000,5.8,7,5,1,5,1,5,18,27.8,13,6,0,6,7,14,15,0,ESP-La Liga,2023,defense
GHA,FW,29,1994,31.6,24,17,6,8,10,13,34,38.2,21,42,8,34,14,38,29,0,ESP-La Liga,2023,defense
ESP,DF,30,1993,22.2,40,22,25,10,5,27,53,50.9,26,24,6,18,15,55,50,0,ESP-La Liga,2023,defense
ESP,MF,29,1993,23.2,49,31,15,26,8,24,49,49.0,25,18,5,13,12,61,17,0,ESP-La Liga,2023,defense
ESP,GK,22,2000,2.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,ESP-La Liga,2023,defense
ESP,MF,19,2003,1.7,0,0,0,0,0,0,6,0.0,6,5,0,5,0,0,2,0,ESP-La Liga,2023,defense
