league,season,team,player,nation,pos,age,born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,stat_type,nation_defense,pos_defense,age_defense,born_defense,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type_defense,nation_passing,pos_passing,age_passing,born_passing,90s_passing,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,stat_type_passing,nation_misc,pos_misc,age_misc,born_misc,90s_misc,Performance CrdY_misc,Performance CrdR_misc,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,stat_type_misc,nation_possession,pos_possession,age_possession,born_possession,90s_possession,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,stat_type_possession,nation_shooting,pos_shooting,age_shooting,born_shooting,90s_shooting,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG_shooting,Expected npxG_shooting,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,stat_type_shooting
ITA-Serie A,2022,Spezia,Julius Beck,DEN,MF,17,2005,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,DEN,MF,17,2005,0.1,2,1,1,1,0,0,0,,0,0,0,0,0,2,0,0,defense,DEN,MF,17,2005,0.1,5,5,100.0,116,29,0,0,,4,4,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,2,passing,DEN,MF,17,2005,0.1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0.0,misc,DEN,MF,17,2005,0.1,8,0,2,5,1,0,8,0,0,,0,,5,27,5,0,0,0,1,1,6,0,possession,DEN,MF,17,2005,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ITA-Serie A,2022,Milan,Junior Messias,BRA,"FW,DF",31,1991,25,19,1498,16.6,5,2,7,5,0,0,3,0,2.3,2.3,0.8,3.0,45,54,137,0.3,0.12,0.42,0.3,0.42,0.14,0.05,0.18,0.14,0.18,standard,BRA,"FW,DF",31,1991,16.6,24,18,9,9,6,5,19,26.3,14,20,4,16,7,31,28,0,defense,BRA,"FW,DF",31,1991,16.6,430,563,76.4,6793,1803,232,277,83.8,156,191,81.7,30,57,52.6,2,0.8,1.6,1.2,13,33,8,2,54,passing,BRA,"FW,DF",31,1991,16.6,3,0,0,24,24,1,25,7,18,0,0,0,69,25,41,37.9,misc,BRA,"FW,DF",31,1991,16.6,765,32,122,336,323,54,765,68,34,50.0,21,30.9,466,3060,1659,45,42,18,32,14,530,137,possession,BRA,"FW,DF",31,1991,16.6,5,32,11,34.4,1.92,0.66,0.16,0.45,18.7,1,0,0,2.3,2.3,0.07,2.7,2.7,shooting
ITA-Serie A,2022,Salernitana,Junior Sambia,FRA,DF,25,1996,22,7,697,7.7,0,1,1,0,0,0,3,0,0.6,0.6,1.6,2.2,23,27,38,0.0,0.13,0.13,0.0,0.13,0.08,0.21,0.29,0.08,0.29,standard,FRA,DF,25,1996,7.7,12,5,7,4,1,6,10,60.0,4,9,3,6,8,20,16,1,defense,FRA,DF,25,1996,7.7,312,396,78.8,4617,1867,178,198,89.9,107,141,75.9,14,33,42.4,1,1.6,0.7,-0.6,7,14,10,2,27,passing,FRA,DF,25,1996,7.7,3,0,0,11,17,0,33,8,5,0,0,0,34,15,10,60.0,misc,FRA,DF,25,1996,7.7,504,21,114,221,172,13,504,29,10,34.5,17,58.6,258,1443,803,23,22,6,13,9,301,38,possession,FRA,DF,25,1996,7.7,0,13,5,38.5,1.68,0.65,0.0,0.0,24.1,5,0,0,0.6,0.6,0.05,-0.6,-0.6,shooting
ITA-Serie A,2022,Sassuolo,Kaan Ayhan,TUR,DF,27,1994,10,5,545,6.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,8,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,TUR,DF,27,1994,6.1,10,4,6,4,0,7,7,100.0,0,5,4,1,5,15,26,1,defense,TUR,DF,27,1994,6.1,288,332,86.7,6000,1702,84,87,96.6,154,167,92.2,48,72,66.7,0,0.0,0.0,0.0,0,20,0,0,15,passing,TUR,DF,27,1994,6.1,1,0,0,4,8,0,0,5,4,0,0,0,28,2,7,22.2,misc,TUR,DF,27,1994,6.1,385,54,198,182,6,0,385,0,0,,0,,235,1168,744,8,5,0,0,1,264,0,possession,TUR,DF,27,1994,6.1,0,1,1,100.0,0.17,0.17,0.0,0.0,37.5,0,0,0,0.0,0.0,0.01,0.0,0.0,shooting
ITA-Serie A,2022,Napoli,Karim Zedadka,FRA,FW,22,2000,3,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,FRA,FW,22,2000,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,defense,FRA,FW,22,2000,0.2,11,16,68.8,181,15,8,9,88.9,2,5,40.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,0,passing,FRA,FW,22,2000,0.2,0,0,0,0,4,0,1,0,0,0,0,0,0,1,1,50.0,misc,FRA,FW,22,2000,0.2,20,1,4,10,6,2,20,1,0,0.0,0,0.0,13,63,28,1,0,1,1,0,15,4,possession,FRA,FW,22,2000,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ITA-Serie A,2022,Torino,Karol Linetty,POL,MF,27,1995,32,22,1886,21.0,1,0,1,1,0,0,8,0,1.0,1.0,0.9,1.9,27,73,32,0.05,0.0,0.05,0.05,0.05,0.05,0.04,0.09,0.05,0.09,standard,POL,MF,27,1995,21.0,32,17,7,22,3,13,25,52.0,12,28,8,20,19,51,25,0,defense,POL,MF,27,1995,21.0,832,966,86.1,13835,3130,391,439,89.1,366,395,92.7,55,84,65.5,0,0.9,0.8,-0.9,20,77,5,1,73,passing,POL,MF,27,1995,21.0,8,0,0,50,22,4,21,19,17,0,1,0,129,24,26,48.0,misc,POL,MF,27,1995,21.0,1175,37,213,708,260,21,1175,22,7,31.8,13,59.1,625,3132,1657,27,24,3,27,11,767,32,possession,POL,MF,27,1995,21.0,1,16,4,25.0,0.76,0.19,0.06,0.25,20.9,0,0,0,1.0,1.0,0.06,0.0,0.0,shooting
ITA-Serie A,2022,Lecce,Kastriot Dermaku,ALB,DF,30,1992,1,0,34,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ALB,DF,30,1992,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense,ALB,DF,30,1992,0.4,1,2,50.0,27,0,0,0,,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,passing,ALB,DF,30,1992,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,misc,ALB,DF,30,1992,0.4,2,0,0,2,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,0,0,possession,ALB,DF,30,1992,0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ITA-Serie A,2022,Spezia,Kelvin Amian,FRA,DF,24,1998,30,26,2372,26.4,0,1,1,0,0,0,7,1,2.7,2.7,2.3,5.0,53,102,72,0.0,0.04,0.04,0.0,0.04,0.1,0.09,0.19,0.1,0.19,standard,FRA,DF,24,1998,26.4,54,32,33,12,9,24,31,77.4,7,34,12,22,22,76,87,1,defense,FRA,DF,24,1998,26.4,830,1110,74.8,13341,5833,414,481,86.1,324,419,77.3,59,131,45.0,1,2.3,2.2,-1.3,18,80,19,10,102,passing,FRA,DF,24,1998,26.4,7,1,1,37,5,1,39,22,32,0,2,0,107,34,35,49.3,misc,FRA,DF,24,1998,26.4,1395,110,506,512,383,47,1395,30,16,53.3,11,36.7,623,3822,2090,53,31,3,25,18,720,72,possession,FRA,DF,24,1998,26.4,0,26,7,26.9,0.99,0.27,0.0,0.0,16.7,1,0,0,2.7,2.7,0.1,-2.7,-2.7,shooting
ITA-Serie A,2022,Spezia,Kevin Agudelo,COL,"MF,FW",23,1998,34,23,2131,23.7,0,1,1,0,0,0,5,0,1.5,1.5,3.0,4.5,81,110,100,0.0,0.04,0.04,0.0,0.04,0.06,0.13,0.19,0.06,0.19,standard,COL,"MF,FW",23,1998,23.7,71,38,22,30,19,25,59,42.4,34,39,5,34,10,81,6,0,defense,COL,"MF,FW",23,1998,23.7,531,735,72.2,7885,2631,295,349,84.5,173,226,76.5,30,54,55.6,1,3.0,2.6,-2.0,28,58,31,2,110,passing,COL,"MF,FW",23,1998,23.7,5,0,0,34,35,2,34,10,38,0,0,0,140,17,27,38.6,misc,COL,"MF,FW",23,1998,23.7,1084,11,168,500,457,54,1084,109,50,45.9,50,45.9,662,4963,2740,81,71,19,59,55,699,100,possession,COL,"MF,FW",23,1998,23.7,0,28,7,25.0,1.18,0.3,0.0,0.0,21.4,0,0,0,1.5,1.5,0.05,-1.5,-1.5,shooting
ITA-Serie A,2022,Bologna,Kevin Bonifazi,ITA,DF,26,1996,13,9,902,10.0,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,4,33,0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,standard,ITA,DF,26,1996,10.0,13,8,7,6,0,6,12,50.0,6,11,8,3,12,25,39,0,defense,ITA,DF,26,1996,10.0,643,722,89.1,12821,4841,216,229,94.3,343,369,93.0,81,116,69.8,0,0.0,0.1,0.0,2,36,0,0,33,passing,ITA,DF,26,1996,10.0,2,0,0,6,1,1,2,12,8,0,0,0,61,8,17,32.0,misc,ITA,DF,26,1996,10.0,828,127,448,364,22,4,828,7,5,71.4,2,28.6,549,3188,1823,4,3,0,9,5,613,0,possession,ITA,DF,26,1996,10.0,0,2,0,0.0,0.2,0.0,0.0,,11.3,0,0,0,0.2,0.2,0.1,-0.2,-0.2,shooting
