nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP,league,season,stat_type
,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,,,,
ITA,DF,28-359,1996,27.9,1391,1628,85.4,24948,8578,552,597,92.5,714,777,91.9,100,198,50.5,0,0.9,0.7,-0.9,14,116,16,4,126,ITA-Serie A,2024,passing
ARG,MF,30-286,1994,12.9,946,1082,87.4,17678,5511,366,386,94.8,458,487,94.0,112,183,61.2,1,1.4,1.3,-0.4,19,88,14,3,87,ITA-Serie A,2024,passing
ITA,MF,28-296,1996,16.2,471,592,79.6,7471,1622,222,254,87.4,183,215,85.1,37,78,47.4,1,2.1,2.3,-1.1,24,30,18,0,54,ITA-Serie A,2024,passing
FRA,MF,21-249,2003,1.9,81,90,90.0,1255,240,45,49,91.8,30,33,90.9,4,4,100.0,0,0.0,0.1,0.0,1,8,0,0,7,ITA-Serie A,2024,passing
FRA,MF,23-329,2001,21.9,916,1013,90.4,14568,3393,451,496,90.9,377,404,93.3,58,65,89.2,1,1.3,1.2,-0.3,14,79,9,1,106,ITA-Serie A,2024,passing
ESP,DF,29-297,1995,2.8,182,202,90.1,3429,979,67,74,90.5,100,106,94.3,15,19,78.9,0,0.0,0.1,0.0,0,17,2,1,14,ITA-Serie A,2024,passing
GER,DF,36-116,1988,10.2,388,436,89.0,7146,2568,140,149,94.0,219,234,93.6,26,40,65.0,0,0.1,0.1,-0.1,2,14,0,0,26,ITA-Serie A,2024,passing
ARG,"MF,FW",21-361,2003,13.1,553,673,82.2,8172,1864,325,356,91.3,165,208,79.3,38,63,60.3,1,3.1,2.4,-2.1,33,39,20,6,59,ITA-Serie A,2024,passing
SRB,GK,25-227,1999,31.0,954,1199,79.6,24027,13592,173,173,100.0,552,554,99.6,228,470,48.5,0,0.0,0.0,0.0,0,9,0,0,2,ITA-Serie A,2024,passing
ITA,MF,20-200,2004,12.4,449,536,83.8,7446,1774,210,235,89.4,199,227,87.7,30,48,62.5,1,0.7,1.0,0.3,10,63,8,2,59,ITA-Serie A,2024,passing
POL,"DF,FW",23-078,2002,5.9,194,265,73.2,3235,575,102,118,86.4,71,96,74.0,16,32,50.0,0,0.8,0.6,-0.8,10,10,14,7,17,ITA-Serie A,2024,passing
CIV,DF,25-234,1999,31.0,1940,2107,92.1,35003,11465,716,746,96.0,1069,1115,95.9,127,201,63.2,1,0.7,0.4,0.3,8,94,3,0,84,ITA-Serie A,2024,passing
ARG,"FW,MF",31-147,1993,15.7,596,729,81.8,9980,2382,315,346,91.0,177,213,83.1,72,114,63.2,3,5.0,5.2,-2.0,40,47,26,5,79,ITA-Serie A,2024,passing
SWE,"DF,MF",25-038,2000,0.5,24,28,85.7,268,95,22,23,95.7,2,4,50.0,0,1,0.0,0,0.0,0.0,0.0,0,2,1,0,2,ITA-Serie A,2024,passing
KSA,DF,25-267,1999,2.3,118,136,86.8,1766,368,65,69,94.2,49,55,89.1,2,6,33.3,1,0.2,0.2,0.8,2,4,4,2,9,ITA-Serie A,2024,passing
ITA,"DF,MF",32-166,1992,11.5,375,477,78.6,5323,1482,225,256,87.9,125,160,78.1,14,28,50.0,3,1.0,1.8,2.0,12,18,18,3,44,ITA-Serie A,2024,passing
ENG,FW,27-191,1997,0.0,1,3,33.3,44,32,0,1,0.0,0,1,0.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1,ITA-Serie A,2024,passing
ITA,"MF,FW",22-019,2003,7.7,263,316,83.2,3411,617,167,185,90.3,81,96,84.4,3,8,37.5,1,0.9,0.8,0.1,8,20,6,0,21,ITA-Serie A,2024,passing
DEN,DF,26-179,1998,2.1,106,120,88.3,1908,447,36,41,87.8,65,71,91.5,5,8,62.5,0,0.0,0.0,0.0,0,7,0,0,4,ITA-Serie A,2024,passing
TUR,DF,28-053,1997,18.2,794,970,81.9,12689,4221,389,436,89.2,334,400,83.5,49,84,58.3,2,1.3,0.8,0.7,15,62,13,7,68,ITA-Serie A,2024,passing
ITA,MF,20-075,2005,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,ITA-Serie A,2024,passing
MAR,DF,31-099,1994,16.6,836,994,84.1,15392,5660,314,345,91.0,437,492,88.8,76,140,54.3,2,0.3,0.5,1.7,3,52,5,2,62,ITA-Serie A,2024,passing
CMR,"MF,DF",31-066,1994,6.7,240,281,85.4,3818,852,113,132,85.6,105,114,92.1,13,18,72.2,0,0.8,0.7,-0.8,6,10,6,1,23,ITA-Serie A,2024,passing
ITA,GK,32-225,1992,1.0,28,32,87.5,826,650,10,10,100.0,6,6,100.0,12,16,75.0,0,0.0,0.0,0.0,0,0,0,0,0,ITA-Serie A,2024,passing
FRA,DF,21-096,2004,1.4,49,62,79.0,774,263,22,28,78.6,23,27,85.2,2,3,66.7,0,0.0,0.0,0.0,1,2,1,1,6,ITA-Serie A,2024,passing
PAR,FW,29-038,1996,12.9,188,233,80.7,2544,436,109,131,83.2,60,71,84.5,7,12,58.3,1,0.5,0.7,0.5,9,13,3,0,17,ITA-Serie A,2024,passing
CRO,DF,27-080,1998,13.1,546,686,79.6,9165,2699,244,275,88.7,237,283,83.7,51,94,54.3,0,0.7,0.9,-0.7,11,43,22,12,51,ITA-Serie A,2024,passing
ITA,MF,22-091,2003,6.2,179,225,79.6,2800,502,96,121,79.3,70,82,85.4,10,17,58.8,1,0.2,0.2,0.8,4,16,3,1,17,ITA-Serie A,2024,passing
SCO,FW,28-272,1996,23.0,329,450,73.1,5081,968,177,228,77.6,109,137,79.6,26,39,66.7,3,1.9,2.7,1.1,24,26,5,0,30,ITA-Serie A,2024,passing
ITA,DF,32-222,1992,6.2,234,323,72.4,4078,1603,115,129,89.1,88,115,76.5,27,64,42.2,0,0.7,0.8,-0.7,10,20,5,3,16,ITA-Serie A,2024,passing
COL,FW,34-010,1991,6.5,87,126,69.0,1223,191,52,75,69.3,18,25,72.0,9,11,81.8,0,0.5,0.5,-0.5,9,4,4,1,7,ITA-Serie A,2024,passing
MKD,FW,25-199,1999,5.6,114,148,77.0,1767,345,60,74,81.1,43,52,82.7,7,11,63.6,0,0.3,0.4,-0.3,7,8,3,1,11,ITA-Serie A,2024,passing
SWE,"FW,MF",19-332,2005,4.4,63,95,66.3,942,197,39,54,72.2,18,28,64.3,4,7,57.1,0,0.4,0.3,-0.4,4,4,4,1,7,ITA-Serie A,2024,passing
