nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP,league,season,stat_type
,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,,,,
ISL,"DF,MF",24-335,2000,1.8,78,89,87.6,1208,331,45,49,91.8,24,26,92.3,4,5,80.0,0,0.1,0.2,-0.1,1,5,4,4,10,ITA-Serie A,2024,passing
GUI,MF,24-259,2000,0.4,5,8,62.5,75,52,4,5,80.0,1,3,33.3,0,0,,0,0.0,0.0,0.0,1,0,0,0,2,ITA-Serie A,2024,passing
DEN,FW,34-340,1990,4.8,57,101,56.4,700,104,40,64,62.5,11,17,64.7,3,5,60.0,0,0.1,0.2,-0.1,3,4,3,0,4,ITA-Serie A,2024,passing
CZE,FW,22-233,2002,3.5,46,59,78.0,627,107,24,31,77.4,14,18,77.8,3,5,60.0,0,0.3,0.3,-0.3,6,4,3,0,8,ITA-Serie A,2024,passing
SVN,MF,29-144,1995,1.5,25,49,51.0,348,107,13,21,61.9,9,12,75.0,1,8,12.5,0,0.0,0.0,0.0,0,1,1,0,4,ITA-Serie A,2024,passing
GNB,DF,27-077,1998,10.0,449,553,81.2,7810,3204,207,218,95.0,196,225,87.1,42,92,45.7,1,0.5,0.1,0.5,2,32,0,0,25,ITA-Serie A,2024,passing
SRB,GK,23-045,2002,15.2,372,513,72.5,9405,6649,66,66,100.0,210,217,96.8,96,229,41.9,0,0.0,0.0,0.0,0,2,0,0,0,ITA-Serie A,2024,passing
ITA,DF,31-193,1993,17.8,395,542,72.9,6433,2039,211,241,87.6,149,207,72.0,28,58,48.3,2,0.8,0.7,1.2,12,25,15,5,39,ITA-Serie A,2024,passing
ITA,DF,22-007,2003,2.5,61,92,66.3,931,351,37,42,88.1,19,32,59.4,4,16,25.0,0,0.1,0.2,-0.1,2,3,3,2,6,ITA-Serie A,2024,passing
ITA,"MF,FW",22-195,2002,23.2,282,406,69.5,4564,1306,144,180,80.0,96,131,73.3,27,45,60.0,3,2.5,2.1,0.5,31,32,19,6,61,ITA-Serie A,2024,passing
USA,MF,22-318,2002,22.4,563,739,76.2,8857,2181,297,350,84.9,213,267,79.8,37,58,63.8,0,1.2,1.2,-1.2,23,36,22,4,79,ITA-Serie A,2024,passing
ITA,DF,26-245,1998,8.4,283,389,72.8,5113,1998,105,129,81.4,158,198,79.8,16,49,32.7,0,0.1,0.2,-0.1,1,15,2,1,20,ITA-Serie A,2024,passing
ITA,MF,24-297,2000,24.8,822,1042,78.9,14235,4790,401,447,89.7,306,368,83.2,87,160,54.4,2,1.4,1.5,0.6,22,86,12,1,103,ITA-Serie A,2024,passing
ROU,GK,27-318,1997,8.0,157,314,50.0,4455,3445,21,21,100.0,87,93,93.5,49,198,24.7,0,0.0,0.0,0.0,0,4,0,0,0,ITA-Serie A,2024,passing
CIV,MF,21-177,2003,8.3,162,216,75.0,2171,538,95,109,87.2,53,71,74.6,4,12,33.3,0,0.1,0.2,-0.1,3,14,1,0,21,ITA-Serie A,2024,passing
IDN,DF,24-313,2000,28.7,1225,1435,85.4,22004,7627,446,494,90.3,696,766,90.9,68,132,51.5,0,0.3,0.4,-0.3,5,54,3,1,68,ITA-Serie A,2024,passing
FIN,GK,32-021,1993,7.8,223,302,73.8,5362,3464,37,37,100.0,138,143,96.5,47,118,39.8,0,0.0,0.0,0.0,0,1,0,0,0,ITA-Serie A,2024,passing
FIN,FW,30-210,1994,17.8,211,350,60.3,3005,737,118,176,67.0,61,104,58.7,14,29,48.3,0,1.7,1.0,-1.7,15,25,7,0,29,ITA-Serie A,2024,passing
ECU,"FW,MF",24-292,2000,8.6,152,217,70.0,1973,520,98,121,81.0,38,49,77.6,7,15,46.7,1,0.7,0.7,0.3,11,7,7,0,23,ITA-Serie A,2024,passing
BEL,DF,22-242,2002,7.7,264,306,86.3,4079,1276,133,149,89.3,115,128,89.8,10,18,55.6,0,0.0,0.1,0.0,1,8,1,0,14,ITA-Serie A,2024,passing
ESP,MF,28-056,1997,8.0,287,395,72.7,5001,1936,140,162,86.4,99,122,81.1,33,77,42.9,0,1.1,1.2,-1.1,13,32,8,2,38,ITA-Serie A,2024,passing
DEN,MF,25-336,1999,7.7,247,309,79.9,3986,1038,118,135,87.4,103,114,90.4,18,40,45.0,1,0.5,0.6,0.5,9,18,3,0,24,ITA-Serie A,2024,passing
CRO,DF,27-066,1998,11.6,479,581,82.4,8510,3788,200,221,90.5,234,272,86.0,37,65,56.9,0,0.3,0.3,-0.3,2,38,5,0,37,ITA-Serie A,2024,passing
AUT,DF,26-178,1998,14.6,703,829,84.8,12684,4404,259,286,90.6,396,443,89.4,41,79,51.9,0,0.6,1.2,-0.6,5,44,2,0,43,ITA-Serie A,2024,passing
ISL,"DF,MF",23-031,2002,22.7,358,505,70.9,5383,1667,199,250,79.6,132,180,73.3,15,41,36.6,1,0.9,1.1,0.1,18,20,8,1,33,ITA-Serie A,2024,passing
CRO,FW,29-330,1995,3.5,68,90,75.6,932,218,36,49,73.5,23,25,92.0,2,4,50.0,0,0.0,0.0,0.0,0,6,1,0,7,ITA-Serie A,2024,passing
ITA,MF,26-248,1998,0.9,15,20,75.0,210,65,11,14,78.6,3,4,75.0,1,2,50.0,0,0.1,0.1,-0.1,2,1,0,0,2,ITA-Serie A,2024,passing
ITA,MF,24-257,2000,0.1,1,1,100.0,6,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,ITA-Serie A,2024,passing
BEL,DF,21-071,2004,1.6,24,31,77.4,291,114,17,19,89.5,7,9,77.8,0,3,0.0,0,0.0,0.0,0.0,0,2,0,0,2,ITA-Serie A,2024,passing
SUR,DF,31-303,1993,12.1,380,489,77.7,6466,2229,162,177,91.5,188,228,82.5,23,53,43.4,0,0.4,0.4,-0.4,5,29,10,5,44,ITA-Serie A,2024,passing
MAR,MF,19-261,2005,0.3,11,14,78.6,169,13,5,5,100.0,4,5,80.0,1,1,100.0,0,0.0,0.0,0.0,1,1,0,0,1,ITA-Serie A,2024,passing
