league,season,team,player,nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP,stat_type
,,,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,,
ESP-La Liga,2024,Alavés,Abdel Abqar,MAR,DF,26-032,1999,26.5,687,906,75.8,15258,5441,176,190,92.6,398,437,91.1,109,252,43.3,1,0.2,0.4,0.8,7,64,10,2,78,passing
ESP-La Liga,2024,Alavés,Abderrahman Rebbach,ALG,"FW,MF",26-243,1998,4.3,74,118,62.7,1234,255,41,58,70.7,24,35,68.6,8,17,47.1,0,0.3,0.4,-0.3,6,2,5,3,5,passing
ESP-La Liga,2024,Alavés,Adrian Rodriguez,ESP,GK,24-120,2000,1.4,19,50,38.0,1160,1084,1,1,100.0,0,0,,18,48,37.5,0,0.0,0.0,0.0,0,1,0,0,0,passing
ESP-La Liga,2024,Alavés,Aleksandar Sedlar,SRB,DF,33-119,1991,4.7,124,157,79.0,2556,986,39,45,86.7,65,79,82.3,19,29,65.5,0,0.0,0.0,0.0,0,6,0,0,6,passing
ESP-La Liga,2024,Alavés,Ander Guevara,ESP,MF,27-278,1997,17.0,601,781,77.0,10638,3145,253,302,83.8,283,346,81.8,53,86,61.6,1,0.5,0.5,0.5,8,78,7,0,91,passing
ESP-La Liga,2024,Alavés,Antonio Blanco,ESP,MF,24-262,2000,22.7,745,935,79.7,13756,5172,309,369,83.7,336,384,87.5,83,135,61.5,1,1.4,1.6,-0.4,12,98,17,9,109,passing
ESP-La Liga,2024,Alavés,Antonio Sivera,ESP,GK,28-243,1996,24.2,435,762,57.1,17654,15551,36,36,100.0,141,143,98.6,256,578,44.3,0,0.1,0.1,-0.1,1,32,1,0,1,passing
ESP-La Liga,2024,Alavés,Asier Villalibre,ESP,FW,27-193,1997,3.5,42,65,64.6,622,143,27,36,75.0,12,22,54.5,3,4,75.0,1,1.0,0.3,0.0,1,3,4,0,7,passing
ESP-La Liga,2024,Alavés,Carles Aleñá,ESP,"MF,FW",27-096,1998,5.8,188,252,74.6,2968,850,104,116,89.7,63,85,74.1,16,27,59.3,2,0.6,0.6,1.4,9,22,6,2,34,passing
ESP-La Liga,2024,Alavés,Carlos Benavídez,URU,MF,27-012,1998,3.8,114,158,72.2,2221,654,48,58,82.8,47,58,81.0,17,33,51.5,1,0.6,0.3,0.4,2,17,2,0,18,passing
ESP-La Liga,2024,Alavés,Carlos Martín,ESP,"FW,MF",22-354,2002,13.1,230,351,65.5,3332,766,124,172,72.1,84,111,75.7,11,32,34.4,2,2.7,1.3,-0.7,11,13,5,3,18,passing
ESP-La Liga,2024,Alavés,Carlos Vicente,ESP,"FW,MF",25-353,1999,26.4,520,829,62.7,8797,3136,281,358,78.5,170,265,64.2,60,133,45.1,3,4.2,4.4,-1.2,48,26,27,22,45,passing
ESP-La Liga,2024,Alavés,Facundo Garcés,ARG,DF,25-218,1999,0.5,2,3,66.7,52,39,1,1,100.0,0,0,,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,0,passing
ESP-La Liga,2024,Alavés,Hugo Novoa,ESP,"DF,MF",22-100,2003,2.6,53,69,76.8,798,261,35,43,81.4,12,16,75.0,4,4,100.0,0,0.2,0.2,-0.2,2,0,2,2,2,passing
ESP-La Liga,2024,Alavés,Jesús Owono,EQG,GK,24-041,2001,4.4,83,141,58.9,3375,3015,7,7,100.0,29,29,100.0,47,103,45.6,0,0.0,0.0,0.0,0,5,0,0,0,passing
ESP-La Liga,2024,Alavés,Joan Jordán,ESP,MF,30-279,1994,12.7,533,723,73.7,10081,3362,239,274,87.2,202,255,79.2,77,157,49.0,2,2.0,2.1,0.0,23,81,9,3,78,passing
ESP-La Liga,2024,Alavés,Jon Guridi,ESP,"MF,FW",30-042,1995,17.7,450,586,76.8,6918,1704,235,296,79.4,166,204,81.4,31,44,70.5,1,1.1,0.7,-0.1,16,44,8,2,67,passing
ESP-La Liga,2024,Alavés,Kiké,ESP,FW,35-137,1989,21.7,297,454,65.4,4223,791,169,226,74.8,87,136,64.0,19,38,50.0,0,0.9,1.2,-0.9,13,24,6,1,41,passing
ESP-La Liga,2024,Alavés,Luis Rioja,ESP,FW,31-177,1993,0.3,5,11,45.5,70,27,3,4,75.0,2,5,40.0,0,1,0.0,0,0.1,0.1,-0.1,1,0,0,0,1,passing
ESP-La Liga,2024,Alavés,Luka Romero,ARG,"FW,MF",20-144,2004,2.2,34,49,69.4,515,110,18,24,75.0,14,14,100.0,1,8,12.5,0,0.2,0.4,-0.2,4,0,1,1,0,passing
ESP-La Liga,2024,Alavés,Manu Sánchez,ESP,DF,24-230,2000,22.7,640,889,72.0,10126,3889,342,398,85.9,248,325,76.3,37,105,35.2,0,0.6,1.1,-0.6,11,46,17,11,64,passing
ESP-La Liga,2024,Alavés,Moussa Diarra,MLI,DF,24-152,2000,18.6,604,750,80.5,11036,4806,244,271,90.0,307,353,87.0,47,98,48.0,0,0.1,0.3,-0.1,3,40,6,2,66,passing
ESP-La Liga,2024,Alavés,Nahuel Tenaglia,ARG,DF,29-049,1996,25.3,731,1033,70.8,12628,5823,326,388,84.0,348,459,75.8,46,128,35.9,1,1.1,1.1,-0.1,14,53,15,7,72,passing
ESP-La Liga,2024,Alavés,Pau Cabanes,ESP,"MF,FW",20-053,2005,2.0,52,75,69.3,619,80,32,39,82.1,16,25,64.0,0,4,0.0,0,0.0,0.1,0.0,1,2,1,0,4,passing
ESP-La Liga,2024,Alavés,Pica,ESP,DF,23-100,2002,5.4,152,198,76.8,3075,1318,46,58,79.3,83,95,87.4,23,41,56.1,0,0.0,0.0,0.0,1,13,1,0,15,passing
ESP-La Liga,2024,Alavés,Santiago Mouriño,URU,DF,23-057,2002,14.5,376,490,76.7,6928,2935,155,182,85.2,177,215,82.3,41,78,52.6,1,0.8,0.5,0.2,6,28,5,2,32,passing
ESP-La Liga,2024,Alavés,Stoichkov,ESP,"MF,FW",31-157,1993,7.8,132,214,61.7,2161,697,61,82,74.4,50,73,68.5,14,33,42.4,1,1.2,0.7,-0.2,7,16,10,1,26,passing
ESP-La Liga,2024,Alavés,Tomás Conechny,ARG,"FW,MF",27-012,1998,8.0,179,284,63.0,2814,849,98,139,70.5,67,97,69.1,10,28,35.7,0,0.3,0.8,-0.3,7,11,10,8,15,passing
ESP-La Liga,2024,Alavés,Toni Martínez,ESP,FW,27-285,1997,9.6,121,201,60.2,1446,260,83,112,74.1,29,57,50.9,2,6,33.3,0,0.6,0.9,-0.6,11,11,4,1,11,passing
ESP-La Liga,2024,Athletic Club,Adama Boiro,ESP,DF,22-293,2002,9.1,316,392,80.6,4903,1467,170,185,91.9,137,175,78.3,8,20,40.0,0,0.2,0.3,-0.2,3,33,5,4,34,passing
ESP-La Liga,2024,Athletic Club,Adu Ares,ESP,FW,23-181,2001,0.2,5,9,55.6,64,15,3,5,60.0,2,3,66.7,0,0,,0,0.0,0.0,0.0,0,0,1,0,3,passing
ESP-La Liga,2024,Athletic Club,Aitor Paredes,ESP,DF,24-347,2000,15.1,649,770,84.3,14000,5291,141,160,88.1,426,458,93.0,80,145,55.2,0,0.1,0.1,-0.1,2,33,2,0,38,passing
ESP-La Liga,2024,Athletic Club,Alex Padilla,ESP,GK,21-222,2003,3.6,67,121,55.4,2317,1964,9,9,100.0,25,25,100.0,33,86,38.4,0,0.0,0.0,0.0,0,4,0,0,0,passing
ESP-La Liga,2024,Athletic Club,Ander Herrera,ESP,MF,35-240,1989,3.0,181,200,90.5,2856,628,94,101,93.1,73,82,89.0,10,13,76.9,0,0.1,0.3,-0.1,2,25,1,0,16,passing
ESP-La Liga,2024,Athletic Club,Andoni Gorosabel,ESP,DF,28-250,1996,12.6,599,710,84.4,9079,2679,337,360,93.6,231,276,83.7,22,42,52.4,2,1.6,1.4,0.4,12,52,13,9,44,passing
ESP-La Liga,2024,Athletic Club,Beñat Prados,ESP,MF,24-062,2001,15.4,545,666,81.8,9052,2089,247,291,84.9,253,290,87.2,31,56,55.4,0,1.1,1.2,-1.1,11,59,5,1,61,passing
ESP-La Liga,2024,Athletic Club,Daniel Vivian,ESP,DF,25-270,1999,22.6,1179,1358,86.8,24346,9053,308,344,89.5,723,770,93.9,142,221,64.3,0,0.3,0.6,-0.3,9,140,7,2,141,passing
ESP-La Liga,2024,Athletic Club,Endika Buján,ESP,FW,22-085,2003,0.1,4,5,80.0,41,12,4,4,100.0,0,0,,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,passing
ESP-La Liga,2024,Athletic Club,Gorka Guruzeta,ESP,FW,28-211,1996,16.2,239,323,74.0,3402,424,142,178,79.8,78,102,76.5,9,20,45.0,2,0.8,0.4,1.2,13,16,1,0,22,passing
ESP-La Liga,2024,Athletic Club,Iñaki Williams,GHA,"FW,MF",30-300,1994,26.7,462,752,61.4,6953,2010,263,356,73.9,169,257,65.8,20,72,27.8,8,6.8,4.5,1.2,35,35,45,14,67,passing
ESP-La Liga,2024,Athletic Club,Iñigo Lekue,ESP,DF,31-342,1993,6.3,261,338,77.2,4337,1547,120,139,86.3,122,149,81.9,15,39,38.5,0,0.3,0.2,-0.3,6,29,0,0,32,passing
ESP-La Liga,2024,Athletic Club,Iñigo Ruiz de Galarreta,ESP,MF,31-248,1993,11.9,506,611,82.8,9629,2847,177,206,85.9,275,298,92.3,49,87,56.3,2,2.1,2.3,-0.1,21,75,17,3,106,passing
ESP-La Liga,2024,Athletic Club,Javi Martón,ESP,"FW,MF",25-340,1999,0.6,6,7,85.7,68,2,4,5,80.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,0,passing
ESP-La Liga,2024,Athletic Club,Julen Agirrezabala,ESP,GK,24-106,2000,13.4,281,411,68.4,7681,5777,46,46,100.0,165,165,100.0,70,196,35.7,0,0.0,0.0,0.0,0,1,0,0,0,passing
ESP-La Liga,2024,Athletic Club,Maroan Sannadi,ESP,FW,24-069,2001,3.6,53,66,80.3,699,151,34,36,94.4,13,18,72.2,3,6,50.0,0,0.2,0.5,-0.2,4,7,6,0,12,passing
