nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,league,season,stat_type
,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,,,
ENG,DF,23,1998,3,1,94,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,GER-Bundesliga,2022,standard
POR,DF,19,2003,13,7,639,7.1,0,0,0,0,0,0,3,0,0.2,0.2,0.2,0.4,11,14,6,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.05,0.03,0.05,GER-Bundesliga,2022,standard
USA,FW,19,2003,4,1,95,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,2,1,4,0.0,0.0,0.0,0.0,0.0,0.09,0.06,0.14,0.09,0.14,GER-Bundesliga,2022,standard
POL,DF,24,1998,29,23,2015,22.4,1,2,3,1,0,0,5,1,0.7,0.7,0.7,1.4,23,56,59,0.04,0.09,0.13,0.04,0.13,0.03,0.03,0.06,0.03,0.06,GER-Bundesliga,2022,standard
SUI,"MF,FW",23,1998,23,13,1130,12.6,3,4,7,3,0,0,4,0,1.2,1.2,2.2,3.4,32,42,68,0.24,0.32,0.56,0.24,0.56,0.09,0.18,0.27,0.09,0.27,GER-Bundesliga,2022,standard
CZE,GK,29,1992,11,11,990,11.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GER-Bundesliga,2022,standard
CAN,DF,21,2000,26,24,2042,22.7,1,4,5,1,0,0,0,0,1.7,1.7,3.7,5.4,117,133,158,0.04,0.18,0.22,0.04,0.22,0.07,0.16,0.24,0.07,0.24,GER-Bundesliga,2022,standard
GER,MF,16,2005,1,0,14,0.2,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,0,0,2,0.0,0.0,0.0,0.0,0.0,3.31,0.37,3.68,3.31,3.68,GER-Bundesliga,2022,standard
FRA,DF,26,1996,30,27,2431,27.0,4,1,5,4,0,0,6,0,2.5,2.5,2.4,5.0,37,202,65,0.15,0.04,0.19,0.15,0.19,0.09,0.09,0.18,0.09,0.18,GER-Bundesliga,2022,standard
SEN,FW,30,1992,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GER-Bundesliga,2022,standard
NED,"DF,MF",32,1990,4,1,134,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,10,0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.08,0.04,0.08,GER-Bundesliga,2022,standard
FRA,DF,23,1998,29,27,2348,26.1,0,1,1,0,0,0,6,1,0.7,0.7,0.3,1.0,31,169,7,0.0,0.04,0.04,0.0,0.04,0.03,0.01,0.04,0.03,0.04,GER-Bundesliga,2022,standard
CMR,FW,33,1989,19,14,1112,12.4,10,2,12,10,0,1,0,0,6.1,5.3,1.9,7.3,11,43,77,0.81,0.16,0.97,0.81,0.97,0.49,0.16,0.65,0.43,0.59,GER-Bundesliga,2022,standard
CRO,FW,18,2003,1,0,19,0.2,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,2,0.0,4.74,4.74,0.0,4.74,0.0,0.39,0.39,0.0,0.39,GER-Bundesliga,2022,standard
GER,"MF,FW",19,2003,33,26,2198,24.4,12,10,22,12,0,0,1,0,8.0,8.0,6.6,14.6,89,124,196,0.49,0.41,0.9,0.49,0.9,0.33,0.27,0.6,0.33,0.6,GER-Bundesliga,2022,standard
GER,MF,27,1995,33,32,2809,31.2,5,6,11,4,1,1,6,1,2.2,1.4,7.0,8.4,42,315,56,0.16,0.19,0.35,0.13,0.32,0.07,0.22,0.3,0.05,0.27,GER-Bundesliga,2022,standard
CRO,DF,22,2000,14,4,579,6.4,0,0,0,0,0,0,1,0,0.0,0.0,0.4,0.4,12,66,35,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07,GER-Bundesliga,2022,standard
POR,"DF,FW",28,1994,15,11,1012,11.2,1,4,5,1,0,0,3,0,0.7,0.7,2.3,3.0,51,61,90,0.09,0.36,0.44,0.09,0.44,0.06,0.21,0.26,0.06,0.26,GER-Bundesliga,2022,standard
FRA,"FW,MF",26,1996,24,16,1409,15.7,8,5,13,8,0,0,2,1,4.6,4.6,5.5,10.1,98,70,296,0.51,0.32,0.83,0.51,0.83,0.29,0.35,0.65,0.29,0.65,GER-Bundesliga,2022,standard
GER,MF,27,1995,27,22,1728,19.2,3,2,5,3,0,0,5,0,4.7,4.7,2.3,7.1,42,114,62,0.16,0.1,0.26,0.16,0.26,0.25,0.12,0.37,0.25,0.37,GER-Bundesliga,2022,standard
GER,"MF,FW",26,1996,32,20,2010,22.3,8,7,15,8,0,0,4,0,8.5,8.5,4.3,12.8,77,134,198,0.36,0.31,0.67,0.36,0.67,0.38,0.19,0.57,0.38,0.57,GER-Bundesliga,2022,standard
FRA,DF,26,1996,7,6,476,5.3,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,3,34,4,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,GER-Bundesliga,2022,standard
GER,GK,36,1986,12,12,1080,12.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,1,0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,GER-Bundesliga,2022,standard
AUT,MF,28,1994,15,7,628,7.0,1,1,2,1,0,0,2,0,1.1,1.1,0.4,1.4,7,52,19,0.14,0.14,0.29,0.14,0.29,0.15,0.05,0.2,0.15,0.2,GER-Bundesliga,2022,standard
FRA,FW,17,2005,22,1,417,4.6,5,0,5,5,0,0,2,0,2.7,2.7,0.7,3.3,12,11,59,1.08,0.0,1.08,1.08,1.08,0.58,0.14,0.72,0.58,0.72,GER-Bundesliga,2022,standard
NED,DF,22,1999,31,27,2403,26.7,3,1,4,3,0,0,4,0,1.1,1.1,0.5,1.6,17,143,14,0.11,0.04,0.15,0.11,0.15,0.04,0.02,0.06,0.04,0.06,GER-Bundesliga,2022,standard
MAR,DF,24,1997,19,11,1075,11.9,1,4,5,1,0,0,0,0,1.1,1.1,1.9,3.0,39,99,81,0.08,0.33,0.42,0.08,0.42,0.09,0.16,0.25,0.09,0.25,GER-Bundesliga,2022,standard
GER,MF,16,2005,2,0,25,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,GER-Bundesliga,2022,standard
NED,MF,20,2002,24,3,576,6.4,0,0,0,0,0,0,1,0,0.9,0.9,0.5,1.4,11,44,31,0.0,0.0,0.0,0.0,0.0,0.14,0.08,0.21,0.14,0.21,GER-Bundesliga,2022,standard
SEN,"FW,MF",30,1992,25,18,1425,15.8,7,5,12,6,1,2,2,0,8.9,7.2,3.9,11.1,59,43,164,0.44,0.32,0.76,0.38,0.69,0.56,0.25,0.81,0.46,0.7,GER-Bundesliga,2022,standard
GER,"FW,MF",27,1995,34,22,1941,21.6,14,5,19,13,1,1,0,0,11.2,10.4,5.3,15.7,74,82,217,0.65,0.23,0.88,0.6,0.83,0.52,0.25,0.76,0.48,0.73,GER-Bundesliga,2022,standard
GER,GK,33,1988,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GER-Bundesliga,2022,standard
GER,"FW,MF",32,1989,27,21,1665,18.5,7,8,15,7,0,0,0,0,8.9,8.9,6.6,15.5,33,88,182,0.38,0.43,0.81,0.38,0.81,0.48,0.36,0.84,0.48,0.84,GER-Bundesliga,2022,standard
SUI,GK,33,1988,19,19,1710,19.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GER-Bundesliga,2022,standard
FRA,MF,36,1986,31,31,2720,30.2,2,2,4,2,0,0,6,1,1.9,1.9,2.2,4.1,13,93,42,0.07,0.07,0.13,0.07,0.13,0.06,0.07,0.14,0.06,0.14,GER-Bundesliga,2022,standard
GHA,"FW,MF",28,1994,29,22,1981,22.0,3,6,9,3,0,0,2,0,2.2,2.2,3.8,6.0,67,36,231,0.14,0.27,0.41,0.14,0.41,0.1,0.17,0.27,0.1,0.27,GER-Bundesliga,2022,standard
CRC,DF,32,1989,19,17,1477,16.4,0,0,0,0,0,0,2,0,0.2,0.2,0.5,0.7,10,56,21,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,GER-Bundesliga,2022,standard
BRA,DF,30,1991,23,23,1766,19.6,0,0,0,0,0,0,6,0,0.0,0.0,1.3,1.3,17,93,24,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.07,0.0,0.07,GER-Bundesliga,2022,standard
GER,DF,28,1993,11,8,795,8.8,0,0,0,0,0,0,1,0,0.3,0.3,0.2,0.5,3,21,2,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06,GER-Bundesliga,2022,standard
SRB,"DF,MF",23,1998,29,23,2178,24.2,4,0,4,4,0,0,3,0,2.6,2.6,1.0,3.6,4,60,5,0.17,0.0,0.17,0.17,0.17,0.11,0.04,0.15,0.11,0.15,GER-Bundesliga,2022,standard
PHI,"FW,MF",27,1995,23,8,945,10.5,1,1,2,1,0,0,0,0,2.4,2.4,0.8,3.1,37,8,83,0.1,0.1,0.19,0.1,0.19,0.23,0.07,0.3,0.23,0.3,GER-Bundesliga,2022,standard
UKR,DF,30,1992,30,28,2449,27.2,0,0,0,0,0,0,4,0,1.4,1.4,0.8,2.1,3,53,14,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.08,0.05,0.08,GER-Bundesliga,2022,standard
POL,MF,29,1992,4,2,146,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,GER-Bundesliga,2022,standard
GER,"DF,FW",25,1997,2,1,59,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GER-Bundesliga,2022,standard
ENG,"DF,FW",23,1998,20,8,749,8.3,0,0,0,0,0,0,3,0,0.7,0.7,0.2,0.8,25,19,39,0.0,0.0,0.0,0.0,0.0,0.08,0.02,0.1,0.08,0.1,GER-Bundesliga,2022,standard
GER,DF,25,1997,13,8,734,8.2,2,0,2,2,0,0,3,0,1.6,1.6,0.5,2.1,1,21,3,0.25,0.0,0.25,0.25,0.25,0.19,0.06,0.25,0.19,0.25,GER-Bundesliga,2022,standard
AUT,MF,28,1993,32,29,2599,28.9,5,3,8,2,3,3,3,0,4.4,2.1,5.7,7.7,43,214,98,0.17,0.1,0.28,0.07,0.17,0.15,0.2,0.35,0.07,0.27,GER-Bundesliga,2022,standard
GRE,"DF,MF",28,1993,19,11,1043,11.6,0,2,2,0,0,0,4,0,0.4,0.4,0.7,1.1,9,26,14,0.0,0.17,0.17,0.0,0.17,0.03,0.06,0.09,0.03,0.09,GER-Bundesliga,2022,standard
GER,GK,33,1988,34,34,3060,34.0,0,0,0,0,0,0,3,0,0.0,0.0,0.1,0.1,1,18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GER-Bundesliga,2022,standard
GER,"FW,MF",21,2000,11,0,213,2.4,2,0,2,2,0,0,1,0,1.3,1.3,0.0,1.3,7,3,17,0.85,0.0,0.85,0.85,0.85,0.54,0.01,0.55,0.54,0.55,GER-Bundesliga,2022,standard
GER,MF,22,2000,23,11,1029,11.4,0,0,0,0,0,0,3,0,0.3,0.3,0.3,0.6,6,26,23,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.02,0.05,GER-Bundesliga,2022,standard
GER,MF,27,1995,25,15,1309,14.5,3,7,10,3,0,0,4,0,1.4,1.4,3.4,4.8,19,63,47,0.21,0.48,0.69,0.21,0.69,0.1,0.23,0.33,0.1,0.33,GER-Bundesliga,2022,standard
GER,FW,29,1993,34,31,2631,29.2,8,2,10,8,0,0,5,0,8.8,8.8,2.7,11.5,7,71,117,0.27,0.07,0.34,0.27,0.34,0.3,0.09,0.39,0.3,0.39,GER-Bundesliga,2022,standard
CMR,"MF,FW",27,1995,12,3,377,4.2,1,0,1,1,0,0,0,0,0.3,0.3,0.2,0.5,6,16,1,0.24,0.0,0.24,0.24,0.24,0.08,0.05,0.13,0.08,0.13,GER-Bundesliga,2022,standard
GAM,DF,26,1995,20,12,1134,12.6,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.2,23,29,27,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,GER-Bundesliga,2022,standard
CGO,"FW,MF",26,1996,16,0,247,2.7,0,0,0,0,0,0,1,0,0.5,0.5,0.5,0.9,5,12,19,0.0,0.0,0.0,0.0,0.0,0.17,0.17,0.34,0.17,0.34,GER-Bundesliga,2022,standard
GER,FW,31,1991,27,19,1457,16.2,3,2,5,3,0,0,5,0,4.1,4.1,1.1,5.2,10,21,61,0.19,0.12,0.31,0.19,0.31,0.26,0.07,0.32,0.26,0.32,GER-Bundesliga,2022,standard
JPN,"FW,MF",27,1994,25,21,1713,19.0,3,3,6,3,0,0,1,0,5.6,5.6,2.1,7.7,32,34,119,0.16,0.16,0.32,0.16,0.32,0.29,0.11,0.41,0.29,0.41,GER-Bundesliga,2022,standard
GER,DF,18,2003,4,2,194,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GER-Bundesliga,2022,standard
GRE,DF,32,1990,15,7,627,7.0,0,0,0,0,0,0,2,0,0.4,0.4,0.2,0.6,1,26,0,0.0,0.0,0.0,0.0,0.0,0.06,0.03,0.09,0.06,0.09,GER-Bundesliga,2022,standard
GER,GK,31,1991,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GER-Bundesliga,2022,standard
FRA,FW,34,1988,19,7,813,9.0,2,1,3,2,0,0,4,0,4.3,4.3,1.1,5.4,3,8,36,0.22,0.11,0.33,0.22,0.33,0.48,0.12,0.6,0.48,0.6,GER-Bundesliga,2022,standard
GER,DF,22,1999,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,GER-Bundesliga,2022,standard
NED,FW,23,1999,26,22,1706,19.0,9,6,15,9,0,0,0,0,9.1,9.1,4.4,13.5,87,60,182,0.47,0.32,0.79,0.47,0.79,0.48,0.23,0.71,0.48,0.71,GER-Bundesliga,2022,standard
GER,MF,28,1994,27,20,1900,21.1,2,1,3,1,1,1,8,0,1.6,0.8,1.3,2.1,34,99,12,0.09,0.05,0.14,0.05,0.09,0.08,0.06,0.14,0.04,0.1,GER-Bundesliga,2022,standard
GER,DF,24,1998,3,0,64,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,1,8,3,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.56,0.0,0.56,GER-Bundesliga,2022,standard
USA,"FW,MF",19,2002,22,4,625,6.9,7,2,9,6,1,1,2,0,4.3,3.5,1.3,4.8,23,25,57,1.01,0.29,1.3,0.86,1.15,0.62,0.18,0.81,0.51,0.69,GER-Bundesliga,2022,standard
SUI,GK,24,1997,27,27,2430,27.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GER-Bundesliga,2022,standard
ENG,"FW,MF",17,2004,15,4,533,5.9,3,1,4,3,0,0,1,0,2.4,2.4,0.7,3.1,24,9,38,0.51,0.17,0.68,0.51,0.68,0.41,0.12,0.53,0.41,0.53,GER-Bundesliga,2022,standard
ENG,MF,19,2003,31,30,2691,29.9,8,4,12,7,1,1,8,0,8.2,7.4,4.0,11.4,97,252,139,0.27,0.13,0.4,0.23,0.37,0.27,0.14,0.41,0.25,0.38,GER-Bundesliga,2022,standard
GER,"MF,FW",26,1996,32,29,2397,26.6,9,8,17,9,0,0,2,0,5.2,5.2,9.2,14.3,67,119,218,0.34,0.3,0.64,0.34,0.64,0.19,0.34,0.54,0.19,0.54,GER-Bundesliga,2022,standard
NOR,DF,24,1997,17,17,1410,15.7,1,1,2,1,0,0,2,0,0.5,0.5,1.5,2.0,54,55,69,0.06,0.06,0.13,0.06,0.13,0.03,0.1,0.13,0.03,0.13,GER-Bundesliga,2022,standard
BEL,MF,16,2006,1,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,4,1,4,0.0,0.0,0.0,0.0,0.0,0.06,0.83,0.89,0.06,0.89,GER-Bundesliga,2022,standard
GER,FW,21,2000,1,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GER-Bundesliga,2022,standard
GER,"FW,MF",20,2002,24,20,1386,15.4,6,5,11,6,0,1,9,0,5.0,4.3,3.7,8.0,49,47,131,0.39,0.32,0.71,0.39,0.71,0.33,0.24,0.57,0.28,0.52,GER-Bundesliga,2022,standard
GER,MF,26,1996,9,4,337,3.7,0,0,0,0,0,0,1,0,0.4,0.4,0.5,0.9,5,25,4,0.0,0.0,0.0,0.0,0.0,0.12,0.13,0.24,0.12,0.24,GER-Bundesliga,2022,standard
CRO,MF,21,2000,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,3,2,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.4,0.4,0.4,GER-Bundesliga,2022,standard
GER,"MF,FW",33,1989,25,14,1353,15.0,6,4,10,5,1,1,4,0,5.1,4.3,2.6,6.9,33,45,78,0.4,0.27,0.67,0.33,0.6,0.34,0.17,0.51,0.29,0.46,GER-Bundesliga,2022,standard
GER,DF,27,1995,25,17,1570,17.4,1,1,2,1,0,0,2,0,1.2,1.2,2.9,4.0,60,91,151,0.06,0.06,0.11,0.06,0.11,0.07,0.16,0.23,0.07,0.23,GER-Bundesliga,2022,standard
GER,DF,33,1988,30,24,2018,22.4,1,0,1,1,0,0,4,0,2.2,2.2,1.1,3.3,21,114,6,0.04,0.0,0.04,0.04,0.04,0.1,0.05,0.15,0.1,0.15,GER-Bundesliga,2022,standard
GER,DF,22,1999,28,27,2252,25.0,4,5,9,4,0,0,3,0,1.6,1.6,1.7,3.3,39,159,14,0.16,0.2,0.36,0.16,0.36,0.06,0.07,0.13,0.06,0.13,GER-Bundesliga,2022,standard
GER,DF,26,1995,29,23,2118,23.5,2,3,5,2,0,0,2,0,2.2,2.2,2.2,4.4,37,137,57,0.08,0.13,0.21,0.08,0.21,0.09,0.09,0.19,0.09,0.19,GER-Bundesliga,2022,standard
POR,"DF,MF",28,1993,27,26,2290,25.4,4,12,16,4,0,0,4,0,2.7,2.7,7.6,10.3,85,191,163,0.16,0.47,0.63,0.16,0.63,0.11,0.3,0.41,0.11,0.41,GER-Bundesliga,2022,standard
TUR,MF,24,1998,26,17,1576,17.5,0,1,1,0,0,0,6,0,0.6,0.6,0.5,1.1,6,81,23,0.0,0.06,0.06,0.0,0.06,0.03,0.03,0.06,0.03,0.06,GER-Bundesliga,2022,standard
FRA,DF,18,2003,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GER-Bundesliga,2022,standard
