nation,pos,age,born,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,league,season,stat_type
,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,,,
MAR,"DF,FW",24,1999,1.3,103,12,54,46,3,1,103,0,0,,0,,71,330,155,0,0,0,2,0,63,0,FRA-Ligue 1,2023,possession
FRA,"MF,FW",24,1999,0.6,42,1,8,19,16,2,42,1,0,0.0,1,100.0,30,138,54,1,2,1,2,1,28,5,FRA-Ligue 1,2023,possession
FRA,FW,19,2003,1.0,43,0,4,12,28,3,43,8,3,37.5,5,62.5,28,290,117,5,4,0,3,2,26,8,FRA-Ligue 1,2023,possession
ALG,"FW,MF",23,2000,2.5,158,1,16,45,100,13,158,16,9,56.3,6,37.5,121,1097,441,15,10,5,5,7,116,39,FRA-Ligue 1,2023,possession
FRA,DF,21,2002,32.9,2269,112,666,1101,544,21,2269,118,56,47.5,52,44.1,1466,8974,4389,83,62,4,68,28,1308,162,FRA-Ligue 1,2023,possession
FRA,DF,28,1994,33.0,2188,242,1105,1017,81,30,2188,8,2,25.0,4,50.0,1524,9116,5074,25,14,0,15,4,1388,8,FRA-Ligue 1,2023,possession
FRA,GK,24,1999,2.0,81,63,81,0,0,0,81,0,0,,0,,61,363,203,0,0,0,0,0,43,0,FRA-Ligue 1,2023,possession
FRA,"MF,FW",23,1999,0.1,10,0,0,5,5,1,10,0,0,,0,,7,78,65,1,2,0,0,0,7,0,FRA-Ligue 1,2023,possession
FRA,MF,25,1998,26.0,1366,27,240,812,333,23,1366,39,26,66.7,11,28.2,1005,5373,2046,36,43,5,31,18,907,61,FRA-Ligue 1,2023,possession
FRA,MF,33,1990,13.4,1099,49,221,719,170,17,1099,11,5,45.5,6,54.5,809,4190,1930,28,23,2,13,12,747,32,FRA-Ligue 1,2023,possession
FRA,DF,29,1994,1.0,67,4,18,42,8,0,67,2,1,50.0,1,50.0,43,290,75,0,1,0,1,1,35,1,FRA-Ligue 1,2023,possession
FRA,DF,25,1997,5.3,343,39,160,157,28,7,343,5,3,60.0,2,40.0,201,1334,646,3,4,0,5,1,180,4,FRA-Ligue 1,2023,possession
FRA,FW,25,1998,18.0,626,14,72,227,334,83,626,60,16,26.7,35,58.3,453,3288,1227,48,31,15,53,24,460,130,FRA-Ligue 1,2023,possession
MLI,MF,20,2003,9.8,641,10,76,357,220,37,641,29,13,44.8,15,51.7,482,2648,1049,22,22,6,32,18,449,43,FRA-Ligue 1,2023,possession
ENG,"MF,FW",20,2003,0.2,13,0,0,3,10,1,13,0,0,,0,,12,75,32,0,2,0,2,2,12,3,FRA-Ligue 1,2023,possession
