nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,league,season,stat_type
,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,,,
,MF,19,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,GER-Bundesliga,2023,misc
JPN,"FW,DF",27,1996,0.4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,GER-Bundesliga,2023,misc
GER,DF,23,2000,9.0,3,0,0,13,11,0,1,11,12,0,0,0,27,17,17,50.0,GER-Bundesliga,2023,misc
GER,FW,25,1998,1.4,0,0,0,0,3,1,1,0,0,0,0,0,1,2,1,66.7,GER-Bundesliga,2023,misc
GER,"MF,DF",18,2005,1.3,0,0,0,2,2,0,1,0,3,0,0,0,3,0,1,0.0,GER-Bundesliga,2023,misc
COD,FW,21,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,GER-Bundesliga,2023,misc
GER,MF,25,1998,15.4,5,0,0,19,27,0,3,16,24,0,2,0,113,9,18,33.3,GER-Bundesliga,2023,misc
GER,DF,25,1997,32.5,5,1,1,29,23,0,3,46,21,1,0,1,150,111,68,62.0,GER-Bundesliga,2023,misc
GER,DF,23,1999,5.7,0,0,0,7,4,0,1,11,7,0,1,0,27,20,12,62.5,GER-Bundesliga,2023,misc
ESP,"MF,FW",26,1996,3.2,1,0,0,8,0,0,14,2,3,0,0,0,19,3,3,50.0,GER-Bundesliga,2023,misc
GER,FW,26,1997,26.5,1,0,0,42,17,16,6,6,14,0,0,0,88,105,125,45.7,GER-Bundesliga,2023,misc
POL,DF,25,1998,5.3,3,0,0,7,5,0,8,7,5,0,0,0,22,3,2,60.0,GER-Bundesliga,2023,misc
SUI,"MF,FW",24,1998,21.8,3,0,0,33,28,18,63,7,10,1,1,0,84,21,32,39.6,GER-Bundesliga,2023,misc
GER,"FW,MF",33,1990,6.5,2,0,0,12,4,4,10,0,5,0,0,0,22,18,30,37.5,GER-Bundesliga,2023,misc
GER,MF,21,2002,7.0,3,0,0,12,4,0,2,8,11,0,0,0,48,11,7,61.1,GER-Bundesliga,2023,misc
CZE,GK,30,1992,3.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,GER-Bundesliga,2023,misc
GER,MF,19,2004,13.6,6,0,0,20,16,0,18,17,16,0,0,0,75,10,13,43.5,GER-Bundesliga,2023,misc
CAN,DF,22,2000,22.9,0,0,0,16,20,0,31,26,24,0,1,0,179,14,9,60.9,GER-Bundesliga,2023,misc
SEN,DF,31,1992,1.2,0,0,0,0,1,0,1,0,0,0,0,0,3,1,1,50.0,GER-Bundesliga,2023,misc
ESP,"FW,MF",22,2001,2.0,1,0,0,2,1,1,10,2,4,0,0,0,4,1,0,100.0,GER-Bundesliga,2023,misc
ISR,GK,23,2000,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,GER-Bundesliga,2023,misc
FRA,DF,24,1998,19.6,3,1,1,22,8,2,3,19,21,0,1,0,156,42,25,62.7,GER-Bundesliga,2023,misc
ENG,DF,29,1994,13.0,1,0,0,12,9,1,7,10,8,0,0,0,66,34,15,69.4,GER-Bundesliga,2023,misc
CMR,"MF,FW",34,1989,8.0,1,0,0,10,7,2,11,7,12,0,0,0,41,15,9,62.5,GER-Bundesliga,2023,misc
GER,DF,20,2003,0.6,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,,GER-Bundesliga,2023,misc
ENG,FW,30,1993,31.5,2,0,0,10,39,13,31,6,9,0,0,0,55,30,34,46.9,GER-Bundesliga,2023,misc
GER,"MF,FW",20,2003,19.5,2,0,0,26,39,2,11,16,25,0,0,0,91,7,11,38.9,GER-Bundesliga,2023,misc
DEN,FW,17,2006,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,GER-Bundesliga,2023,misc
GER,"MF,DF",28,1995,24.2,1,1,0,11,24,2,195,14,33,0,0,0,140,5,14,26.3,GER-Bundesliga,2023,misc
KOR,DF,26,1996,21.9,3,0,0,19,2,1,2,45,24,0,0,0,143,75,29,72.1,GER-Bundesliga,2023,misc
FRA,FW,27,1996,12.4,1,0,0,6,19,1,60,2,7,0,0,0,50,6,5,54.5,GER-Bundesliga,2023,misc
AUT,"DF,MF",26,1997,19.7,3,0,0,28,15,2,31,18,36,0,0,0,114,12,19,38.7,GER-Bundesliga,2023,misc
