league,season,team,player,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,stat_type
,,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,
ITA-Serie A,2021,Atalanta,Aleksei Miranchuk,RUS,"MF,FW",24,1995,7.5,4,15,6,40.0,2.0,0.8,0.27,0.67,16.3,1,0,0,1.2,1.2,0.08,2.8,2.8,shooting
ITA-Serie A,2021,Atalanta,Amad Diallo,CIV,MF,18,2002,0.2,0,1,0,0.0,6.43,0.0,0.0,,23.3,0,0,0,0.0,0.0,0.03,0.0,0.0,shooting
ITA-Serie A,2021,Atalanta,Berat Djimsiti,ALB,DF,27,1993,29.2,0,20,1,5.0,0.69,0.03,0.0,0.0,11.2,0,0,0,1.7,1.7,0.09,-1.7,-1.7,shooting
ITA-Serie A,2021,Atalanta,Bosko Sutalo,CRO,DF,20,2000,2.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ITA-Serie A,2021,Atalanta,Cristian Romero,ARG,DF,22,1998,28.3,2,14,7,50.0,0.5,0.25,0.14,0.29,11.1,0,0,0,1.3,1.3,0.09,0.7,0.7,shooting
ITA-Serie A,2021,Atalanta,Cristiano Piccini,ITA,DF,27,1992,0.7,0,1,0,0.0,1.53,0.0,0.0,,11.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1,shooting
ITA-Serie A,2021,Atalanta,Davide Angelo Ghislandi,ITA,DF,19,2001,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ITA-Serie A,2021,Atalanta,Duván Zapata,COL,FW,29,1991,26.4,15,98,38,38.8,3.71,1.44,0.14,0.37,13.6,0,1,1,15.2,14.4,0.15,-0.2,-0.4,shooting
ITA-Serie A,2021,Atalanta,Fabio Depaoli,ITA,DF,23,1997,2.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ITA-Serie A,2021,Atalanta,Hans Hateboer,NED,DF,26,1994,19.6,2,27,13,48.1,1.38,0.66,0.07,0.15,12.1,0,0,0,3.2,3.2,0.12,-1.2,-1.2,shooting
ITA-Serie A,2021,Atalanta,Joakim Mæhle,DEN,DF,23,1997,13.5,0,21,6,28.6,1.55,0.44,0.0,0.0,18.8,0,0,0,1.6,1.6,0.07,-1.6,-1.6,shooting
ITA-Serie A,2021,Atalanta,Johan Mojica,COL,DF,27,1992,3.3,0,4,0,0.0,1.2,0.0,0.0,,20.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,shooting
ITA-Serie A,2021,Atalanta,Josip Iličić,SVN,"MF,FW",32,1988,17.0,6,57,17,29.8,3.36,1.0,0.07,0.24,20.8,4,2,2,4.9,3.3,0.06,1.1,0.7,shooting
ITA-Serie A,2021,Atalanta,José Luis Palomino,ARG,DF,30,1990,27.0,1,4,1,25.0,0.15,0.04,0.25,1.0,25.9,0,0,0,0.3,0.3,0.07,0.7,0.7,shooting
ITA-Serie A,2021,Atalanta,Luis Muriel,COL,FW,29,1991,16.0,22,84,36,42.9,5.26,2.26,0.24,0.56,18.0,8,2,3,15.5,13.1,0.16,6.5,6.9,shooting
ITA-Serie A,2021,Atalanta,Manu Gyabuaa,ITA,MF,18,2001,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ITA-Serie A,2021,Atalanta,Marco Sportiello,ITA,GK,28,1992,14.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ITA-Serie A,2021,Atalanta,Mario Pašalić,CRO,MF,25,1995,12.5,6,20,12,60.0,1.6,0.96,0.3,0.5,13.2,0,0,0,4.3,4.3,0.22,1.7,1.7,shooting
ITA-Serie A,2021,Atalanta,Marten de Roon,NED,MF,29,1991,33.6,1,17,3,17.6,0.51,0.09,0.06,0.33,26.2,0,0,0,0.6,0.6,0.04,0.4,0.4,shooting
ITA-Serie A,2021,Atalanta,Matteo Pessina,ITA,MF,23,1997,18.3,2,22,10,45.5,1.2,0.55,0.09,0.2,15.5,0,0,0,2.4,2.4,0.11,-0.4,-0.4,shooting
ITA-Serie A,2021,Atalanta,Matteo Ruggeri,ITA,DF,18,2002,2.3,0,2,0,0.0,0.87,0.0,0.0,,14.4,0,0,0,0.1,0.1,0.05,-0.1,-0.1,shooting
ITA-Serie A,2021,Atalanta,Mattia Caldara,ITA,DF,26,1994,1.2,0,2,0,0.0,1.62,0.0,0.0,,9.4,0,0,0,0.3,0.3,0.14,-0.3,-0.3,shooting
ITA-Serie A,2021,Atalanta,Papu Gómez,ARG,"MF,FW",32,1988,7.4,4,29,12,41.4,3.92,1.62,0.14,0.33,20.2,3,0,0,2.5,2.5,0.09,1.5,1.5,shooting
ITA-Serie A,2021,Atalanta,Pierluigi Gollini,ITA,GK,25,1995,24.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ITA-Serie A,2021,Atalanta,Rafael Tolói,ITA,DF,29,1990,28.2,2,29,8,27.6,1.03,0.28,0.07,0.25,12.9,0,0,0,3.3,3.3,0.11,-1.3,-1.3,shooting
ITA-Serie A,2021,Atalanta,Remo Freuler,SUI,MF,28,1992,30.1,2,20,6,30.0,0.66,0.2,0.1,0.33,16.6,0,0,0,1.9,1.9,0.09,0.1,0.1,shooting
ITA-Serie A,2021,Atalanta,Robin Gosens,GER,DF,26,1994,28.0,11,52,21,40.4,1.85,0.75,0.21,0.52,12.3,0,0,0,8.4,8.4,0.16,2.6,2.6,shooting
ITA-Serie A,2021,Atalanta,Ruslan Malinovskyi,UKR,"MF,FW",27,1993,20.8,8,66,20,30.3,3.17,0.96,0.11,0.35,22.1,12,1,1,5.6,4.9,0.07,2.4,2.1,shooting
ITA-Serie A,2021,Atalanta,Sam Lammers,NED,"FW,MF",23,1997,3.2,2,9,4,44.4,2.78,1.24,0.22,0.5,13.8,0,0,0,1.3,1.3,0.14,0.7,0.7,shooting
ITA-Serie A,2021,Atalanta,Viktor Kovalenko,UKR,FW,24,1996,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ITA-Serie A,2021,Benevento,Adolfo Gaich,ARG,FW,21,1999,8.5,2,23,6,26.1,2.7,0.7,0.09,0.33,14.1,0,0,0,2.8,2.8,0.12,-0.8,-0.8,shooting
ITA-Serie A,2021,Benevento,Alessandro Tuia,ITA,DF,30,1990,19.6,1,8,1,12.5,0.41,0.05,0.13,1.0,12.0,1,0,0,0.8,0.8,0.1,0.2,0.2,shooting
ITA-Serie A,2021,Benevento,Amadou Diambo,GHA,FW,19,2001,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ITA-Serie A,2021,Benevento,Andrés Tello,COL,"DF,MF",23,1996,4.6,1,7,3,42.9,1.53,0.65,0.14,0.33,15.9,0,0,0,0.3,0.3,0.04,0.7,0.7,shooting
ITA-Serie A,2021,Benevento,Artur Ioniță,MDA,MF,29,1990,31.5,2,23,7,30.4,0.73,0.22,0.09,0.29,19.9,0,0,0,1.7,1.7,0.07,0.3,0.3,shooting
ITA-Serie A,2021,Benevento,Bryan Dabo,BFA,MF,28,1992,12.4,0,12,2,16.7,0.97,0.16,0.0,0.0,19.4,0,0,0,0.7,0.7,0.06,-0.7,-0.7,shooting
ITA-Serie A,2021,Benevento,Christian Maggio,ITA,DF,38,1982,3.3,0,2,0,0.0,0.61,0.0,0.0,,10.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1,shooting
ITA-Serie A,2021,Benevento,Christian Pastina,ITA,DF,19,2001,1.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ITA-Serie A,2021,Benevento,Daam Foulon,BEL,DF,21,1999,11.3,0,1,0,0.0,0.09,0.0,0.0,,30.1,0,0,0,0.0,0.0,0.02,0.0,0.0,shooting
ITA-Serie A,2021,Benevento,Fabio Depaoli,ITA,DF,23,1997,12.4,0,8,2,25.0,0.64,0.16,0.0,0.0,20.3,0,0,0,0.3,0.3,0.04,-0.3,-0.3,shooting
