nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP,league,season,stat_type
,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,,,,
CIV,"FW,MF",23-100,2002,8.3,193,259,74.5,2731,580,120,140,85.7,56,76,73.7,11,21,52.4,1,1.4,1.9,-0.4,10,4,9,3,12,ENG-Premier League,2024,passing
ENG,"MF,FW",30-265,1994,0.7,23,37,62.2,365,101,12,14,85.7,10,15,66.7,1,6,16.7,0,0.1,0.1,-0.1,1,0,2,2,1,ENG-Premier League,2024,passing
GHA,DF,24-193,2000,8.5,314,381,82.4,4884,1213,169,181,93.4,124,155,80.0,18,35,51.4,2,0.8,0.5,1.2,5,11,5,4,12,ENG-Premier League,2024,passing
GAM,"FW,MF",20-263,2004,14.9,239,393,60.8,3931,1368,130,172,75.6,78,119,65.5,24,56,42.9,4,4.3,4.0,-0.3,23,11,23,6,29,ENG-Premier League,2024,passing
SWE,MF,21-187,2003,17.1,600,747,80.3,9004,2425,349,383,91.1,210,252,83.3,26,74,35.1,1,2.1,2.1,-1.1,26,36,14,2,58,ENG-Premier League,2024,passing
FRA,DF,27-031,1998,4.0,266,293,90.8,4218,1367,136,144,94.4,117,126,92.9,9,13,69.2,0,0.1,0.1,-0.1,2,20,2,0,16,ENG-Premier League,2024,passing
FRA,DF,24-016,2001,3.7,273,304,89.8,4820,1473,111,119,93.3,135,144,93.8,21,32,65.6,0,0.0,0.1,0.0,0,37,1,0,17,ENG-Premier League,2024,passing
FRA,FW,27-148,1997,10.2,297,332,89.5,3916,760,183,200,91.5,95,103,92.2,6,6,100.0,2,2.0,1.0,0.0,13,26,7,0,25,ENG-Premier League,2024,passing
ENG,MF,22-340,2002,28.5,903,1185,76.2,17193,4551,372,437,85.1,367,434,84.6,141,239,59.0,7,9.1,7.7,-2.1,71,127,51,14,165,ENG-Premier League,2024,passing
ARG,MF,24-084,2001,25.8,1266,1569,80.7,22233,6229,595,664,89.6,510,600,85.0,130,220,59.1,5,5.3,5.2,-0.3,62,140,31,4,173,ENG-Premier League,2024,passing
DEN,GK,22-360,2002,6.0,158,189,83.6,2843,1649,64,64,100.0,79,81,97.5,11,40,27.5,0,0.0,0.0,0.0,0,1,0,0,0,ENG-Premier League,2024,passing
ENG,FW,25-017,2000,17.6,593,714,83.1,7964,1785,370,413,89.6,188,223,84.3,12,24,50.0,4,3.3,2.9,0.7,31,23,41,0,78,ENG-Premier League,2024,passing
ENG,DF,18-341,2006,1.9,104,124,83.9,2025,705,29,32,90.6,63,68,92.6,11,20,55.0,0,0.0,0.0,0.0,0,6,0,0,8,ENG-Premier League,2024,passing
POR,"FW,MF",25-152,1999,4.1,171,199,85.9,2588,663,95,105,90.5,62,68,91.2,10,15,66.7,1,1.0,0.5,0.0,6,22,8,0,26,ENG-Premier League,2024,passing
ENG,"MF,FW",26-217,1998,2.9,127,151,84.1,1898,319,75,82,91.5,47,56,83.9,5,9,55.6,1,1.1,0.2,-0.1,3,12,3,0,14,ENG-Premier League,2024,passing
ENG,DF,22-044,2003,28.0,1955,2183,89.6,35488,12539,687,740,92.8,1130,1191,94.9,117,200,58.5,1,1.1,1.1,-0.1,12,129,6,2,109,ENG-Premier League,2024,passing
FRA,DF,21-327,2003,19.2,1095,1270,86.2,17892,4455,531,568,93.5,473,539,87.8,65,106,61.3,1,1.1,1.6,-0.1,17,100,14,4,103,ENG-Premier League,2024,passing
ESP,DF,26-263,1998,26.2,1359,1543,88.1,21166,5932,689,730,94.4,590,657,89.8,52,94,55.3,1,1.7,2.0,-0.7,15,100,10,3,91,ENG-Premier League,2024,passing
ESP,FW,19-097,2006,0.8,11,16,68.8,110,4,9,13,69.2,1,2,50.0,0,0,,0,0.0,0.0,0.0,1,0,0,0,0,ENG-Premier League,2024,passing
FRA,MF,19-083,2006,0.1,7,7,100.0,69,30,6,6,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,2,0,0,1,ENG-Premier League,2024,passing
ECU,MF,23-160,2001,30.2,1642,1832,89.6,28489,7431,728,791,92.0,742,801,92.6,140,180,77.8,2,2.8,2.5,-0.8,26,194,28,2,166,ENG-Premier League,2024,passing
UKR,FW,24-096,2001,1.7,28,42,66.7,431,165,17,24,70.8,10,15,66.7,1,2,50.0,0,1.0,0.5,-1.0,2,2,2,1,5,ENG-Premier League,2024,passing
SEN,FW,23-295,2001,20.7,246,330,74.5,3288,746,150,184,81.5,70,93,75.3,8,13,61.5,5,4.1,1.7,0.9,27,19,6,1,30,ENG-Premier League,2024,passing
ENG,FW,23-032,2002,17.0,400,509,78.6,5899,1475,249,285,87.4,118,153,77.1,19,33,57.6,3,3.6,2.5,-0.6,24,10,31,6,58,ENG-Premier League,2024,passing
POR,FW,25-033,2000,18.4,511,650,78.6,8086,1633,265,286,92.7,182,222,82.0,41,90,45.6,4,4.6,3.4,-0.6,35,21,23,13,44,ENG-Premier League,2024,passing
ENG,"DF,MF",25-124,1999,8.5,531,627,84.7,9538,3249,251,266,94.4,226,256,88.3,47,89,52.8,0,0.5,0.8,-0.5,9,67,5,1,46,ENG-Premier League,2024,passing
POR,"DF,MF",21-256,2003,2.0,118,139,84.9,2171,435,45,51,88.2,55,61,90.2,13,21,61.9,0,0.0,0.2,0.0,0,6,1,0,7,ENG-Premier League,2024,passing
ESP,GK,27-144,1997,25.0,713,994,71.7,17201,11410,171,172,99.4,373,388,96.1,166,423,39.2,0,0.0,0.0,0.0,1,22,1,0,1,ENG-Premier League,2024,passing
BEL,MF,21-095,2004,6.0,269,293,91.8,4535,1211,127,141,90.1,125,130,96.2,14,17,82.4,1,0.7,0.3,0.3,6,35,3,0,18,ENG-Premier League,2024,passing
ENG,MF,17-173,2007,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,ENG-Premier League,2024,passing
ENG,DF,27-199,1997,13.1,931,1020,91.3,16998,6165,359,375,95.7,514,542,94.8,56,92,60.9,1,0.2,0.2,0.8,1,49,1,0,34,ENG-Premier League,2024,passing
ENG,DF,25-280,1999,5.3,326,361,90.3,5861,1800,134,142,94.4,162,171,94.7,26,40,65.0,1,1.2,0.2,-0.2,3,23,1,0,18,ENG-Premier League,2024,passing
ENG,FW,19-066,2006,1.0,36,43,83.7,480,72,19,20,95.0,14,17,82.4,0,2,0.0,1,0.7,0.3,0.3,5,0,1,0,2,ENG-Premier League,2024,passing
FRA,DF,24-115,2000,13.0,724,803,90.2,12262,3415,306,326,93.9,385,416,92.5,26,42,61.9,0,0.4,0.2,-0.4,6,54,1,0,32,ENG-Premier League,2024,passing
ENG,MF,20-313,2004,11.2,442,581,76.1,8375,3195,163,198,82.3,217,268,81.0,56,85,65.9,0,2.3,1.8,-2.3,22,67,17,5,98,ENG-Premier League,2024,passing
ENG,MF,19-195,2005,0.1,2,3,66.7,32,0,1,1,100.0,1,2,50.0,0,0,,0,0.0,0.0,0.0,1,0,0,0,0,ENG-Premier League,2024,passing
ENG,DF,28-111,1996,1.2,35,55,63.6,485,126,22,26,84.6,12,20,60.0,1,9,11.1,0,0.2,0.3,-0.2,2,4,2,0,3,ENG-Premier League,2024,passing
ENG,DF,18-270,2006,0.1,5,7,71.4,72,21,4,4,100.0,0,2,0.0,1,1,100.0,0,0.0,0.0,0.0,0,0,1,1,0,ENG-Premier League,2024,passing
MAR,DF,21-298,2003,1.0,70,82,85.4,1411,568,24,28,85.7,38,41,92.7,8,13,61.5,0,0.0,0.0,0.0,0,8,1,0,7,ENG-Premier League,2024,passing
MLI,MF,25-093,2000,5.0,174,204,85.3,2909,823,84,94,89.4,70,78,89.7,16,20,80.0,0,0.0,0.1,0.0,1,17,3,0,19,ENG-Premier League,2024,passing
USA,DF,25-014,2000,14.9,512,636,80.5,9062,3283,212,238,89.1,250,278,89.9,42,95,44.2,0,0.1,0.1,-0.1,2,19,0,0,33,ENG-Premier League,2024,passing
JPN,MF,28-249,1996,12.3,430,542,79.3,6914,1860,232,264,87.9,166,204,81.4,24,41,58.5,0,1.1,1.0,-1.1,15,39,11,2,65,ENG-Premier League,2024,passing
COL,DF,28-320,1996,27.9,892,1183,75.4,13664,3826,506,594,85.2,331,429,77.2,40,93,43.0,4,3.8,2.4,0.2,34,44,20,9,68,ENG-Premier League,2024,passing
ENG,GK,28-030,1997,30.0,601,970,62.0,16108,10426,146,147,99.3,297,299,99.3,154,519,29.7,0,0.1,0.0,-0.1,2,14,1,0,0,ENG-Premier League,2024,passing
ENG,"MF,FW",26-286,1998,23.3,660,887,74.4,11071,2930,325,380,85.5,258,311,83.0,60,138,43.5,8,4.7,3.4,3.3,51,44,30,3,83,ENG-Premier League,2024,passing
ENG,"FW,MF",25-316,1999,8.3,140,192,72.9,2079,433,74,95,77.9,51,62,82.3,8,13,61.5,1,1.5,0.8,-0.5,11,10,4,0,15,ENG-Premier League,2024,passing
SEN,MF,27-045,1998,23.4,396,597,66.3,5907,1742,216,288,75.0,151,214,70.6,17,39,43.6,3,6.0,5.0,-3.0,33,22,33,6,68,ENG-Premier League,2024,passing
FRA,FW,27-287,1997,25.1,257,395,65.1,3416,880,156,202,77.2,72,116,62.1,7,21,33.3,2,3.0,2.1,-1.0,26,30,14,1,44,ENG-Premier League,2024,passing
COL,"MF,DF",30-168,1994,19.1,661,881,75.0,11505,3981,317,366,86.6,269,338,79.6,61,131,46.6,1,1.5,1.5,-0.5,9,76,15,2,80,ENG-Premier League,2024,passing
GHA,"MF,DF",32-109,1992,1.1,39,50,78.0,591,144,16,19,84.2,18,23,78.3,2,4,50.0,0,0.2,0.1,-0.2,3,4,2,0,5,ENG-Premier League,2024,passing
DEN,DF,28-315,1996,1.0,61,83,73.5,1227,526,19,21,90.5,31,37,83.8,9,21,42.9,0,0.0,0.0,0.0,0,9,1,0,4,ENG-Premier League,2024,passing
ENG,DF,35-164,1989,0.0,0,2,0.0,0,0,0,1,0.0,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,ENG-Premier League,2024,passing
GHA,"FW,MF",33-212,1991,0.2,8,10,80.0,167,4,3,3,100.0,4,6,66.7,1,1,100.0,0,0.0,0.0,0.0,1,0,0,0,0,ENG-Premier League,2024,passing
NIR,MF,21-182,2003,3.7,99,141,70.2,1572,409,54,66,81.8,34,49,69.4,7,19,36.8,0,0.3,0.3,-0.3,5,13,2,1,10,ENG-Premier League,2024,passing
ENG,DF,24-272,2000,29.0,1271,1523,83.5,24571,10123,457,500,91.4,669,753,88.8,136,244,55.7,2,1.1,1.2,0.9,10,115,9,3,119,ENG-Premier League,2024,passing
BRA,"MF,DF",21-010,2004,0.2,2,4,50.0,44,25,0,0,,2,4,50.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,2,ENG-Premier League,2024,passing
FRA,DF,25-005,2000,26.9,997,1210,82.4,20627,8236,260,305,85.2,616,675,91.3,115,202,56.9,1,0.4,0.6,0.6,4,60,2,1,54,ENG-Premier League,2024,passing
ENG,"DF,MF",34-006,1991,5.1,165,217,76.0,3026,1102,67,83,80.7,83,93,89.2,14,30,46.7,0,0.3,0.2,-0.3,3,16,2,1,7,ENG-Premier League,2024,passing
FRA,"MF,FW",27-085,1998,1.3,17,28,60.7,230,46,11,16,68.8,4,7,57.1,1,1,100.0,0,0.0,0.0,0.0,1,2,0,0,4,ENG-Premier League,2024,passing
ENG,MF,19-333,2005,0.1,3,5,60.0,63,29,1,2,50.0,1,1,100.0,1,2,50.0,0,0.0,0.0,0.0,0,1,0,0,1,ENG-Premier League,2024,passing
ENG,DF,25-280,1999,11.8,349,442,79.0,6831,2195,125,141,88.7,178,209,85.2,42,82,51.2,0,0.4,0.3,-0.4,4,27,2,1,34,ENG-Premier League,2024,passing
ENG,DF,25-222,1999,28.0,813,1128,72.1,13123,5073,421,502,83.9,324,434,74.7,48,115,41.7,4,5.3,3.3,-1.3,35,42,27,13,55,ENG-Premier League,2024,passing
ENG,MF,29-359,1995,18.3,603,787,76.6,9738,3425,299,338,88.5,242,292,82.9,42,106,39.6,3,2.5,2.1,0.5,28,63,14,3,79,ENG-Premier League,2024,passing
MLI,MF,32-100,1993,23.9,602,760,79.2,9120,1917,318,376,84.6,224,271,82.7,35,49,71.4,1,2.0,1.1,-1.0,24,39,13,0,67,ENG-Premier League,2024,passing
ALB,FW,23-213,2001,2.3,34,43,79.1,421,90,22,26,84.6,8,9,88.9,2,3,66.7,0,0.1,0.1,-0.1,2,2,0,0,2,ENG-Premier League,2024,passing
ENG,"DF,FW",39-276,1985,17.6,591,848,69.7,10908,4949,282,322,87.6,230,304,75.7,73,179,40.8,3,1.6,1.9,1.4,19,68,17,8,81,ENG-Premier League,2024,passing
GNB,FW,27-070,1998,11.9,108,187,57.8,1464,150,64,94,68.1,29,57,50.9,6,7,85.7,0,0.7,0.2,-0.7,7,4,2,0,8,ENG-Premier League,2024,passing
ARG,"MF,FW",22-132,2002,4.6,122,159,76.7,2124,583,53,62,85.5,54,62,87.1,11,20,55.0,1,1.1,0.3,-0.1,9,9,12,1,20,ENG-Premier League,2024,passing
ENG,FW,28-026,1997,17.5,174,278,62.6,2035,488,126,180,70.0,35,60,58.3,3,8,37.5,1,0.6,0.7,0.4,7,19,5,1,19,ENG-Premier League,2024,passing
ENG,"MF,FW",25-140,1999,12.7,377,514,73.3,7166,2463,170,197,86.3,136,167,81.4,63,118,53.4,3,3.5,3.8,-0.5,32,33,32,10,60,ENG-Premier League,2024,passing
ENG,MF,18-082,2007,0.5,7,15,46.7,149,15,3,4,75.0,2,5,40.0,2,4,50.0,0,0.1,0.0,-0.1,1,1,0,0,1,ENG-Premier League,2024,passing
SEN,MF,35-197,1989,27.2,960,1113,86.3,16143,4164,477,529,90.2,391,432,90.5,77,106,72.6,3,1.7,1.7,1.3,19,117,8,3,112,ENG-Premier League,2024,passing
SEN,FW,25-036,2000,21.9,473,588,80.4,7228,1520,269,317,84.9,160,186,86.0,33,46,71.7,0,1.5,1.2,-1.5,16,32,14,5,41,ENG-Premier League,2024,passing
ENG,FW,28-142,1996,18.4,318,500,63.6,4941,1852,189,229,82.5,86,125,68.8,27,81,33.3,0,3.5,2.7,-3.5,28,22,19,7,36,ENG-Premier League,2024,passing
IRL,DF,23-331,2001,11.5,352,466,75.5,6337,2673,165,186,88.7,145,192,75.5,38,63,60.3,0,0.6,0.3,-0.6,6,31,8,5,37,ENG-Premier League,2024,passing
ENG,"MF,DF",24-029,2001,10.7,313,447,70.0,5364,1826,142,175,81.1,134,170,78.8,30,70,42.9,1,1.1,1.0,-0.1,10,27,5,2,27,ENG-Premier League,2024,passing
ENG,DF,32-143,1992,30.9,984,1214,81.1,20853,7802,317,374,84.8,494,537,92.0,163,259,62.9,1,2.2,2.0,-1.2,14,78,11,0,70,ENG-Premier League,2024,passing
ENG,DF,22-288,2002,22.1,720,886,81.3,13969,5467,267,302,88.4,367,402,91.3,81,158,51.3,1,0.6,0.3,0.4,2,65,2,0,49,ENG-Premier League,2024,passing
DEN,FW,25-041,2000,13.8,297,428,69.4,4593,1335,194,225,86.2,65,99,65.7,29,65,44.6,1,2.0,2.0,-1.0,19,18,12,7,25,ENG-Premier League,2024,passing
ENG,GK,31-035,1994,31.0,837,1286,65.1,27221,20622,120,121,99.2,344,350,98.3,372,805,46.2,1,0.4,0.2,0.6,2,62,8,0,0,ENG-Premier League,2024,passing
ENG,"FW,DF",28-171,1996,0.1,2,2,100.0,55,0,0,0,,1,1,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,ENG-Premier League,2024,passing
ENG,DF,32-090,1993,9.0,253,309,81.9,5832,1866,74,83,89.2,119,132,90.2,58,77,75.3,0,0.1,0.0,-0.1,2,17,0,0,12,ENG-Premier League,2024,passing
SCO,"DF,FW",23-177,2001,2.3,77,105,73.3,1294,504,38,39,97.4,32,49,65.3,6,14,42.9,0,0.3,0.3,-0.3,2,7,4,2,7,ENG-Premier League,2024,passing
BEL,MF,27-024,1998,14.0,437,490,89.2,6998,1567,219,242,90.5,187,197,94.9,23,30,76.7,0,0.6,0.6,-0.6,8,50,8,1,34,ENG-Premier League,2024,passing
ENG,DF,20-106,2004,1.0,11,19,57.9,205,111,6,8,75.0,4,8,50.0,1,3,33.3,0,0.0,0.0,0.0,0,3,0,0,0,ENG-Premier League,2024,passing
IRL,DF,36-182,1988,2.2,57,79,72.2,1046,504,27,29,93.1,24,31,77.4,6,16,37.5,0,0.0,0.0,0.0,0,6,0,0,8,ENG-Premier League,2024,passing
ENG,MF,21-285,2003,6.2,105,145,72.4,1779,582,46,64,71.9,41,49,83.7,13,19,68.4,1,0.2,0.1,0.8,3,10,1,0,14,ENG-Premier League,2024,passing
UKR,DF,25-317,1999,27.2,746,1021,73.1,12422,5053,385,435,88.5,282,387,72.9,64,152,42.1,1,1.5,1.6,-0.5,18,76,30,17,89,ENG-Premier League,2024,passing
POR,"FW,MF",20-322,2004,0.2,2,5,40.0,44,9,1,3,33.3,0,0,,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,1,ENG-Premier League,2024,passing
ESP,"FW,MF",29-076,1996,16.5,355,494,71.9,5579,1399,193,240,80.4,123,166,74.1,25,44,56.8,5,4.1,3.9,0.9,32,31,26,14,56,ENG-Premier League,2024,passing
NGA,"FW,MF",28-343,1996,27.4,935,1253,74.6,16156,4698,470,546,86.1,363,467,77.7,86,154,55.8,5,6.2,6.1,-1.2,51,94,68,13,171,ENG-Premier League,2024,passing
BRA,MF,29-100,1996,18.6,590,851,69.3,10713,3376,270,324,83.3,229,290,79.0,78,189,41.3,4,3.9,3.8,0.1,49,60,19,4,96,ENG-Premier League,2024,passing
USA,DF,27-246,1997,30.2,1395,1818,76.7,23848,8750,670,772,86.8,588,741,79.4,118,211,55.9,10,4.0,3.7,6.0,40,105,50,26,112,ENG-Premier League,2024,passing
GER,GK,33-038,1992,31.0,945,1172,80.6,23152,13652,185,186,99.5,562,568,98.9,188,406,46.3,1,0.1,0.1,0.9,2,14,2,0,0,ENG-Premier League,2024,passing
NGA,DF,25-101,1999,28.2,1586,1770,89.6,27959,9535,672,710,94.6,772,819,94.3,114,186,61.3,0,0.1,0.3,-0.1,2,112,1,0,89,ENG-Premier League,2024,passing
BRA,MF,30-017,1995,0.0,0,1,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,ENG-Premier League,2024,passing
ENG,MF,24-257,2000,20.1,803,890,90.2,11521,2218,462,500,92.4,300,313,95.8,18,26,69.2,2,1.1,1.7,0.9,18,70,13,1,113,ENG-Premier League,2024,passing
ENG,MF,30-074,1995,1.0,39,54,72.2,550,138,21,24,87.5,13,16,81.3,2,5,40.0,0,0.1,0.1,-0.1,1,1,1,0,4,ENG-Premier League,2024,passing
WAL,"FW,MF",28-020,1997,9.3,249,335,74.3,4168,1112,128,150,85.3,96,119,80.7,21,51,41.2,1,1.0,0.9,0.0,17,21,11,0,42,ENG-Premier League,2024,passing
FRA,DF,28-092,1997,14.9,663,758,87.5,12350,4179,233,252,92.5,379,408,92.9,46,87,52.9,0,0.1,0.1,-0.1,3,43,1,0,25,ENG-Premier League,2024,passing
ENG,MF,22-138,2002,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,ENG-Premier League,2024,passing
DEN,DF,28-315,1996,21.7,1291,1553,83.1,28499,11522,352,383,91.9,715,763,93.7,215,382,56.3,0,0.3,0.4,-0.3,3,151,4,1,95,ENG-Premier League,2024,passing
ESP,DF,25-145,1999,2.9,102,122,83.6,1768,637,34,38,89.5,60,68,88.2,6,14,42.9,0,0.0,0.0,0.0,0,7,0,0,9,ENG-Premier League,2024,passing
ENG,"MF,FW",18-098,2007,0.9,32,37,86.5,477,92,18,20,90.0,13,15,86.7,0,1,0.0,0,0.4,0.7,-0.4,3,2,1,0,4,ENG-Premier League,2024,passing
NED,DF,29-184,1995,14.1,576,706,81.6,9210,3032,303,331,91.5,208,260,80.0,46,72,63.9,2,0.7,0.5,1.3,5,53,6,4,42,ENG-Premier League,2024,passing
ENG,FW,22-028,2003,0.2,3,5,60.0,41,2,2,3,66.7,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,ENG-Premier League,2024,passing
MEX,FW,33-341,1991,21.4,363,513,70.8,5521,1224,209,258,81.0,108,143,75.5,28,47,59.6,3,2.8,1.8,0.2,16,29,8,3,45,ENG-Premier League,2024,passing
ENG,FW,25-122,1999,5.4,232,268,86.6,3429,761,136,147,92.5,77,91,84.6,12,19,63.2,1,1.0,1.0,0.0,13,7,15,3,35,ENG-Premier League,2024,passing
BRA,FW,23-342,2001,10.1,89,137,65.0,1490,505,44,65,67.7,30,43,69.8,11,13,84.6,1,0.7,0.2,0.3,7,12,3,0,26,ENG-Premier League,2024,passing
ENG,"FW,DF",24-328,2000,2.1,40,53,75.5,531,139,28,34,82.4,9,12,75.0,1,1,100.0,1,0.6,0.5,0.4,4,1,1,0,2,ENG-Premier League,2024,passing
NOR,MF,27-056,1998,20.3,890,982,90.6,15889,3769,368,404,91.1,423,451,93.8,84,100,84.0,0,0.6,0.5,-0.6,17,96,3,0,94,ENG-Premier League,2024,passing
SRB,MF,28-241,1996,20.9,904,1032,87.6,15271,3676,431,467,92.3,391,424,92.2,70,101,69.3,2,2.6,1.2,-0.6,21,81,11,4,75,ENG-Premier League,2024,passing
BEL,DF,29-127,1995,16.9,725,883,82.1,11618,3674,363,401,90.5,308,359,85.8,36,71,50.7,1,1.2,0.5,-0.2,9,47,5,3,58,ENG-Premier League,2024,passing
SCO,MF,34-081,1991,4.9,433,470,92.1,6800,1478,238,252,94.4,165,173,95.4,26,33,78.8,0,0.7,0.9,-0.7,8,43,7,3,45,ENG-Premier League,2024,passing
BRA,"MF,FW",36-245,1988,1.7,103,120,85.8,1787,454,52,56,92.9,44,49,89.8,7,10,70.0,0,0.2,0.2,-0.2,2,11,4,1,23,ENG-Premier League,2024,passing
ENG,GK,28-244,1996,7.0,144,205,70.2,4113,2912,27,29,93.1,70,70,100.0,47,106,44.3,0,0.0,0.0,0.0,1,3,0,0,1,ENG-Premier League,2024,passing
IRQ,FW,23-041,2002,1.5,25,30,83.3,278,29,20,23,87.0,5,7,71.4,0,0,,0,0.1,0.0,-0.1,2,0,0,0,3,ENG-Premier League,2024,passing
KVX,GK,26-155,1998,18.0,454,633,71.7,11705,8247,122,122,100.0,215,221,97.3,115,283,40.6,0,0.0,0.0,0.0,0,14,0,0,1,ENG-Premier League,2024,passing
COD,DF,27-148,1997,14.1,497,597,83.2,7553,3002,274,301,91.0,193,233,82.8,20,37,54.1,1,0.3,0.2,0.7,4,49,2,0,45,ENG-Premier League,2024,passing
ENG,DF,27-086,1998,1.2,46,55,83.6,632,232,30,33,90.9,15,17,88.2,0,0,,0,0.0,0.0,0.0,0,5,1,0,4,ENG-Premier League,2024,passing
ENG,"DF,FW",25-077,2000,12.6,266,375,70.9,4251,1801,153,177,86.4,90,120,75.0,20,44,45.5,1,0.6,0.5,0.4,7,19,1,1,22,ENG-Premier League,2024,passing
AUS,DF,29-172,1995,12.5,488,602,81.1,8758,4126,206,227,90.7,227,261,87.0,48,98,49.0,1,0.5,0.3,0.5,5,38,3,0,36,ENG-Premier League,2024,passing
IRL,FW,27-345,1997,2.6,32,43,74.4,415,27,20,24,83.3,8,10,80.0,1,1,100.0,0,0.1,0.0,-0.1,2,0,0,0,0,ENG-Premier League,2024,passing
ENG,GK,29-153,1995,6.0,152,226,67.3,4170,2976,41,41,100.0,69,71,97.2,42,114,36.8,0,0.0,0.0,0.0,1,1,0,0,0,ENG-Premier League,2024,passing
ENG,"MF,FW",28-054,1997,6.9,171,233,73.4,2676,699,85,102,83.3,75,96,78.1,6,17,35.3,1,0.6,0.6,0.4,6,17,7,2,25,ENG-Premier League,2024,passing
ENG,DF,32-038,1993,3.4,77,124,62.1,1367,745,30,37,81.1,40,54,74.1,7,24,29.2,1,0.7,0.2,0.3,4,7,2,2,7,ENG-Premier League,2024,passing
IRL,DF,26-038,1999,27.7,1035,1333,77.6,20638,8939,338,393,86.0,572,673,85.0,114,227,50.2,2,0.5,0.7,1.5,3,76,2,1,66,ENG-Premier League,2024,passing
ENG,DF,27-223,1997,0.0,1,2,50.0,9,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,ENG-Premier League,2024,passing
SCO,FW,26-055,1999,3.3,40,74,54.1,418,115,31,46,67.4,6,15,40.0,0,1,0.0,1,0.3,0.1,0.7,3,0,3,0,10,ENG-Premier League,2024,passing
ENG,DF,24-040,2001,4.2,190,236,80.5,3442,1226,87,95,91.6,77,88,87.5,23,40,57.5,0,0.0,0.1,0.0,1,21,1,0,14,ENG-Premier League,2024,passing
ENG,"FW,MF",24-139,2000,9.9,237,309,76.7,3880,944,121,139,87.1,101,115,87.8,12,26,46.2,4,1.9,0.9,2.1,20,21,5,0,28,ENG-Premier League,2024,passing
IRL,MF,26-292,1998,6.0,250,306,81.7,4408,1296,111,128,86.7,115,133,86.5,19,33,57.6,0,0.5,0.7,-0.5,5,27,7,0,37,ENG-Premier League,2024,passing
ENG,DF,24-211,2000,18.5,759,868,87.4,12401,4725,359,386,93.0,362,393,92.1,26,63,41.3,0,0.0,0.2,0.0,2,55,1,0,48,ENG-Premier League,2024,passing
ENG,"FW,DF",23-062,2002,5.2,95,131,72.5,1536,414,54,64,84.4,30,41,73.2,6,12,50.0,0,0.2,0.2,-0.2,5,7,4,3,10,ENG-Premier League,2024,passing
SWE,MF,25-244,1999,17.8,534,646,82.7,8899,1793,242,271,89.3,253,296,85.5,27,53,50.9,0,0.6,0.6,-0.6,10,42,5,1,44,ENG-Premier League,2024,passing
PAR,"FW,MF",21-078,2004,4.8,106,150,70.7,1671,554,53,68,77.9,38,52,73.1,7,12,58.3,2,1.0,0.7,1.0,7,9,5,0,18,ENG-Premier League,2024,passing
ENG,MF,29-130,1995,13.5,426,537,79.3,8392,2418,160,193,82.9,201,232,86.6,59,95,62.1,0,0.2,0.5,-0.2,5,48,6,1,49,ENG-Premier League,2024,passing
ENG,DF,25-089,2000,27.5,833,1167,71.4,14326,5672,390,455,85.7,358,464,77.2,73,195,37.4,2,4.3,4.2,-2.3,53,29,26,11,55,ENG-Premier League,2024,passing
ENG,FW,22-062,2003,25.8,199,325,61.2,2780,618,111,158,70.3,63,100,63.0,9,22,40.9,2,1.9,1.4,0.1,20,15,6,0,29,ENG-Premier League,2024,passing
ENG,DF,26-172,1998,11.2,437,497,87.9,8028,2692,162,168,96.4,237,253,93.7,34,65,52.3,0,0.0,0.0,0.0,0,27,0,0,15,ENG-Premier League,2024,passing
ENG,MF,29-046,1996,0.5,10,16,62.5,89,23,9,11,81.8,0,1,0.0,0,1,0.0,0,0.0,0.1,0.0,0,0,2,0,2,ENG-Premier League,2024,passing
AUS,MF,32-198,1992,2.0,39,53,73.6,551,135,24,27,88.9,11,16,68.8,2,6,33.3,0,0.0,0.0,0.0,0,1,0,0,5,ENG-Premier League,2024,passing
WAL,"MF,FW",27-006,1998,6.6,147,191,77.0,2116,413,89,102,87.3,51,64,79.7,3,11,27.3,0,0.6,1.0,-0.6,6,10,4,0,11,ENG-Premier League,2024,passing
ENG,"MF,FW",21-163,2003,24.7,581,742,78.3,9129,1609,292,331,88.2,247,292,84.6,29,55,52.7,2,2.5,1.6,-0.5,23,43,20,9,69,ENG-Premier League,2024,passing
