nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP,league,season,stat_type
,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,,,,
ARG,GK,32-221,1992,29.0,905,1136,79.7,23411,13960,160,164,97.6,529,539,98.1,216,426,50.7,0,0.5,0.0,-0.5,1,18,0,0,2,ENG-Premier League,2024,passing
ENG,DF,27-170,1997,25.6,1249,1352,92.4,20884,6752,547,568,96.3,642,673,95.4,46,74,62.2,0,0.2,0.4,-0.2,3,80,1,0,60,ENG-Premier League,2024,passing
NED,DF,23-032,2002,7.9,400,491,81.5,6541,1778,195,222,87.8,175,206,85.0,22,36,61.1,2,2.3,2.1,-0.3,17,18,15,3,35,ENG-Premier League,2024,passing
ENG,"FW,MF",23-318,2001,14.9,420,493,85.2,5505,1312,292,317,92.1,101,122,82.8,12,17,70.6,3,2.0,2.0,1.0,16,27,19,1,60,ENG-Premier League,2024,passing
ENG,"FW,MF",23-062,2002,3.7,63,86,73.3,850,161,40,49,81.6,18,21,85.7,2,3,66.7,0,0.3,0.2,-0.3,1,1,3,0,4,ENG-Premier League,2024,passing
SCO,"MF,FW",30-175,1994,20.9,613,737,83.2,10356,2718,292,320,91.3,254,293,86.7,55,90,61.1,3,3.3,2.4,-0.3,26,60,26,7,87,ENG-Premier League,2024,passing
COL,FW,21-119,2003,7.1,115,163,70.6,1558,307,68,84,81.0,34,50,68.0,5,11,45.5,0,0.2,0.3,-0.2,4,10,1,0,13,ENG-Premier League,2024,passing
SRB,DF,19-116,2005,1.4,47,53,88.7,853,185,22,23,95.7,21,25,84.0,4,5,80.0,0,0.0,0.0,0.0,0,5,0,0,6,ENG-Premier League,2024,passing
NED,"DF,MF",21-096,2004,5.3,240,272,88.2,3682,1154,129,139,92.8,107,116,92.2,3,9,33.3,0,0.1,0.1,-0.1,2,24,1,0,14,ENG-Premier League,2024,passing
JAM,"FW,MF",27-245,1997,12.6,273,386,70.7,4275,1048,149,183,81.4,99,122,81.1,18,38,47.4,2,1.5,2.9,0.5,16,16,20,2,35,ENG-Premier League,2024,passing
FRA,DF,31-265,1993,23.9,893,1189,75.1,14338,4552,458,519,88.2,363,461,78.7,52,138,37.7,4,4.1,3.7,-0.1,34,41,27,17,51,ENG-Premier League,2024,passing
ESP,"MF,FW",29-080,1996,3.4,106,130,81.5,1505,372,59,65,90.8,37,42,88.1,5,13,38.5,1,0.3,0.2,0.7,5,10,6,1,22,ENG-Premier League,2024,passing
