nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,league,season,stat_type
,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,,,
FRA,MF,23,2000,1.2,0,1,1,100.0,0.83,0.83,0.0,0.0,9.4,0,0,0,0.1,0.1,0.07,-0.1,-0.1,ITA-Serie A,2023,shooting
NED,DF,23,2000,4.2,1,5,1,20.0,1.18,0.24,0.2,1.0,14.8,0,0,0,0.2,0.2,0.04,0.8,0.8,ITA-Serie A,2023,shooting
ITA,DF,24,1999,1.7,1,2,1,50.0,1.21,0.6,0.5,1.0,22.2,0,0,0,0.1,0.1,0.04,0.9,0.9,ITA-Serie A,2023,shooting
ITA,DF,32,1990,10.7,0,3,0,0.0,0.28,0.0,0.0,,19.5,0,0,0,0.1,0.1,0.02,-0.1,-0.1,ITA-Serie A,2023,shooting
BIH,DF,30,1993,24.2,1,13,5,38.5,0.54,0.21,0.08,0.2,12.3,0,0,0,1.3,1.3,0.1,-0.3,-0.3,ITA-Serie A,2023,shooting
NED,MF,25,1998,29.2,12,52,16,30.8,1.78,0.55,0.19,0.63,18.2,2,2,2,6.5,5.0,0.1,5.5,5.0,ITA-Serie A,2023,shooting
BRA,MF,24,1999,31.9,6,38,11,28.9,1.19,0.35,0.16,0.55,18.1,0,0,0,3.5,3.5,0.09,2.5,2.5,ITA-Serie A,2023,shooting
BEL,"FW,MF",24,1999,21.0,4,29,10,34.5,1.38,0.48,0.14,0.4,23.2,4,0,0,2.6,2.6,0.09,1.4,1.4,ITA-Serie A,2023,shooting
GRE,DF,29,1993,10.0,2,15,4,26.7,1.49,0.4,0.13,0.5,21.9,4,0,0,1.3,1.3,0.08,0.7,0.7,ITA-Serie A,2023,shooting
SUI,"FW,MF",22,2000,19.7,1,41,16,39.0,2.08,0.81,0.02,0.06,16.7,0,0,0,4.9,4.9,0.13,-3.9,-3.9,ITA-Serie A,2023,shooting
ITA,GK,23,1999,5.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ITA-Serie A,2023,shooting
ITA,"MF,FW",20,2003,11.7,5,28,10,35.7,2.38,0.85,0.18,0.5,14.5,0,0,0,4.2,4.2,0.15,0.8,0.8,ITA-Serie A,2023,shooting
DEN,"FW,MF",24,1999,4.8,2,11,2,18.2,2.3,0.42,0.18,1.0,18.9,0,0,0,1.5,1.5,0.13,0.5,0.5,ITA-Serie A,2023,shooting
SWE,FW,25,1998,3.8,0,6,4,66.7,1.57,1.05,0.0,0.0,26.8,1,0,0,0.4,0.4,0.07,-0.4,-0.4,ITA-Serie A,2023,shooting
COL,DF,25,1998,24.6,0,11,2,18.2,0.45,0.08,0.0,0.0,16.1,0,0,0,0.8,0.8,0.08,-0.8,-0.8,ITA-Serie A,2023,shooting
NED,FW,22,2001,30.7,11,84,29,34.5,2.74,0.95,0.11,0.31,17.8,3,2,2,9.0,7.4,0.09,2.0,1.6,ITA-Serie A,2023,shooting
POL,"MF,FW",18,2004,10.3,0,17,6,35.3,1.65,0.58,0.0,0.0,17.6,0,0,0,1.1,1.1,0.07,-1.1,-1.1,ITA-Serie A,2023,shooting
ITA,DF,27,1996,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ITA-Serie A,2023,shooting
SCO,MF,23,1999,30.1,6,60,20,33.3,1.99,0.66,0.1,0.3,16.0,0,0,0,5.4,5.4,0.09,0.6,0.6,ITA-Serie A,2023,shooting
ITA,DF,35,1988,7.5,2,4,2,50.0,0.53,0.27,0.5,1.0,17.8,0,0,0,0.2,0.2,0.05,1.8,1.8,ITA-Serie A,2023,shooting
SUI,MF,26,1997,24.8,0,18,5,27.8,0.73,0.2,0.0,0.0,22.4,0,0,0,1.1,1.1,0.06,-1.1,-1.1,ITA-Serie A,2023,shooting
ITA,GK,19,2004,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ITA-Serie A,2023,shooting
ARG,MF,25,1998,1.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ITA-Serie A,2023,shooting
CRO,MF,25,1998,9.3,1,11,1,9.1,1.18,0.11,0.09,1.0,22.1,1,0,0,0.7,0.7,0.06,0.3,0.3,ITA-Serie A,2023,shooting
MAR,MF,22,2001,6.1,2,2,2,100.0,0.33,0.33,1.0,1.0,9.5,0,0,0,0.5,0.5,0.24,1.5,1.5,ITA-Serie A,2023,shooting
SUI,MF,31,1992,29.2,1,14,4,28.6,0.48,0.14,0.07,0.25,17.4,0,0,0,1.2,1.2,0.09,-0.2,-0.2,ITA-Serie A,2023,shooting
ITA,DF,21,2002,26.1,2,17,6,35.3,0.65,0.23,0.12,0.33,17.9,0,0,0,1.4,1.4,0.08,0.6,0.6,ITA-Serie A,2023,shooting
ITA,"FW,MF",26,1997,19.9,10,55,22,40.0,2.76,1.1,0.15,0.36,18.1,5,2,3,7.4,5.0,0.09,2.6,3.0,ITA-Serie A,2023,shooting
NED,DF,24,1998,28.3,1,12,4,33.3,0.42,0.14,0.08,0.25,9.7,0,0,0,1.9,1.9,0.16,-0.9,-0.9,ITA-Serie A,2023,shooting
ARG,FW,18,2004,2.7,1,7,3,42.9,2.6,1.12,0.14,0.33,19.6,0,0,0,1.0,1.0,0.14,0.0,0.0,ITA-Serie A,2023,shooting
AUT,DF,26,1997,26.8,1,18,4,22.2,0.67,0.15,0.06,0.25,19.3,0,0,0,1.2,1.2,0.07,-0.2,-0.2,ITA-Serie A,2023,shooting
NED,FW,23,2000,2.4,0,5,1,20.0,2.12,0.42,0.0,0.0,18.1,1,0,0,0.6,0.6,0.12,-0.6,-0.6,ITA-Serie A,2023,shooting
ITA,DF,19,2004,2.2,0,1,0,0.0,0.46,0.0,0.0,,12.8,0,0,0,0.1,0.1,0.1,-0.1,-0.1,ITA-Serie A,2023,shooting
DEN,DF,20,2002,25.6,0,6,2,33.3,0.23,0.08,0.0,0.0,18.8,0,0,0,0.3,0.3,0.04,-0.3,-0.3,ITA-Serie A,2023,shooting
POL,GK,32,1991,32.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ITA-Serie A,2023,shooting
SVK,DF,20,2002,10.5,0,3,3,100.0,0.29,0.29,0.0,0.0,18.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1,ITA-Serie A,2023,shooting
